NAME,LANG,ADMIN1,ISLANDNAME,COUNTRY,CNTRY_FIPS,CNTRY_ISO,TYPE,CLASS,POPEST,LONGITUDE,LATITUDE,RENDITION,ID,FID_1
Al Kuwayt,"0",Hawalli,,Kuwait,KU,KW,"105","1",151000.00000000000,48.00393000000,29.32940400000,"1",165454.00000000000,5162994.00000000000
Al Jahra,"0",,,Kuwait,KU,KW,"100","3",-1.00000000000,47.69554900000,29.33200100000,"3",165453.00000000000,5162993.00000000000
Al Funnayhil,"0",,,Kuwait,KU,KW,"100","3",-1.00000000000,48.12661000000,29.09753000000,"3",165457.00000000000,5162997.00000000000
Al Ahmadi,"0",Al Ahmadi,,Kuwait,KU,KW,"100","3",-1.00000000000,48.06816100000,29.09656000000,"3",165458.00000000000,5162998.00000000000
Al Funaytis,"0",,,Kuwait,KU,KW,"100","4",-1.00000000000,48.11803100000,29.17320100000,"4",165456.00000000000,5162996.00000000000
Mina Abd Allah,"0",,,Kuwait,KU,KW,"100","4",-1.00000000000,48.16117100000,29.00816900000,"4",165462.00000000000,5163002.00000000000
Mina Said,"0",,,Kuwait,KU,KW,"100","4",-1.00000000000,48.37477900000,28.73101000000,"4",165465.00000000000,5163005.00000000000
Az Zawr,"0",Al 'Asimah,,Kuwait,KU,KW,"100","4",-1.00000000000,48.27932900000,29.43718900000,"4",205937.00000000000,5203239.00000000000
Al Maghasil,"0",,,Kuwait,KU,KW,"100","5",-1.00000000000,48.09725200000,29.73543000000,"5",165450.00000000000,5162991.00000000000
Al Abdaliyah,"0",Al Ahmadi,,Kuwait,KU,KW,"100","5",-1.00000000000,47.72954900000,29.04427000000,"5",165461.00000000000,5163001.00000000000
Al Ad'ami,"0",Al Ahmadi,,Kuwait,KU,KW,"100","5",-1.00000000000,48.28242900000,28.81958000000,"5",165464.00000000000,5163004.00000000000
Al Wafrah,"0",Al Ahmadi,,Kuwait,KU,KW,"100","5",-1.00000000000,47.93259000000,28.61930100000,"5",165466.00000000000,5163006.00000000000
Ad Dasma',"0",Al 'Asimah,,Kuwait,KU,KW,"100","6",-1.00000000000,48.00000000000,29.36666700000,"6",277190.00000000000,5272085.00000000000
Al-Bahra,"0",,,Kuwait,KU,KW,"100","6",-1.00000000000,47.86666700000,29.66666700000,"6",277192.00000000000,5272086.00000000000
Al-Farawaniyah,"0",,,Kuwait,KU,KW,"100","6",-1.00000000000,47.92030500000,29.24451700000,"6",277193.00000000000,5272087.00000000000
Al Magwa,"0",Al Ahmadi,,Kuwait,KU,KW,"100","6",-1.00000000000,47.99692900000,29.15473000000,"6",277195.00000000000,5272088.00000000000
At Tawil,"0",Al Ahmadi,,Kuwait,KU,KW,"100","6",-1.00000000000,47.90944400000,28.98944400000,"6",277196.00000000000,5272089.00000000000
Shumaymah,"0",,,Kuwait,KU,KW,"100","6",-1.00000000000,48.15000000000,29.61666700000,"6",277197.00000000000,5272090.00000000000
Subaysiyah,"0",Al Ahmadi,,Kuwait,KU,KW,"100","6",-1.00000000000,47.91388900000,28.87944400000,"6",277198.00000000000,5272091.00000000000
Kuwait,"120",Hawalli,,Kuwait,KU,KW,"110","1",151000.00000000000,48.00393000000,29.32940400000,"1",165454.00000000000,15162994.00000000000
Kuwait-Stadt,"140",Hawalli,,Kuwait,KU,KW,"110","1",151000.00000000000,48.00393000000,29.32940400000,"1",165454.00000000000,25162994.00000000000
Koweit,"165",Hawalli,,Kuwait,KU,KW,"110","1",151000.00000000000,48.00393000000,29.32940400000,"1",165454.00000000000,45162994.00000000000
