country,level_1_government,level_2_government,bridge_name,project_code,b2p_fiscal_year,stage,individuals_directly_served,gps_latitude,gps_longitude,bridge_type,span_m,project_type
Uganda,Eastern Region,Mbale,Kama,UG101,2018,Complete,5280,1.11633,34.25246,Suspended Bridge,90,B2P Built
Swaziland,,,Mbluzi-Myendle,GO108,2017,Complete,4000,-26.29412,31.27124,Suspended Bridge,73,B2P Supported
Panama,Ngäbe-Buglé,,Llano Bonito,PA122,2017,Complete,1500,8.446314,-81.365675,Suspended Bridge,79,B2P Supported
Nicaragua,Jinotega,Santa María de Pantasma,Puente San Vicente N°1,1008677,2018,Complete,4000,13.435012,-85.7838,Suspension Bridge,67.8,B2P Built
Nicaragua,Matagalpa,Río Blanco,La Guitarrilla,1008691,2018,Complete,4000,13.122785,-85.236833,Suspension Bridge,77.5,B2P Built
Panama,Ngäbe-Buglé,Müna District,Alto Saldaña,1008543,2018,Complete,,8.339315,-81.674108,Suspended Bridge,72,B2P Supported
Panama,Coclé,Penonomé District,Banacito,1008489,2018,Complete,,8.809012,-80.338959,Suspension Bridge,106,B2P Built
Panama,Ngäbe-Buglé,Ñürüm District,El Paredón,1008531,2018,Complete,1400,8.448444,-81.198556,Suspension Bridge,35,B2P Built
Bolivia,Cochabamba,Chapare,Espíritu Santo,1009257,2019,Complete,1400,-17.01330278,-65.54801389,Suspended Bridge,132,B2P Built
Nicaragua,Jinotega,Jinotega,"Los Cerrones #4",1009328,2018,Complete,5000,13.30401,-85.78777,Suspension Bridge,52,B2P Built
Rwanda,Southern Province,Nyaruguru,Ruharazi,1009311,2019,Complete,4959,-2.77676167,29.62627167,Suspended Bridge,45,B2P Built
Bolivia,Cochabamba,Tapacarí,Machacamarca,1009318,2018,Complete,2400,-17.54093889,-66.80262778,Suspended Bridge,53,B2P Built
Rwanda,Southern Province,Muhanga,Rukurazo,1009445,2020,Under Construction,1210,-2.114778,29.700594,Suspension Bridge,49,B2P Built
Bolivia,Cochabamba,Narciso Campero,Pabellon,BO130,2017,Complete,210,-18.296267,-65.25315,Suspended Bridge,35,B2P Built
Bolivia,Cochabamba,Chapare,Misión Mayu,1007320,2018,Complete,700,-17.03405,-65.98568333,Suspended Bridge,90,B2P Built
Bolivia,La Paz,Abel Iturralde,Capaina,1007321,2018,Complete,175,-14.40317,-67.564314,Suspended Bridge,40,B2P Built
Nicaragua,Región Autónoma de la Costa Caribe Norte,Waslala,El Naranjo,1002669,2018,Complete,5235,13.58125,-85.19765,Suspended Bridge,90,B2P Built
Uganda,Eastern Region,Sironko,Kibembe,1008734,2019,Complete,1791,1.2043,34.28912,Suspension Bridge,75,B2P Built
Uganda,Eastern Region,Manafwa,Tongole,1008762,2019,Complete,,1.937883,34.2691,Suspension Bridge,74.8,B2P Built
Uganda,Eastern Region,Bududa,Namakhokolo,1008776,2018,Complete,,0.978583,34.280483,Suspended Bridge,90,B2P Built
Uganda,Eastern Region,Bududa,Namawukulu,1008780,2018,Complete,,1.004485,34.4016731,Suspended Bridge,70,B2P Built
Rwanda,Southern Province,Nyaruguru,Kucyaruseke,RW127,2018,Complete,,-2.711764,29.557267,Suspended Bridge,79,B2P Built
Panama,Veraguas,Santa Fe District,El Macho,1007928,2018,Complete,253,8.003004,-81.438333,Suspension Bridge,30,B2P Built
Panama,Veraguas,San Francisco District,Los Cruces - Palmarito,1007945,2018,Complete,,8.292049,-81.102752,Suspension Bridge,88,B2P Built
Haiti,Grand'Anse,Jérémie,Chambellan,HT109,2017,Complete,30000,18.550083,-74.299444,Suspension Bridge,83.5,B2P Built
Bolivia,Chuquisaca,Azurduy,Tarvita,1009063,2018,Complete,600,-19.92513611,-64.48539167,Suspended Bridge,40.5,B2P Built
Haiti,Grand'Anse,Jérémie,Chameau,HT110,2017,Complete,45000,18.547792,-74.2586,Suspension Bridge,107,B2P Built
Rwanda,Southern Province,Nyamagabe,Rugeti,1007466,2020,Under Construction,4363,-2.473144,29.424983,Suspension Bridge,68,B2P Built
Rwanda,Southern Province,Huye,Karambi,1007374,2019,Complete,12500,-2.513333,29.612778,Suspension Bridge,50,B2P Built
Rwanda,Southern Province,Nyanza,Rugwa,1007525,2019,Complete,2015,-2.33,29.668889,Suspended Bridge,48,B2P Built
Rwanda,Kigali,Nyarugenge,Gatare,1007530,2019,Complete,2704,-1.94222222,30.03388889,Suspended Bridge,37,B2P Built
Rwanda,Southern Province,Nyaruguru,Rukarakara,1007535,2019,Complete,11283,-2.7761,29.464528,Suspended Bridge,58,B2P Built
Rwanda,Southern Province,Nyaruguru,Kabere,1007539,2019,Complete,6335,-2.697944,29.446917,Suspended Bridge,63,B2P Built
Rwanda,Southern Province,Nyanza,Uwarukara,1007506,2019,Complete,7000,-2.308722,29.604778,Suspension Bridge,70,B2P Built
Rwanda,Southern Province,Nyaruguru,Mutovu,1007569,2018,Complete,6000,-2.682306,29.481194,Suspension Bridge,45,B2P Built
Rwanda,Western Province,Nyamasheke,Kagarama,1007325,2018,Complete,,-2.322534,29.141944,Suspension Bridge,48,B2P Built
Rwanda,Southern Province,Ruhango,Gasyogogo,1007609,2019,Complete,2685,-2.161944,29.665556,Suspended Bridge,31,B2P Built
Nicaragua,Matagalpa,Matiguás,La Patriota - El Guabo,1009264,2018,Complete,2800,12.980534,-85.360809,Suspension Bridge,73,B2P Built
Bolivia,Chuquisaca,Azurduy,Duraznal,1009297,2018,Complete,550,-20.419044444,-64.40885556,Suspended Bridge,54,B2P Built
Nicaragua,Jinotega,San Sebastián de Yalí,Santa Maria,1009531,2018,Complete,10000,13.37444,-86.08694,Suspension Bridge,82.9,B2P Built
Nicaragua,Matagalpa,Matiguás,San Rafael,1009521,2018,Complete,1300,12.98279,-85.53758,Suspended Bridge,74,B2P Built
Bolivia,Cochabamba,Tapacarí,Tunas Vinto,1009522,2020,Under Construction,600,-17.529275,-66.547356,Suspension Bridge,85,B2P Built
Bolivia,Chuquisaca,Azurduy,Pampa Huasi,1009486,2018,Complete,1195,-19.689,-64.674894,Suspended Bridge,86,B2P Built
Nicaragua,Jinotega,Jinotega,Divino Niño,1009538,2018,Complete,9000,13.15866,-86.05991,Suspension Bridge,38,B2P Built
Rwanda,Western Province,Rubavu,Minigo,1009064,2018,Complete,,-1.692028,29.294444,Suspension Bridge,36,B2P Built
Rwanda,Western Province,Rubavu,Rukore,1009067,2018,Complete,,-1.746972,29.370611,Suspended Bridge,61.5,B2P Built
Rwanda,Western Province,Rubavu,Kazabe,1009068,2019,Complete,4100,-1.723639,29.366194,Suspension Bridge,46,B2P Built
Panama,Coclé,Penonomé District,Boca de Lura,1009730,2018,Complete,1177,8.787056,-80.343832,Suspended Bridge,51,B2P Built
Rwanda,Western Province,Ngororero,Nkuri,RW125,2018,Complete,5000,-1.922667,29.575833,Suspended Bridge,79,B2P Built
Rwanda,Western Province,Ngororero,Karehe,RW126,2018,Complete,8000,-1.971333,29.602778,Suspended Bridge,70,B2P Built
Bolivia,Potosí,,Quesimpuco,BO904,2008,Complete,5000,-18.540611,-66.034056,Suspended Bridge,107,B2P Supported
Bolivia,Cochabamba,Punata,Harrera Cancha,BO905,2012,Complete,500,-17.681989,-65.752938,Suspended Bridge,35,B2P Built
Bolivia,Cochabamba,Punata,Jardin Rancho,BO902,2012,Complete,3000,-17.526778,-65.843389,Suspended Bridge,35,B2P Built
Bolivia,Cochabamba,Quillacollo,Entre Rios,BO901,2012,Complete,700,-17.005472,-66.148444,Suspended Bridge,45,B2P Built
Bolivia,Cochabamba,Tiraque,Chaqui Cocha,BO906,2012,Complete,700,-17.390221,-65.794884,Suspended Bridge,67,B2P Built
Bolivia,Cochabamba,Narciso Campero,Chari Chari,BO903,2012,Complete,6100,-18.030694,-65.020306,Suspended Bridge,158,B2P Built
Bolivia,Cochabamba,Carrasco,Chullpas,BO101,2013,Complete,140,-17.705806,-65.014056,Suspended Bridge,30,B2P Built
Bolivia,Cochabamba,Carrasco,Palca,1002445,2013,Complete,2400,-17.703278,-64.977417,Suspended Bridge,30,B2P Built
Bolivia,Cochabamba,Carrasco,Copachunchu,1002446,2013,Complete,1000,-17.745889,-65.097278,Suspended Bridge,56,B2P Built
Bolivia,Cochabamba,Chapare,Avispas,BO107,2014,Complete,650,-17.029772,-65.549974,Suspended Bridge,30,B2P Built
Bolivia,Cochabamba,Quillacollo,Totolima,BO104,2014,Complete,600,-16.970222,-66.184167,Suspended Bridge,30,B2P Built
Bolivia,Cochabamba,Tapacarí,Challuma,BO101,2014,Complete,150,-17.716111,-66.579167,Suspended Bridge,36,B2P Built
Bolivia,La Paz,Bautista Saavedra,Quillavalla Charzani,BO102,2014,Complete,600,-15.198066,-69.008198,Suspended Bridge,45,B2P Built
Bolivia,La Paz,Inquisivi,Chungara,BO103,2014,Complete,650,-17.147134,-67.177541,Suspended Bridge,85,B2P Built
Bolivia,Cochabamba,Chapare,Chimore,BO110,2015,Complete,1500,-17.077778,-65.0625,Suspended Bridge,89,B2P Built
Bolivia,La Paz,Loayza,Samaca,BO112,2015,Complete,658,-16.916389,-67.693889,Suspended Bridge,95,B2P Built
Bolivia,La Paz,,Llapallapani,BO105,2015,Complete,350,-17.148333,-67.570278,Suspension Bridge,127,B2P Built
Bolivia,Cochabamba,Bolívar,Arco,BO114,2016,Complete,107,-17.984722,-66.718506,Suspended Bridge,24,B2P Built
Bolivia,Potosí,Nor Chichas,Calcha,BO118,2016,Complete,220,-20.368587,-65.460909,Suspended Bridge,50,B2P Supported
Bolivia,Cochabamba,Tiraque,Churo Alto,BO115,2016,Complete,200,-17.375464,-65.79117,Suspended Bridge,56,B2P Built
Bolivia,Cochabamba,Arque,Siquipampa,BO109,2016,Complete,150,-17.757111,-66.674222,Suspended Bridge,75,B2P Built
Bolivia,La Paz,Loayza,Yunguyo,BO106,2016,Complete,2000,-17.138528,-67.394028,Suspended Bridge,78,B2P Built
Bolivia,La Paz,Loayza,Chiaraque,BO117,2016,Complete,220,-17.198444,-67.355789,Suspended Bridge,96,B2P Built
Bolivia,Cochabamba,Chapare,10 de Julio,BO125,2017,Complete,3500,-16.846317,-65.34655,Suspended Bridge,35,B2P Built
Bolivia,Cochabamba,Chapare,11 de Noviembre,BO123,2017,Complete,47,-16.91637,-65.60368,Suspended Bridge,50,B2P Built
Bolivia,Cochabamba,Bolívar,Coiyuma,BO113,2017,Complete,60,-18.089697,-66.745031,Suspended Bridge,75,B2P Built
Bolivia,La Paz,Loayza,Challoma Chico,BO127,2017,Complete,455,-17.172917,-67.482083,Suspended Bridge,48,B2P Built
Colombia,,,La Guaya,GO107,2016,Complete,120,5.073583,-73.396222,Suspension Bridge,58,B2P Built
El Salvador,,,Cuisnahuat (Las Montes),SV903,2009,Complete,500,13.608222,-89.648194,Simple Span Bridge,9,B2P Built
El Salvador,,,Corinto,SV902,2009,Complete,500,13.689444,-89.715361,Suspended Bridge,40,B2P Built
El Salvador,,,Trincheras,SV901,2009,Complete,200,13.719,-89.604139,Suspended Bridge,48,B2P Built
