Ranking,Location,Year,Average,Median,Lower,Upper
164,Fiji,2019,11,9.9,3.7,25
164,Samoa,2019,11,9.8,3.2,25.9
166,Maldives,2019,10.9,10.8,8.7,13.8
167,Tonga,2019,10.6,9.5,3.6,23
168,Micronesia (Federated States of),2019,10.4,9.4,3.4,22.3
168,Lithuania,2019,10.4,10.3,9.2,11.6
170,Luxembourg,2019,10.1,10.1,9.4,10.7
170,United Kingdom,2019,10.1,10.1,9.7,10.5
172,Switzerland,2019,9.9,9.9,9.6,10.2
173,Denmark,2019,9.8,9.8,8.9,10.8
174,Spain,2019,9.7,9.7,9.5,10
175,Kiribati,2019,9.5,8.5,3.4,20.7
175,Uruguay,2019,9.5,9.4,7.3,12.4
177,Andorra,2019,9.1,9,7.9,10.4
178,Marshall Islands,2019,9,8.4,3.7,17.6
178,United States Virgin Islands,2019,9,8.9,7.2,11.1
180,Portugal,2019,8.3,8.3,8,8.6
181,Guam,2019,8.2,8.1,6,11
182,Ireland,2019,7.9,7.8,7.3,8.4
183,Brunei Darussalam,2019,7.7,7.6,5.9,9.9
183,United States of America,2019,7.7,7.7,7.5,7.8
185,Canada,2019,7.1,7.1,6.9,7.3
185,Bermuda,2019,7.1,6.9,5,9.8
187,Puerto Rico,2019,6.9,6.8,5.7,8.1
188,Australia,2019,6.7,6.7,5.5,8.4
189,Australasia,2019,6.6,6.6,5.5,8.1
189,Norway,2019,6.6,6.6,6.2,7.1
191,Greenland,2019,6.5,6.1,3.5,11.7
192,American Samoa,2019,6.3,6,3.7,10.4
193,New Zealand,2019,6,6,5.1,7.1
194,Estonia,2019,5.9,5.9,5.2,6.7
195,Iceland,2019,5.7,5.7,5.1,6.4
196,Finland,2019,5.6,5.6,5.3,5.9
196,Sweden,2019,5.6,5.6,5.3,6
