Rank,Country,Population (2020)
1, China,"1,439,323,774"
2, India,"1,380,004,385"
3, U.S.,"331,002,647"
4, Indonesia,"273,523,621"
5, Pakistan,"220,892,331"
6, Brazil,"212,559,409"
7, Nigeria,"206,139,587"
8, Bangladesh,"164,689,383"
9, Russian Federation,"145,934,460"
10, Mexico,"128,932,753"
11, Japan,"126,476,458"
12, Ethiopia,"114,963,583"
13, Philippines,"109,581,085"
14, Egypt,"102,334,403"
15, Vietnam,"97,338,583"
16, D.R. Congo,"89,561,404"
17, Turkey,"84,339,067"
18, Iran,"83,992,953"
19, Germany,"83,783,945"
20, Thailand,"69,799,978"
21, United Kingdom,"67,886,004"
22, France,"65,273,512"
23, Italy,"60,461,828"
24, Tanzania,"59,734,213"
25, South Africa,"59,308,690"
26, Myanmar,"54,409,794"
27,Kenya,"53,771,300"
28, Republic of Korea,"51,269,183"
29, Colombia,"50,882,884"
30, Spain,"46,754,783"
31, Uganda,"45,741,000"
32, Argentina,"45,195,777"
33, Algeria,"43,851,043"
34, Sudan,"43,849,269"
35, Ukraine,"43,733,759"
36, Iraq,"40,222,503"
37, Afghanistan,"38,928,341"
38, Poland,"37,846,605"
39, Canada,"37,742,157"
40, Morocco,"36,910,558"
41, Saudi Arabia,"34,813,867"
42, Uzbekistan,"33,469,199"
43, Peru,"32,971,846"
44, Angola,"32,866,268"
45, Malaysia,"32,365,998"
46, Mozambique,"31,255,435"
47, Ghana,"31,072,945"
48, Yemen,"29,825,968"
49, Nepal,"29,136,808"
50, Venezuela,"28,435,943"
