TerminalID,ProjectID,ComboID,Facility,Country,Region,Wiki,Name,Other Names,Owner,Status,StartYear1,StartYear2,StartYear3,StopYear,Capacity,Capacity Unit,mtpa,Location,Prefecture/District,State/Province,Latitude,Longitude,Accuracy,Floating,Pre-FID,FID Year
T0210,3,T02103,Export,USA,North America,https://www.gem.wiki/Annova_LNG_Brownsville_Terminal,Annova LNG Brownsville Terminal T3,,"Exelon Corporation, 80.55%, Enbridge, 10.50%, Kiewit Corporation, 4.48%, Black & Veatch Holding Company, 4.48%",Cancelled,2025,,,2021,1.08,mtpa,1.08,Brownsville,,Texas,25.950835,-97.410844,approximate,no,Pre-FID,2021
T0210,4,T02104,Export,USA,North America,https://www.gem.wiki/Annova_LNG_Brownsville_Terminal,Annova LNG Brownsville Terminal T4,,"Exelon Corporation, 80.55%, Enbridge, 10.50%, Kiewit Corporation, 4.48%, Black & Veatch Holding Company, 4.48%",Cancelled,2025,,,2021,1.08,mtpa,1.08,Brownsville,,Texas,25.950835,-97.410844,approximate,no,Pre-FID,2021
T0210,5,T02105,Export,USA,North America,https://www.gem.wiki/Annova_LNG_Brownsville_Terminal,Annova LNG Brownsville Terminal T5,,"Exelon Corporation, 80.55%, Enbridge, 10.50%, Kiewit Corporation, 4.48%, Black & Veatch Holding Company, 4.48%",Cancelled,2025,,,2021,1.08,mtpa,1.08,Brownsville,,Texas,25.950835,-97.410844,approximate,no,Pre-FID,2021
T0210,6,T02106,Export,USA,North America,https://www.gem.wiki/Annova_LNG_Brownsville_Terminal,Annova LNG Brownsville Terminal T6,,"Exelon Corporation, 80.55%, Enbridge, 10.50%, Kiewit Corporation, 4.48%, Black & Veatch Holding Company, 4.48%",Cancelled,2025,,,2021,1.08,mtpa,1.08,Brownsville,,Texas,25.950835,-97.410844,approximate,no,Pre-FID,2021
T0212,1,T02121,Export,USA,North America,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal T1,,"Venture Global LNG, 100.00%",Construction,2023,,,,1.00,mtpa,1.00,Cameron Parish,,Louisiana,29.8191125,-93.3294677,approximate,no,,
T0212,10,T021210,Export,USA,North America,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal T10,,,Construction,2024,,,,1.00,mtpa,1.00,Cameron Parish,,Louisiana,29.8191125,-93.3294677,approximate,no,,
T0212,2,T02122,Export,USA,North America,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal T2,,"Venture Global LNG, 100.00%",Construction,2023,,,,1.00,mtpa,1.00,Cameron Parish,,Louisiana,29.8191125,-93.3294677,approximate,no,,
T0212,3,T02123,Export,USA,North America,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal T3,,"Venture Global LNG, 100.00%",Construction,2023,,,,1.00,mtpa,1.00,Cameron Parish,,Louisiana,29.8191125,-93.3294677,approximate,no,,
T0212,4,T02124,Export,USA,North America,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal T4,,"Venture Global LNG, 100.00%",Construction,2023,,,,1.00,mtpa,1.00,Cameron Parish,,Louisiana,29.8191125,-93.3294677,approximate,no,,
T0212,5,T02125,Export,USA,North America,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal T5,,"Venture Global LNG, 100.00%",Construction,2023,,,,1.00,mtpa,1.00,Cameron Parish,,Louisiana,29.8191125,-93.3294677,approximate,no,,
T0212,6,T02126,Export,USA,North America,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal T6,,"Venture Global LNG, 100.00%",Construction,2024,,,,1.00,mtpa,1.00,Cameron Parish,,Louisiana,29.8191125,-93.3294677,approximate,no,,
T0212,7,T02127,Export,USA,North America,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal T7,,"Venture Global LNG, 100.00%",Construction,2024,,,,1.00,mtpa,1.00,Cameron Parish,,Louisiana,29.8191125,-93.3294677,approximate,no,,
T0212,8,T02128,Export,USA,North America,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal T8,,"Venture Global LNG, 100.00%",Construction,2024,,,,1.00,mtpa,1.00,Cameron Parish,,Louisiana,29.8191125,-93.3294677,approximate,no,,
T0212,9,T02129,Export,USA,North America,https://www.gem.wiki/Calcasieu_Pass_LNG_Terminal,Calcasieu Pass LNG Terminal T9,,"Venture Global LNG, 100.00%",Construction,2024,,,,1.00,mtpa,1.00,Cameron Parish,,Louisiana,29.8191125,-93.3294677,approximate,no,,
T0213,1,T02131,Export,USA,North America,https://www.gem.wiki/CE_FLNG_Terminal,CE FLNG Terminal T1,,Cambridge Energy Group,Proposed,2026,,,,4.00,mtpa,4.00,Plaquemines Parish,,Louisiana,29.39,-89.48,approximate,yes,,
T0213,2,T02132,Export,USA,North America,https://www.gem.wiki/CE_FLNG_Terminal,CE FLNG Terminal T2,,Cambridge Energy Group,Proposed,2026,,,,4.00,mtpa,4.00,Plaquemines Parish,,Louisiana,29.39,-89.48,approximate,yes,,
