project,owner,status,countries,type,geom,pci,capacity,capacity_unit,lat,lng,route,url
Escombreras Iberdrola power station 6,Iberdrola SA,operating,Spain,Gas Power Plant,point,,816,MW,37.5647,-0.9513,,https://www.gem.wiki/Escombreras_Iberdrola_power_station
Enercrisa power station,"Enercrisa, S.A.",operating,Spain,Gas Power Plant,point,,21,MW,42.4839,-3.1508,,https://www.gem.wiki/Enercrisa_power_station
Grangemouth power station 1,Ineos,operating,United Kingdom,Gas Power Plant,point,,145,MW,56.01,-3.692,,https://www.gem.wiki/Grangemouth_power_station
Grangemouth power station NEP,Ineos,proposed,United Kingdom,Gas Power Plant,point,,35,MW,56.01,-3.692,,https://www.gem.wiki/Grangemouth_power_station
Helmond power station I,Essent NV,operating,Netherlands,Gas Power Plant,point,,24.25,MW,51.4737,5.5832,,https://www.gem.wiki/Helmond_power_station
Helmond power station II,Essent NV,operating,Netherlands,Gas Power Plant,point,,25.33,MW,51.4737,5.5832,,https://www.gem.wiki/Helmond_power_station
Helmond Promest Vkc power station,Essent NV,operating,Netherlands,Gas Power Plant,point,,34,MW,51.4737,5.5832,,https://www.gem.wiki/Helmond_Promest_Vkc_power_station
Eindhoven Phillips power station GT 1,Essent NV,operating,Netherlands,Gas Power Plant,point,,41.5,MW,51.4486,5.3815,,https://www.gem.wiki/Eindhoven_Phillips_power_station
Torino Nord power station,Iren Energia SpA,operating,Italy,Gas Power Plant,point,,395,MW,45.1038,7.6131,,https://www.gem.wiki/Torino_Nord_power_station
Turbigo power station,Iren Energia SpA,operating,Italy,Gas Power Plant,point,,800,MW,45.5205,8.7413,,https://www.gem.wiki/Turbigo_power_station
Karatzis Larissa power station,KEN electricity company,proposed,Greece,Gas Power Plant,point,,665,MW,39.6311,22.3891,,https://www.gem.wiki/Karatzis_Larissa_power_station
Huta Miedzi Glogow power station,Kghm Energetyka Sp z.o.o.,operating,Poland,Gas Power Plant,point,,45,MW,51.6867,15.9703,,https://www.gem.wiki/Huta_Miedzi_Glogow_power_station
Herne-6 power station CC,STEAG GmbH,proposed,Germany,Gas Power Plant,point,,400,MW,51.5369,7.2009,,https://www.gem.wiki/Herne-6_power_station
Leverkusen Currenta power station CC,Steag GmbH,proposed,Germany,Gas Power Plant,point,,570,MW,51.0459,7.0192,,https://www.gem.wiki/Leverkusen_Currenta_power_station
Hinkismäki power station,KSS Energia Oy,operating,Finland,Gas Power Plant,point,,45,MW,60.8719,26.7014,,https://www.gem.wiki/Hinkismäki_power_station
Kyjov CHP power station,Teplarna Kyjov AS,operating,Czechia,Gas Power Plant,point,,23,MW,49.0046,17.1288,,https://www.gem.wiki/Kyjov_CHP_power_station
Riga-2 power station 1,Latvenergo AS,operating,Latvia,Gas Power Plant,point,,441,MW,56.918,24.2766,,https://www.gem.wiki/Riga-2_power_station
Riga-2 power station 2,Latvenergo AS,operating,Latvia,Gas Power Plant,point,,440,MW,56.918,24.2766,,https://www.gem.wiki/Riga-2_power_station
Riga-1 power station,Latvenergo AS,operating,Latvia,Gas Power Plant,point,,144,MW,56.9904,24.1788,,https://www.gem.wiki/Riga-1_power_station
Sant Joan Mill power station CC,Torraspapel SA,operating,Spain,Gas Power Plant,point,,25,MW,42.215,2.5151,,https://www.gem.wiki/Sant_Joan_Mill_power_station
Nokia kombi power station,Leppäkosken Sähkö Oy,operating,Finland,Gas Power Plant,point,,72,MW,61.4743,23.4966,,https://www.gem.wiki/Nokia_kombi_power_station
Lietuvos power station TG-7,Lietuvos Elektrinė,operating,Lithuania,Gas Power Plant,point,,300,MW,54.7701,24.6474,,https://www.gem.wiki/Lietuvos_power_station
Lietuvos power station TG-8,Lietuvos Elektrinė,operating,Lithuania,Gas Power Plant,point,,300,MW,54.7701,24.6474,,https://www.gem.wiki/Lietuvos_power_station
Lietuvos power station TG-9,Lietuvos Elektrinė,operating,Lithuania,Gas Power Plant,point,,445,MW,54.7701,24.6474,,https://www.gem.wiki/Lietuvos_power_station
Linz Mitte power station 1a,LINZ GAS/WÄRME GmbH,operating,Austria,Gas Power Plant,point,,103,MW,48.2992,14.3229,,https://www.gem.wiki/Linz_Mitte_power_station
Linz Mitte power station 1b,LINZ GAS/WÄRME GmbH,operating,Austria,Gas Power Plant,point,,114,MW,48.2992,14.3229,,https://www.gem.wiki/Linz_Mitte_power_station
Linz Süd power station 1 & 2,LINZ GAS/WÄRME GmbH,operating,Austria,Gas Power Plant,point,,172,MW,48.2679,14.3469,,https://www.gem.wiki/Linz_Süd_power_station
Baglan Bay power station 1,Calon Energy,operating,United Kingdom,Gas Power Plant,point,,520,MW,51.6155,-3.8346,,https://www.gem.wiki/Baglan_Bay_power_station
Baglan Bay power station 2,Calon Energy,operating,United Kingdom,Gas Power Plant,point,,32,MW,51.6155,-3.8346,,https://www.gem.wiki/Baglan_Bay_power_station
Severn power station 10,Calon Energy,operating,United Kingdom,Gas Power Plant,point,,425,MW,51.5475,-2.975,,https://www.gem.wiki/Severn_power_station
Severn power station 20,Calon Energy,operating,United Kingdom,Gas Power Plant,point,,425,MW,51.5475,-2.975,,https://www.gem.wiki/Severn_power_station
Sutton Bridge power station,Calon Energy,operating,United Kingdom,Gas Power Plant,point,,819,MW,52.7571,0.1919,,https://www.gem.wiki/Sutton_Bridge_power_station
Ajka power station 1,MVM GTER Gázturbinás Erőmű Zártkörűen Működő Részvénytársaság,operating,Hungary,Gas Power Plant,point,,57,MW,47.095,17.556,,https://www.gem.wiki/Ajka_power_station
Ajka power station 2,MVM GTER Gázturbinás Erőmű Zártkörűen Működő Részvénytársaság,operating,Hungary,Gas Power Plant,point,,57,MW,47.095,17.556,,https://www.gem.wiki/Ajka_power_station
Liter power station,MVM GTER Gázturbinás Erőmű Zártkörűen Működő Részvénytársaság,operating,Hungary,Gas Power Plant,point,,120,MW,47.1075,18.0143,,https://www.gem.wiki/Liter_power_station
Sajoszoged power station,MVM GTER Gázturbinás Erőmű Zártkörűen Működő Részvénytársaság,operating,Hungary,Gas Power Plant,point,,155,MW,47.94,20.968,,https://www.gem.wiki/Sajoszoged_power_station
Dunamenti power station G14 & G15,MET Asset Management AG,operating,Hungary,Gas Power Plant,point,,297,MW,47.3283,18.9169,,https://www.gem.wiki/Dunamenti_power_station
Dunamenti power station G7 & G8,MET Asset Management AG,operating,Hungary,Gas Power Plant,point,,401,MW,47.3283,18.9169,,https://www.gem.wiki/Dunamenti_power_station
Miskolc Hold power station,MVM MIFŰ Miskolc Heating Plant Ltd,operating,Hungary,Gas Power Plant,point,,40,MW,48.0949,20.7473,,https://www.gem.wiki/Miskolc_Hold_power_station
Korinthos Power Station,Korinthos Power,operating,Greece,Gas Power Plant,point,,433,MW,37.9208,23.0665,,https://www.gem.wiki/Korinthos_Power_Station
Aliveri power station,METKA,operating,Greece,Gas Power Plant,point,,417,MW,38.3896,24.0524,,https://www.gem.wiki/Aliveri_power_station
Lavrio power station 4,METKA,operating,Greece,Gas Power Plant,point,,550,MW,37.7463,24.0666,,https://www.gem.wiki/Lavrio_power_station
Lavrio power station 5,METKA,operating,Greece,Gas Power Plant,point,,378,MW,37.7463,24.0666,,https://www.gem.wiki/Lavrio_power_station
Agios Nikolaos Power Station,Mytilineos Group,operating,Greece,Gas Power Plant,point,,432,MW,38.3585,22.6883,,https://www.gem.wiki/Agios_Nikolaos_Power_Station
Agios Nikolaos Power Station,Mytilineos Group,operating,Greece,Gas Power Plant,point,,334,MW,38.3585,22.6883,,https://www.gem.wiki/Agios_Nikolaos_Power_Station
Agios Nikolaos Power Station,Mytilineos Group,proposed,Greece,Gas Power Plant,point,,650,MW,38.3585,22.6883,,https://www.gem.wiki/Agios_Nikolaos_Power_Station
Enecogen power station U10,Eneco Energy and Dong Energy,operating,Netherlands,Gas Power Plant,point,,422,MW,51.957,4.0916,,https://www.gem.wiki/Enecogen_power_station
Enecogen power station U20,Eneco Energy and Dong Energy,operating,Netherlands,Gas Power Plant,point,,422,MW,51.957,4.0916,,https://www.gem.wiki/Enecogen_power_station
Aceca 4 power station,Naturgy Energy Group SA,operating,Spain,Gas Power Plant,point,,373,MW,39.9427,-3.8548,,https://www.gem.wiki/Aceca_4_power_station
Besós 4 power station,Naturgy Energy Group SA,operating,Spain,Gas Power Plant,point,,400,MW,41.4185,2.2286,,https://www.gem.wiki/Besós_4_power_station
Cartagena (Escombreras) power station 1,Naturgy Energy Group SA,operating,Spain,Gas Power Plant,point,,418.2,MW,37.5727,-0.9384,,https://www.gem.wiki/Cartagena_(Escombreras)_power_station
Cartagena (Escombreras) power station 2,Naturgy Energy Group SA,operating,Spain,Gas Power Plant,point,,417.8,MW,37.5727,-0.9384,,https://www.gem.wiki/Cartagena_(Escombreras)_power_station
Cartagena (Escombreras) power station 3,Naturgy Energy Group SA,operating,Spain,Gas Power Plant,point,,412.7,MW,37.5727,-0.9384,,https://www.gem.wiki/Cartagena_(Escombreras)_power_station
Málaga power station 1,Naturgy Energy Group SA,operating,Spain,Gas Power Plant,point,,416,MW,36.7495,-4.5631,,https://www.gem.wiki/Málaga_power_station
Palos power station 1,Naturgy Energy Group SA,operating,Spain,Gas Power Plant,point,,386.7,MW,37.1845,-6.8928,,https://www.gem.wiki/Palos_power_station
Palos power station 2,Naturgy Energy Group SA,operating,Spain,Gas Power Plant,point,,389.1,MW,37.1845,-6.8928,,https://www.gem.wiki/Palos_power_station
Palos power station 3,Naturgy Energy Group SA,operating,Spain,Gas Power Plant,point,,391,MW,37.1845,-6.8928,,https://www.gem.wiki/Palos_power_station
Puerto De Barcelona power station 1,Naturgy Energy Group SA,operating,Spain,Gas Power Plant,point,,434.8,MW,41.3366,2.1594,,https://www.gem.wiki/Puerto_De_Barcelona_power_station
Puerto De Barcelona power station 2,Naturgy Energy Group SA,operating,Spain,Gas Power Plant,point,,431.4,MW,41.3366,2.1594,,https://www.gem.wiki/Puerto_De_Barcelona_power_station
Sabón 3 power station,Naturgy Energy Group SA,operating,Spain,Gas Power Plant,point,,391,MW,43.329,-8.503,,https://www.gem.wiki/Sabón_3_power_station
Sagunto power station 1,Naturgy Energy Group SA,operating,Spain,Gas Power Plant,point,,409.7,MW,39.6425,-0.2332,,https://www.gem.wiki/Sagunto_power_station
Sagunto power station 2,Naturgy Energy Group SA,operating,Spain,Gas Power Plant,point,,411.8,MW,39.6425,-0.2332,,https://www.gem.wiki/Sagunto_power_station
Sagunto power station 3,Naturgy Energy Group SA,operating,Spain,Gas Power Plant,point,,410.6,MW,39.6425,-0.2332,,https://www.gem.wiki/Sagunto_power_station
Parenco Paper Mill power station GT 1,Norske Skogindustrier As,operating,Netherlands,Gas Power Plant,point,,24,MW,51.9715,5.7296,,https://www.gem.wiki/Parenco_Paper_Mill_power_station
Hillhouse Enterprise Zone Power Station CC 1,Wyre Power Ltd,proposed,United Kingdom,Gas Power Plant,point,,900,MW,53.8737,-3.0214,,https://www.gem.wiki/Hillhouse_Enterprise_Zone_Power_Station
Petrom Brazi power station CC,OVM Petrom,operating,Romania,Gas Power Plant,point,,850,MW,44.864,26.019,,https://www.gem.wiki/Petrom_Brazi_power_station
Ängelholm power station,Oresundskraft AB,operating,Sweden,Gas Power Plant,point,,27.8,MW,56.248,12.8998,,https://www.gem.wiki/Ängelholm_power_station
Vasthamnsverket power station,Oresundskraft AB,operating,Sweden,Gas Power Plant,point,,54,MW,56.0339,12.6939,,https://www.gem.wiki/Vasthamnsverket_power_station
H.C. Ørsted power station,Ørsted A/S,operating,Denmark,Gas Power Plant,point,,67,MW,55.6569,12.557,,https://www.gem.wiki/H.C._Ørsted_power_station
Panevėžys power station,Panevėžio energija AB,operating,Lithuania,Gas Power Plant,point,,35,MW,55.7468,24.3832,,https://www.gem.wiki/Panevėžys_power_station
Petrokemija Kutina power station,PETROKEMIJA D.D.,operating,Croatia,Gas Power Plant,point,,35,MW,45.4713,16.7923,,https://www.gem.wiki/Petrokemija_Kutina_power_station
Rybnik power station CC,Pge Energia Ciepla S.A.,proposed,Poland,Gas Power Plant,point,,700,MW,50.1341,18.522,,https://www.gem.wiki/Rybnik_power_station
Dolna Odra power station CC 1,PGE Zespol Elek Dolna Odra S.A.,proposed,Poland,Gas Power Plant,point,,717,MW,53.2078,14.4672,,https://www.gem.wiki/Dolna_Odra_power_station
Dolna Odra power station CC 2,PGE Zespol Elek Dolna Odra S.A.,proposed,Poland,Gas Power Plant,point,,717,MW,53.2078,14.4672,,https://www.gem.wiki/Dolna_Odra_power_station
Bydgoszcz power station IV,PGE Energia Ciepła SA,proposed,Poland,Gas Power Plant,point,,52,MW,53.099,18.0882,,https://www.gem.wiki/Bydgoszcz_power_station
Gorzow power station EC I,PGE Energia Ciepła SA,operating,Poland,Gas Power Plant,point,,66,MW,52.7504,15.2712,,https://www.gem.wiki/Gorzow_power_station
Gorzow power station EC III,PGE Energia Ciepła SA,operating,Poland,Gas Power Plant,point,,138,MW,52.7504,15.2712,,https://www.gem.wiki/Gorzow_power_station
Wrotków power station B1,PGE Energia Ciepła SA,operating,Poland,Gas Power Plant,point,,231,MW,51.2161,22.5583,,https://www.gem.wiki/Wrotków_power_station
Rzeszow power station,PGE Polska Grupa Energetyczna S.A.,operating,Poland,Gas Power Plant,point,,101,MW,50.0646,22.0294,,https://www.gem.wiki/Rzeszow_power_station
Siechnice power station,PGE Polska Grupa Energetyczna S.A.,proposed,Poland,Gas Power Plant,point,,110,MW,51.0379,17.1509,,https://www.gem.wiki/Siechnice_power_station
Toruń power station GT 1 & GT 2,PGE Polska Grupa Energetyczna S.A.,operating,Poland,Gas Power Plant,point,,101,MW,53.0475,18.6932,,https://www.gem.wiki/Toruń_power_station
Zielona Góra power station New,PGE Polska Grupa Energetyczna S.A.,proposed,Poland,Gas Power Plant,point,,30,MW,51.9514,15.4879,,https://www.gem.wiki/Zielona_Góra_power_station
Zielona Góra power station TGG,PGE Polska Grupa Energetyczna S.A.,operating,Poland,Gas Power Plant,point,,198,MW,51.9514,15.4879,,https://www.gem.wiki/Zielona_Góra_power_station
Wierzchowice Ugs power station,PGNiG S.A.,operating,Poland,Gas Power Plant,point,,40,MW,51.481,17.3222,,https://www.gem.wiki/Wierzchowice_Ugs_power_station
Zeran power station 13 CC,Pgnig Termika S.A.,construction,Poland,Gas Power Plant,point,,490,MW,52.2947,20.9933,,https://www.gem.wiki/Zeran_power_station
Stalowa Wola power station CC,Elektrocieplownia Stalowa Wola,construction,Poland,Gas Power Plant,point,,450,MW,50.5539,22.0791,,https://www.gem.wiki/Stalowa_Wola_power_station
T-power Beringen power station,T-Power,operating,Belgium,Gas Power Plant,point,,422,MW,51.0586,5.1056,,https://www.gem.wiki/T-power_Beringen_power_station
Neftochim Refinery power station 1,LUKOIL Neftohim Burgas AD,operating,Bulgaria,Gas Power Plant,point,,25,MW,42.5413,27.3388,,https://www.gem.wiki/Neftochim_Refinery_power_station
Neftochim Refinery power station 2R,LUKOIL Neftohim Burgas AD,operating,Bulgaria,Gas Power Plant,point,,65,MW,42.5413,27.3388,,https://www.gem.wiki/Neftochim_Refinery_power_station
Neftochim Refinery power station 3,LUKOIL Neftohim Burgas AD,operating,Bulgaria,Gas Power Plant,point,,63,MW,42.5413,27.3388,,https://www.gem.wiki/Neftochim_Refinery_power_station
Neftochim Refinery power station 4,LUKOIL Neftohim Burgas AD,operating,Bulgaria,Gas Power Plant,point,,63,MW,42.5413,27.3388,,https://www.gem.wiki/Neftochim_Refinery_power_station
PPC Bratislava power station,PPC Energy,operating,Slovakia,Gas Power Plant,point,,58,MW,48.1774,17.154,,https://www.gem.wiki/PPC_Bratislava_power_station
Genfibre Cogeneration power station,"Montefibre Hispania, S.A.",operating,Spain,Gas Power Plant,point,,49,MW,42.6809,-2.9261,,https://www.gem.wiki/Genfibre_Cogeneration_power_station
Alexandroupolis Industrial Area power station,Copelouzos group,proposed,Greece,Gas Power Plant,point,,650,MW,40.8492,25.8578,,https://www.gem.wiki/Alexandroupolis_Industrial_Area_power_station
Kotomini power station,Public Power Corporation S.A.,operating,Greece,Gas Power Plant,point,,476,MW,41.0646,25.4899,,https://www.gem.wiki/Kotomini_power_station
Fellside CHP power station,Fellside Heat and Power,operating,United Kingdom,Gas Power Plant,point,,155,MW,54.4184,-3.4883,,https://www.gem.wiki/Fellside_CHP_power_station
Milazzo power station,Termica Milazzo Srl,operating,Italy,Gas Power Plant,point,,145,MW,38.1978,15.2676,,https://www.gem.wiki/Milazzo_power_station
Teverola power station,SET sp,operating,Italy,Gas Power Plant,point,,404,MW,41.0092,14.2286,,https://www.gem.wiki/Teverola_power_station
Sines Polimeros power station,Repsol Polimeros,operating,Portugal,Gas Power Plant,point,,43,MW,37.9583,-8.8048,,https://www.gem.wiki/Sines_Polimeros_power_station
Algeciras 3 power station,Repsol SA,operating,Spain,Gas Power Plant,point,,821,MW,36.1829,-5.3905,,https://www.gem.wiki/Algeciras_3_power_station
Escatrón 3 power station,Repsol SA,operating,Spain,Gas Power Plant,point,,804,MW,41.2977,-0.3376,,https://www.gem.wiki/Escatrón_3_power_station
Romgaz Mintia power station CC,Romgaz,proposed,Romania,Gas Power Plant,point,,500,MW,45.9179,22.8475,,https://www.gem.wiki/Romgaz_Mintia_power_station
Cassano Spinola power station,Roquette Italia SpA,operating,Italy,Gas Power Plant,point,,50,MW,44.7605,8.8553,,https://www.gem.wiki/Cassano_Spinola_power_station
Klundert power station,Shell Nederland Chemie BV,operating,Netherlands,Gas Power Plant,point,,37,MW,51.6832,4.568,,https://www.gem.wiki/Klundert_power_station
Pernis Refinery power station CC,Shell Nederland Raffinaderij,operating,Netherlands,Gas Power Plant,point,,126,MW,51.881,4.3376,,https://www.gem.wiki/Pernis_Refinery_power_station
Pernis Refinery power station GT 1,Shell Nederland Raffinaderij,operating,Netherlands,Gas Power Plant,point,,32.57,MW,51.881,4.3376,,https://www.gem.wiki/Pernis_Refinery_power_station
Pernis Refinery power station GT 2,Shell Nederland Raffinaderij,operating,Netherlands,Gas Power Plant,point,,51.1,MW,51.881,4.3376,,https://www.gem.wiki/Pernis_Refinery_power_station
Pernis Refinery power station GT 3,Shell Nederland Raffinaderij,operating,Netherlands,Gas Power Plant,point,,20.755,MW,51.881,4.3376,,https://www.gem.wiki/Pernis_Refinery_power_station
Donge power station,RWE,operating,Netherlands,Gas Power Plant,point,,117.5,MW,51.6959,4.8476,,https://www.gem.wiki/Donge_power_station
Swentibold power station,RWE AG,operating,Netherlands,Gas Power Plant,point,,231,MW,50.9721,5.7911,,https://www.gem.wiki/Swentibold_power_station
Moerdijk power station 1,RWE Generation NL BV,operating,Netherlands,Gas Power Plant,point,,348,MW,51.6851,4.5809,,https://www.gem.wiki/Moerdijk_power_station
Moerdijk power station 2,RWE Generation NL BV,operating,Netherlands,Gas Power Plant,point,,418,MW,51.6851,4.5809,,https://www.gem.wiki/Moerdijk_power_station
Gersteinwerk power station F1,RWE Generation SE,operating,Germany,Gas Power Plant,point,,55,MW,51.6725,7.7099,,https://www.gem.wiki/Gersteinwerk_power_station
Gersteinwerk power station G1,RWE Generation SE,operating,Germany,Gas Power Plant,point,,55,MW,51.6725,7.7099,,https://www.gem.wiki/Gersteinwerk_power_station
Gersteinwerk power station G2,RWE Generation SE,operating,Germany,Gas Power Plant,point,,355,MW,51.6725,7.7099,,https://www.gem.wiki/Gersteinwerk_power_station
Gersteinwerk power station I1,RWE Generation SE,operating,Germany,Gas Power Plant,point,,55,MW,51.6725,7.7099,,https://www.gem.wiki/Gersteinwerk_power_station
Gersteinwerk power station K1,RWE Generation SE,operating,Germany,Gas Power Plant,point,,112,MW,51.6725,7.7099,,https://www.gem.wiki/Gersteinwerk_power_station
Dormagen power station,RWE Generation SE,operating,Germany,Gas Power Plant,point,,586,MW,51.0791,6.8287,,https://www.gem.wiki/Dormagen_power_station
Emsland power station B1,RWE Generation SE,operating,Germany,Gas Power Plant,point,,116,MW,52.4819,7.3067,,https://www.gem.wiki/Emsland_power_station
Emsland power station B2,RWE Generation SE,operating,Germany,Gas Power Plant,point,,359,MW,52.4819,7.3067,,https://www.gem.wiki/Emsland_power_station
Emsland power station C1,RWE Generation SE,operating,Germany,Gas Power Plant,point,,116,MW,52.4819,7.3067,,https://www.gem.wiki/Emsland_power_station
Emsland power station C2,RWE Generation SE,operating,Germany,Gas Power Plant,point,,359,MW,52.4819,7.3067,,https://www.gem.wiki/Emsland_power_station
Emsland power station D,RWE Generation SE,operating,Germany,Gas Power Plant,point,,887,MW,52.4819,7.3067,,https://www.gem.wiki/Emsland_power_station
Didcot B power station 5,RWE Generation UK plc,operating,United Kingdom,Gas Power Plant,point,,780,MW,51.6246,-1.2683,,https://www.gem.wiki/Didcot_B_power_station
Didcot B power station 6,RWE Generation UK plc,operating,United Kingdom,Gas Power Plant,point,,710,MW,51.6246,-1.2683,,https://www.gem.wiki/Didcot_B_power_station
Great Yarmouth power station,RWE Generation UK plc,operating,United Kingdom,Gas Power Plant,point,,420,MW,52.5839,1.7338,,https://www.gem.wiki/Great_Yarmouth_power_station
Little Barford power station 1,RWE Generation UK plc,operating,United Kingdom,Gas Power Plant,point,,735,MW,52.2053,-0.2668,,https://www.gem.wiki/Little_Barford_power_station
Pembroke power station 11,RWE Generation UK plc,operating,United Kingdom,Gas Power Plant,point,,465,MW,51.6844,-4.9967,,https://www.gem.wiki/Pembroke_power_station
Pembroke power station 21,RWE Generation UK plc,operating,United Kingdom,Gas Power Plant,point,,465,MW,51.6844,-4.9967,,https://www.gem.wiki/Pembroke_power_station
Pembroke power station 31,RWE Generation UK plc,operating,United Kingdom,Gas Power Plant,point,,465,MW,51.6844,-4.9967,,https://www.gem.wiki/Pembroke_power_station
Pembroke power station 41,RWE Generation UK plc,operating,United Kingdom,Gas Power Plant,point,,445,MW,51.6844,-4.9967,,https://www.gem.wiki/Pembroke_power_station
Pembroke power station 51,RWE Generation UK plc,operating,United Kingdom,Gas Power Plant,point,,465,MW,51.6844,-4.9967,,https://www.gem.wiki/Pembroke_power_station
Staythorpe C power station 1,RWE Generation UK plc,operating,United Kingdom,Gas Power Plant,point,,457,MW,53.0737,-0.859,,https://www.gem.wiki/Staythorpe_C_power_station
Staythorpe C power station 2,RWE Generation UK plc,operating,United Kingdom,Gas Power Plant,point,,457,MW,53.0737,-0.859,,https://www.gem.wiki/Staythorpe_C_power_station
Staythorpe C power station 3,RWE Generation UK plc,operating,United Kingdom,Gas Power Plant,point,,457,MW,53.0737,-0.859,,https://www.gem.wiki/Staythorpe_C_power_station
Staythorpe C power station 4,RWE Generation UK plc,operating,United Kingdom,Gas Power Plant,point,,457,MW,53.0737,-0.859,,https://www.gem.wiki/Staythorpe_C_power_station
Weisweiler power station G,RWE Power AG,operating,Germany,Gas Power Plant,point,,200,MW,50.8392,6.3211,,https://www.gem.wiki/Weisweiler_power_station
Weisweiler power station H,RWE Power AG,operating,Germany,Gas Power Plant,point,,200,MW,50.8392,6.3211,,https://www.gem.wiki/Weisweiler_power_station
Matra power station,RWE Power AG,operating,Hungary,Gas Power Plant,point,,30,MW,47.7886,20.066,,https://www.gem.wiki/Matra_power_station
Matra power station,RWE Power AG,operating,Hungary,Gas Power Plant,point,,30,MW,47.7886,20.066,,https://www.gem.wiki/Matra_power_station
Inesco power station,RWE Supply & Trading GmbH,operating,Belgium,Gas Power Plant,point,,138,MW,51.2412,4.3257,,https://www.gem.wiki/Inesco_power_station
Salzburg Mitte power station,"Salzburg AG für Energie, Verkehr und Telekommunikation",operating,Austria,Gas Power Plant,point,,84,MW,47.8093,13.0382,,https://www.gem.wiki/Salzburg_Mitte_power_station
Maastricht Mill power station 1,Sappi,operating,Netherlands,Gas Power Plant,point,,22.4,MW,50.858,5.6903,,https://www.gem.wiki/Maastricht_Mill_power_station
Maastricht Mill power station 2,Sappi,operating,Netherlands,Gas Power Plant,point,,52,MW,50.858,5.6903,,https://www.gem.wiki/Maastricht_Mill_power_station
Gratkorn Mill power station,Sappi Austria Produktions-GmbH & Co KG,operating,Austria,Gas Power Plant,point,,42,MW,47.1351,15.3354,,https://www.gem.wiki/Gratkorn_Mill_power_station
Kirkniemi Mill power station,Sappi Finland Oy,operating,Finland,Gas Power Plant,point,,128,MW,60.1909,23.9437,,https://www.gem.wiki/Kirkniemi_Mill_power_station
Augusta power station,Sasol Italy,operating,Italy,Gas Power Plant,point,,44,MW,37.2204,15.1778,,https://www.gem.wiki/Augusta_power_station
Cartagena Refinery power station,Sabic Innovative Plastics España SA,operating,Spain,Gas Power Plant,point,,95,MW,37.7044,-1.0999,,https://www.gem.wiki/Cartagena_Refinery_power_station
Govora power station 3,SC Cet Govora S.A.,operating,Romania,Gas Power Plant,point,,50,MW,45.04,24.29,,https://www.gem.wiki/Govora_power_station
Govora power station 4,SC Cet Govora S.A.,operating,Romania,Gas Power Plant,point,,50,MW,45.04,24.29,,https://www.gem.wiki/Govora_power_station
Iasi-1 power station No 1,SC Cet Iasi S.A.,operating,Romania,Gas Power Plant,point,,25,MW,47.1498,27.6073,,https://www.gem.wiki/Iasi-1_power_station
Iasi-1 power station No 3,SC Cet Iasi S.A.,operating,Romania,Gas Power Plant,point,,50,MW,47.1498,27.6073,,https://www.gem.wiki/Iasi-1_power_station
Bucharest Grozavesti power station 1,SC Electrocentrale Bucuresti,operating,Romania,Gas Power Plant,point,,50,MW,44.4403,26.0626,,https://www.gem.wiki/Bucharest_Grozavesti_power_station
Bucharest Grozavesti power station 2,SC Electrocentrale Bucuresti,operating,Romania,Gas Power Plant,point,,50,MW,44.4403,26.0626,,https://www.gem.wiki/Bucharest_Grozavesti_power_station
Oradea power station,SC Electrocentrale Oradea S.A.,operating,Romania,Gas Power Plant,point,,45.5,MW,47.0842,21.8928,,https://www.gem.wiki/Oradea_power_station
Malpensa power station,Sea Energia SpA,operating,Italy,Gas Power Plant,point,,80,MW,45.6283,8.7135,,https://www.gem.wiki/Malpensa_power_station
Figueira da Foz Industrial Complex power station,The Navigator Company,operating,Portugal,Gas Power Plant,point,,67,MW,40.0576,-8.8595,,https://www.gem.wiki/Figueira_da_Foz_Industrial_Complex_power_station
Tees Combined-Cycle Power Plant CC 1,Sembcorp Utilities UK Ltd,proposed,United Kingdom,Gas Power Plant,point,,850,MW,54.5808,-1.1442,,https://www.gem.wiki/Tees_Combined-Cycle_Power_Plant
Tees Combined-Cycle Power Plant CC 2,Sembcorp Utilities UK Ltd,proposed,United Kingdom,Gas Power Plant,point,,850,MW,54.5808,-1.1442,,https://www.gem.wiki/Tees_Combined-Cycle_Power_Plant
Wilton International power station,Sembcorp Industries Ltd.,operating,United Kingdom,Gas Power Plant,point,,120,MW,54.5882,-1.1026,,https://www.gem.wiki/Wilton_International_power_station
Coryton power station,Intergen NV,operating,United Kingdom,Gas Power Plant,point,,800,MW,51.5119,0.5079,,https://www.gem.wiki/Coryton_power_station
Rocksavage power station,Intergen NV,operating,United Kingdom,Gas Power Plant,point,,810,MW,53.3152,-2.7228,,https://www.gem.wiki/Rocksavage_power_station
Spalding power station 1,Intergen NV,operating,United Kingdom,Gas Power Plant,point,,950,MW,52.8072,-0.1333,,https://www.gem.wiki/Spalding_power_station
Spalding power station 2,Intergen NV,operating,United Kingdom,Gas Power Plant,point,,300,MW,52.8072,-0.1333,,https://www.gem.wiki/Spalding_power_station
Kladno power station,Sev.en Energy Group,operating,Czechia,Gas Power Plant,point,,51,MW,50.1535,14.1286,,https://www.gem.wiki/Kladno_power_station
Nam Schoonebeek power station,Nederland Aardolie Maats (Nam),operating,Netherlands,Gas Power Plant,point,,128,MW,52.6661,6.8782,,https://www.gem.wiki/Nam_Schoonebeek_power_station
Silkeborgvaerket power station,Silkeborg Forsyning A/S,operating,Denmark,Gas Power Plant,point,,108.2,MW,56.201,9.558,,https://www.gem.wiki/Silkeborgvaerket_power_station
