project,owner,status,countries,type,geom,pci,capacity,capacity_unit,lat,lng,route,url
Ter Apelkanaal Siem power station,Avebe U,operating,Netherlands,Gas Power Plant,point,,28,MW,52.9214,7.044,,https://www.gem.wiki/Ter_Apelkanaal_Siem_power_station
Foxhol Plant power station,Avebe U,operating,Netherlands,Gas Power Plant,point,,20,MW,53.1698,6.7145,,https://www.gem.wiki/Foxhol_Plant_power_station
Gasselternijveen power station,Avebe U,operating,Netherlands,Gas Power Plant,point,,25,MW,52.9898,6.8675,,https://www.gem.wiki/Gasselternijveen_power_station
Sparanise power station 1,Calenia Energia SpA,operating,Italy,Gas Power Plant,point,,384,MW,41.1783,14.1129,,https://www.gem.wiki/Sparanise_power_station
Sparanise power station 2,Calenia Energia SpA,operating,Italy,Gas Power Plant,point,,400,MW,41.1783,14.1129,,https://www.gem.wiki/Sparanise_power_station
Rizziconi power station,Rizziconi Energia SpA,operating,Italy,Gas Power Plant,point,,384,MW,38.4453,15.99,,https://www.gem.wiki/Rizziconi_power_station
Rizziconi power station,Rizziconi Energia SpA,operating,Italy,Gas Power Plant,point,,384,MW,38.4453,15.99,,https://www.gem.wiki/Rizziconi_power_station
Zandvliet Power Station,Zandvliet Power NV,operating,Belgium,Gas Power Plant,point,,386,MW,51.3689,4.2642,,https://www.gem.wiki/Zandvliet_Power_Station
Serene Rivalta power station,Bg Itali,operating,Italy,Gas Power Plant,point,,48,MW,44.994,7.5069,,https://www.gem.wiki/Serene_Rivalta_power_station
Serene Sulmona power station,Bg Itali,operating,Italy,Gas Power Plant,point,,48,MW,42.0772,13.902,,https://www.gem.wiki/Serene_Sulmona_power_station
Serene Termoli power station 1,Bg Itali,operating,Italy,Gas Power Plant,point,,48,MW,41.9567,14.9963,,https://www.gem.wiki/Serene_Termoli_power_station
Serene Termoli power station 2,Bg Itali,operating,Italy,Gas Power Plant,point,,48,MW,41.9567,14.9963,,https://www.gem.wiki/Serene_Termoli_power_station
Serene Melfi power station 1,Serene SpA,operating,Italy,Gas Power Plant,point,,48,MW,41.0661,15.7111,,https://www.gem.wiki/Serene_Melfi_power_station
Serene Melfi power station 2,Serene SpA,operating,Italy,Gas Power Plant,point,,48,MW,41.0661,15.7111,,https://www.gem.wiki/Serene_Melfi_power_station
Cassino power station CC1 & CC2,Serene SpA,operating,Italy,Gas Power Plant,point,,100,MW,41.4764,13.7532,,https://www.gem.wiki/Cassino_power_station
Borsodchem power station,Bc-Eromu Kft,operating,Hungary,Gas Power Plant,point,,58,MW,48.2453,20.6476,,https://www.gem.wiki/Borsodchem_power_station
Emsland Refinery power station,BP Europa SE,operating,Germany,Gas Power Plant,point,,66,MW,52.5585,7.3077,,https://www.gem.wiki/Emsland_Refinery_power_station
Leipheim power station CC,SWU Stadtwerke Ulm,proposed,Germany,Gas Power Plant,point,,680,MW,48.4408,10.2526,,https://www.gem.wiki/Leipheim_power_station
Avezzano Burgo power station GT1,Burgo Group SpA,operating,Italy,Gas Power Plant,point,,27,MW,41.9956,13.4386,,https://www.gem.wiki/Avezzano_Burgo_power_station
Avezzano Burgo power station GT2,Burgo Group SpA,operating,Italy,Gas Power Plant,point,,27,MW,41.9956,13.4386,,https://www.gem.wiki/Avezzano_Burgo_power_station
Avezzano Burgo power station ST,Burgo Group SpA,operating,Italy,Gas Power Plant,point,,30,MW,41.9956,13.4386,,https://www.gem.wiki/Avezzano_Burgo_power_station
Sora power station,Burgo Group SpA,operating,Italy,Gas Power Plant,point,,42,MW,41.7,13.5837,,https://www.gem.wiki/Sora_power_station
Maasstroom power station,Castleton Commodities International LLC,operating,Netherlands,Gas Power Plant,point,,426,MW,51.8901,4.352,,https://www.gem.wiki/Maasstroom_power_station
King's Lynn power station CC 1,Centrica,operating,United Kingdom,Gas Power Plant,point,,370,MW,52.7278,0.3797,,https://www.gem.wiki/King's_Lynn_power_station
Whitegate power station,Bord Gáis,operating,Ireland,Gas Power Plant,point,,435,MW,51.8161,-8.2511,,https://www.gem.wiki/Whitegate_power_station
Glanford Brigg power station,Centrica Plc,operating,United Kingdom,Gas Power Plant,point,,99,MW,53.5411,-0.5055,,https://www.gem.wiki/Glanford_Brigg_power_station
Peterborough power station GT1 & GT2,Centrica Plc,operating,United Kingdom,Gas Power Plant,point,,245,MW,52.5769,-0.204,,https://www.gem.wiki/Peterborough_power_station
Monksland power station GT,"Bord Gáis, Mountside Properties",proposed,Ireland,Gas Power Plant,point,,100,MW,53.4229,-7.9886,,https://www.gem.wiki/Monksland_power_station
Campo de Gibraltar power station 1,Puente Mayorga Generacion S.L.U.,operating,Spain,Gas Power Plant,point,,393,MW,36.1834,-5.3933,,https://www.gem.wiki/Campo_de_Gibraltar_power_station
Campo de Gibraltar power station 2,Puente Mayorga Generacion S.L.U.,operating,Spain,Gas Power Plant,point,,388,MW,36.1834,-5.3933,,https://www.gem.wiki/Campo_de_Gibraltar_power_station
Pocerady power station 2,CEZ Group,operating,Czechia,Gas Power Plant,point,,847,MW,50.4267,13.6747,,https://www.gem.wiki/Pocerady_power_station
Arrubal power station 1,ContourGlobal,operating,Spain,Gas Power Plant,point,,395,MW,42.4194,-2.2511,,https://www.gem.wiki/Arrubal_power_station
Arrubal power station 2,ContourGlobal,operating,Spain,Gas Power Plant,point,,390,MW,42.4194,-2.2511,,https://www.gem.wiki/Arrubal_power_station
Griesheim Reserve power station CC,PQ Energy,proposed,Germany,Gas Power Plant,point,,335,MW,49.8614,8.5676,,https://www.gem.wiki/Griesheim_Reserve_power_station
Gundelfingen Reserve power station CC,PQ Energy,proposed,Germany,Gas Power Plant,point,,600,MW,48.5533,10.3674,,https://www.gem.wiki/Gundelfingen_Reserve_power_station
Crodux Slavonski Brod power station Expansion CC,Crodux Energetika d.o.o.,proposed,Croatia,Gas Power Plant,point,,360,MW,45.1406,18.006,,https://www.gem.wiki/Crodux_Slavonski_Brod_power_station
Crodux Slavonski Brod power station Phase 1 CC,Crodux Energetika d.o.o.,proposed,Croatia,Gas Power Plant,point,,240,MW,45.1406,18.006,,https://www.gem.wiki/Crodux_Slavonski_Brod_power_station
DTU Cogeneration power station,Danish Commodities A/S,operating,Denmark,Gas Power Plant,point,,39,MW,55.7847,12.5228,,https://www.gem.wiki/DTU_Cogeneration_power_station
Abergelli power station GT,Abergelli Power Limited (APL),proposed,United Kingdom,Gas Power Plant,point,,299,MW,51.7066,-3.9737,,https://www.gem.wiki/Abergelli_power_station
Blackburn Mill power station,Drax Group plc,operating,United Kingdom,Gas Power Plant,point,,60,MW,53.7182,-2.5372,,https://www.gem.wiki/Blackburn_Mill_power_station
Drax power station 5 Repower,Drax Group plc,proposed,United Kingdom,Gas Power Plant,point,,"1,800",MW,53.7372,-0.999,,https://www.gem.wiki/Drax_power_station
Drax power station 6 Repower,Drax Group plc,proposed,United Kingdom,Gas Power Plant,point,,"1,800",MW,53.7372,-0.999,,https://www.gem.wiki/Drax_power_station
Progress Power Station GT,Drax Group plc,proposed,United Kingdom,Gas Power Plant,point,,299,MW,52.3196,1.1462,,https://www.gem.wiki/Progress_Power_Station
Damhead Creek power station,Drax Power Ltd,operating,United Kingdom,Gas Power Plant,point,,805,MW,51.4249,0.6014,,https://www.gem.wiki/Damhead_Creek_power_station
Rye House power station,Drax Power Ltd,operating,United Kingdom,Gas Power Plant,point,,715,MW,51.7632,0.0097,,https://www.gem.wiki/Rye_House_power_station
Shoreham power station,Drax Power Ltd,operating,United Kingdom,Gas Power Plant,point,,420,MW,50.8299,-0.2314,,https://www.gem.wiki/Shoreham_power_station
Hirwaun Power Station GT,Hirwaun Power Limited (HPL),proposed,United Kingdom,Gas Power Plant,point,,299,MW,51.7377,-3.5109,,https://www.gem.wiki/Hirwaun_Power_Station
Millbrook power station GT,Millbrook Power Co Ltd,proposed,United Kingdom,Gas Power Plant,point,,299,MW,52.0704,-0.5148,,https://www.gem.wiki/Millbrook_power_station
De Hoop Paper Mill power station,DS Smith,operating,Netherlands,Gas Power Plant,point,,71,MW,52.097,6.0514,,https://www.gem.wiki/De_Hoop_Paper_Mill_power_station
Duenas Mill power station,DS Smith,operating,Spain,Gas Power Plant,point,,40,MW,41.8395,-4.5601,,https://www.gem.wiki/Duenas_Mill_power_station
Dordrecht Dupont power station GT 2,Dupont De Nemours (Nederland),operating,Netherlands,Gas Power Plant,point,,29,MW,51.8153,4.7249,,https://www.gem.wiki/Dordrecht_Dupont_power_station
Tavazzano power station 5,E.On,operating,Italy,Gas Power Plant,point,,765,MW,45.3325,9.4364,,https://www.gem.wiki/Tavazzano_power_station
Tavazzano power station 6,E.On,operating,Italy,Gas Power Plant,point,,385,MW,45.3325,9.4364,,https://www.gem.wiki/Tavazzano_power_station
Kemsley Paper Mill power station K1,E.On,operating,United Kingdom,Gas Power Plant,point,,81,MW,51.3641,0.7566,,https://www.gem.wiki/Kemsley_Paper_Mill_power_station
Kemsley Paper Mill power station K4,E.On,proposed,United Kingdom,Gas Power Plant,point,,68,MW,51.3641,0.7566,,https://www.gem.wiki/Kemsley_Paper_Mill_power_station
Port Of Liverpool power station,E.On,operating,United Kingdom,Gas Power Plant,point,,30,MW,53.4522,-3.0083,,https://www.gem.wiki/Port_Of_Liverpool_power_station
Sandbach power station,E.On,operating,United Kingdom,Gas Power Plant,point,,50,MW,53.1654,-2.4061,,https://www.gem.wiki/Sandbach_power_station
Thornhill power station,E.On,operating,United Kingdom,Gas Power Plant,point,,50,MW,53.6771,-1.655,,https://www.gem.wiki/Thornhill_power_station
Winnington Brunner power station,E.On,operating,United Kingdom,Gas Power Plant,point,,94,MW,53.267,-2.531,,https://www.gem.wiki/Winnington_Brunner_power_station
Castleford power station,E.On UK,operating,United Kingdom,Gas Power Plant,point,,56,MW,53.732,-1.3428,,https://www.gem.wiki/Castleford_power_station
Malženice power station,Západoslovenská energetika (ZSE),operating,Slovakia,Gas Power Plant,point,,420,MW,48.4296,17.6978,,https://www.gem.wiki/Malženice_power_station
EDF Premnitz power station CC,EDF Deutschland GmbH,proposed,Germany,Gas Power Plant,point,,400,MW,52.5337,12.3487,,https://www.gem.wiki/EDF_Premnitz_power_station
Lares power station G1,"EDP – Energias de Portugal, S.A",operating,Portugal,Gas Power Plant,point,,413,MW,40.1245,-8.775,,https://www.gem.wiki/Lares_power_station
Lares power station G2,"EDP – Energias de Portugal, S.A",operating,Portugal,Gas Power Plant,point,,413,MW,40.1245,-8.775,,https://www.gem.wiki/Lares_power_station
Ribatejo power station G1,"EDP – Energias de Portugal, S.A",operating,Portugal,Gas Power Plant,point,,392,MW,39.0118,-8.9521,,https://www.gem.wiki/Ribatejo_power_station
Ribatejo power station G2,"EDP – Energias de Portugal, S.A",operating,Portugal,Gas Power Plant,point,,392,MW,39.0118,-8.9521,,https://www.gem.wiki/Ribatejo_power_station
Ribatejo power station G3,"EDP – Energias de Portugal, S.A",operating,Portugal,Gas Power Plant,point,,392,MW,39.0118,-8.9521,,https://www.gem.wiki/Ribatejo_power_station
Castejón power station 1,"EDP – Energias de Portugal, S.A.",operating,Spain,Gas Power Plant,point,,424.9,MW,42.1718,-1.6773,,https://www.gem.wiki/Castejón_power_station
Castejón power station 2,"EDP – Energias de Portugal, S.A.",operating,Spain,Gas Power Plant,point,,378.9,MW,42.1718,-1.6773,,https://www.gem.wiki/Castejón_power_station
Castejón power station 3,"EDP – Energias de Portugal, S.A.",operating,Spain,Gas Power Plant,point,,418.4,MW,42.1718,-1.6773,,https://www.gem.wiki/Castejón_power_station
Soto de Ribera power station 4,"EDP – Energias de Portugal, S.A.",operating,Spain,Gas Power Plant,point,,426,MW,43.3161,-5.8777,,https://www.gem.wiki/Soto_de_Ribera_power_station
Soto de Ribera power station 5,"EDP – Energias de Portugal, S.A.",operating,Spain,Gas Power Plant,point,,428,MW,43.3161,-5.8777,,https://www.gem.wiki/Soto_de_Ribera_power_station
IRU Elektrijaam power station,Enefit Green,operating,Estonia,Gas Power Plant,point,,173,MW,59.4514,24.9246,,https://www.gem.wiki/IRU_Elektrijaam_power_station
Elecgas Pego power station G3,ElecGas S.A.,operating,Portugal,Gas Power Plant,point,,418,MW,39.4689,-8.1113,,https://www.gem.wiki/Elecgas_Pego_power_station
Elecgas Pego power station G4,ElecGas S.A.,operating,Portugal,Gas Power Plant,point,,418,MW,39.4689,-8.1113,,https://www.gem.wiki/Elecgas_Pego_power_station
Kelenföldi Erőmű power station,Budapesti Eromu Zrt.,operating,Hungary,Gas Power Plant,point,,178,MW,47.4624,19.0563,,https://www.gem.wiki/Kelenföldi_Erőmű_power_station
Újpesti power station,Budapesti Eromu Zrt.,operating,Hungary,Gas Power Plant,point,,110,MW,47.554,19.1023,,https://www.gem.wiki/Újpesti_power_station
Kispesti Erőmű power station,Budapesti Eromu Zrt.,operating,Hungary,Gas Power Plant,point,,109,MW,47.4568,19.1673,,https://www.gem.wiki/Kispesti_Erőmű_power_station
Amfard power station 14,Cofiva,operating,France,Gas Power Plant,point,,120,MW,49.48,0.22,,https://www.gem.wiki/Amfard_power_station
Amfard power station 15,Cofiva,operating,France,Gas Power Plant,point,,120,MW,49.48,0.22,,https://www.gem.wiki/Amfard_power_station
Bouchain power station,EDF,operating,France,Gas Power Plant,point,,585,MW,50.2987,3.3156,,https://www.gem.wiki/Bouchain_power_station
Gennevilliers power station,EDF,operating,France,Gas Power Plant,point,,203,MW,48.937,2.2614,,https://www.gem.wiki/Gennevilliers_power_station
Martigues-Ponteau power station 5,EDF,operating,France,Gas Power Plant,point,,465,MW,43.3582,5.0211,,https://www.gem.wiki/Martigues-Ponteau_power_station
Martigues-Ponteau power station 6,EDF,operating,France,Gas Power Plant,point,,465,MW,43.3582,5.0211,,https://www.gem.wiki/Martigues-Ponteau_power_station
Blenod power station,EDF,operating,France,Gas Power Plant,point,,427,MW,48.869,6.0842,,https://www.gem.wiki/Blenod_power_station
West Burton power station B1,EDF Energy,operating,United Kingdom,Gas Power Plant,point,,450,MW,53.3622,-0.8076,,https://www.gem.wiki/West_Burton_power_station
West Burton power station B2,EDF Energy,operating,United Kingdom,Gas Power Plant,point,,460,MW,53.3622,-0.8076,,https://www.gem.wiki/West_Burton_power_station
West Burton power station B3,EDF Energy,operating,United Kingdom,Gas Power Plant,point,,450,MW,53.3622,-0.8076,,https://www.gem.wiki/West_Burton_power_station
