ProjectID,Fuel,StartCountry,EndCountry,Countries,Wiki,Name,OtherNames,Owner,Status, CostUSD ,StartYear1,StartYear2,StartYear3,RetiredYear,Capacity,CapacityUnit,CapacityBOEd,KnownKm,EstimateKm,MergedKm,Lengthmi,Diameter (inch),Source,StartLocation,StartPrefecture/District,StartState/Province,StartRegion,EndLocation,EndPrefecture/District,EndState/Province,EndRegion,Expansions,Mainline,Route
P0012,Oil,Canada,USA,"Canada, USA",https://www.gem.wiki/Enbridge_Line_3_Oil_Pipeline,Enbridge Line 3 Oil Pipeline,"Enbridge Mainline, Lakehead Pipeline System","Enbridge, 100.00%",Operating,,1967,2019,,,"760,000.00",bpd,"760,000.00","1,765.00","1,760.18","1,765.00","1,096.72","34, 36",Alberta tar sands,Edmonton,,Alberta,North America,,,Wisconsin,North America,Enbridge Line 3 Oil Pipeline Replacement Project,,"53.54475,-113.591734:53.556927,-113.367143:53.447345,-113.3325:53.445079,-113.254417:53.319165,-113.120287:53.284857,-113.113738:53.195645,-112.891008:53.035678,-112.112072:52.657243,-111.21255:52.113142,-109.559989:51.900041,-108.980438:51.85947,-108.733582:51.526528,-107.536355:51.317231,-106.620527:51.182546,-106.137393:50.882323,-105.397244:50.537405,-104.872663:50.442237,-104.543991:50.358763,-103.999871:50.298106,-103.864944:50.251244,-103.653609:50.190867,-103.181191:50.092094,-102.657864:50.062032,-102.336086:49.775837,-101.093112:49.693957,-100.425246:49.636685,-99.652615:49.568185,-99.049:49.309745,-98.367187:49.243971,-98.102534:49.18418,-97.999329:48.864789,-97.208784:48.569399,-96.936601:47.905656,-96.022592:47.606152,-95.122198:47.416851,-94.812305:47.392702,-94.73672:47.325887,-93.933949:47.330055,-93.797407:47.305197,-93.661525:47.018726,-93.045602:46.929899,-92.909134:46.874782,-92.859477:46.645141,-92.500776:46.57396,-92.271979"
P0013,Oil,Canada,USA,"Canada, USA",https://www.gem.wiki/Enbridge_Line_4_Oil_Pipeline,Enbridge Line 4 Oil Pipeline,"Enbridge Mainline, Lakehead Pipeline System","Enbridge, 100.00%",Operating,,2002,,,,"796,000.00",bpd,"796,000.00","1,770.00","1,779.24","1,770.00","1,099.83","36, 48",Alberta tar sands,Edmonton,,Alberta,North America,Superior,,Wisconsin,North America,,,"53.524799,-113.49014:51.618017,-107.05078:50.680797,-105.02929:49.553726,-99.404296:48.632909,-96.416015:47.338823,-95.361328:46.619261,-91.669921"
P0014,Oil,USA,Canada,"USA, Canada",https://www.gem.wiki/Enbridge_Line_5_Oil_Pipeline,Enbridge Line 5 Oil Pipeline,"Enbridge Mainline, Lakehead Pipeline System","Enbridge, 100.00%",Operating,,1953,,,,"540,000.00",bpd,"540,000.00","1,038.00","1,032.60","1,038.00",644.98,30,western Canada,Superior,,Wisconsin,North America,,,Ontario,North America,,,"46.631635,-92.131326:46.579967,-91.876556:46.559593,-91.338888:46.537915,-91.204582:46.495214,-90.574861:46.513364,-89.922329:46.412942,-89.716491:46.394,-89.499401:46.306733,-89.332555:46.292387,-89.110473:46.20183,-88.889353:46.143089,-88.47988:46.144869,-87.610052:46.013823,-86.949122:46.002962,-86.60103:46.025001,-86.524327:46.012158,-86.277562:46.05912,-86.232963:46.141541,-85.971315:46.185716,-85.905398:46.18185,-85.598614:46.196772,-85.438272:46.150268,-85.171145:46.080398,-84.947779:45.943197,-84.733429:45.811233,-84.730449:45.786175,-84.692299:45.725125,-84.688376:45.615019,-84.595205:45.465531,-84.576281:45.385096,-84.522363:45.113178,-84.443279:44.816443,-84.321326:44.618269,-84.262846:44.533871,-84.255939:44.314954,-84.161993:44.175129,-84.14013:44.047729,-84.081088:43.56901,-83.988771:43.567614,-83.826314:43.458882,-83.706706:43.417368,-83.694235:43.387142,-83.657529:43.313002,-83.323795:43.254601,-83.283499:43.212512,-83.213243:43.086386,-82.996667:42.91482,-82.608341:42.870135,-82.570738:42.881022,-82.405232"
P0015,Oil,USA,Canada,"USA, Canada",https://www.gem.wiki/Enbridge_Line_6_Oil_Pipeline,Enbridge Line 6 Oil Pipeline,"6A, 6B, Enbridge Mainline, Lakehead Pipeline System","Enbridge, 100.00%",Operating,,1969,,,,"667,000.00",bpd,"667,000.00","1,212.00","1,177.52","1,212.00",753.10,34,,Superior,,Wisconsin,North America,,,Ontario,North America,,,"46.709736,-92.087402:42.553080,-88.571777:41.656497,-88.439941:41.574361,-87.363281:43.004647,-82.287597"
P0016,Oil,Canada,USA,"Canada, USA",https://www.gem.wiki/Enbridge_Line_65_Oil_Pipeline,Enbridge Line 65 Oil Pipeline,"Enbridge Mainline, Lakehead Pipeline System","Enbridge, 100.00%",Operating,,2010,,,,"186,000.00",bpd,"186,000.00",504.00,483.59,504.00,313.17,20,,Cromer,,Manitoba,North America,Clearbrook,,Minnesota,North America,,,"49.733356,-101.23626:47.692201,-95.432739"
P0017,Oil,Canada,Canada,Canada,https://www.gem.wiki/Enbridge_Line_7_Oil_Pipeline,Enbridge Line 7 Oil Pipeline,"Enbridge Mainline, Lakehead Pipeline System","Enbridge, 100.00%",Operating,,1976,,,,"300,000.00",bpd,"300,000.00",193.00,249.02,193.00,119.92,20,,Sarnia,,Ontario,North America,,,,North America,,,"43.049394,-82.409654:43.240237,-80.781449:43.304484,-80.394868:43.344453,-79.932069:43.338215,-79.844865:43.500687,-79.675779:43.464445,-79.652433:43.549013,-79.589344"
P0018,Oil,Canada,Canada,Canada,https://www.gem.wiki/Enbridge_Line_9_Oil_Pipeline,Enbridge Line 9 Oil Pipeline,,"Enbridge, 100.00%",Operating,,1976,,,,"300,000.00",bpd,"300,000.00",832.00,794.38,832.00,516.98,30,"West Canada, North Sea",Montreal,,Quebec,North America,,,Ontario,North America,,,"42.949150,-82.365476:43.450665,-80.096773:43.959174,-79.367415:44.199713,-77.415140:44.359080,-76.176031:44.724758,-75.533074:44.854769,-75.322032:45.145843,-74.502193:45.664707,-74.097279:45.709571,-73.644175"
P0019,Oil,Canada,Canada,Canada,https://www.gem.wiki/Energy_East_Oil_Pipeline,Energy East Oil Pipeline,,"TC Energy, 100.00%",Cancelled,,,,,,"1,100,000.00",bpd,"1,100,000.00","4,600.00","3,849.84","4,600.00","2,858.31",,Alberta and Saskatchewan,Hardisty,,Alberta,North America,,,New Brunswick,North America,,,"52.674945,-111.303304:51.441939,-109.994214:50.461133,-104.617564:49.867460,-97.146739:49.804416,-94.443278:48.917189,-89.103923:49.804416,-82.600017:46.358919,-79.403889:45.279717,-75.775665:45.660269,-73.516764:46.808368,-71.225657:47.466015,-68.808665:45.933264,-66.657671:45.273509,-66.065226"
P0020,Oil,Canada,USA,"Canada, USA",https://www.gem.wiki/Express_Oil_Pipeline_System,Express Oil Pipeline System,,"Enbridge, 100.00%",Operating,,1997,,,,"280,000.00",bpd,"280,000.00","1,263.00","1,244.25","1,263.00",784.79,,Alberta,Hardisty,,Alberta,North America,,,Wyoming,North America,,,"52.683804,-111.30365:49.000689,-110.00757:45.789250,-108.49622:45.016786,-108.62311:44.126251,-107.92112:43.258931,-108.10701:42.841660,-106.32832"
P0021,Oil,Canada,Canada,Canada,https://www.gem.wiki/Grand_Rapids_Oil_Pipeline,Grand Rapids Oil Pipeline,,"TC Energy, PetroChina",Operating," $3,000,000,000.00 ",2017,,,,"900,000.00",bpd,"900,000.00",460.00,441.00,460.00,285.83,,Alberta,Fort McMurray,,Alberta,North America,,,Alberta,North America,,,"56.768475,-112.136369:56.628809,-112.382852:56.571559,-112.565224:56.552541,-112.718023:56.478311,-112.847902:56.448872,-112.837318:56.400974,-112.854957:56.372523,-112.797903:56.285042,-112.760134:56.215128,-112.687361:56.14775,-112.59608:56.144802,-112.551427:56.099934,-112.5474:56.049107,-112.480877:56.045677,-112.399643:56.008887,-112.349761:55.99428,-112.283505:55.929074,-112.16157:55.902525,-112.143109:55.859436,-112.18:55.804265,-112.171877:55.720664,-112.279362:55.644562,-112.291315:55.628291,-112.277485:55.48468,-112.370495:55.445321,-112.365974:55.364497,-112.463562:55.319568,-112.485766:55.186912,-112.432999:55.140263,-112.467332:54.932812,-112.480465:54.880044,-112.52404:54.870428,-112.557528:54.76905,-112.695755:54.745969,-112.700841:54.645167,-112.812963:54.601043,-112.822173:54.576714,-112.85559:54.533962,-112.861948:54.489517,-112.893053:54.34161,-112.89974:54.326431,-112.923446:54.258276,-112.930171:54.069891,-112.920363:54.045568,-112.939829:53.989414,-112.911513:53.984153,-112.848728:53.967752,-112.828058:53.911947,-112.823589:53.855277,-112.870633:53.799506,-112.969772:53.777879,-113.042086:53.744052,-113.033739:53.737031,-113.105767:53.620486,-113.223837:53.59331,-113.311582:53.537095,-113.327915"
