source,source_iso,source_lat,source_lng,target,target_iso,target_lat,target_lng,project_name,project_id,project_lat,project_lng,dollars,megawatts,year,era,institution,sponsor,url,phase,construction,generator,turbine,boiler
China,CN,35.86166,104.195397,Indonesia,ID,-0.789275,113.921327,Cilacap Sumber Unit 3 (660MW),20,-7.684,109.131,900000000,660,2013,current,China Development Bank,PT SUMBER SEGARA PRIMADAYA,https://bit.ly/2WWxTo1,PH020.01,,Shanghai Electric Group (SHANGHAI),,
Germany,DE,51.165691,10.451526,Greece,GR,39.074208,21.824312,Ptolemaida V Coal-fired Power Plant (660MW),132,40.40971,21.78757,780000000,660,2013,current,Euler Hermes,Public Power Corporation of Greece,http://bit.ly/2h9UPPx,PH132.01,,,Mitsubishi Hitachi,Mitsubishi Hitachi
Germany,DE,51.165691,10.451526,Greece,GR,39.074208,21.824312,Ptolemaida V Coal-fired Power Plant (660MW),132,40.40971,21.78757,213447171.8,660,2013,current,Kreditanstalt für Wiederaufbau (KfW),Public Power Corporation of Greece,http://bit.ly/2h9UPPx,PH132.01,,,Mitsubishi Hitachi,Mitsubishi Hitachi
China,CN,35.86166,104.195397,Kyrgyzstan,KG,41.20438,74.766098,Bishkek CHP power station (300MW),12,42.87175,74.65496,386000000,300,2013,current,Export Import Bank of China (Chexim),Bishkek CHP power station,http://bit.ly/1sSN8XU,PH012.01,Harbin Electrical Equipment (HARBIN),Harbin Electrical Equipment (HARBIN),Harbin Electrical Equipment (HARBIN),
Japan,JP,36.204824,138.252924,Chile,CL,-35.675147,-71.542969,Cochrane Coal-Fired Power Project (472MW),42,-23.0634,-70.3658,500000000,472,2013,current,Japan Bank for International Cooperation (JBIC),#REF!,http://bit.ly/1g7mfdp,PH042.01,,,,
Japan,JP,36.204824,138.252924,Chile,CL,-35.675147,-71.542969,Cochrane Coal-Fired Power Project (472MW),42,-23.0634,-70.3658,250000000,472,2013,current,Nippon Export and Investment Insurance (NEXI),#REF!,http://bit.ly/1g7mfdp,PH042.01,,,,
South Korea,KR,35.907757,127.766922,Chile,CL,-35.675147,-71.542969,Cochrane Coal-Fired Power Project (472MW),42,-23.0634,-70.3658,100000000,472,2013,current,Export-Import Bank of Korea (Kexim),#REF!,http://bit.ly/1g7mfdp,PH042.01,,,,
Japan,JP,36.204824,138.252924,Indonesia,ID,-0.789275,113.921327,Indramayu Coal Fired Power Plant Project (990MW),69,-6.27474,107.9704,18371826,990,2013,current,Japan International Cooperation Agency (JICA),PT PLN (Persero),https://www.gem.wiki/Indramayu_power_station,PH069.01,,,,
China,CN,35.86166,104.195397,Morocco,MA,31.791702,-7.09262,Jerada Coal-Fired Power Plant (350),73,34.3095,-2.19045,360000000,350,2013,current,Export Import Bank of China (Chexim),Sepco III,http://bit.ly/1howpx9,PH073.01,,,,
France,FR,46.227638,2.213749,South Africa,ZA,-30.559482,22.937506,Kusile Coal-Fired Power Plant (4800MW),85,-25.9107,28.91604,83563944.48,4800,2013,current,Compagnie Francaise d'Assurance pour le Commerce Exterieur (COFACE),Eskom,https://www.gem.wiki/Kusile_Power_Station,PH085.01,,Alstom Power Systems SA,,Mitsubishi Hitachi
