tag-id,animal-id,animal-taxon,deployment-comments,tag-comments
61,61,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
62,62,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
63,63,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
64,64,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
65,65,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
66,66,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
67,67,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
68,68,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
69,69,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
70,70,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
71,71,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
72,72,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
73,73,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
74,74,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
75,75,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
76,76,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
77,77,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
78,78,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
79,79,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
80,80,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
81,81,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
82,82,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
83,83,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
84,84,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
85,85,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
86,86,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
87,87,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
88,88,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
89,89,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
90,90,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
91,91,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
92,92,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
93,93,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
94,94,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
95,95,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
96,96,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
97,97,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
98,98,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
99,99,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
100,100,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
101,101,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
102,102,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
103,103,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
104,104,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
105,105,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
106,106,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
107,107,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
108,108,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
109,109,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
110,110,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
111,111,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
112,112,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
113,113,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
114,114,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
115,115,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
116,116,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
117,117,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
118,118,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
119,119,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
120,120,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
121,121,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
122,122,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
123,123,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
124,124,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
125,125,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
126,126,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
127,127,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
128,128,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
129,129,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
130,130,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
131,131,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
132,132,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
133,133,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
134,134,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
135,135,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
136,136,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
137,137,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
138,138,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
139,139,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
140,140,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
141,141,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
142,142,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
143,143,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
144,144,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
145,145,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
146,146,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
147,147,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
148,148,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
149,149,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
150,150,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
151,151,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
152,152,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
153,153,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
154,154,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
155,155,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
156,156,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
157,157,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
158,158,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
159,159,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
160,160,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
161,161,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
162,162,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
163,163,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
164,164,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
165,165,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
166,166,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
167,167,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
168,168,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
169,169,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
170,170,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
171,171,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
172,172,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
173,173,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
174,174,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
175,175,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
176,176,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
177,177,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
178,178,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
179,179,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
180,180,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
181,181,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
182,182,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
183,183,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
184,184,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
185,185,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
186,186,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
187,187,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
188,188,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
189,189,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
190,190,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
191,191,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
192,192,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
193,193,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
194,194,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
195,195,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
196,196,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
197,197,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
198,198,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
199,199,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
200,200,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
201,201,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
202,202,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
203,203,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
204,204,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
205,205,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
206,206,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
207,207,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
208,208,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
209,209,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
210,210,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
211,211,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
212,212,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
213,213,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
214,214,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
215,215,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
216,216,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
217,217,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
218,218,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
219,219,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
220,220,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
221,221,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
222,222,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
223,223,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
224,224,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
225,225,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
226,226,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
227,227,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
228,228,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
