tag-id,animal-id,animal-taxon,deployment-comments,tag-comments
1,1,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
2,2,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
3,3,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
4,4,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
5,5,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
6,6,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
7,7,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
8,8,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
9,9,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
10,10,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
11,11,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
12,12,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
13,13,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
14,14,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
15,15,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
16,16,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
17,17,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
18,18,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
19,19,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
20,20,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
21,21,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
22,22,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
23,23,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
24,24,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
25,25,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
26,26,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
27,27,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
28,28,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
29,29,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
30,30,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
31,31,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
32,32,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
33,33,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
34,34,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
35,35,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
36,36,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
37,37,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
38,38,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
39,39,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
40,40,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
41,41,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
42,42,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
43,43,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
44,44,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
45,45,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
46,46,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
47,47,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
48,48,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
49,49,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
50,50,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
51,51,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
52,52,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
53,53,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
54,54,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
55,55,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
56,56,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
57,57,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
58,58,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
59,59,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
60,60,Myotis daubentoni,individual flight; free-flying bats with timestamps normalized for analysis,no tags used; trajectories obtained using 2D videogrammetry
