"�..EVENT_ID_CNTY","EVENT_DATE","YEAR","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","ACTOR2","ASSOC_ACTOR_2","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","SOURCE_SCALE","NOTES","FATALITIES"
"AFG1647","26-March-2017",2017,"Explosions/Remote violence","Remote explosive/landmine/IED","Taliban","","Civilians (Afghanistan)","Military Forces of Afghanistan (2014-2021); Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Logar","Charkh","","Charkh",33.797,68.938,"Voice of Jihad","Other","Taliban militants blew up 2 ambulance vehicles transferring injured soldiers in Charkh District of Logar Province on the afternoon of March 26, 2017. A number of soldiers were either killed or injured (unknown fatalities coded as 10).",0
"AFG5662","13-September-2017",2017,"Explosions/Remote violence","Shelling/artillery/missile attack","Taliban","","Civilians (Afghanistan)","Doctors (Afghanistan); Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Kunduz","Khan Abad","","Khwajah Pistah",36.675,69.016,"Afghan Islamic Press News Agency; Pajhwok Afghan News","National","A vehicle of the Public Health Directorate was targeted by a rocket attack by Taliban militants in the Khwajah Pistah area of Khanabad District, Kunduz Province, on the morning of September 13, 2017, injured 2-including a doctor-onboard.",2
"AFG5818","20-September-2017",2017,"Explosions/Remote violence","Shelling/artillery/missile attack","Taliban","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Badghis","Muqur","","Muqur",35.04,63.293,"Pajhwok Afghan News","National","The Taliban fired rockets at a health clinic in the Dozdak area of Muqur District, Badghis Province, late on September 20, 2017. 1 civilian was killed and 2 others injured.",1
"AFG9380","31-March-2018",2018,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Nangarhar","Jalalabad","","Jalalabad",34.426,70.452,"Pajhwok Afghan News","National","On March 31st, 1 doctor was killed, and 3 other civilians injured, when a bomb detonated in Jalalabad city in a clinic near Eng. Ghafar market. No group claimed responsibility.",1
"AFG10334","29-May-2018",2018,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Government of Afghanistan (2014-2021); Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Samangan","Aybak","","Samangan",36.265,68.016,"Xinhua","International","On May 29th, the Samangan Provincial health director was killed, and his driver injured, when a bomb targetted their vehicle in Samangan city. No group claimed responsibility.",1
"AFG10894","25-June-2018",2018,"Explosions/Remote violence","Shelling/artillery/missile attack","Taliban","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Ghazni","Andar","","Miray",33.325,68.441,"Pajhwok Afghan News","National","A Taliban mortar shell hit a hospital in Andar District, Ghazni Province on June 25. 1 pharmacy dept worker was killed and a vaccinator was wounded.",1
"AFG13078","05-August-2018",2018,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Nangarhar","Jalalabad","","Jalalabad",34.426,70.452,"Bakhtar News Agency","National","On 05-August-2018 a magnetic mine exploded in a private hospital located in Jalalabad city, Jalalabad district, Nangarhar province. There were no fatalities or injuries and the perpetrators were not identified.",0
"AFG21866","07-July-2019",2019,"Explosions/Remote violence","Air/drone strike","NATO: North Atlantic Treaty Organization","Military Forces of the United States (2017-2021)","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Ghazni","Andar","","Miray",33.325,68.441,"Voice of Jihad","Other","On July 07 2019, 2 doctors and 1 civilians were killed by US drone strikes in Andar (Shalgar) district, Ghazni.",0
"AFG21913","08-July-2019",2019,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Afghanistan)","","Civilians (Afghanistan)","Police Forces of Afghanistan (2014-2021); Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Helmand","Lashkargah","","Lashkargah",31.594,64.372,"Xinhua","International","On July 08 2019, at least 1 policeman (assumed off-duty) was killed and 2 were wounded when a bomb exploded at a private health clinic in Lashkargah city, Helmand. The policeman was a medical personnel at a prison. It's unclear who planted the bomb.",1
"AFG25312","19-September-2019",2019,"Explosions/Remote violence","Suicide bomb","Taliban","","Civilians (Afghanistan)","Health Workers (Afghanistan)","Caucasus and Central Asia","Afghanistan","Zabul","Qalat","","Qalat",32.106,66.908,"AP; AFP","International","On 19 September 2019, a Taliban-claimed suicide bomber hit a hospital, killing 39-41 civilians and injuring 97, in Qalat city, Zabul. The Taliban claimed that they had hit an NDS building. 40 fatalities coded to include the bomber.",40
