"ï..EVENT_ID_CNTY","EVENT_DATE","YEAR","EVENT_TYPE","SUB_EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","ACTOR2","ASSOC_ACTOR_2","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","SOURCE","SOURCE_SCALE","NOTES","FATALITIES"
"BGD7309","10-January-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","Government of Bangladesh (2009-)","South Asia","Bangladesh","Khulna","Jessore","Jessore Sadar","Jessore",23.17,89.214,"United News of Bangladesh","National","On Jan 10, Jessore sadar upazila chairman narrowly escaped a bomb attack by unknown militants near the Idgah Maidan in Jessore town. No casualties were reported.",0
"BGD7314","10-January-2010",2010,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","","South Asia","Bangladesh","Khulna","Satkhira","Debhata","Debhata",22.555,88.962,"United News of Bangladesh","National","On Jan 10, five people, including two minor children, were injured as unidentified militants hurled bombs at them at Debukhai in Debhata upazila. Reason of violence is believed to be previous enmity.",0
"BGD7312","10-January-2010",2010,"Explosions/Remote violence","Grenade","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","AL: Bangladesh Awami League","South Asia","Bangladesh","Khulna","Jessore","Jessore Sadar","Jessore",23.17,89.214,"Right Vision News","Regional","Jessore sadar upazila chairman Shaheen Chakladar was narrowly escaped a bomb attack by unknown actors near the Idgah Maidan in the town on Sunday (January 10) night. As Shaheen, also district secretary of the ruling Awami League, was walking down his home at 9:00am, the armed actors hurled the bomb at him. But the bomb missed the target and hit the wall of the Idgah causing a big bang.",0
"BGD15077","15-January-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","PBCP-ML(J): Purba Bangler Communist Party-Marxist-Leninist (Janajuddha)","","South Asia","Bangladesh","Rajshahi","Pabna","Faridpur","Faridpur",24.157,89.423,"South Asia Terrorism Portal","Other","On Jan 15, two cadres belonging to the PBCP-Janajuddha, including a 'local commander', were killed in a bomb explosion at a field at Baro Mangalgram village in Faridpur sub-district in Pabna District by unidentified militants.",2
"BGD15080","21-January-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","","South Asia","Bangladesh","Rajshahi","Pabna","Atgharia","Atgharia",24.108,89.241,"South Asia Terrorism Portal","Other","On Jan 21, A boy was injured as unidentified militants exploded bombs at Chandai village in Atghoria sub-district of Pabna District.",0
"BGD7460","28-January-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","Civilians (Bangladesh)","Labour Group (Bangladesh)","South Asia","Bangladesh","Khulna","Jessore","Sharsha","Benapole",23.047,88.906,"United News of Bangladesh","National","On Jan 28, a book trader was injured in a bomb attack by unidentified militants at Dighirpar road, Benapole.",0
"BGD7565","08-February-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","PBCP-ML: Purba Bangler Communist Party-Marxist-Leninist","","","","South Asia","Bangladesh","Khulna","Chuadanga","Chuadanga Sadar","Chuadanga",23.643,88.853,"United News of Bangladesh","National","On Feb 8, PBCP (ML) blasted a powerful bomb in Chuadanga area and left threatening leaflets for RAB forces to avenge the killing of its leader. No one was injured in the blast.",0
"BGD15083","10-February-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","Unidentified Armed Group (Bangladesh)","","PBCP-ML(J): Purba Bangler Communist Party-Marxist-Leninist (Janajuddha)","","South Asia","Bangladesh","Rajshahi","Pabna","Santhia","Gayasperbari",24.09,89.444,"South Asia Terrorism Portal","Other","On Feb 10, A PBCP 'Janajudhha' faction cadre was killed in a bomb attack by unidentified militants in Goyashbari village of Pabna District.",1
"BGD7605","11-February-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","ICS: Islami Chhatra Shibir","Students (Bangladesh)","","","South Asia","Bangladesh","Chittagong","Brahmanbaria","Brahmanbaria Sadar","Brahmanbaria",23.975,91.112,"United News of Bangladesh","National","On Feb 11, a bomb exploded in the dormitory of the Residential School and College at Kautoli in the district town, Brahambaria. ICS activists have been arrested in connection to the blast. No injuries were reported.",0
"BGD7619","12-February-2010",2010,"Explosions/Remote violence","Remote explosive/landmine/IED","ICS: Islami Chhatra Shibir","Students (Bangladesh)","","","South Asia","Bangladesh","Chittagong","Brahmanbaria","Brahmanbaria Sadar","Brahmanbaria",23.975,91.112,"Daily Star (Bangladesh)","National","On 12 Feb 2010, in Brahmanbaria (Brahmanbaria, Chittagong), a bomb explosion allegedly by Islami Chhatra Shibir occurred. No casualties reported.",0
