Year,M_Pop,F_Pop
1980,783013,585667
1981,824067,615267
1982,860986,646650
1983,896781,680194
1984,935883,716267
1985,980732,754546
1986,1034952,797350
1987,1095743,843173
1988,1151499,883351
1989,1186477,906309
1990,1190597,904753
1991,1157567,873730
1995,932509,673398
1996,947491,679367
1997,997283,712974
1998,1068094,763027
1999,1139027,812615
2000,1195302,849821
2001,1232602,870671
2002,1256843,880148
2003,1275633,885993
2004,1300689,899809
2005,1340475,929721
2006,1396227,977434
2007,1464802,1039224
2008,1544905,1111105
2009,1634049,1186992
2010,1729872,1262012
2011,1832247,1335807
2012,1940367,1408485
2013,2050222,1476160
2014,2156738,1534201
2015,2255989,1579599
2016,2346661,1610201
2017,2428715,1627387
2018,2501082,1636232
2019,2563055,1644022
2020,2614446,1656117
