Year,M_Pop,F_Pop
1990,8618541,8735854
1991,8907600,9045934
1992,9199685,9361983
1993,9493772,9682214
1994,9788942,10004599
1995,10085062,10328095
1996,10380980,10651837
1997,10678216,10977176
1998,10982688,11308099
1999,11302327,11650079
2000,11642810,12007349
2001,12007399,12381575
2002,12394688,12772573
2003,12800059,13180488
2004,13216406,13604894
2005,13639036,14045554
2006,14067537,14503938
2007,14505221,14981114
2008,14955710,15476024
2009,15424120,15986976
2010,15914819,16513345
2011,16425384,17051388
2012,16956092,17602608
2013,17516980,18177539
2014,18121087,18790443
2015,18775708,19449739
2016,19487414,20161759
2017,20248172,20918416
2018,21032905,21696127
2019,21807166,22462421
2020,22546589,23194411
