"year","percentile","income_family"
1963,"10th",13286.1409753008
1963,"50th",47025.5300823306
1963,"90th",95267.5191893604
1965,"10th",14783.2428119063
1965,"50th",50989.2271057632
1965,"90th",101564.123369221
1966,"10th",16241.5649145029
1966,"50th",53898.7276757442
1966,"90th",107761.737175428
1967,"10th",16201.764661178
1967,"50th",55282.5518682711
1967,"90th",108264.853198227
1968,"10th",17703.9690943635
1968,"50th",57354.2060797974
1968,"90th",113451.132362255
1970,"10th",17354.9514882837
1970,"50th",59243.1873337556
1970,"90th",119518.11969601
1971,"10th",17251.8790373654
1971,"50th",58370.6433185561
1971,"90th",119040.516656111
1972,"10th",17452.9213426219
1972,"50th",61139.3122229259
1972,"90th",126052.504876504
1973,"10th",18224.4339455352
1973,"50th",62842.558961368
1973,"90th",128828.317416086
1974,"10th",17178.4016466118
1974,"50th",59769.7753008233
1974,"90th",124306.396326789
1975,"10th",16621.1981000633
1975,"50th",58337.9867004433
1975,"90th",121104.00671311
1976,"10th",16924.2923369221
1976,"50th",60048.3770740975
1976,"90th",124442.12539582
1977,"10th",16739.578340722
1977,"50th",60137.1622545915
1977,"90th",127283.251171628
1978,"10th",16750.8040531982
1978,"50th",61109.7171627613
1978,"90th",129905.985813806
1979,"10th",16079.3023432552
1979,"50th",60711.7146295124
1979,"90th",130791.796580114
1980,"10th",15109.8089930336
1980,"50th",56744.9560481317
1980,"90th",124500.294996833
1981,"10th",14557.7080430652
1981,"50th",55119.2687777074
1981,"90th",122635.80620646
1982,"10th",13907.6372387587
1982,"50th",54034.4567447752
1982,"90th",123162.394173528
1983,"10th",13802.5237492084
1983,"50th",54637.5836605447
1983,"90th",125333.038758708
1984,"10th",14047.4483850538
1984,"50th",56641.8835972134
1984,"90th",131066.316276124
1985,"10th",14345.4400253325
1985,"50th",57247.051551615
1985,"90th",132795.075997467
1986,"10th",14440.3483217226
1986,"50th",59692.2158328056
1986,"90th",138455.896643445
1987,"10th",14561.7901203293
1987,"50th",60665.7912602913
1987,"90th",141712.373780874
1988,"10th",14602.6108929702
1988,"50th",60210.6396453452
1988,"90th",143026.802659911
1989,"10th",15272.0715642812
1989,"50th",61070.9374287524
1989,"90th",145968.959848005
1990,"10th",14681.190880304
1990,"50th",59534.0353388221
1990,"90th",142212.428245725
1991,"10th",13940.2938568714
1991,"50th",57524.6328055732
1991,"90th",139503.969981001
1992,"10th",13552.4965167828
1992,"50th",57594.0281190627
1992,"90th",139979.531982267
1993,"10th",13235.1150094997
1993,"50th",56067.3312222926
1993,"90th",142460.414439519
1994,"10th",13737.2105129829
1994,"50th",57394.0063331222
1994,"90th",146042.437238759
1995,"10th",14491.3742875238
1995,"50th",58264.5093096897
1995,"90th",146475.137428752
1996,"10th",14156.6439518683
1996,"50th",59227.8795440152
1996,"90th",148677.41811273
1997,"10th",14749.5656744775
1997,"50th",60410.6614312856
1997,"90th",153551.418366054
1998,"10th",15038.372640912
1998,"50th",62480.2746041799
1998,"90th",158359.084863838
1999,"10th",15782.3312222926
1999,"50th",64018.1972134262
1999,"90th",164279.117416086
2000,"10th",16491.5921469284
2000,"50th",64784.6072197594
2000,"90th",166194.632172261
2001,"10th",15678.2382520583
2001,"50th",63437.5217226093
2001,"90th",164840.403039899
2002,"10th",15434.3341355288
2002,"50th",62934.40569981
2002,"90th",163795.391260291
2003,"10th",14816.919949335
2003,"50th",62528.2390120329
2003,"90th",166360.976820773
2004,"10th",14727.114249525
2004,"50th",62663.968081064
2004,"90th",165608.854084864
2005,"10th",14703.6423052565
2005,"50th",62238.4115262825
2005,"90th",166152.790880304
2006,"10th",15170.0196326789
2006,"50th",62568.0392653578
2006,"90th",171475.819632679
2007,"10th",15004.6955034832
2007,"50th",63482.4245725143
2007,"90th",168631.632298923
2008,"10th",14283.1883470551
2008,"50th",60989.2958834706
2008,"90th",164756.720455985
2009,"10th",13420.8495250158
2009,"50th",59617.7179227359
2009,"90th",165469.042938569
2010,"10th",13077.9550348322
2010,"50th",58514.5365421153
2010,"90th",162471.77770741
2011,"10th",12674.8499050032
2011,"50th",57036.8245725143
2011,"90th",159997.018366054
2012,"10th",12674.8499050032
2012,"50th",56983.7575680811
2012,"90th",160463.395693477
2013,"10th",13216.7456618113
2013,"50th",58140.0059531349
2013,"90th",162264.612286257
2014,"10th",13029.9906269791
2014,"50th",59551.3841671944
2014,"90th",170318.550728309
2015,"10th",14052.5509816339
2015,"50th",62396.592020266
2015,"90th",175716.077390754
2016,"10th",14458.717669411
2016,"50th",64959.1160227993
2016,"90th",182826.035465485
