City,Country,Group,Measure,Population
buenos aires,Argentina,0. Exceeded,14.15959305,3054267
adelaide,Australia,1. Within,7.1,23169
albany,Australia,1. Within,6.863598056,97856
canberra,Australia,1. Within,6.8,400000
melbourne,Australia,1. Within,7.7,137889
sydney,Australia,1. Within,7.68,205339
graz,Austria,0. Exceeded,18.79859978,269997
brussels,Belgium,0. Exceeded,18.24726567,1175173
la paz,"Bolivia, Plurinational States of",0. Exceeded,44.39818865,789541
curitiba,Brazil,0. Exceeded,11.11993402,1751907
sao paulo,Brazil,0. Exceeded,18.625,11253503
rio de janeiro,Brazil,0. Exceeded,15.88235294,6476631
burlington,Canada,1. Within,9,42284
calgary,Canada,1. Within,8.5,1203915
edmonton,Canada,1. Within,7.5,878000
houston,Canada,1. Within,9.138318982,2195914
montreal,Canada,0. Exceeded,10.11111111,1886481
north vancouver,Canada,1. Within,5.5,52898
sydney,Canada,1. Within,6,205339
toronto,Canada,1. Within,8.4,2753100
vancouver,Canada,1. Within,7,603500
winnipeg,Canada,1. Within,6.5,718400
santiago,Chile,0. Exceeded,28.771,7314176
anshan,China,0. Exceeded,65.14285714,1529850
anyang,China,0. Exceeded,79.2,950301
baoding,China,0. Exceeded,126,1157891
baotou,China,0. Exceeded,51,2070801
beijing,China,0. Exceeded,85.23853555,10717033
benxi,China,0. Exceeded,53.5,1011377
changchun,China,0. Exceeded,63.6,7392600
changsha,China,0. Exceeded,73.5,6310000
changzhou,China,0. Exceeded,65.33333333,3290918
chongqing,China,0. Exceeded,61.35294118,6362501
dalian,China,0. Exceeded,56,5720800
dandong,China,0. Exceeded,48.75,865576
daqing,China,0. Exceeded,35.8,1649825
datong,China,0. Exceeded,42,1737517
fushun,China,0. Exceeded,53,1410000
fuzhou,China,0. Exceeded,31.33333333,6227300
guangzhou,China,0. Exceeded,47.72727273,7607200
guiyang,China,0. Exceeded,48.6,3545200
haikou,China,0. Exceeded,22,1766800
handan,China,0. Exceeded,111.75,941427
hangzhou,China,0. Exceeded,60.63636364,6663100
hefei,China,0. Exceeded,78.6,4698500
hohhot,China,0. Exceeded,42.875,2158100
hong kong,China,0. Exceeded,29.46666667,7336600
huainan,China,0. Exceeded,65,1666826
jiaozhuo,China,0. Exceeded,52.5,865413
jilin,China,0. Exceeded,50.42857143,4330000
jinan,China,0. Exceeded,51.75,6033500
jingzhou,China,0. Exceeded,74.33333333,1154086
jinzhou,China,0. Exceeded,55.4,1091799
kaifeng,China,0. Exceeded,70.25,826961
kaohsiung,China,0. Exceeded,30.16666667,2778729
kunming,China,0. Exceeded,33.57142857,5143000
lanzhou,China,0. Exceeded,58.4,3136400
linyi,China,0. Exceeded,55.5,2303648
liuzhou,China,0. Exceeded,65.16666667,1436599
luoyang,China,0. Exceeded,56.14285714,1926079
mudanjiang,China,0. Exceeded,49.8,965154
