"character","char_popular","costume","rank","issue","char_costume","parameter","value"
"Gambit = Name Unknown","Gambit","costumed",4,112,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,112,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,113,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,113,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,113,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,113,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,114,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,114,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,114,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,114,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,115,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,115,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,115,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,115,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,116,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,116,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,116,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,116,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,117,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,117,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,117,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,117,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,118,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,118,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,118,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,118,"Gambit (costumed)   ","depicted",0
"Gambit = Name Unknown","Gambit","costumed",4,119,"Gambit (costumed)   ","speech",0
"Gambit = Name Unknown","Gambit","costumed",4,119,"Gambit (costumed)   ","thought",0
"Gambit = Name Unknown","Gambit","costumed",4,119,"Gambit (costumed)   ","narrative",0
"Gambit = Name Unknown","Gambit","costumed",4,119,"Gambit (costumed)   ","depicted",0
