"ISO","NODEI","NODEJ","LONFR","LATFR","LONTO","LATTO","PrdMIG","Iteration","BIN"
"ARG",26,10,-68.5232167,-43.78962611,-66.9524445,-27.33218321,120.5406199,0,"Bin 1"
"ARG",62,10,-67.22900144,-40.40681066,-66.9524445,-27.33218321,144.9314934,0,"Bin 1"
"ARG",78,10,-69.94144159,-48.81270671,-66.9524445,-27.33218321,38.97328678,0,"Bin 1"
"ARG",94,10,-67.40135146,-54.33202133,-66.9524445,-27.33218321,18.26471143,0,"Bin 1"
"ARG",78,18,-69.94144159,-48.81270671,-57.80585864,-28.77651979,99.12398356,0,"Bin 1"
"ARG",94,18,-67.40135146,-54.33202133,-57.80585864,-28.77651979,53.35661239,0,"Bin 1"
"ARG",78,22,-69.94144159,-48.81270671,-60.76674184,-26.38737495,85.73347746,0,"Bin 1"
"ARG",94,22,-67.40135146,-54.33202133,-60.76674184,-26.38737495,43.42373174,0,"Bin 1"
"ARG",10,26,-66.9524445,-27.33218321,-68.5232167,-43.78962611,150.2084919,0,"Bin 1"
"ARG",18,26,-57.80585864,-28.77651979,-68.5232167,-43.78962611,133.4182637,0,"Bin 1"
"ARG",22,26,-60.76674184,-26.38737495,-68.5232167,-43.78962611,119.6520989,0,"Bin 1"
"ARG",34,26,-59.93434035,-24.89443471,-68.5232167,-43.78962611,81.15586323,0,"Bin 1"
"ARG",38,26,-65.76219066,-23.31746423,-68.5232167,-43.78962611,79.39952999,0,"Bin 1"
"ARG",54,26,-54.64727701,-26.87487596,-68.5232167,-43.78962611,75.28869738,0,"Bin 1"
"ARG",66,26,-64.81994139,-24.29608962,-68.5232167,-43.78962611,76.75558844,0,"Bin 1"
"ARG",86,26,-63.25847658,-27.78222843,-68.5232167,-43.78962611,107.452647,0,"Bin 1"
"ARG",90,26,-65.36569836,-26.94379196,-68.5232167,-43.78962611,129.0159432,0,"Bin 1"
"ARG",94,30,-67.40135146,-54.33202133,-59.20754035,-32.04603236,106.5145191,0,"Bin 1"
"ARG",26,34,-68.5232167,-43.78962611,-59.93434035,-24.89443471,103.1976909,0,"Bin 1"
"ARG",62,34,-67.22900144,-40.40681066,-59.93434035,-24.89443471,127.2166273,0,"Bin 1"
"ARG",78,34,-69.94144159,-48.81270671,-59.93434035,-24.89443471,34.3228325,0,"Bin 1"
"ARG",94,34,-67.40135146,-54.33202133,-59.93434035,-24.89443471,17.50959431,0,"Bin 1"
"ARG",26,38,-68.5232167,-43.78962611,-65.76219066,-23.31746423,124.0335793,0,"Bin 1"
"ARG",62,38,-67.22900144,-40.40681066,-65.76219066,-23.31746423,155.1841581,0,"Bin 1"
"ARG",78,38,-69.94144159,-48.81270671,-65.76219066,-23.31746423,40.72361091,0,"Bin 1"
"ARG",94,38,-67.40135146,-54.33202133,-65.76219066,-23.31746423,19.26172828,0,"Bin 1"
"ARG",94,42,-67.40135146,-54.33202133,-65.44833776,-37.13031093,94.87524347,0,"Bin 1"
"ARG",26,46,-68.5232167,-43.78962611,-67.1782928,-29.67988556,148.2629957,0,"Bin 1"
"ARG",78,46,-69.94144159,-48.81270671,-67.1782928,-29.67988556,48.76906764,0,"Bin 1"
"ARG",94,46,-67.40135146,-54.33202133,-67.1782928,-29.67988556,22.83453207,0,"Bin 1"
"ARG",78,54,-69.94144159,-48.81270671,-54.64727701,-26.87487596,74.25707699,0,"Bin 1"
"ARG",94,54,-67.40135146,-54.33202133,-54.64727701,-26.87487596,41.78305578,0,"Bin 1"
"ARG",34,58,-59.93434035,-24.89443471,-70.1179789,-38.6356254,148.1219173,0,"Bin 1"
"ARG",54,58,-54.64727701,-26.87487596,-70.1179789,-38.6356254,117.4181403,0,"Bin 1"
"ARG",66,58,-64.81994139,-24.29608962,-70.1179789,-38.6356254,158.3748563,0,"Bin 1"
"ARG",94,58,-67.40135146,-54.33202133,-70.1179789,-38.6356254,128.0782899,0,"Bin 1"
"ARG",38,62,-65.76219066,-23.31746423,-67.22900144,-40.40681066,160.4443675,0,"Bin 1"
"ARG",54,62,-54.64727701,-26.87487596,-67.22900144,-40.40681066,144.4262917,0,"Bin 1"
"ARG",66,62,-64.81994139,-24.29608962,-67.22900144,-40.40681066,155.5734835,0,"Bin 1"
"ARG",78,66,-69.94144159,-48.81270671,-64.81994139,-24.29608962,82.48384976,0,"Bin 1"
"ARG",94,66,-67.40135146,-54.33202133,-64.81994139,-24.29608962,39.43927513,0,"Bin 1"
"ARG",78,70,-69.94144159,-48.81270671,-68.87496045,-30.86424011,119.7691876,0,"Bin 1"
"ARG",94,70,-67.40135146,-54.33202133,-68.87496045,-30.86424011,55.14650681,0,"Bin 1"
"ARG",78,74,-69.94144159,-48.81270671,-66.02992999,-33.76741265,110.0146312,0,"Bin 1"
"ARG",94,74,-67.40135146,-54.33202133,-66.02992999,-33.76741265,51.59852407,0,"Bin 1"
"ARG",10,78,-66.9524445,-27.33218321,-69.94144159,-48.81270671,62.6824931,0,"Bin 1"
"ARG",18,78,-57.80585864,-28.77651979,-69.94144159,-48.81270671,57.97933807,0,"Bin 1"
"ARG",22,78,-60.76674184,-26.38737495,-69.94144159,-48.81270671,50.4021987,0,"Bin 1"
"ARG",30,78,-59.20754035,-32.04603236,-69.94144159,-48.81270671,84.71542429,0,"Bin 1"
"ARG",34,78,-59.93434035,-24.89443471,-69.94144159,-48.81270671,34.27385054,0,"Bin 1"
"ARG",38,78,-65.76219066,-23.31746423,-69.94144159,-48.81270671,33.10229193,0,"Bin 1"
"ARG",46,78,-67.1782928,-29.67988556,-69.94144159,-48.81270671,79.217165,0,"Bin 1"
"ARG",54,78,-54.64727701,-26.87487596,-69.94144159,-48.81270671,32.88655727,0,"Bin 1"
"ARG",66,78,-64.81994139,-24.29608962,-69.94144159,-48.81270671,31.40399183,0,"Bin 1"
"ARG",70,78,-68.87496045,-30.86424011,-69.94144159,-48.81270671,120.8397161,0,"Bin 1"
"ARG",74,78,-66.02992999,-33.76741265,-69.94144159,-48.81270671,111.7425426,0,"Bin 1"
"ARG",82,78,-60.95070867,-30.70353814,-69.94144159,-48.81270671,78.24762733,0,"Bin 1"
"ARG",86,78,-63.25847658,-27.78222843,-69.94144159,-48.81270671,44.85787541,0,"Bin 1"
"ARG",90,78,-65.36569836,-26.94379196,-69.94144159,-48.81270671,53.70125074,0,"Bin 1"
"ARG",78,86,-69.94144159,-48.81270671,-63.25847658,-27.78222843,92.14190321,0,"Bin 1"
"ARG",94,86,-67.40135146,-54.33202133,-63.25847658,-27.78222843,45.1608096,0,"Bin 1"
"ARG",78,90,-69.94144159,-48.81270671,-65.36569836,-26.94379196,141.3474549,0,"Bin 1"
"ARG",94,90,-67.40135146,-54.33202133,-65.36569836,-26.94379196,68.54440342,0,"Bin 1"
"ARG",2,94,-58.44443585,-34.61767799,-67.40135146,-54.33202133,73.98141812,0,"Bin 1"
"ARG",10,94,-66.9524445,-27.33218321,-67.40135146,-54.33202133,13.64960625,0,"Bin 1"
"ARG",14,94,-63.79954777,-32.1412181,-67.40135146,-54.33202133,58.9422432,0,"Bin 1"
"ARG",18,94,-57.80585864,-28.77651979,-67.40135146,-54.33202133,14.5012351,0,"Bin 1"
"ARG",22,94,-60.76674184,-26.38737495,-67.40135146,-54.33202133,11.86173197,0,"Bin 1"
"ARG",26,94,-68.5232167,-43.78962611,-67.40135146,-54.33202133,143.3055962,0,"Bin 1"
"ARG",30,94,-59.20754035,-32.04603236,-67.40135146,-54.33202133,21.09821353,0,"Bin 1"
"ARG",34,94,-59.93434035,-24.89443471,-67.40135146,-54.33202133,8.123976567,0,"Bin 1"
"ARG",38,94,-65.76219066,-23.31746423,-67.40135146,-54.33202133,7.274796967,0,"Bin 1"
"ARG",42,94,-65.44833776,-37.13031093,-67.40135146,-54.33202133,47.52326202,0,"Bin 1"
"ARG",46,94,-67.1782928,-29.67988556,-67.40135146,-54.33202133,17.23454124,0,"Bin 1"
"ARG",50,94,-68.58667905,-34.62865146,-67.40135146,-54.33202133,49.42551164,0,"Bin 1"
"ARG",54,94,-54.64727701,-26.87487596,-67.40135146,-54.33202133,8.752887267,0,"Bin 1"
"ARG",58,94,-70.1179789,-38.6356254,-67.40135146,-54.33202133,64.03964286,0,"Bin 1"
"ARG",62,94,-67.22900144,-40.40681066,-67.40135146,-54.33202133,69.01459506,0,"Bin 1"
"ARG",66,94,-64.81994139,-24.29608962,-67.40135146,-54.33202133,7.102580207,0,"Bin 1"
"ARG",70,94,-68.87496045,-30.86424011,-67.40135146,-54.33202133,26.32108241,0,"Bin 1"
"ARG",74,94,-66.02992999,-33.76741265,-67.40135146,-54.33202133,25.23827686,0,"Bin 1"
"ARG",82,94,-60.95070867,-30.70353814,-67.40135146,-54.33202133,18.70881274,0,"Bin 1"
"ARG",86,94,-63.25847658,-27.78222843,-67.40135146,-54.33202133,10.23064299,0,"Bin 1"
"ARG",90,94,-65.36569836,-26.94379196,-67.40135146,-54.33202133,11.90355294,0,"Bin 1"
