Country,Exports,Imports,Net_exports
Argentina,4206,6119,− 1913
Australia,1394,"16,463","− 15,069"
Austria,1392,8304,− 6912
Belgium,1922,5715,− 3793
Brazil,7243,"46,138","− 38,895"
Canada,295,"15,510","− 15,215"
Chile,1241,1396,− 155
China,"114,822","110,351",4471
Colombia,2127,5038,− 2911
Czech Republic,3467,3070,397
Denmark,1265,3417,− 2152
Egypt,7971,1934,6038
France,"40,353","21,391","18,962"
Germany,"12,208","22,483","− 10,276"
Greece,9772,4096,5676
Hungary,2614,1619,995
India,"46,607","50,841",− 4233
Indonesia,8335,"18,462","− 10,127"
Ireland,2035,3703,− 1669
Israel,3337,2038,1300
Italy,"176,219","17,945","158,274"
Japan,"91,447","47,564","43,883"
Malaysia,2990,4855,− 1865
Mexico,"29,251","12,276","16,975"
Morocco,2561,1419,1143
New Zealand,172,3653,− 3481
Norway,1869,3444,− 1575
Peru,2202,2322,− 119
Poland,2852,4057,− 1204
Portugal,3131,4043,− 912
Russia,"11,740",6292,5448
South Korea,"18,048","32,739","− 14,691"
Spain,"21,358","41,649","− 20,290"
Sweden,1926,7754,− 5828
Switzerland,1739,7978,− 6239
Taiwan,5287,9551,− 4264
Thailand,"21,409","10,309","11,101"
The Netherlands,2498,5688,− 3190
Turkey,"18,676",2021,"16,655"
Ukraine,1398,1716,− 319
UK,9928,"30,064","− 20,137"
USA,"26,919","160,698","− 133,778"
Venezuela,1785,236,1549
Vietnam,"10,282",8957,1325
