from,to,value
World,World,5
World,Africa,5
World,Americas,5
World,Asia,5
World,Europe,5
World,Oceania,5
Africa,Northern Africa,5
Africa,Sub-Saharan Africa,5
Americas,Latin America and the Caribbean,5
Americas,Northern America,5
Asia,Central Asia,5
Asia,Eastern Asia,5
Asia,South-eastern Asia,5
Asia,Southern Asia,5
Asia,Western Asia,5
Europe,Eastern Europe,5
Europe,Northern Europe,5
Europe,Southern Europe,5
Europe,Western Europe,5
Oceania,Australia and New Zealand,5
Oceania,Melanesia,5
Oceania,Micronesia,5
Oceania,Polynesia,5
Australia and New Zealand,AUS,57740.23
Australia and New Zealand,NZL,8826.934
Central Asia,KAZ,42944.969
Central Asia,KGZ,19001.685
Central Asia,TJK,43619.488
Central Asia,TKM,17847.796
Central Asia,UZB,60573.729
Eastern Asia,CHN,1586270.852
Eastern Asia,HKG,11726.199
Eastern Asia,JPN,128566.659
Eastern Asia,KOR,59116.46
Eastern Asia,MAC,1447.631
Eastern Asia,MNG,8202.826
Eastern Asia,PRK,36554.604
Eastern Europe,BGR,8975.291
Eastern Europe,BLR,11648.411
Eastern Europe,CZE,13155.132
Eastern Europe,HUN,10754.766
Eastern Europe,MDA,4375.313
Eastern Europe,POL,39378.92
Eastern Europe,ROU,23489.373
Eastern Europe,RUS,188380.273
Eastern Europe,SVK,5950.175
Eastern Europe,UKR,51464.348
Latin America and the Caribbean,ABW,147.005
Latin America and the Caribbean,AIA,19.87
Latin America and the Caribbean,ARG,87009.534
Latin America and the Caribbean,ATG,189.171
Latin America and the Caribbean,BHS,693.483
Latin America and the Caribbean,BLZ,1246.426
Latin America and the Caribbean,BOL,37108.491
Latin America and the Caribbean,BRA,301360.246
Latin America and the Caribbean,BRB,389.855
Latin America and the Caribbean,CHL,28523.165
Latin America and the Caribbean,COL,71358.331
Latin America and the Caribbean,CRI,7734.282
Latin America and the Caribbean,CUB,12648.31
Latin America and the Caribbean,CUW,273.153
Latin America and the Caribbean,CYM,139.553
Latin America and the Caribbean,DMA,93.073
Latin America and the Caribbean,DOM,22387.142
Latin America and the Caribbean,ECU,41112.654
Latin America and the Caribbean,FLK,3.866
Latin America and the Caribbean,GLP,531.921
Latin America and the Caribbean,GRD,145.19
Latin America and the Caribbean,GTM,75213.923
Latin America and the Caribbean,GUF,1682.987
Latin America and the Caribbean,GUY,1167.332
Latin America and the Caribbean,HND,25959.488
Latin America and the Caribbean,HTI,31551.404
Latin America and the Caribbean,JAM,3741.344
Latin America and the Caribbean,KNA,86.61
Latin America and the Caribbean,LCA,221.301
Latin America and the Caribbean,MEX,238691.708
Latin America and the Caribbean,MSR,14.629
Latin America and the Caribbean,MTQ,437.913
Latin America and the Caribbean,NIC,11439.129
Latin America and the Caribbean,PAN,10639.848
Latin America and the Caribbean,PER,67897.842
Latin America and the Caribbean,PRI,4041.273
Latin America and the Caribbean,PRY,15174.781
Latin America and the Caribbean,SLV,9176.891
Latin America and the Caribbean,SUR,950.907
Latin America and the Caribbean,SXM,89.959
Latin America and the Caribbean,TCA,76.611
Latin America and the Caribbean,TTO,1596.596
Latin America and the Caribbean,URY,5048.091
Latin America and the Caribbean,VCT,136.248
Latin America and the Caribbean,VEN,65932.569
Latin America and the Caribbean,VGB,52.596
Latin America and the Caribbean,VIR,111.179
Melanesia,FJI,1546.186
Melanesia,NCL,624.628
Melanesia,PNG,45454.572
Melanesia,SLB,3944.013
Melanesia,VUT,1345.26
Micronesia,FSM,287.954
Micronesia,GUM,272.72
Micronesia,KIR,528.975
Micronesia,MHL,278.537
Micronesia,MNP,69.388
Micronesia,NRU,14.674
Micronesia,PLW,42.096
Northern Africa,DZA,123505.862
Northern Africa,EGY,444120.656
Northern Africa,ESH,2073.77
Northern Africa,LBY,11989.972
Northern Africa,MAR,75040.302
Northern Africa,SDN,418879.586
Northern Africa,TUN,20111.537
Northern America,BMU,65.13
Northern America,CAN,71963.108
Northern America,GRL,70.823
Northern America,SPM,10.585
Northern America,USA,644259.725
Northern Europe,DNK,9810.71
Northern Europe,EST,1569.971
Northern Europe,FIN,8850.459
Northern Europe,FRO,83.397
Northern Europe,GBR,116555.284
Northern Europe,IMN,149.059
Northern Europe,IRL,9130.909
Northern Europe,ISL,559.265
Northern Europe,JEY,257.219
Northern Europe,LTU,3697.453
Northern Europe,LVA,2664.432
Northern Europe,NOR,11374.227
Northern Europe,SWE,19004.422
Polynesia,ASM,120.853
Polynesia,COK,24.496
Polynesia,NIU,5.237
Polynesia,PYF,447.998
Polynesia,TKL,3.67
Polynesia,TON,373.73
Polynesia,TUV,35.695
Polynesia,WLF,14.651
Polynesia,WSM,765.875
South-eastern Asia,BRN,735.722
South-eastern Asia,IDN,490536.592
South-eastern Asia,KHM,42553.774
South-eastern Asia,LAO,20671.1
South-eastern Asia,MMR,87229.979
South-eastern Asia,MYS,62378.848
South-eastern Asia,PHL,344331.83
South-eastern Asia,SGP,9279.582
South-eastern Asia,THA,79641.753
South-eastern Asia,TLS,19904.276
South-eastern Asia,VNM,162987.015
Southern Asia,AFG,493212.554
Southern Asia,BGD,281210.377
Southern Asia,BTN,1350.092
Southern Asia,IND,2452764.607
Southern Asia,IRN,115284.385
Southern Asia,LKA,25111.204
Southern Asia,MDV,747.014
Southern Asia,NPL,52829.68
Southern Asia,PAK,990281.131
Southern Europe,ALB,3281.454
Southern Europe,AND,100.458
Southern Europe,BIH,4508.056
Southern Europe,ESP,54251.16
Southern Europe,GIB,54.11
Southern Europe,GRC,11963.189
Southern Europe,HRV,4780.629
Southern Europe,ITA,69307.957
Southern Europe,MKD,2325.365
Southern Europe,MLT,527.235
Southern Europe,MNE,710.323
Southern Europe,PRT,11030.258
Southern Europe,SMR,46.139
Southern Europe,SRB,9884.147
Southern Europe,SVN,2463.11
Southern Europe,VAT,1.705
Sub-Saharan Africa,AGO,651697.308
Sub-Saharan Africa,BDI,191300.559
