"category","meta_cat","group_num","year","gross_inv"
"Total basic infrastructure","Total infrastructure",1,1947,4974.662
"Total basic infrastructure","Total infrastructure",1,1948,6486.77
"Total basic infrastructure","Total infrastructure",1,1949,7376.143
"Total basic infrastructure","Total infrastructure",1,1950,7943.959
"Total basic infrastructure","Total infrastructure",1,1951,8961.233
"Total basic infrastructure","Total infrastructure",1,1952,9707.59
"Total basic infrastructure","Total infrastructure",1,1953,10778.356
"Total basic infrastructure","Total infrastructure",1,1954,11278.156
"Total basic infrastructure","Total infrastructure",1,1955,11368.955
"Total basic infrastructure","Total infrastructure",1,1956,13315.822
"Total basic infrastructure","Total infrastructure",1,1957,14935.069
"Total basic infrastructure","Total infrastructure",1,1958,15185.956
"Total basic infrastructure","Total infrastructure",1,1959,15687.969
"Total basic infrastructure","Total infrastructure",1,1960,15630.72
"Total basic infrastructure","Total infrastructure",1,1961,16076.7
"Total basic infrastructure","Total infrastructure",1,1962,16620.927
"Total basic infrastructure","Total infrastructure",1,1963,17810.63
"Total basic infrastructure","Total infrastructure",1,1964,19151.88
"Total basic infrastructure","Total infrastructure",1,1965,21019.879
"Total basic infrastructure","Total infrastructure",1,1966,22944.629
"Total basic infrastructure","Total infrastructure",1,1967,24661.135
"Total basic infrastructure","Total infrastructure",1,1968,27539.974
"Total basic infrastructure","Total infrastructure",1,1969,27511.964
"Total basic infrastructure","Total infrastructure",1,1970,29059.537
"Total basic infrastructure","Total infrastructure",1,1971,30659.364
"Total basic infrastructure","Total infrastructure",1,1972,32586.609
"Total basic infrastructure","Total infrastructure",1,1973,35079.982
"Total basic infrastructure","Total infrastructure",1,1974,40236.707
"Total basic infrastructure","Total infrastructure",1,1975,44101.149
"Total basic infrastructure","Total infrastructure",1,1976,46509.197
"Total basic infrastructure","Total infrastructure",1,1977,48539.167
"Total basic infrastructure","Total infrastructure",1,1978,55194.969
"Total basic infrastructure","Total infrastructure",1,1979,62262.192
"Total basic infrastructure","Total infrastructure",1,1980,68821.798
"Total basic infrastructure","Total infrastructure",1,1981,71955.581
"Total basic infrastructure","Total infrastructure",1,1982,69726.943
"Total basic infrastructure","Total infrastructure",1,1983,68436.472
"Total basic infrastructure","Total infrastructure",1,1984,79244.536
"Total basic infrastructure","Total infrastructure",1,1985,90771.196
"Total basic infrastructure","Total infrastructure",1,1986,90667.15
"Total basic infrastructure","Total infrastructure",1,1987,96123.725
"Total basic infrastructure","Total infrastructure",1,1988,94556.623
"Total basic infrastructure","Total infrastructure",1,1989,98001.089
"Total basic infrastructure","Total infrastructure",1,1990,107478.37
"Total basic infrastructure","Total infrastructure",1,1991,108947.773
"Total basic infrastructure","Total infrastructure",1,1992,109970.016
"Total basic infrastructure","Total infrastructure",1,1993,114651.214
"Total basic infrastructure","Total infrastructure",1,1994,113485.816
"Total basic infrastructure","Total infrastructure",1,1995,120066.938
"Total basic infrastructure","Total infrastructure",1,1996,124395.57
"Total basic infrastructure","Total infrastructure",1,1997,127101.674
"Total basic infrastructure","Total infrastructure",1,1998,137525.454
"Total basic infrastructure","Total infrastructure",1,1999,145675.566
"Total basic infrastructure","Total infrastructure",1,2000,166277.313
"Total basic infrastructure","Total infrastructure",1,2001,178321.637
"Total basic infrastructure","Total infrastructure",1,2002,181722.798
"Total basic infrastructure","Total infrastructure",1,2003,186392.239
"Total basic infrastructure","Total infrastructure",1,2004,182462.017
"Total basic infrastructure","Total infrastructure",1,2005,194008.588
"Total basic infrastructure","Total infrastructure",1,2006,217456.578
"Total basic infrastructure","Total infrastructure",1,2007,253675.313
"Total basic infrastructure","Total infrastructure",1,2008,276069.766
"Total basic infrastructure","Total infrastructure",1,2009,280046.252
"Total basic infrastructure","Total infrastructure",1,2010,273672.345
"Total basic infrastructure","Total infrastructure",1,2011,277161.232
"Total basic infrastructure","Total infrastructure",1,2012,300395.3
"Total basic infrastructure","Total infrastructure",1,2013,295336.747
"Total basic infrastructure","Total infrastructure",1,2014,319725.233
"Total basic infrastructure","Total infrastructure",1,2015,321772.742
"Total basic infrastructure","Total infrastructure",1,2016,323841.103
"Total basic infrastructure","Total infrastructure",1,2017,326183.1
"Total social infrastructure","Total infrastructure",1,1947,918.062
"Total social infrastructure","Total infrastructure",1,1948,1623.775
"Total social infrastructure","Total infrastructure",1,1949,2387.737
"Total social infrastructure","Total infrastructure",1,1950,2839.377
"Total social infrastructure","Total infrastructure",1,1951,3294.751
"Total social infrastructure","Total infrastructure",1,1952,3280.136
"Total social infrastructure","Total infrastructure",1,1953,3290.977
"Total social infrastructure","Total infrastructure",1,1954,3863.341
"Total social infrastructure","Total infrastructure",1,1955,4181.528
"Total social infrastructure","Total infrastructure",1,1956,4486.209
"Total social infrastructure","Total infrastructure",1,1957,4986.963
"Total social infrastructure","Total infrastructure",1,1958,5191.954
"Total social infrastructure","Total infrastructure",1,1959,5068.997
"Total social infrastructure","Total infrastructure",1,1960,5382.998
"Total social infrastructure","Total infrastructure",1,1961,5906.004
"Total social infrastructure","Total infrastructure",1,1962,6235
"Total social infrastructure","Total infrastructure",1,1963,6897.002
"Total social infrastructure","Total infrastructure",1,1964,7695
"Total social infrastructure","Total infrastructure",1,1965,8592.002
"Total social infrastructure","Total infrastructure",1,1966,10044.998
"Total social infrastructure","Total infrastructure",1,1967,10992.001
"Total social infrastructure","Total infrastructure",1,1968,11607.598
"Total social infrastructure","Total infrastructure",1,1969,12396.902
"Total social infrastructure","Total infrastructure",1,1970,12748.721
"Total social infrastructure","Total infrastructure",1,1971,14075.305
"Total social infrastructure","Total infrastructure",1,1972,14980.214
"Total social infrastructure","Total infrastructure",1,1973,16315.428
"Total social infrastructure","Total infrastructure",1,1974,17968.214
"Total social infrastructure","Total infrastructure",1,1975,18909.482
"Total social infrastructure","Total infrastructure",1,1976,19631.989
"Total social infrastructure","Total infrastructure",1,1977,19259.082
"Total social infrastructure","Total infrastructure",1,1978,21520.189
"Total social infrastructure","Total infrastructure",1,1979,23894.253
"Total social infrastructure","Total infrastructure",1,1980,27635.562
"Total social infrastructure","Total infrastructure",1,1981,30385.084
"Total social infrastructure","Total infrastructure",1,1982,35671.461
"Total social infrastructure","Total infrastructure",1,1983,37334.194
"Total social infrastructure","Total infrastructure",1,1984,40849.16
"Total social infrastructure","Total infrastructure",1,1985,42633.727
"Total social infrastructure","Total infrastructure",1,1986,45859.776
"Total social infrastructure","Total infrastructure",1,1987,50153.495
"Total social infrastructure","Total infrastructure",1,1988,54173.316
"Total social infrastructure","Total infrastructure",1,1989,58362.741
"Total social infrastructure","Total infrastructure",1,1990,64627.34
"Total social infrastructure","Total infrastructure",1,1991,67980.868
"Total social infrastructure","Total infrastructure",1,1992,71861.02
"Total social infrastructure","Total infrastructure",1,1993,74644.83
"Total social infrastructure","Total infrastructure",1,1994,75186.622
"Total social infrastructure","Total infrastructure",1,1995,81434.338
"Total social infrastructure","Total infrastructure",1,1996,88687.442
"Total social infrastructure","Total infrastructure",1,1997,100569.21
"Total social infrastructure","Total infrastructure",1,1998,110483.085
"Total social infrastructure","Total infrastructure",1,1999,116898.823
"Total social infrastructure","Total infrastructure",1,2000,127439.297
"Total social infrastructure","Total infrastructure",1,2001,137960.745
"Total social infrastructure","Total infrastructure",1,2002,150194.85
"Total social infrastructure","Total infrastructure",1,2003,159153.728
"Total social infrastructure","Total infrastructure",1,2004,168175.238
"Total social infrastructure","Total infrastructure",1,2005,184519.897
"Total social infrastructure","Total infrastructure",1,2006,199762.888
"Total social infrastructure","Total infrastructure",1,2007,223090.122
"Total social infrastructure","Total infrastructure",1,2008,233017.782
"Total social infrastructure","Total infrastructure",1,2009,221500.584
"Total social infrastructure","Total infrastructure",1,2010,208517.651
"Total social infrastructure","Total infrastructure",1,2011,208566.041
"Total social infrastructure","Total infrastructure",1,2012,213631.093
"Total social infrastructure","Total infrastructure",1,2013,213046.646
"Total social infrastructure","Total infrastructure",1,2014,211869.962
"Total social infrastructure","Total infrastructure",1,2015,223512.366
"Total social infrastructure","Total infrastructure",1,2016,233828.743
"Total social infrastructure","Total infrastructure",1,2017,245395.208
"Total digital infrastructure","Total infrastructure",1,1947,1110
"Total digital infrastructure","Total infrastructure",1,1948,1316
"Total digital infrastructure","Total infrastructure",1,1949,1068
"Total digital infrastructure","Total infrastructure",1,1950,988
"Total digital infrastructure","Total infrastructure",1,1951,1052
"Total digital infrastructure","Total infrastructure",1,1952,1392
"Total digital infrastructure","Total infrastructure",1,1953,1451
"Total digital infrastructure","Total infrastructure",1,1954,1388
"Total digital infrastructure","Total infrastructure",1,1955,1531
"Total digital infrastructure","Total infrastructure",1,1956,2195
"Total digital infrastructure","Total infrastructure",1,1957,2289
"Total digital infrastructure","Total infrastructure",1,1958,1991
"Total digital infrastructure","Total infrastructure",1,1959,2165
"Total digital infrastructure","Total infrastructure",1,1960,2814
"Total digital infrastructure","Total infrastructure",1,1961,3001
"Total digital infrastructure","Total infrastructure",1,1962,3327
"Total digital infrastructure","Total infrastructure",1,1963,3543
"Total digital infrastructure","Total infrastructure",1,1964,3721
"Total digital infrastructure","Total infrastructure",1,1965,4367
"Total digital infrastructure","Total infrastructure",1,1966,4941
"Total digital infrastructure","Total infrastructure",1,1967,5231
"Total digital infrastructure","Total infrastructure",1,1968,5739
"Total digital infrastructure","Total infrastructure",1,1969,7016
"Total digital infrastructure","Total infrastructure",1,1970,8544
"Total digital infrastructure","Total infrastructure",1,1971,8742
