Date,Dy,Location,Mo,Month New,Name,Name - Split 2,YEAR,Year & Name (Combined) (group),Year & Name (Combined) (group) 1,# Missing,# of Deaths,# of Injuries,Calculation2,Damage in Millions,Damages Dollars,Day New,Houses Damaged,Houses Destroyed,Hr,Latitude,Longitude,Magnitude,Magnitude Category,Mn,Number of Records,Sec,TOTAL DEATHS AND INJURIES
1/4/1918,4,GUATEMALA,1,1,GUATEMALA: GUATEMALA CITY,GUATEMALA CITY,1918,Other,Other,,,,0.543954790,,,4,,,4,14,-90,,9,37,1,,
1/30/1918,30,RUSSIA,1,1,RUSSIA: E COAST OF,E COAST OF,1918,Other,Other,,,,0.398535884,,,30,,,21,45.4,136.5,7.7,7,18,1,33,
2/7/1918,7,PHILIPPINES,2,2,PHILIPPINES: MINDANAO,MINDANAO,1918,Other,Other,,,,0.916423933,,,7,,,5,6.5,126.5,7.5,7,20,1,30,
2/13/1918,13,CHINA,2,2,CHINA: GUANGDONG PROVINCE,GUANGDONG PROVINCE,1918,Other,Other,,2000,,0.494994497,,,13,,,6,23.5,117.2,7.3,7,7,1,13,
4/21/1918,21,CALIFORNIA,4,4,CALIFORNIA,,1918,Other,Other,,,,0.687491292,,,21,,,22,33.7,-117,6.8,6,32,1,,
5/20/1918,20,CHILE,5,5,CHILE: NORTHERN,NORTHERN,1918,Other,Other,,,,0.915202228,,,20,,,17,-28.5,-71.5,7.9,7,55,1,10,
7/3/1918,3,PAPUA NEW GUINEA,7,7,PAPUA NEW GUINEA: N COAST,N COAST,1918,Other,Other,,,,0.150996946,,,3,,,6,-3.5,142.5,7.5,7,52,1,,
7/8/1918,8,BANGLADESH,7,7,BANGLADESH: SRIMANGAL,SRIMANGAL,1918,Other,Other,,,,0.476945903,,,8,,,10,24.5,91,7.6,7,22,1,7,
8/14/1918,14,CHINA,8,8,CHINA: YUNNAN PROVINCE,YUNNAN PROVINCE,1918,Other,Other,,,,0.635984405,,,14,,,,26.9,103,5.5,5,,1,,
8/15/1918,15,PHILIPPINES,8,8,PHILIPPINES: MINDANAO: COTABATO,MINDANAO,1918,Other,Other,,52,,0.029967977,,,15,,,12,5.5,123,8.3,8,18,1,12,
9/7/1918,7,RUSSIA,9,9,RUSSIA: KURIL ISLANDS,KURIL ISLANDS,1918,Other,Other,,23,7,0.847210124,,,7,19,,17,45.5,151.5,8.3,8,16,1,,30
9/13/1918,13,PHILIPPINES,9,9,"PHILIPPINES: BATANES: IVANA,SABTAN,SAN VICENTE",BATANES,1918,Other,Other,,,,0.834648777,,,13,,,6,20.4,121.95,,9,55,1,,
10/11/1918,11,PUERTO RICO,10,10,PUERTO RICO: MONA PASSAGE,MONA PASSAGE,1918,Other,Other,100,144,,0.147141668,4,4000000,11,,,14,18.5,-67.5,7.3,7,14,1,,
10/25/1918,25,PUERTO RICO,10,10,PUERTO RICO,,1918,Other,Other,,,,0.686603775,,,25,,,3,18.5,-67.5,,9,43,1,,
11/8/1918,8,RUSSIA,11,11,RUSSIA: KURIL ISLANDS,KURIL ISLANDS,1918,Other,Other,,,,0.094978896,,,8,,,4,44.5,151.5,7.8,7,38,1,,
11/12/1918,12,PUERTO RICO,11,11,PUERTO RICO,,1918,Other,Other,,,,0.094286865,,,12,,,21,18.2,-68.2,,9,45,1,,
11/18/1918,18,INDONESIA,11,11,INDONESIA: BANDA SEA,BANDA SEA,1918,Other,Other,,,,0.323525920,,,18,,,18,-7,129,8.1,8,41,1,55,
12/4/1918,4,CHILE,12,12,CHILE: COPIAPO,COPIAPO,1918,Other,Other,,,,0.752292052,,,4,,,11,-26,-71,7.8,7,47,1,48,
