Competent Authority,Total,% of Total,2013 - 2014 % Change
Home Office UK Visas and Immigration (UKVI),"1,405",60%,36%
Home Office UKVI hosted within NCA UK Human Trafficking Centre (UKHTC),210,9%,64%
NCA UK Human Trafficking Centre (UKHTC),725,31%,24%
Total,"2,340",,
