Competent Authority,Total,% of Total,2014 - 2015 % Change
Home Office UK Visas and Immigration (UKVI),2291,70.10%,63.20%
Home Office UKVI hosted within NCA UK Human Trafficking Centre (UKHTC),132,4.00%,-37.10%
NCA UK Human Trafficking Centre (UKHTC),802,24.60%,10.50%
NRM Pilot cases - Slavery Safeguarding Leads and Panel,41,1.30%,N/A
Total,3266,,
