"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Albania","Export","Crustaceans","29","","354","","20","","58","","6","","1","","32","","33","","1","","1030","","554","","961","","829","","78","","947","F","1453",""
"Albania","Export","Fish","4387","","5990","","8329","F","13379","","16896","","1631","","1671","","1809","","2254","","28967","","30514","","31189","","31096","","34891","","32499","","33989",""
"Albania","Import","Crustaceans","15","","13","","19","","28","","18","","78","","512","","615","","1351","","1171","","1625","","2803","","2308","","1980","","3203","F","3583",""
"Albania","Import","Fish","4075","","5173","","9605","","11092","","13275","","14957","","15141","","15953","","22370","","24095","","22892","","25958","","22004","","27862","","28940","F","30991",""
"Andorra","Export","Crustaceans","0","-","0","-","0","-","0","-","0","-","5","F","0","-","0","-","0","-","0","-","0","-","1","","0","-","0","-","0","-","1",""
"Andorra","Export","Fish","0","-","0","-","0","-","1","","0","-","46","F","0","-","0","-","1","","24","","0","-","20","","3","","4","","0","-","7","F"
"Andorra","Import","Crustaceans","2241","","1743","","1632","","2121","","2090","","1989","F","1900","","1969","","2681","","2260","","2120","","2121","","1732","","1910","","2229","","4254","F"
"Andorra","Import","Fish","7517","","8426","","9834","","12113","","14034","","15647","F","15438","","16147","","15244","","13199","","12831","","13905","","12650","","13450","","14008","","12721","F"
"Austria","Export","Crustaceans","182","","211","","137","","186","","219","","401","","2216","","3585","","4939","","4575","","2806","","7275","","8656","","8072","","5466","","4685",""
"Austria","Export","Fish","7836","","6533","","17916","","30934","","41967","","17220","","13895","","22031","","31093","","36878","","45112","","67647","","77492","","80955","","75330","","64929",""
"Austria","Import","Crustaceans","19435","","19413","","18005","","22408","","27547","","27403","","32724","","47178","","47323","","45470","","50070","","54299","","54169","","55188","","71075","","66750",""
"Austria","Import","Fish","127970","","147371","","162952","","204720","","241322","","228189","","265571","","351972","","378666","","364870","","367393","","442941","","434442","","487711","","499154","","427740",""
"Belarus","Export","Crustaceans","4920","","1930","","1692","","2725","","3406","","4030","","3368","","3622","","3014","","5161","","7327","","14417","","17188","","14291","","13334","","9018",""
"Belarus","Export","Fish","13956","","13502","","18787","","35889","","47895","","56391","","79645","","102909","","133629","","92257","","104574","","133651","","165907","","245912","","299061","","244636",""
"Belarus","Import","Crustaceans","4770","","2090","","1995","","2870","","3957","","4377","","4040","","5185","","6311","","7118","","10749","","15738","","17559","","21095","","20495","","10897",""
"Belarus","Import","Fish","65912","","80018","","91493","","100380","","133398","","182328","","224768","","258433","","307521","","271167","","245128","","258784","","314898","","430820","","454709","","351834",""
"Belgium","Export","Crustaceans","194848","","194632","","225370","","308873","","351165","","374471","","479201","","523859","","556322","","445892","","477660","","585043","","456891","","486299","","548058","","455102",""
"Belgium","Export","Fish","242944","","299381","","314392","","408044","","452097","","481364","","524042","","549087","","585109","","518884","","532371","","549026","","489151","","499925","","535266","","506840",""
"Belgium","Import","Crustaceans","347015","","326160","","362059","","497101","","519891","","562460","","677279","","777786","","831425","","642083","","689678","","838684","","694747","","707909","","837431","","665969",""
"Belgium","Import","Fish","550871","","557562","","581938","","721606","","802504","","865401","","979839","","1059148","","1148676","","1032982","","1058522","","1148572","","1069426","","1165244","","1264407","","1095598",""
"Bosnia and Herzegovina","Export","Crustaceans","66","F","39","F","0","-","1","","21","","23","","32","","18","","21","","5","","7","","4","","7","","15","","40","","41",""
"Bosnia and Herzegovina","Export","Fish","47","F","17","F","141","F","1080","","4326","","5341","","7046","","7566","","9826","","10315","","9650","","10078","","8220","","7622","","6379","","6739",""
"Bosnia and Herzegovina","Import","Crustaceans","565","F","491","F","826","F","126","","213","","275","","254","","287","","382","","297","","296","","331","","308","","275","","402","","469",""
"Bosnia and Herzegovina","Import","Fish","8704","F","12962","F","14652","F","16125","","19068","","26763","","25725","","30015","","35201","","32956","","29986","","30294","","31145","","31714","","35555","","28072",""
"Bulgaria","Export","Crustaceans","3","","1","","4","","7","","25","","11","","4","","271","","30","","58","","369","","2412","","2837","","4352","","8963","","13079",""
"Bulgaria","Export","Fish","1544","","2372","","2597","","4586","","3654","","4430","","8231","","7005","","8077","","10494","","19569","","19493","","19487","","24571","","21729","","22694",""
"Bulgaria","Import","Crustaceans","253","","322","","221","","464","","554","","768","","1219","","1645","","3097","","2458","","2820","","3401","","2847","","5633","","9533","","13051",""
"Bulgaria","Import","Fish","9110","","12251","","11211","","15902","","16655","","21383","","30502","","31754","","54958","","53477","","54856","","61621","","62201","","71741","","72842","","71272",""
