"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Afghanistan","Import","Fish","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","9","","0","-","0","-","0","-","0","-","0","-"
"Armenia","Export","Crustaceans","20","","5","","391","","761","","804","","716","","968","","797","","906","","639","","898","","1346","","2087","","4618","","4009","F","2786",""
"Armenia","Export","Fish","11","","97","","53","","28","","68","","131","","80","","70","","81","","23","","432","","1313","","1844","","2269","","1733","F","1649",""
"Armenia","Import","Crustaceans","4","","0","-","1","","4","","0","-","0","-","1","","0","0","8","","14","","14","","11","","34","","47","","25","","49",""
"Armenia","Import","Fish","799","","1080","","1239","","870","","833","","6729","","1791","","1739","","3436","","3798","","2595","","3658","","3539","","2946","","2604","","2578",""
"Azerbaijan","Export","Fish","1738","","364","","59","","336","","2300","","3055","","538","","856","","517","","493","","246","","270","","0","-","32","","0","-","0","-"
"Azerbaijan","Import","Crustaceans","1","","2","","6","","8","","3","","15","","20","","25","","26","","38","","118","","193","","165","","200","","278","F","136",""
"Azerbaijan","Import","Fish","2827","","2344","","3932","","4180","","5076","","6977","","7413","","7870","","10998","","11678","","12412","","13417","","14957","","17480","","10713","F","7635","F"
"Bahrain","Export","Crustaceans","3362","","4023","","4012","","3757","","5545","","4405","","3879","","4086","","4704","","4951","","4326","","6920","","6032","","6520","","5392","","5910","F"
"Bahrain","Export","Fish","1342","","1687","","2365","","2701","","2357","","1271","","2907","","2200","","2434","","3030","","1761","","1547","","2598","","1782","","1430","","3087",""
"Bahrain","Import","Crustaceans","159","","182","","582","","309","","444","","832","","777","","438","","578","","1010","","610","","831","","1035","","1002","","2413","","2980",""
"Bahrain","Import","Fish","2553","","2898","","3073","","2930","","2881","","4422","","3952","","4074","","7133","","6906","","6422","","8309","","8780","","8618","","10208","","9473",""
