"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Burundi","Import","Crustaceans","0","-","0","0","0","0","3","","2","","0","-","3","","9","","4","","7","","9","","6","","10","","8","","1","","2",""
"Burundi","Import","Fish","51","","97","","87","","67","","54","","35","","122","","31","","29","","149","","412","","1241","","2199","","2469","","2022","","1712","F"
"Cabo Verde","Export","Crustaceans","243","","4","","332","","403","","766","","388","","464","","385","","22","","431","","438","","903","","1079","","1262","","262","","159",""
"Cabo Verde","Export","Fish","595","","294","","169","","90","","477","","6771","","10595","","6624","","8038","F","25013","","36594","","55147","","43398","","56967","","67706","","56636",""
"Cabo Verde","Import","Crustaceans","35","","37","","42","","92","","97","","168","","217","","282","","433","","316","","315","","561","","530","","721","","816","","605",""
"Cabo Verde","Import","Fish","207","","500","","336","","391","","385","","447","","732","","981","","1789","","1907","","1404","","2148","","2381","","2853","","2644","","2236",""
"Cameroon","Export","Crustaceans","862","","220","","100","","198","","1","","4","","1","","1","","2","","10","","4","","5","","5","","5","","22","","1",""
"Cameroon","Export","Fish","76","","145","","29","","113","","50","","97","","896","","1389","","1355","","2180","","2855","","1257","","2404","","2148","","2582","","1966",""
"Cameroon","Import","Crustaceans","14","","9","","11","","38","","29","","24","","47","","45","","196","","385","","381","","537","","229","","348","","338","","339",""
"Cameroon","Import","Fish","27343","","28552","","23284","","37269","","44712","","63251","","76641","","125716","","176346","","240923","","185702","","319592","","247287","","299051","","303518","","292535",""
"Central African Republic","Export","Fish","40","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Central African Republic","Import","Crustaceans","2","","0","-","0","-","4","","0","-","3","","0","-","0","-","0","-","2","","0","-","0","-","0","-","4","","27","","48",""
"Central African Republic","Import","Fish","215","","259","","352","","1069","","1091","","1079","","1317","F","1750","","1999","","2956","","4033","","3104","","3020","","2605","","5677","","7201",""
"Chad","Export","Fish","2","F","0","-","1","","0","-","0","-","9","","0","-","263","","35","","30","F","49","F","43","F","45","F","53","F","54","F","49","F"
"Chad","Import","Crustaceans","1","","0","-","8","F","18","","45","","43","","54","","89","","16","","22","F","78","F","18","F","4","F","56","F","128","F","88","F"
"Chad","Import","Fish","4","F","71","F","753","F","1104","F","169","","142","","624","","419","","259","","579","F","746","F","687","F","1114","F","1085","F","1589","F","652","F"
"Comoros","Export","Crustaceans","0",".","0",".","0",".","2","","1","","0","-","0","-","0","-","2","","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Comoros","Export","Fish","0","-","0","-","1","","2","","0","-","0","-","0","-","0","-","1","","0","-","0","-","0","-","1","","0","-","0","-","0","-"
"Comoros","Import","Crustaceans","21","","9","","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1","","0","-","1","","1","","10","F","11","F"
"Comoros","Import","Fish","314","","425","","229","","623","","859","","709","","728","","463","","1744","","890","","1167","","535","","1104","","862","","1352","F","1052","F"
"Congo","Export","Crustaceans","71","F","735","F","2144","F","3292","F","4331","F","46","","2515","F","99","","23","","0","-","0","-","0","-","0","-","409","","303","","260","F"
"Congo","Export","Fish","2090","F","627","F","694","F","1012","F","809","F","1233","F","551","F","490","F","1040","","918","","893","","831","F","415","F","313","F","566","","676","F"
"Congo","Import","Crustaceans","0","-","9","F","0","-","0","-","23","F","10","","17","F","43","F","44","","356","","120","","499","","792","","270","","236","","201","F"
"Congo","Import","Fish","20567","F","24605","F","12263","F","9893","F","18013","F","10716","","16298","F","11685","F","29936","","20701","","16727","","33357","","38380","","64928","","84103","","70646","F"
"Congo, Dem. Rep. of the","Export","Crustaceans","1","","0",".","10","F","10","F","36","F","0","-","5","","1","","0","-","75","F","67","F","0","-","0","-","0","-","0","-","0","-"
"Congo, Dem. Rep. of the","Export","Fish","585","","334","","316","","423","","410","","419","","388","","401","","390","","514","","650","","700","F","767","F","787","F","1111","F","839","F"
"Congo, Dem. Rep. of the","Import","Crustaceans","0","-","10","F","19","F","38","F","769","F","141","F","146","F","67","F","115","F","170","F","818","F","495","F","346","F","708","F","698","F","177","F"
"Congo, Dem. Rep. of the","Import","Fish","26204","","35629","F","38537","F","38584","F","44622","F","54291","F","62300","F","84939","F","93466","F","80694","F","111902","F","143916","F","141845","F","144325","F","159749","F","147421","F"
"Côte d'Ivoire","Export","Crustaceans","3309","","3193","","1439","","1080","","1031","","519","","791","","527","","1042","","2588","","897","","700","","110","","581","","919","","258",""
"Côte d'Ivoire","Export","Fish","124805","","103672","","138328","","138587","","157691","","101906","","123491","","170228","","195813","","166000","","101553","","76061","","114024","","109672","","93099","","142987",""
"Côte d'Ivoire","Import","Crustaceans","731","","1041","","1695","","1429","","2463","","1433","","1866","","2763","","3354","","3683","","3414","","2113","","2453","","3260","","2491","","1446",""
"Côte d'Ivoire","Import","Fish","131289","","149112","","178499","","199603","","186650","","202213","","228228","","274757","","391996","","356475","","254224","","309381","","323071","","361120","","392535","","389841",""
"Djibouti","Export","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","0","-","4","F","0","-","0","-","0","-","0","-","0","-","2","F","0","-","0","-"
"Djibouti","Export","Fish","18","F","73","F","64","F","88","F","3","","11","F","94","F","4","F","0","-","2","F","28","F","6","F","2","F","4","F","1","F","3","F"
"Djibouti","Import","Crustaceans","43","F","20","","15","F","22","F","15","F","158","F","31","F","47","F","269","F","384","","54","F","63","F","69","F","36","F","215","F","199","F"
"Djibouti","Import","Fish","1436","F","882","F","606","F","612","F","1379","F","1103","F","2231","F","1934","F","2007","F","2384","","1321","F","2201","F","2740","F","4772","F","2749","F","5057","F"
"Egypt","Export","Crustaceans","51","","9","","3","","17","","14","","3","","14","","116","","16","","148","","205","","72","","329","","1405","","2933","","2957","F"
"Egypt","Export","Fish","911","","794","","1393","","2181","","2770","","3222","","2677","","3664","","9210","","12307","","12524","","18134","","15599","","21997","","28895","","26686","F"
"Egypt","Import","Crustaceans","227","","1244","","729","","320","","2097","","5337","","10386","","23695","","45994","F","69350","","70562","","75676","","118208","","65583","","84882","","85184","F"
"Egypt","Import","Fish","134667","","132230","","92734","","102314","","122199","","129395","","150312","","187276","","313987","","384549","","407352","","433562","","597066","","504884","","628767","","638461","F"
"Equatorial Guinea","Export","Crustaceans","0","-","0","-","2","","20","F","75","F","27","F","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Equatorial Guinea","Export","Fish","1588","F","596","F","49","F","88","F","94","F","19","F","73","F","80","F","63","F","80","F","26","F","38","F","57","F","46","F","44","F","46","F"
"Equatorial Guinea","Import","Crustaceans","2","","3","","63","F","130","F","133","F","90","F","266","F","342","F","354","F","323","F","659","F","944","F","887","F","864","F","1163","F","901","F"
"Equatorial Guinea","Import","Fish","2626","F","5036","F","4626","F","8874","F","12215","F","11224","F","15810","F","17012","F","15615","F","25120","F","18302","F","21918","F","30494","F","28037","F","25201","F","17072","F"
"Eritrea","Export","Crustaceans","572","F","163","F","380","F","9","","340","F","0","-","6","","248","F","110","F","0","-","0","-","0","-","124","F","3","F","0","-","0","-"
"Eritrea","Export","Fish","1530","F","686","F","451","F","1533","","148","F","45","F","73","F","201","F","248","F","160","F","12","","7","","66","F","0","-","0","-","0","-"
"Eritrea","Import","Crustaceans","0",".","34","F","29","F","3","","12","F","22","F","15","F","3","","0","-","15","F","10","F","13","","0","-","6","F","0","-","7","F"
"Eritrea","Import","Fish","117","F","204","F","276","F","819","","368","F","166","F","467","F","228","F","315","F","84","F","229","F","32","","278","F","131","F","208","F","52","F"
"Ethiopia","Export","Fish","13","","16","","49","","51","","14","","4","","296","","597","","394","","263","","446","","424","","476","","406","","486","","524",""
"Ethiopia","Import","Crustaceans","0","0","0","-","0","-","0","0","3","","5","","5","","20","","90","","145","","135","","184","","200","","686","","288","","158",""
"Ethiopia","Import","Fish","101","","39","","420","","551","","274","","489","","1002","","751","","1569","","898","","1088","","1395","","1898","","2739","","3464","","3386",""
"Gabon","Export","Crustaceans","11305","","8994","","8821","","9105","","16989","","21986","","13526","","12169","","4380","","432","","137","F","0","-","491","F","12","F","6","F","0","-"
"Gabon","Export","Fish","1279","","731","","1675","","691","","2382","","2298","","2324","","2633","","3036","","1708","","1470","F","1639","F","2569","F","2716","F","3003","F","3314","F"
"Gabon","Import","Crustaceans","63","","14","","28","","54","","36","","66","","44","","126","","209","","218","","188","F","198","F","530","F","617","F","955","F","437","F"
"Gabon","Import","Fish","9670","","10429","","1611","","7386","","9724","","11062","","12919","","13391","","17056","","19064","","21381","F","33020","F","37421","F","40412","F","59053","F","53318","F"
"Gambia","Export","Crustaceans","1935","","696","","232","","92","","73","F","439","F","55","","416","","30","","14","","55","","0","-","34","","36","","93","","37","F"
"Gambia","Export","Fish","1353","","584","","737","","201","","206","F","463","F","260","","2438","","2198","","5041","","6429","","2833","","2230","","1517","","1745","","1183","F"
"Gambia","Import","Crustaceans","18","","405","","12","","0","-","9","F","11","","0","-","0","-","13","","0","-","0","-","8","","3","","1","","117","","180","F"
"Gambia","Import","Fish","471","","683","","433","","278","","475","F","344","F","556","F","845","","787","","775","","1477","","748","","429","","373","","224","","389","F"
"Ghana","Export","Crustaceans","935","","947","","528","F","1088","","276","","824","","1217","","2069","","620","","89","","21","","680","F","19","","390","","521","","164",""
"Ghana","Export","Fish","76795","","82431","","75355","F","119106","","92478","","95718","","49484","","57427","","43394","","53653","F","54758","F","55492","F","61451","F","59695","F","59279","F","70468","F"
"Ghana","Import","Crustaceans","3","","4","","32","","189","","105","","193","","130","","333","","134","","259","","60","","627","","308","","217","","374","","190",""
"Ghana","Import","Fish","82848","","90611","","120384","","55746","","116504","F","180676","","121129","","163987","","121274","","115997","","141579","","266918","","232386","","360111","","253611","","255438",""
"Guinea","Export","Crustaceans","675","","588","","365","","799","","120","","22","","11","","0","-","0","-","998","F","509","F","455","F","456","F","200","","49","","5",""
"Guinea","Export","Fish","4103","F","4040","F","2469","","3600","F","6767","F","9960","","7004","","4583","","5482","","6049","F","6933","F","7039","F","8256","F","7822","","13263","","10585",""
"Guinea","Import","Crustaceans","2","","4","","1","","0","-","0","-","0","-","0","-","0","-","0","-","6","F","1","F","7","F","19","F","13","","11","","2",""
"Guinea","Import","Fish","291","","1164","","862","","1408","","514","","613","","314","","606","","917","","1591","F","1901","F","1995","F","2520","F","2458","","2161","","1982",""
"Guinea-Bissau","Export","Crustaceans","204","F","443","F","553","F","748","F","362","F","480","F","234","F","0","-","0","-","0","-","0","-","0","-","1","F","0","-","0","-","0","-"
"Guinea-Bissau","Export","Fish","1876","F","1990","F","3240","F","1784","F","2487","F","3021","F","2986","F","2883","F","2232","F","2059","F","3438","F","2681","F","2229","F","3102","F","3960","F","4748","F"
"Guinea-Bissau","Import","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","64","F","79","F","0","-","0","-","0","-","0","-","0","-","3","F","6","F","3","F"
"Guinea-Bissau","Import","Fish","283","F","155","F","138","F","229","F","282","","404","F","321","F","1373","F","1684","F","1456","F","708","F","1246","F","1210","F","1263","F","918","F","774","F"
"Kenya","Export","Crustaceans","1268","","2411","","1327","","3961","","2808","","2464","","2297","","1131","","1626","","295","","339","","625","","285","","460","","1229","","818",""
"Kenya","Export","Fish","36839","","46283","","53599","","50950","","48472","","56596","","51539","","58776","","71672","","55001","","61135","","50666","","59811","","37098","","44789","","30232",""
"Kenya","Import","Crustaceans","11","","16","","103","","105","","57","","30","","14","","4","","0","-","59","","43","","168","","450","","663","","732","","722",""
"Kenya","Import","Fish","4096","","4851","","2194","","2596","","3819","","5891","","5979","","8313","","5790","","6325","","7530","","11258","","11398","","14427","","20885","","18718",""
"Lesotho","Export","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","8","","0","-","0","-","0","-","0","-","0","-","0","-","0","-"
"Lesotho","Export","Fish","0",".","1","","12","F","8","","9","","0",".","0",".","0",".","56","","370","","685","","614","","488","","722","F","2017","F","2660","F"
"Lesotho","Import","Crustaceans","32","F","15","F","22","F","85","","6","","0",".","0",".","0",".","62","","183","","466","","251","","110","","34","F","68","F","14","F"
"Lesotho","Import","Fish","7752","F","2176","F","3634","F","4035","","2594","","1979","F","1957","F","1975","F","2525","","3742","","3384","","6255","","5919","","5469","F","10628","F","8898","F"
"Liberia","Export","Crustaceans","0","-","38","F","0","-","140","F","216","F","22","F","46","F","13","F","3","","0","-","0","-","0","-","39","F","0","-","4","F","0","-"
"Liberia","Export","Fish","49","F","43","F","80","F","38","F","167","F","369","F","593","F","617","F","639","F","996","F","1199","F","693","F","601","F","541","F","417","F","436","F"
"Liberia","Import","Crustaceans","223","F","13","F","103","F","8","F","34","F","92","F","71","F","160","F","156","F","171","F","91","F","56","F","93","F","105","F","445","F","278","F"
"Liberia","Import","Fish","2531","F","2201","F","1298","F","2197","F","2122","F","3014","F","3816","F","2757","F","5965","F","3373","F","5301","F","6260","F","9899","F","11581","F","16697","F","11966","F"
"Libya","Export","Crustaceans","0",".","0",".","1","","0","-","0","0","0","-","1","","0","-","0","-","85","","12","F","0","-","0","-","0","-","1","F","0","-"
"Libya","Export","Fish","11786","F","7479","F","10543","F","10470","F","11802","F","14371","F","7646","F","8987","F","7581","F","5428","F","6457","F","3988","F","8959","F","9979","F","14023","F","16875","F"
"Libya","Import","Crustaceans","39","F","49","F","73","F","93","","148","","82","F","39","F","10","","0","-","351","","810","","412","F","519","F","1330","F","1651","F","796","F"
"Libya","Import","Fish","8990","F","9214","F","9583","F","6715","","7254","","19700","F","33047","F","33119","","35009","","38973","","69837","","80637","F","144123","F","147188","F","157974","F","141533","F"
"Madagascar","Export","Crustaceans","13150","","91700","","117708","","39179","","29726","","102822","","109595","","133589","","118274","","84028","","66991","","103974","","66427","","76753","","98855","","66410",""
"Madagascar","Export","Fish","21292","","32858","","31532","","44766","","41393","","25103","","47121","","46675","","36164","","25848","","41277","","48849","","41346","","47991","","53683","","41873",""
"Madagascar","Import","Crustaceans","24","","310","","3","","2","","1","","4685","","966","","1350","","995","","9","","127","","2331","","398","","172","","10","","131",""
"Madagascar","Import","Fish","6632","F","8293","F","13641","F","16512","F","13623","F","12918","","30973","","55444","","24870","","17570","","25936","","38793","","31811","","39280","","31729","","20096",""
"Malawi","Export","Fish","143","","61","F","122","","560","","733","","354","","1554","","259","","294","","198","","276","","451","","270","","254","","156","","136",""
"Malawi","Import","Crustaceans","0","-","7","","4","","5","","1","","1","","1","","0","-","0","-","2","","17","","7","","20","","65","","96","","164",""
"Malawi","Import","Fish","515","","278","","240","","703","","522","","331","","1061","","991","","1218","","2027","","1298","","1377","","967","","1772","","2471","","2283",""
"Mali","Export","Fish","416","F","251","","200","","92","","115","","62","","281","","926","","130","","165","F","84","","249","","60","","102","F","204","F","68","F"
"Mali","Import","Crustaceans","26","","16","","11","","49","","37","","38","","12","","4","","9","","41","F","111","","7","","130","","63","F","369","F","766","F"
"Mali","Import","Fish","1698","","1131","","649","","2366","","3424","","5217","","6478","","6832","","7786","","9601","F","11538","","11042","","11247","","13008","F","24304","F","19592","F"
"Mauritania","Export","Crustaceans","3400","","5381","","5548","","5052","","3626","","1070","","1683","","5554","","5300","","1770","","12081","","21831","","12801","","6400","","24308","","17763","F"
"Mauritania","Export","Fish","36988","","35521","","39590","","32630","","27083","","35042","","37061","","56829","","65239","","33684","","71179","","119067","","142248","","143185","","186394","","203316","F"
"Mauritania","Import","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","19","","0","-","0","-","0","-","0","-","0","-","0","-","16","","36","","30","F"
"Mauritania","Import","Fish","29","","29","","57","","61","","12","","105","","120","","161","","191","","430","","827","","665","","737","","938","","1284","","1265","F"
"Mauritius","Export","Crustaceans","1","","1","","0","-","295","","42","","0","-","42","","37","","1","","0","-","0","-","1","","0","-","3","","0","-","0","0"
"Mauritius","Export","Fish","36607","","63188","","68396","","74388","","83797","","109301","","158128","","194651","","213734","","215488","","252987","","270101","","337159","","369271","","351611","","270489",""
"Mauritius","Import","Crustaceans","5110","","6050","","4393","","5665","","6994","","7057","","8472","","11153","","12646","","9939","","10870","","12904","","14611","","13030","","14112","","12853",""
"Mauritius","Import","Fish","33459","","44762","","121212","","84206","","105693","","133376","","200247","","211284","","285827","","220740","","218350","","281264","","366599","","364567","","317464","","242975",""
"Mayotte","Export","Crustaceans","0",".","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","0","0","-","0","-","6","F","0","-","0","-","0","-","0","-"
"Mayotte","Export","Fish","10","","165","","674","","1055","","746","","689","","851","","837","","868","","748","","741","F","762","F","634","F","588","F","450","F","0","-"
"Mayotte","Import","Crustaceans","111","","181","","128","","242","","177","","227","","238","","350","","425","","319","","182","F","51","F","74","F","28","F","0","-","0","-"
"Mayotte","Import","Fish","885","","1184","","1533","","1759","","1811","","2095","","2592","","2508","","4037","","2940","","2478","F","3351","F","3380","F","3469","F","3002","F","2662","F"
"Morocco","Export","Crustaceans","55810","","53249","","55693","","62062","","58360","","89051","","106168","","154237","","153437","","150026","","173999","","199791","","203296","","191806","","205307","","182848",""
"Morocco","Export","Fish","307915","","356523","","383094","","508526","","503125","","585712","","697899","","718563","","858728","","853439","","810069","","723105","","879252","","947687","","981028","","908832",""
"Morocco","Import","Crustaceans","2723","","1844","","2461","","3810","","3401","","3960","","11938","","21553","","30608","","40385","","70289","","90872","","91307","","96632","","103233","","93137",""
"Morocco","Import","Fish","4590","","6211","","8954","","14718","","26813","","29543","","43518","","35065","","35651","","45477","","41760","","46355","","35073","","50792","","81391","","68896",""
"Mozambique","Export","Crustaceans","95903","F","94028","","117069","","79036","","94746","","77975","","90816","","65824","","68668","","60392","","52319","","44962","","19779","","35896","","50770","","30651",""
"Mozambique","Export","Fish","3482","F","5229","","4807","","16518","","4843","","5359","","5299","","3907","","6566","","4799","","4113","","5121","","5288","","6014","","8034","","5679",""
"Mozambique","Import","Crustaceans","557","F","2","","5","","16596","","17","","13","","107","","220","","23","","15","","4","","61","","70","","174","","216","","160",""
"Mozambique","Import","Fish","7958","F","7680","","10494","","15736","","26932","","30306","F","30809","","25902","","38097","","39362","","35387","","57727","","49510","","93198","","91658","","85165",""
"Namibia","Export","Crustaceans","6785","","9616","","10609","","3347","","7330","","9020","","9902","","9067","","12287","","13485","","10950","","14476","","9223","","10801","","17513","","15005",""
"Namibia","Export","Fish","268733","","306824","","257317","","312975","","332507","","349726","","422650","","465366","","542235","","671125","","734466","","721239","","712322","","745375","","672896","","573700",""
"Namibia","Import","Crustaceans","302","","272","","113","","87","","194","","347","","1516","","1020","","1480","","4577","","1608","","1423","","990","","1904","","1853","","1288",""
"Namibia","Import","Fish","19290","","11194","","6626","","8817","","16536","","18040","","17819","","32627","","31925","","44650","","33498","","28658","","25011","","24906","","27574","","28803",""
"Niger","Export","Fish","1599","","4330","","4344","","4841","","3308","","2229","","547","","309","","386","","326","","563","","789","","773","","1112","","1037","","260",""
"Niger","Import","Crustaceans","4","","4","","3","","2","","3","","3","","7","","6","","4","","6","","11","","15","","14","","15","","9","","23",""
"Niger","Import","Fish","497","","614","","249","","428","","493","","572","","784","","749","","1293","","1341","","1784","","1168","","1993","","2249","","2032","","5839",""
"Nigeria","Export","Crustaceans","11387","","10579","F","14882","F","15140","F","26300","F","53496","F","42895","F","46310","","70180","","152830","","160282","","82509","","78822","","175644","F","93563","F","69142","F"
"Nigeria","Export","Fish","1085","","1809","","1778","","2015","","3567","","2676","F","844","","3089","","1983","","433","F","533","","18002","","20938","F","87466","","8075","F","8710","F"
"Nigeria","Import","Crustaceans","8","","0","-","31","","11","","96","F","40","","140","","179","","0","-","135","","180","","8765","","1285","","8163","F","972","F","2586",""
"Nigeria","Import","Fish","179520","","447538","","360586","","480368","F","499011","F","607887","F","765042","F","884338","","609944","","772156","","928752","","1951132","F","1419637","F","1174951","F","1310608","F","1198997","F"
"Rwanda","Export","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","9","","0","-"
"Rwanda","Export","Fish","0",".","0",".","0",".","0",".","0",".","57","","1","","21","","91","","287","","200","","83","","231","","149","","1179","","2064","F"
"Rwanda","Import","Crustaceans","29","F","4","","0","0","17","","0","-","3","","2","","3","","4","","8","","5","","11","","7","","5","","39","","27",""
"Rwanda","Import","Fish","82","F","112","","173","","118","","27","","34","","453","","3022","","1783","","2358","","3786","","6643","","8203","","8729","","17966","","21973","F"
"Saint Helena","Export","Crustaceans","3806","F","4899","F","4436","F","4247","F","3462","F","3163","F","2969","F","3143","F","5615","F","5436","F","6353","F","4223","F","5982","F","6116","F","4896","F","5682","F"
"Saint Helena","Export","Fish","189","F","1273","F","2493","F","1214","F","1949","F","1839","F","2259","F","4640","F","7670","F","3975","F","3328","F","6972","F","4038","F","3663","F","5983","F","11931","F"
"Saint Helena","Import","Crustaceans","0","-","58","F","0","-","195","F","111","F","7","","90","F","5","","8","","5","","1","","3","","3","F","15","F","81","F","28","F"
"Saint Helena","Import","Fish","220","F","78","F","75","F","126","F","35","F","197","F","421","F","110","F","51","F","35","F","79","F","40","F","24","F","90","F","117","F","96","F"
"Sao Tome and Principe","Export","Crustaceans","0",".","0",".","0",".","2","","0","-","0","-","0","0","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","0"
"Sao Tome and Principe","Export","Fish","57","F","270","F","77","F","0","0","0","0","0","0","16","","6","","1","","2","","2","","0","-","0","-","1","","3","","4",""
"Sao Tome and Principe","Import","Crustaceans","0","-","1","","0","-","2","","2","","3","","9","","10","","39","","30","","26","","43","","55","","85","","86","","83",""
"Sao Tome and Principe","Import","Fish","63","","6","","15","","26","","18","","14","","64","","131","","123","","125","","117","","249","","262","","282","","259","","170",""
"Senegal","Export","Crustaceans","53603","","75090","","29159","F","41280","","44710","","45912","","39597","","31516","","18554","","20602","","28519","","26645","","22288","","26521","","30554","","28963",""
"Senegal","Export","Fish","152136","","156250","","120283","","139838","","196807","","155348","","153569","","200877","","155116","","171538","","166681","","198064","","175546","","227059","","306758","","259976",""
"Senegal","Import","Crustaceans","269","F","151","","235","","43","","116","","99","","56","","50","","67","","52","","74","","80","","78","","190","","26","","103",""
"Senegal","Import","Fish","1010","F","636","","353","","482","","1243","","1015","","898","","1812","","2536","","953","","5480","","16861","","14069","","18641","","14467","","19525",""
"Seychelles","Export","Crustaceans","3208","","2158","","1308","","7643","","7765","","5859","","4575","","2600","","2416","F","208","F","3","","0","-","0","-","0","-","0","-","55",""
"Seychelles","Export","Fish","109941","","142740","","164825","","286569","","262203","","288904","","282871","","277589","","313959","","303074","F","275240","","351742","","493120","F","479558","","414363","","360499",""
"Seychelles","Import","Crustaceans","398","","251","","152","","483","","648","","537","","796","","1547","","1445","","467","F","1971","","2653","","2211","","1457","","2302","F","3059","F"
"Seychelles","Import","Fish","9817","","13941","","22404","","65601","","73871","","76962","","94100","","79405","","61366","","86205","F","94602","","128688","","145268","","140867","","127088","","92943",""
"Sierra Leone","Export","Crustaceans","3472","F","3742","F","8107","F","10997","F","8154","F","8318","F","6348","F","5522","F","4920","F","4812","F","5015","F","4750","F","5269","F","4650","F","3700","F","3600","F"
"Sierra Leone","Export","Fish","7488","F","7145","F","5229","F","4261","F","4313","F","4738","F","4733","F","5069","F","5046","F","5556","F","5541","F","5795","F","6068","F","6087","F","6141","F","6607","F"
"Sierra Leone","Import","Crustaceans","69","F","400","F","43","","207","F","67","F","10","F","9","F","2","","7","F","4","","3","","12","F","70","F","44","F","612","F","256","F"
"Sierra Leone","Import","Fish","929","F","1672","F","764","","3131","F","1785","F","1945","F","1632","F","3557","F","3380","F","4048","F","2798","F","3309","F","2660","F","3344","F","4090","F","3518","F"
"Somalia","Export","Crustaceans","18","F","8","F","145","F","1","","171","F","364","F","124","F","0","-","2286","F","3","","113","F","644","F","337","F","132","F","22","F","109","F"
"Somalia","Export","Fish","2280","","2960","F","2073","F","1113","F","2590","F","2276","F","2094","F","2639","F","2127","F","3064","F","1268","F","1460","F","686","F","943","F","1699","F","3217","F"
"Somalia","Import","Crustaceans","0",".","0",".","0",".","0",".","0",".","0",".","80","F","0",".","0",".","11","F","8","F","0","-","96","F","0","-","6","F","33","F"
