"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Afghanistan","Import","Fish","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","9","","0","-","0","-","0","-","0","-","0","-"
"Armenia","Export","Crustaceans","81","","15","","1665","","3079","","2752","","2705","","3992","","4152","","4720","","3403","","3785","","5984","","7510","","15703","","13523","F","3355",""
"Armenia","Export","Fish","14","","143","","42","","92","","183","","475","","567","","531","","678","","124","","3898","","10189","","14977","","17897","","17906","","11603",""
"Armenia","Import","Crustaceans","10","","0","-","2","","9","","2","","1","","3","","22","","126","","173","","185","","112","","248","","351","","219","","278",""
"Armenia","Import","Fish","661","","1307","","767","","603","","597","","3001","","2310","","2695","","7362","","6894","","4761","","6436","","6061","","5457","","5812","","5084",""
"Azerbaijan","Export","Fish","2101","","798","","1148","","4083","","4638","","7252","","659","","5851","","5601","","5954","","1021","","226","","0","-","24","","0","-","23",""
"Azerbaijan","Import","Crustaceans","3","","4","","14","","7","","5","","49","","29","","52","","77","","48","","198","","212","","240","","334","","336","F","199",""
"Azerbaijan","Import","Fish","1439","","1309","","1943","","2111","","2306","","4755","","2867","","5725","","11032","","16002","","11185","","11595","","12428","","15192","","12964","F","10843","F"
"Bahrain","Export","Crustaceans","8014","","7213","","7867","","7217","","10914","","8958","","9091","","9050","","10828","","10688","","10585","","17149","","15794","","17211","","18897","","21451",""
"Bahrain","Export","Fish","1502","","2229","","2758","","3095","","2312","","1940","","2267","","2367","","5985","","4630","","2828","","2748","","4173","","2534","","1960","","3721",""
"Bahrain","Import","Crustaceans","895","","851","","2928","","1057","","1574","","2835","","2125","","1514","","2195","","3143","","3237","","3793","","6647","","4063","","11623","","10790",""
"Bahrain","Import","Fish","3747","","5615","","6392","","5700","","5273","","7835","","6023","","7210","","14256","","10749","","12605","","16550","","22980","","21791","","24101","","25358",""
"Bangladesh","Export","Crustaceans","311879","","333821","","275975","","303051","","345482","","551840","","401277","","569351","","461399","","321969","","441332","","502920","F","412195","","464340","","540746","","396282",""
"Bangladesh","Export","Fish","30698","F","22011","","25305","","21796","","24734","","79815","","46440","","57511","","96665","","72215","","96872","","135459","F","82564","","68374","","57651","","49535",""
"Bangladesh","Import","Crustaceans","300","F","194","","565","","166","","5186","","2802","","429","","272","","768","","11623","","2654","","3769","","1719","","3822","","2975","F","2498",""
"Bangladesh","Import","Fish","2875","F","5875","","9210","","5291","","7990","","1118","","2048","","5086","","4203","","6453","","13705","","11316","","15301","","27647","","41404","F","52878",""
"Bhutan","Export","Fish","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0",".","0","0","0","-","0",".","0","-","0","-","3","F","0","-","1","F"
"Bhutan","Import","Crustaceans","0",".","0",".","0",".","0",".","0",".","7","","7","","11","","20","","19","","23","","26","","46","","25","F","0","-","3","F"
"Bhutan","Import","Fish","0",".","0",".","0",".","0",".","0",".","1859","","1997","","3029","","2251","","2433","","3102","","3509","","4574","","5013","F","5171","F","4822","F"
"Brunei Darussalam","Export","Crustaceans","132","F","196","","380","","531","","917","","2894","F","4976","","4969","F","2331","F","1337","F","1246","F","567","F","585","","1558","","2056","","1482","F"
"Brunei Darussalam","Export","Fish","164","F","137","","52","","167","","200","","159","F","326","","63","F","143","F","263","F","513","F","1013","F","1752","","2332","","1803","","1642",""
"Brunei Darussalam","Import","Crustaceans","2751","F","3206","","2273","","2194","","3646","","2173","F","6185","","3192","F","3112","F","3016","F","3153","F","2894","F","8973","","11467","","10499","","8479",""
"Brunei Darussalam","Import","Fish","9200","F","8354","","8394","","7584","","10263","","12460","F","17351","","13226","F","13246","F","13216","F","18508","F","23720","F","27830","","31746","","28426","","26700",""
"Cambodia","Export","Crustaceans","2009","","1916","","955","","876","","10548","","7164","","1688","","579","","420","","451","","1199","","2135","","1231","","868","","572","","419",""
"Cambodia","Export","Fish","32102","","29941","","35024","","36519","","30922","","40641","","24963","","22595","","24118","","29894","","38539","F","57808","F","59728","F","61609","F","63328","F","65475","F"
"Cambodia","Import","Crustaceans","1","","9","","3","","0","-","108","","6737","","674","","15","","21","","31","","299","","179","","271","","621","","2155","","997",""
"Cambodia","Import","Fish","2708","","448","","550","","3000","","3036","","2780","","3443","","3037","","2365","","4201","","2667","","3180","","4314","","2692","","12500","","5681",""
"China","Export","Crustaceans","596458","","720868","","901035","","1332283","","1559312","","1624675","","1974696","","1863190","","2033962","","2091114","","2548852","","3259444","","3640354","","3980309","","4179094","","3432246",""
"China","Export","Fish","2353628","","2582783","","2734797","","3001901","","3896131","","4558666","","5509643","","5896162","","6472323","","6410499","","8148211","","10205801","","10683258","","11045046","","11538511","","10991570",""
"China","Import","Crustaceans","216386","","193917","","193348","","299464","","324714","","294756","","303701","","323183","","322451","","347908","","526205","","840449","","1133958","","1437524","","1671382","","1861078",""
"China","Import","Fish","816667","","948065","","1102870","","1319372","","1700576","","2333056","","2539572","","2777207","","2894591","","2884290","","3358114","","4039108","","3686876","","3806353","","4166967","","3697215",""
"China, Hong Kong SAR","Export","Crustaceans","4053","","1502","","1047","","863","","942","","314","","1182","","332","","562","","867","","355","","1562","","1435","","896","","462","","775",""
"China, Hong Kong SAR","Export","Fish","66962","","48654","","47529","","42313","","41805","","40154","","38954","","33836","","33669","","34604","","34723","","38612","","35705","","43637","","36921","","32753",""
"China, Hong Kong SAR","Import","Crustaceans","453708","","411342","","364988","","329422","","310967","","305799","","389879","","426236","","492710","","563062","","615701","","705535","","878649","","859023","","795623","","686023",""
"China, Hong Kong SAR","Import","Fish","954290","","862565","","847893","","855139","","933833","","900414","","909748","","970918","","1118051","","1095983","","1306255","","1468789","","1521588","","1548894","","1612277","","1702904",""
"China, Macao SAR","Export","Crustaceans","2577","","2371","","2330","","1440","","262","","238","","242","","244","","185","","222","","0","-","0","-","0","-","0","-","0","-","0","-"
"China, Macao SAR","Export","Fish","31","","0","-","0","-","0","-","437","","471","","576","","830","","1131","","2930","","0","-","0","-","0","-","0","-","0","-","0","-"
"China, Macao SAR","Import","Crustaceans","1924","","2308","","3027","","3538","","3200","","3391","","4065","","5784","","7176","","8510","","11924","","15653","","19173","","22860","","27160","","34349",""
"China, Macao SAR","Import","Fish","9789","","11715","","14527","","18893","","17720","","19072","","20922","","24498","","30907","","36493","","39612","","43884","","50441","","53198","","67537","","68303",""
"Cyprus","Export","Crustaceans","307","","601","","383","","108","","44","","184","","12","","19","","1","","0","-","1","","0","-","0","-","69","","0","-","194",""
"Cyprus","Export","Fish","5991","","6052","","4980","","4285","","27265","","30514","","25079","","31478","","42609","","13524","","16830","","27593","","20889","","32518","","29212","","31262",""
"Cyprus","Import","Crustaceans","3150","","4379","","2732","","3698","","4885","","5895","","7506","","9925","","11577","","10440","","11096","","13639","","12123","","11021","","14083","","11825",""
"Cyprus","Import","Fish","16909","","18491","","17915","","19491","","30196","","32726","","34998","","51461","","58547","","42922","","44139","","46417","","42416","","43892","","47981","","43008",""
"Georgia","Export","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","1","","0","-","1","","22","","65","","0","-","1",""
"Georgia","Export","Fish","108","","288","","50","","298","","247","","981","","903","","1947","","6024","","4525","","6639","","3291","","1806","","2435","","2668","","7830",""
"Georgia","Import","Crustaceans","6","","22","","4","","8","","135","","105","","159","","239","","349","","233","","233","","503","","515","","583","","724","","576",""
"Georgia","Import","Fish","1378","","1162","","1422","","2148","","6033","","11429","","26631","","33498","","41147","","30892","","34325","","41306","","43706","","46743","","42734","","39263",""
"India","Export","Crustaceans","977753","","847056","","973725","","981507","","987324","","1035137","","1075822","","998195","","939965","","913020","","1234456","","1846390","","1842457","","2967319","","3943727","","3360311",""
"India","Export","Fish","332596","","284035","","308683","","186331","","246395","","334811","","448172","","428178","","400020","","743643","","843207","","1058800","","977156","","1019899","","999564","","888155",""
"India","Import","Crustaceans","677","","1932","","3512","","4019","","3656","","6554","","5555","","7274","","8602","","6130","","4881","","9217","","9508","","7797","","11643","","14655",""
"India","Import","Fish","9094","","6328","","5307","","5974","","9097","","13768","","17289","","24406","","39713","","29618","","66549","","92097","","51929","","36752","","45644","","49434",""
"Indonesia","Export","Crustaceans","1070333","","1022419","","926912","","942139","","1021482","","1073177","","1244876","","1200387","","1374105","","1158413","","1260462","","1566554","","1617689","","2023398","","2534716","","1946471",""
"Indonesia","Export","Fish","485348","","478826","","531672","","572783","","636343","","669475","","651600","","802088","","980750","","989593","","1163940","","1407508","","1746477","","1598281","","1506401","","1391707",""
"Indonesia","Import","Crustaceans","11487","","11408","","10990","","11352","","57454","","8087","","6071","","9193","","16367","","16388","","25355","","55797","","65917","","69631","","66091","","52863",""
"Indonesia","Import","Fish","18928","","13951","","14213","","17240","","25577","","22791","","32789","","39084","","93803","","129506","","189814","","196907","","149809","","155923","","159961","","157836",""
"Iran (Islamic Rep. of)","Export","Crustaceans","6162","","3425","","17742","","33692","","34046","","4784","","13714","","0","-","0","-","19338","","13340","","20536","","46414","","51183","","50838","","56781",""
"Iran (Islamic Rep. of)","Export","Fish","43793","","40041","","32789","","46782","","39635","","36725","","45792","","31621","F","51831","","74272","","133262","","177843","","190975","","180968","","194793","","151777",""
"Iran (Islamic Rep. of)","Import","Crustaceans","0","-","0","-","0","-","0","-","0","-","0","-","0","-","0","-","309","","116","","69","","1","","0","-","0","-","0","-","0","-"
"Iran (Islamic Rep. of)","Import","Fish","5995","","3179","","7030","","26786","","13516","","16913","","10375","","13589","F","18748","","34855","","82763","","67985","","59836","","96689","","166716","","146687",""
"Iraq","Export","Fish","242","","193","","99","","100","F","75","F","10","","40","","70","","70","","70","","90","F","115","F","94","","96","F","110","F","50","F"
"Iraq","Import","Crustaceans","0",".","0",".","0",".","121","F","66","F","13","F","48","F","110","F","103","F","16","","30","F","150","F","618","F","1027","F","1950","F","2126","F"
"Iraq","Import","Fish","99","","25","","163","","2510","F","8911","F","9519","F","21502","F","22078","F","31562","F","25410","","43126","F","36395","F","34613","F","37634","F","41086","F","39352","F"
