"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Africa","Export","Crustaceans","378910","","468210","","488594","","405128","","447669","","579231","","576012","","624320","","616042","","627663","","660429","","655593","","564516","","698273","","708938","","567285",""
"Africa","Export","Fish","1552933","","1765719","","1829718","","2241420","","2297366","","2477476","","2668766","","2981805","","3311710","","3271245","","3283059","","3417075","","3802751","","4042672","","4126131","","3703786",""
"Africa","Import","Crustaceans","28038","","28771","","25060","","48266","","50680","","71049","","87543","","120117","","148298","","191186","","220228","","290488","","314470","","287441","","309660","","265081",""
"Africa","Import","Fish","842775","","1155670","","1139736","","1331930","","1525192","","1821401","","2208092","","2604854","","2780275","","3048300","","3170101","","4883558","","4852665","","4814885","","5278069","","4812216",""
"Americas","Export","Crustaceans","4371608","","4274591","","4195383","","4749138","","4680885","","4740177","","5059464","","5057009","","5256579","","4637784","","5334416","","6469391","","6624259","","7738680","","9346873","","9002758",""
"Americas","Export","Fish","6248882","","6796806","","6749681","","7433208","","8222425","","9343474","","10042946","","10496081","","11189571","","10100024","","10356588","","12762450","","12612498","","13421248","","14067863","","12438250",""
"Americas","Import","Crustaceans","6192701","","6185806","","6101866","","6629426","","6666150","","6852203","","7464514","","7528847","","7633630","","6815119","","7793237","","9003427","","8358788","","9530316","","11636721","","10080928",""
"Americas","Import","Fish","5759548","","5669373","","5951064","","6452263","","7049017","","7858648","","8887486","","9894668","","10955422","","10680549","","11824036","","13320043","","14241241","","14965255","","15611135","","14568938",""
"Asia","Export","Crustaceans","7308421","","7132865","","7090403","","7772136","","8378673","","8998416","","9789530","","9879358","","10282577","","10033076","","12139113","","14701376","","14220779","","16074422","","18689221","","15027335",""
"Asia","Export","Fish","8935351","","8993803","","9367672","","9619345","","11761449","","13235931","","14944270","","16621925","","19529495","","18944609","","22585313","","27008337","","28797108","","28632534","","28365532","","26175766",""
"Asia","Import","Crustaceans","6031521","","5148865","","5217897","","4727527","","5646650","","5231425","","5467041","","5413877","","5824682","","5477958","","6155424","","7701446","","8395102","","8511069","","9377684","","8572390",""
"Asia","Import","Fish","13279123","","12786860","","13175466","","13329192","","15524183","","16745559","","17004069","","17648277","","20418528","","18762380","","21518007","","25528157","","26234228","","24424689","","24663308","","23588972",""
"Europe","Export","Crustaceans","2555516","","2502659","","2629385","","3128340","","3418498","","3518505","","3822113","","4358485","","4497979","","3885714","","4070101","","4495739","","4229241","","4316855","","4912483","","4465209",""
"Europe","Export","Fish","14327699","","14564883","","15584432","","17541564","","19941321","","22408410","","24811066","","27867935","","30589822","","28778342","","32839488","","37045978","","35671966","","39736972","","41814536","","36802988",""
"Europe","Import","Crustaceans","4704202","","4613155","","4546121","","5611593","","6013784","","6504096","","7211431","","7917805","","8334511","","7317862","","8090175","","9151497","","8285324","","8761146","","10136407","","8585054",""
"Europe","Import","Fish","14293567","","15310730","","16214585","","18853772","","21414973","","24351231","","28265150","","32380885","","35234664","","32094205","","34062501","","38456179","","37148514","","41171640","","42328109","","36381047",""
"Oceania","Export","Crustaceans","619629","","538315","","530254","","526196","","566514","","592459","","612652","","568890","","633621","","535134","","636182","","671486","","698988","","805821","","966721","","887793",""
"Oceania","Export","Fish","893089","","898004","","976388","","998166","","1007120","","998732","","996416","","1158068","","1156829","","1174454","","1308270","","1480653","","1530941","","1453142","","1476345","","1445539",""
"Oceania","Import","Crustaceans","152742","","150235","","147304","","186017","","206969","","239396","","277375","","298168","","274462","","288092","","344742","","410411","","438085","","466765","","569932","","411395",""
"Oceania","Import","Fish","357480","","368080","","401624","","480173","","511154","","587208","","624739","","773800","","853689","","780435","","897099","","1105725","","1200065","","1214817","","1338949","","1097138",""
