Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
North America,º North America,1961,BiocapTotGHA,7248091.924190907,0,248999564.2643477,229280557.904921,829314545.557797,113261016.4705359,1428103776.1217911,,null
North America,º North America,1961,EFConsTotGHA,7248091.924190907,1034307686.517553,197976270.97251892,31054235.500232197,253932071.2501016,132862665.4634106,1657381021.628002,,null
North America,º North America,1962,BiocapTotGHA,7510746.985722627,0,256208736.8578112,228748130.914347,829388283.163223,112997624.7138861,1434853522.6349912,,null
North America,º North America,1962,EFConsTotGHA,7510746.985722627,1088241586.176556,211109920.483738,32314439.947351,264701890.9075057,134830890.2319162,1738709474.7327871,,null
North America,º North America,1963,BiocapTotGHA,8057622.284960503,0,276942597.9190552,227967530.38518798,828670084.1721721,111037810.82760969,1452675645.588984,,null
North America,º North America,1963,EFConsTotGHA,8057622.284960503,1160368929.1015625,223019308.82429418,32598020.6242798,261798119.2350679,134195033.1573919,1820037033.227566,,null
North America,º North America,1964,BiocapTotGHA,7586890.562186126,0,253063710.2744432,227483452.62344998,828164659.828725,110565422.6828232,1426864135.971628,,null
North America,º North America,1964,EFConsTotGHA,7586890.562186126,1219375213.3466012,186563575.2316861,31199609.046868302,274722692.655411,127702283.677628,1847150264.520382,,null
North America,º North America,1965,BiocapTotGHA,8609226.334657228,0,283392511.4785584,226687921.344337,828398426.3762529,109497115.5840977,1456585201.117903,,null
North America,º North America,1965,EFConsTotGHA,8609226.334657228,1293149815.9669456,217766443.9825392,31572050.6087187,282817371.5532123,128168526.71078251,1962083435.156856,,null
North America,º North America,1966,BiocapTotGHA,8638123.661388509,0,282343785.5886387,226628654.873128,829257189.2978499,109699118.4530681,1456566871.874072,,null
North America,º North America,1966,EFConsTotGHA,8638123.661388509,1375597170.0681918,207777525.9979346,32590027.2372642,293036927.2465339,130992573.26413181,2048632347.4754462,,null
North America,º North America,1967,BiocapTotGHA,9051365.749605851,0,285040593.756328,225949382.41482198,829204772.230079,109583827.4363581,1458829941.587194,,null
North America,º North America,1967,EFConsTotGHA,9051365.749605851,1432214282.3327389,226885824.2616055,30981471.6904434,286116205.4279624,128191078.57698719,2113440228.039342,,null
North America,º North America,1968,BiocapTotGHA,9307654.768184986,0,301247242.9584863,225393339.324773,827560299.8907809,107331429.274254,1470839966.216479,,null
North America,º North America,1968,EFConsTotGHA,9307654.768184986,1525591926.4294949,250214217.15843222,30702176.041844003,290017455.6581646,130668799.82908149,2236502229.885193,,null
North America,º North America,1969,BiocapTotGHA,9192139.155896673,0,308011757.7535947,223846049.565091,826074511.863802,103798413.17302051,1470922871.511404,,null
North America,º North America,1969,EFConsTotGHA,9192139.155896673,1592274694.953306,265012511.34776717,30561306.0416046,294803869.91515744,126298447.9020385,2318142969.315773,,null
North America,º North America,1970,BiocapTotGHA,8750722.54439105,0,288250783.4464649,224336330.91734898,825012355.5846269,103734642.5098028,1450084835.002634,,null
North America,º North America,1970,EFConsTotGHA,8750722.54439105,1684000199.860216,222850509.86113638,31789458.7373591,290996008.8531328,126713606.93449481,2365100506.790729,,null
North America,º North America,1971,BiocapTotGHA,9934010.4292808,0,324498585.71762305,223925023.391765,824625028.6787851,103262223.53833641,1486244871.755791,,null
North America,º North America,1971,EFConsTotGHA,9934010.4292808,1730005301.610473,259210173.7041997,30498295.283344,302288596.7556582,123240180.7980524,2455176558.581002,,null
North America,º North America,1972,BiocapTotGHA,9729784.643888801,0,312752164.0331829,224721489.15161902,822666941.329319,103440528.5754746,1473310907.733484,,null
North America,º North America,1972,EFConsTotGHA,9729784.643888801,1833335866.027335,226200451.71945912,29993875.77046516,301247625.5611902,125807643.1363468,2526315246.858678,,null
North America,º North America,1973,BiocapTotGHA,10354548.396579549,0,328192608.48421985,223358822.710455,822530629.809384,102560285.1513479,1486996894.551985,,null
North America,º North America,1973,EFConsTotGHA,10354548.396579549,1918387533.344219,215431004.1356767,29693305.19099638,318306575.55421793,123324833.4220044,2615497800.043697,,null
North America,º North America,1974,BiocapTotGHA,9244928.555755647,0,288719413.4748267,224101985.270262,820400239.772477,102693126.23004201,1445159693.3033628,,null
North America,º North America,1974,EFConsTotGHA,9244928.555755647,1845005093.65417,195158770.96232072,28609449.19882825,308217267.2378948,118294452.6183372,2504529962.2272987,,null
North America,º North America,1975,BiocapTotGHA,10756166.123089269,0,334254187.4690224,223982501.841025,819420498.538655,102600464.2493067,1491013818.221099,,null
North America,º North America,1975,EFConsTotGHA,10756166.123089269,1754645186.6652699,232552468.88974878,28734482.03529586,273760118.5528089,118345320.7679686,2418793743.034183,,null
North America,º North America,1976,BiocapTotGHA,10809273.554302601,0,333773459.8766119,223823935.46669,809340519.864887,102491242.6881551,1480238431.4506469,,null
North America,º North America,1976,EFConsTotGHA,10809273.554302601,1871511010.7214608,230225110.049994,31794956.79163465,307413333.7725956,122712440.2452604,2574466125.135249,,null
North America,º North America,1977,BiocapTotGHA,11649069.69273243,0,356381007.23419803,224865551.301063,807489010.2397289,102692623.2537005,1503077261.721423,,null
North America,º North America,1977,EFConsTotGHA,11649069.69273243,1947079048.927423,244161035.9082477,31080062.5312927,314623563.1932593,119537281.63714461,2668130061.890095,,null
North America,º North America,1978,BiocapTotGHA,11653225.17895218,0,356849302.3910193,225196632.95536,804737148.318907,101053265.61904961,1499489574.463288,,null
North America,º North America,1978,EFConsTotGHA,11653225.17895218,1930798395.327809,220448032.3162629,34064522.8174833,347382675.1651804,121409847.5828046,2665756698.388492,,null
North America,º North America,1979,BiocapTotGHA,12732430.978293382,0,383408170.3493438,225598600.690589,802675539.9191101,100921622.0790458,1525336364.016379,,null
North America,º North America,1979,EFConsTotGHA,12732430.978293382,1953697283.267163,238497237.9839387,37532614.3952077,352623894.4009641,120191390.8362814,2715274851.861848,,null
North America,º North America,1980,BiocapTotGHA,11773368.63975729,0,353590918.2984853,225629119.535711,795073521.938582,100623212.5714342,1486690140.983971,,null
North America,º North America,1980,EFConsTotGHA,11773368.63975729,1814648560.496297,183348870.455541,37279198.7250481,320828505.1969367,117198012.03138481,2485076515.5449634,,null
North America,º North America,1981,BiocapTotGHA,13832892.16686993,0,412082163.8862155,226085676.59289,792392899.630347,100514832.71608111,1544908464.992405,,null
North America,º North America,1981,EFConsTotGHA,13832892.16686993,1751039835.2436821,237478218.6823369,39563307.528728604,312924897.62271583,116352430.9169988,2471191582.16133,,null
North America,º North America,1982,BiocapTotGHA,14424563.309718179,0,425142562.3436482,224856249.96361798,791328515.84114,101200756.291717,1556952647.74984,,null
North America,º North America,1982,EFConsTotGHA,14424563.309718179,1646081825.5974572,255801203.0502735,40124430.9873078,295725376.5081601,117887501.4916031,2370044900.944522,,null
North America,º North America,1983,BiocapTotGHA,11115792.0897251,0,328210599.0155948,224325050.55844802,789739871.5925009,100836495.0960231,1454227808.352293,,null
North America,º North America,1983,EFConsTotGHA,11115792.0897251,1629982881.155852,151042026.8025063,41530083.5668725,341585703.9602811,117865975.2341011,2293122462.80934,,null
North America,º North America,1984,BiocapTotGHA,13977256.26154419,0,401723782.4985487,222910986.9454926,787263543.373299,100076462.610284,1525952031.689173,,null
North America,º North America,1984,EFConsTotGHA,13977256.26154419,1729144689.333622,231090161.4633245,40854319.193104,374241362.5853773,115477998.21341969,2504785787.050392,,null
North America,º North America,1985,BiocapTotGHA,15017525.32843824,0,429254489.59288037,221746788.9512153,785125197.949494,99430046.74191381,1550574048.563943,,null
North America,º North America,1985,EFConsTotGHA,15017525.32843824,1754443574.888682,297795819.8742996,41053809.0299065,371928865.0199025,116129143.9242475,2596368738.065475,,null
North America,º North America,1986,BiocapTotGHA,14297716.20879498,0,410653283.8244372,220235880.96252382,794114507.834349,98628240.02290769,1537929628.853008,,null
North America,º North America,1986,EFConsTotGHA,14297716.20879498,1761364114.126404,277115715.18208873,40922625.5092827,397799301.1266112,116496806.247409,2607996278.400588,,null
North America,º North America,1987,BiocapTotGHA,14195246.471623939,0,398764882.14129734,219948752.0389017,794222536.246635,97725900.8114207,1524857317.709875,,null
North America,º North America,1987,EFConsTotGHA,14195246.471623939,1814737907.06322,233984069.4590025,46999751.1095578,410622821.4724297,116806395.8032949,2637346191.379134,,null
North America,º North America,1988,BiocapTotGHA,11374294.95271913,0,314448475.2235177,219478248.6569599,796861020.355829,97600935.4686492,1439762974.6576738,,null
North America,º North America,1988,EFConsTotGHA,11374294.95271913,1913257721.831867,141697449.6742476,43019400.9669459,400115741.69053215,115950357.4368394,2625414966.553153,,null
North America,º North America,1989,BiocapTotGHA,13826554.31191948,0,378762719.8225572,219205951.4233589,801627999.529677,97563437.70104751,1510986662.78856,,null
North America,º North America,1989,EFConsTotGHA,13826554.31191948,1941775194.645527,216598682.2758471,47153755.191421896,402303800.31252867,113458650.5837175,2735116637.32096,,null
North America,º North America,1990,BiocapTotGHA,15379734.10179895,0,418187212.0629427,219594970.9052253,805075261.608009,97819492.5553164,1556056671.233292,,null
North America,º North America,1990,EFConsTotGHA,15379734.10179895,1896466273.637499,264970622.5099681,46987349.3522295,386409502.8896686,115989121.3712787,2726202603.862444,,null
North America,º North America,1991,BiocapTotGHA,14550177.48677828,0,393263361.3353158,219257146.9031833,806315274.336043,97753818.4431405,1531139778.504466,,null
North America,º North America,1991,EFConsTotGHA,14550177.48677828,1877883891.422035,226234000.5066455,42139786.4815982,357094818.94572127,116366448.8546486,2634269123.697418,,null
North America,º North America,1992,BiocapTotGHA,16331512.436068822,0,428333247.1514013,221227176.2446069,818264019.100871,98599372.95142439,1582755327.884377,,null
North America,º North America,1992,EFConsTotGHA,16331512.436068822,1942044010.947704,259441143.08605662,40553580.94366891,371591942.64731467,118038051.10563451,2748000241.16644,,null
North America,º North America,1993,BiocapTotGHA,14293635.14529798,0,375155677.62494814,221236187.8729117,818400487.521543,98133346.59234539,1527219334.757045,,null
North America,º North America,1993,EFConsTotGHA,14293635.14529798,1985479504.237658,208697907.2221566,42884466.10459832,377596518.57737356,119255881.9212783,2748207913.208361,,null
North America,º North America,1994,BiocapTotGHA,17524111.13685101,0,448535998.4691689,220794003.5854971,820175372.9419351,97564166.0832445,1604593652.216693,,null
North America,º North America,1994,EFConsTotGHA,17524111.13685101,2047502804.292301,281084772.4663549,44188042.967520386,385882920.0979603,116441148.49984969,2892623799.4608393,,null
North America,º North America,1995,BiocapTotGHA,15360366.639445782,0,392708642.2185256,220098017.4241978,821504400.33898,96902074.7116518,1546573501.332798,,null
North America,º North America,1995,EFConsTotGHA,15360366.639445782,2058428502.4296732,197749648.4124292,39168251.49852729,383247107.30191946,112804119.1693777,2806757995.4513693,,null
North America,º North America,1996,BiocapTotGHA,17418832.04310876,0,433343889.671211,219866865.95052308,821525783.3927,96378032.6462979,1588533403.703837,,null
North America,º North America,1996,EFConsTotGHA,17418832.04310876,2131340895.693362,261521533.9681419,39472185.9366704,382410658.4350861,109713985.56979169,2941878091.6461573,,null
North America,º North America,1997,BiocapTotGHA,18208821.34461325,0,441086040.41449773,219799578.86709762,820863464.742333,96266796.2206847,1596224701.589228,,null
North America,º North America,1997,EFConsTotGHA,18208821.34461325,2236483894.032525,277949979.3099211,41657420.93156676,392873413.9237605,111059126.6187491,3078232656.16113,,null
North America,º North America,1998,BiocapTotGHA,18742114.95042203,0,448973588.296348,219807133.53599268,821440322.5474689,96442734.42395729,1605405893.75419,,null
