Area Name,2017,2018,color
<b>West Yorkshire Police</b>,89,112,Increase in knife crimes
<b>Metropolitan Police Service</b>,149,170,Increase in knife crimes
Leicestershire Constabulary,52,71,Increase in knife crimes
South Wales,37,52,Increase in knife crimes
<b>West Midlands Police</b>,88,102,Increase in knife crimes
Derbyshire Constabulary,41,54,Increase in knife crimes
Merseyside Police,60,72,Increase in knife crimes
Dyfed-Powys,19,31,Increase in knife crimes
Cheshire Constabulary,28,39,Increase in knife crimes
Cambridgeshire Constabulary,51,61,Increase in knife crimes
Nottinghamshire Police,67,75,Increase in knife crimes
Humberside Police,54,62,Increase in knife crimes
Thames Valley Police,49,57,Increase in knife crimes
Kent Police,39,46,Increase in knife crimes
Durham Constabulary,32,39,Increase in knife crimes
Cumbria Constabulary,26,32,Increase in knife crimes
Cleveland Police,73,78,Increase in knife crimes
Staffordshire Police,55,60,Increase in knife crimes
Gloucestershire Constabulary,43,48,Increase in knife crimes
Avon and Somerset Constabulary,30,35,Increase in knife crimes
Lincolnshire Police,28,33,Increase in knife crimes
Hampshire Constabulary,38,42,Increase in knife crimes
Warwickshire Police,40,43,Increase in knife crimes
Gwent,19,22,Increase in knife crimes
Northamptonshire Police,59,61,Increase in knife crimes
Devon and Cornwall Police,23,25,Increase in knife crimes
Lancashire Constabulary,60,61,Increase in knife crimes
Sussex Police,18,19,Increase in knife crimes
Surrey Police,4,5,Increase in knife crimes
South Yorkshire Police,71,70,Decrease in knife crimes
North Wales,39,38,Decrease in knife crimes
North Yorkshire Police,29,27,Decrease in knife crimes
Dorset Police,32,29,Decrease in knife crimes
West Mercia Police,39,35,Decrease in knife crimes
Hertfordshire Constabulary,47,42,Decrease in knife crimes
Wiltshire Police,40,35,Decrease in knife crimes
Northumbria Police,29,20,Decrease in knife crimes
Bedfordshire Police,76,66,Decrease in knife crimes
Norfolk Constabulary,38,26,Decrease in knife crimes
Suffolk Constabulary,35,21,Decrease in knife crimes
Essex Police,60,43,Decrease in knife crimes
