Year,Division,District,CrimeType,CrimeCount,Population
2002,Bahawalpur,Bahawalpur,All Reported,8440,2743000
2002,Bahawalpur,Bahawalpur,Murder,105,2743000
2002,Bahawalpur,Bahawalpur,Attempted Murder,226,2743000
2002,Bahawalpur,Bahawalpur,Hurt,700,2743000
2002,Bahawalpur,Bahawalpur,Rioting,12,2743000
2002,Bahawalpur,Bahawalpur,Assault on Govt. Servants,39,2743000
2002,Bahawalpur,Bahawalpur,Rape,63,2743000
2002,Bahawalpur,Bahawalpur,Kidnapping/ Abduction,243,2743000
2002,Bahawalpur,Bahawalpur,Dacoity,24,2743000
2002,Bahawalpur,Bahawalpur,Robbery,195,2743000
2002,Bahawalpur,Bahawalpur,Burglary,998,2743000
2002,Bahawalpur,Bahawalpur,Motor Vehicles Theft,175,2743000
2002,Bahawalpur,Bahawalpur,Cattle Theft,150,2743000
2002,Bahawalpur,Bahawalpur,Ordinary Thefts,61,2743000
2002,Bahawalpur,Bahawalpur,Misc.,5449,2743000
2002,Bahawalpur,Bahawalnagar,All Reported,6728,2264000
2002,Bahawalpur,Bahawalnagar,Murder,104,2264000
2002,Bahawalpur,Bahawalnagar,Attempted Murder,139,2264000
2002,Bahawalpur,Bahawalnagar,Hurt,595,2264000
2002,Bahawalpur,Bahawalnagar,Rioting,10,2264000
2002,Bahawalpur,Bahawalnagar,Assault on Govt. Servants,28,2264000
2002,Bahawalpur,Bahawalnagar,Rape,44,2264000
2002,Bahawalpur,Bahawalnagar,Kidnapping/ Abduction,146,2264000
2002,Bahawalpur,Bahawalnagar,Dacoity,25,2264000
2002,Bahawalpur,Bahawalnagar,Robbery,169,2264000
2002,Bahawalpur,Bahawalnagar,Burglary,572,2264000
2002,Bahawalpur,Bahawalnagar,Motor Vehicles Theft,80,2264000
2002,Bahawalpur,Bahawalnagar,Cattle Theft,166,2264000
2002,Bahawalpur,Bahawalnagar,Ordinary Thefts,43,2264000
2002,Bahawalpur,Bahawalnagar,Misc.,4607,2264000
2002,Bahawalpur,R.Y.Khan,All Reported,9032,3556000
2002,Bahawalpur,R.Y.Khan,Murder,174,3556000
2002,Bahawalpur,R.Y.Khan,Attempted Murder,157,3556000
2002,Bahawalpur,R.Y.Khan,Hurt,720,3556000
2002,Bahawalpur,R.Y.Khan,Rioting,27,3556000
2002,Bahawalpur,R.Y.Khan,Assault on Govt. Servants,57,3556000
2002,Bahawalpur,R.Y.Khan,Rape,68,3556000
2002,Bahawalpur,R.Y.Khan,Kidnapping/ Abduction,222,3556000
2002,Bahawalpur,R.Y.Khan,Dacoity,76,3556000
2002,Bahawalpur,R.Y.Khan,Robbery,304,3556000
2002,Bahawalpur,R.Y.Khan,Burglary,538,3556000
2002,Bahawalpur,R.Y.Khan,Motor Vehicles Theft,195,3556000
2002,Bahawalpur,R.Y.Khan,Cattle Theft,392,3556000
2002,Bahawalpur,R.Y.Khan,Ordinary Thefts,32,3556000
2002,Bahawalpur,R.Y.Khan,Misc.,6070,3556000
2002,Dera Ghazi Khan,D.G.Khan,All Reported,3573,1869000
2002,Dera Ghazi Khan,D.G.Khan,Murder,57,1869000
2002,Dera Ghazi Khan,D.G.Khan,Attempted Murder,51,1869000
2002,Dera Ghazi Khan,D.G.Khan,Hurt,304,1869000
2002,Dera Ghazi Khan,D.G.Khan,Rioting,1,1869000
2002,Dera Ghazi Khan,D.G.Khan,Assault on Govt. Servants,6,1869000
2002,Dera Ghazi Khan,D.G.Khan,Rape,17,1869000
2002,Dera Ghazi Khan,D.G.Khan,Kidnapping/ Abduction,57,1869000
2002,Dera Ghazi Khan,D.G.Khan,Dacoity,4,1869000
2002,Dera Ghazi Khan,D.G.Khan,Robbery,39,1869000
2002,Dera Ghazi Khan,D.G.Khan,Burglary,103,1869000
2002,Dera Ghazi Khan,D.G.Khan,Motor Vehicles Theft,111,1869000
2002,Dera Ghazi Khan,D.G.Khan,Cattle Theft,75,1869000
2002,Dera Ghazi Khan,D.G.Khan,Ordinary Thefts,267,1869000
2002,Dera Ghazi Khan,D.G.Khan,Misc.,2481,1869000
2002,Dera Ghazi Khan,Layyah,All Reported,2030,1265000
2002,Dera Ghazi Khan,Layyah,Murder,28,1265000
2002,Dera Ghazi Khan,Layyah,Attempted Murder,37,1265000
2002,Dera Ghazi Khan,Layyah,Hurt,187,1265000
2002,Dera Ghazi Khan,Layyah,Rioting,0,1265000
2002,Dera Ghazi Khan,Layyah,Assault on Govt. Servants,20,1265000
2002,Dera Ghazi Khan,Layyah,Rape,29,1265000
2002,Dera Ghazi Khan,Layyah,Kidnapping/ Abduction,58,1265000
2002,Dera Ghazi Khan,Layyah,Dacoity,3,1265000
2002,Dera Ghazi Khan,Layyah,Robbery,17,1265000
2002,Dera Ghazi Khan,Layyah,Burglary,37,1265000
2002,Dera Ghazi Khan,Layyah,Motor Vehicles Theft,24,1265000
2002,Dera Ghazi Khan,Layyah,Cattle Theft,15,1265000
2002,Dera Ghazi Khan,Layyah,Ordinary Thefts,131,1265000
2002,Dera Ghazi Khan,Layyah,Misc.,1444,1265000
2002,Dera Ghazi Khan,Muzaffargarh,All Reported,10186,3005000
2002,Dera Ghazi Khan,Muzaffargarh,Murder,81,3005000
2002,Dera Ghazi Khan,Muzaffargarh,Attempted Murder,89,3005000
2002,Dera Ghazi Khan,Muzaffargarh,Hurt,690,3005000
2002,Dera Ghazi Khan,Muzaffargarh,Rioting,3,3005000
2002,Dera Ghazi Khan,Muzaffargarh,Assault on Govt. Servants,4,3005000
2002,Dera Ghazi Khan,Muzaffargarh,Rape,84,3005000
2002,Dera Ghazi Khan,Muzaffargarh,Kidnapping/ Abduction,153,3005000
2002,Dera Ghazi Khan,Muzaffargarh,Dacoity,8,3005000
2002,Dera Ghazi Khan,Muzaffargarh,Robbery,30,3005000
2002,Dera Ghazi Khan,Muzaffargarh,Burglary,254,3005000
2002,Dera Ghazi Khan,Muzaffargarh,Motor Vehicles Theft,66,3005000
2002,Dera Ghazi Khan,Muzaffargarh,Cattle Theft,137,3005000
2002,Dera Ghazi Khan,Muzaffargarh,Ordinary Thefts,233,3005000
2002,Dera Ghazi Khan,Muzaffargarh,Misc.,8354,3005000
2002,Dera Ghazi Khan,Rajanpur,All Reported,3750,1253000
2002,Dera Ghazi Khan,Rajanpur,Murder,84,1253000
2002,Dera Ghazi Khan,Rajanpur,Attempted Murder,98,1253000
2002,Dera Ghazi Khan,Rajanpur,Hurt,357,1253000
2002,Dera Ghazi Khan,Rajanpur,Rioting,0,1253000
2002,Dera Ghazi Khan,Rajanpur,Assault on Govt. Servants,12,1253000
2002,Dera Ghazi Khan,Rajanpur,Rape,13,1253000
2002,Dera Ghazi Khan,Rajanpur,Kidnapping/ Abduction,59,1253000
2002,Dera Ghazi Khan,Rajanpur,Dacoity,5,1253000
2002,Dera Ghazi Khan,Rajanpur,Robbery,65,1253000
2002,Dera Ghazi Khan,Rajanpur,Burglary,101,1253000
2002,Dera Ghazi Khan,Rajanpur,Motor Vehicles Theft,18,1253000
2002,Dera Ghazi Khan,Rajanpur,Cattle Theft,108,1253000
2002,Dera Ghazi Khan,Rajanpur,Ordinary Thefts,112,1253000
2002,Dera Ghazi Khan,Rajanpur,Misc.,2718,1253000
2002,Faisalabad,Faisalabad,All Reported,20306,5987000
2002,Faisalabad,Faisalabad,Murder,413,5987000
2002,Faisalabad,Faisalabad,Attempted Murder,372,5987000
2002,Faisalabad,Faisalabad,Hurt,914,5987000
2002,Faisalabad,Faisalabad,Rioting,0,5987000
2002,Faisalabad,Faisalabad,Assault on Govt. Servants,72,5987000
2002,Faisalabad,Faisalabad,Rape,98,5987000
2002,Faisalabad,Faisalabad,Kidnapping/ Abduction,293,5987000
2002,Faisalabad,Faisalabad,Dacoity,35,5987000
2002,Faisalabad,Faisalabad,Robbery,407,5987000
2002,Faisalabad,Faisalabad,Burglary,457,5987000
2002,Faisalabad,Faisalabad,Motor Vehicles Theft,479,5987000
2002,Faisalabad,Faisalabad,Cattle Theft,548,5987000
2002,Faisalabad,Faisalabad,Ordinary Thefts,636,5987000
2002,Faisalabad,Faisalabad,Misc.,15590,5987000
2002,Faisalabad,Jhang,All Reported,7145,3083000
2002,Faisalabad,Jhang,Murder,205,3083000
2002,Faisalabad,Jhang,Attempted Murder,134,3083000
2002,Faisalabad,Jhang,Hurt,749,3083000
2002,Faisalabad,Jhang,Rioting,2,3083000
2002,Faisalabad,Jhang,Assault on Govt. Servants,37,3083000
2002,Faisalabad,Jhang,Rape,129,3083000
2002,Faisalabad,Jhang,Kidnapping/ Abduction,196,3083000
2002,Faisalabad,Jhang,Dacoity,56,3083000
2002,Faisalabad,Jhang,Robbery,103,3083000
2002,Faisalabad,Jhang,Burglary,385,3083000
2002,Faisalabad,Jhang,Motor Vehicles Theft,99,3083000
2002,Faisalabad,Jhang,Cattle Theft,506,3083000
2002,Faisalabad,Jhang,Ordinary Thefts,141,3083000
2002,Faisalabad,Jhang,Misc.,4403,3083000
2002,Faisalabad,T.T.Singh,All Reported,3678,1762000
2002,Faisalabad,T.T.Singh,Murder,92,1762000
2002,Faisalabad,T.T.Singh,Attempted Murder,80,1762000
2002,Faisalabad,T.T.Singh,Hurt,229,1762000
2002,Faisalabad,T.T.Singh,Rioting,1,1762000
2002,Faisalabad,T.T.Singh,Assault on Govt. Servants,17,1762000
2002,Faisalabad,T.T.Singh,Rape,21,1762000
2002,Faisalabad,T.T.Singh,Kidnapping/ Abduction,69,1762000
2002,Faisalabad,T.T.Singh,Dacoity,9,1762000
2002,Faisalabad,T.T.Singh,Robbery,66,1762000
2002,Faisalabad,T.T.Singh,Burglary,58,1762000
2002,Faisalabad,T.T.Singh,Motor Vehicles Theft,30,1762000
2002,Faisalabad,T.T.Singh,Cattle Theft,42,1762000
2002,Faisalabad,T.T.Singh,Ordinary Thefts,325,1762000
2002,Faisalabad,T.T.Singh,Misc.,2639,1762000
2002,Gujranwala,Gujranwala,All Reported,11037,3799000
2002,Gujranwala,Gujranwala,Murder,269,3799000
2002,Gujranwala,Gujranwala,Attempted Murder,326,3799000
2002,Gujranwala,Gujranwala,Hurt,893,3799000
2002,Gujranwala,Gujranwala,Rioting,0,3799000
2002,Gujranwala,Gujranwala,Assault on Govt. Servants,40,3799000
2002,Gujranwala,Gujranwala,Rape,50,3799000
2002,Gujranwala,Gujranwala,Kidnapping/ Abduction,182,3799000
2002,Gujranwala,Gujranwala,Dacoity,46,3799000
2002,Gujranwala,Gujranwala,Robbery,412,3799000
2002,Gujranwala,Gujranwala,Burglary,318,3799000
2002,Gujranwala,Gujranwala,Motor Vehicles Theft,221,3799000
2002,Gujranwala,Gujranwala,Cattle Theft,60,3799000
2002,Gujranwala,Gujranwala,Ordinary Thefts,388,3799000
2002,Gujranwala,Gujranwala,Misc.,7832,3799000
2002,Gujranwala,Gujrat,All Reported,9480,2234000
2002,Gujranwala,Gujrat,Murder,212,2234000
2002,Gujranwala,Gujrat,Attempted Murder,222,2234000
2002,Gujranwala,Gujrat,Hurt,494,2234000
2002,Gujranwala,Gujrat,Rioting,0,2234000
2002,Gujranwala,Gujrat,Assault on Govt. Servants,15,2234000
2002,Gujranwala,Gujrat,Rape,27,2234000
2002,Gujranwala,Gujrat,Kidnapping/ Abduction,98,2234000
2002,Gujranwala,Gujrat,Dacoity,10,2234000
2002,Gujranwala,Gujrat,Robbery,76,2234000
2002,Gujranwala,Gujrat,Burglary,156,2234000
2002,Gujranwala,Gujrat,Motor Vehicles Theft,86,2234000
2002,Gujranwala,Gujrat,Cattle Theft,82,2234000
2002,Gujranwala,Gujrat,Ordinary Thefts,112,2234000
2002,Gujranwala,Gujrat,Misc.,7890,2234000
2002,Gujranwala,Hafizabad,All Reported,2927,910000
2002,Gujranwala,Hafizabad,Murder,79,910000
2002,Gujranwala,Hafizabad,Attempted Murder,58,910000
2002,Gujranwala,Hafizabad,Hurt,218,910000
2002,Gujranwala,Hafizabad,Rioting,0,910000
2002,Gujranwala,Hafizabad,Assault on Govt. Servants,26,910000
2002,Gujranwala,Hafizabad,Rape,22,910000
2002,Gujranwala,Hafizabad,Kidnapping/ Abduction,48,910000
2002,Gujranwala,Hafizabad,Dacoity,7,910000
2002,Gujranwala,Hafizabad,Robbery,34,910000
2002,Gujranwala,Hafizabad,Burglary,44,910000
2002,Gujranwala,Hafizabad,Motor Vehicles Theft,14,910000
2002,Gujranwala,Hafizabad,Cattle Theft,60,910000
2002,Gujranwala,Hafizabad,Ordinary Thefts,186,910000
2002,Gujranwala,Hafizabad,Misc.,2131,910000
2002,Gujranwala,Mandi Baha-ud-Din,All Reported,3836,1249000
2002,Gujranwala,Mandi Baha-ud-Din,Murder,94,1249000
2002,Gujranwala,Mandi Baha-ud-Din,Attempted Murder,94,1249000
2002,Gujranwala,Mandi Baha-ud-Din,Hurt,404,1249000
2002,Gujranwala,Mandi Baha-ud-Din,Rioting,0,1249000
2002,Gujranwala,Mandi Baha-ud-Din,Assault on Govt. Servants,25,1249000
2002,Gujranwala,Mandi Baha-ud-Din,Rape,25,1249000
2002,Gujranwala,Mandi Baha-ud-Din,Kidnapping/ Abduction,92,1249000
2002,Gujranwala,Mandi Baha-ud-Din,Dacoity,11,1249000
2002,Gujranwala,Mandi Baha-ud-Din,Robbery,39,1249000
2002,Gujranwala,Mandi Baha-ud-Din,Burglary,88,1249000
2002,Gujranwala,Mandi Baha-ud-Din,Motor Vehicles Theft,37,1249000
2002,Gujranwala,Mandi Baha-ud-Din,Cattle Theft,131,1249000
2002,Gujranwala,Mandi Baha-ud-Din,Ordinary Thefts,57,1249000
2002,Gujranwala,Mandi Baha-ud-Din,Misc.,2739,1249000
2002,Gujranwala,Narowal,All Reported,2731,1366000
2002,Gujranwala,Narowal,Murder,98,1366000
2002,Gujranwala,Narowal,Attempted Murder,83,1366000
2002,Gujranwala,Narowal,Hurt,313,1366000
2002,Gujranwala,Narowal,Rioting,0,1366000
2002,Gujranwala,Narowal,Assault on Govt. Servants,3,1366000
2002,Gujranwala,Narowal,Rape,7,1366000
2002,Gujranwala,Narowal,Kidnapping/ Abduction,53,1366000
2002,Gujranwala,Narowal,Dacoity,11,1366000
2002,Gujranwala,Narowal,Robbery,32,1366000
2002,Gujranwala,Narowal,Burglary,87,1366000
2002,Gujranwala,Narowal,Motor Vehicles Theft,19,1366000
2002,Gujranwala,Narowal,Cattle Theft,36,1366000
2002,Gujranwala,Narowal,Ordinary Thefts,114,1366000
2002,Gujranwala,Narowal,Misc.,1875,1366000
2002,Gujranwala,Sialkot,All Reported,9635,2998000
2002,Gujranwala,Sialkot,Murder,215,2998000
2002,Gujranwala,Sialkot,Attempted Murder,314,2998000
2002,Gujranwala,Sialkot,Hurt,760,2998000
2002,Gujranwala,Sialkot,Rioting,0,2998000
2002,Gujranwala,Sialkot,Assault on Govt. Servants,17,2998000
2002,Gujranwala,Sialkot,Rape,55,2998000
2002,Gujranwala,Sialkot,Kidnapping/ Abduction,163,2998000
2002,Gujranwala,Sialkot,Dacoity,24,2998000
2002,Gujranwala,Sialkot,Robbery,238,2998000
2002,Gujranwala,Sialkot,Burglary,245,2998000
2002,Gujranwala,Sialkot,Motor Vehicles Theft,224,2998000
2002,Gujranwala,Sialkot,Cattle Theft,95,2998000
2002,Gujranwala,Sialkot,Ordinary Thefts,223,2998000
2002,Gujranwala,Sialkot,Misc.,7062,2998000
2002,Lahore,Lahore,All Reported,38445,7228000
2002,Lahore,Lahore,Murder,506,7228000
2002,Lahore,Lahore,Attempted Murder,689,7228000
2002,Lahore,Lahore,Hurt,1262,7228000
2002,Lahore,Lahore,Rioting,0,7228000
2002,Lahore,Lahore,Assault on Govt. Servants,46,7228000
2002,Lahore,Lahore,Rape,48,7228000
2002,Lahore,Lahore,Kidnapping/ Abduction,608,7228000
2002,Lahore,Lahore,Dacoity,70,7228000
2002,Lahore,Lahore,Robbery,1384,7228000
2002,Lahore,Lahore,Burglary,1262,7228000
2002,Lahore,Lahore,Motor Vehicles Theft,2048,7228000
2002,Lahore,Lahore,Cattle Theft,108,7228000
2002,Lahore,Lahore,Ordinary Thefts,957,7228000
2002,Lahore,Lahore,Misc.,29457,7228000
2002,Lahore,Kasur,All Reported,7904,2632000
2002,Lahore,Kasur,Murder,185,2632000
2002,Lahore,Kasur,Attempted Murder,277,2632000
2002,Lahore,Kasur,Hurt,648,2632000
2002,Lahore,Kasur,Rioting,0,2632000
2002,Lahore,Kasur,Assault on Govt. Servants,30,2632000
2002,Lahore,Kasur,Rape,51,2632000
2002,Lahore,Kasur,Kidnapping/ Abduction,217,2632000
2002,Lahore,Kasur,Dacoity,37,2632000
2002,Lahore,Kasur,Robbery,125,2632000
2002,Lahore,Kasur,Burglary,274,2632000
2002,Lahore,Kasur,Motor Vehicles Theft,45,2632000
2002,Lahore,Kasur,Cattle Theft,154,2632000
2002,Lahore,Kasur,Ordinary Thefts,97,2632000
2002,Lahore,Kasur,Misc.,5764,2632000
2002,Lahore,Okara,All Reported,8236,2454000
2002,Lahore,Okara,Murder,184,2454000
2002,Lahore,Okara,Attempted Murder,202,2454000
2002,Lahore,Okara,Hurt,666,2454000
2002,Lahore,Okara,Rioting,0,2454000
2002,Lahore,Okara,Assault on Govt. Servants,20,2454000
2002,Lahore,Okara,Rape,97,2454000
2002,Lahore,Okara,Kidnapping/ Abduction,335,2454000
2002,Lahore,Okara,Dacoity,58,2454000
2002,Lahore,Okara,Robbery,145,2454000
2002,Lahore,Okara,Burglary,187,2454000
2002,Lahore,Okara,Motor Vehicles Theft,105,2454000
2002,Lahore,Okara,Cattle Theft,406,2454000
2002,Lahore,Okara,Ordinary Thefts,594,2454000
2002,Lahore,Okara,Misc.,5237,2454000
2002,Lahore,Sheikhupura,All Reported,11419,2275000
2002,Lahore,Sheikhupura,Murder,403,2275000
