source,target,type,size
0,1,BORDER_WITH,360
65,2,BORDER_WITH,3
64,3,BORDER_WITH,4
66,4,BORDER_WITH,593
64,4,BORDER_WITH,510
10,4,BORDER_WITH,600
131,5,BORDER_WITH,105
130,5,BORDER_WITH,430
99,6,BORDER_WITH,228
65,8,BORDER_WITH,39
66,9,BORDER_WITH,985
35,9,BORDER_WITH,579
66,10,BORDER_WITH,1605
66,11,BORDER_WITH,2200
67,11,BORDER_WITH,2050
10,11,BORDER_WITH,743
38,14,BORDER_WITH,3141
13,14,BORDER_WITH,8893
67,16,BORDER_WITH,225
15,16,BORDER_WITH,330
39,17,BORDER_WITH,256
37,17,BORDER_WITH,203
130,18,BORDER_WITH,909
132,19,BORDER_WITH,60
132,20,BORDER_WITH,676
132,21,BORDER_WITH,1458
20,21,BORDER_WITH,288
148,22,BORDER_WITH,167
64,23,BORDER_WITH,10
148,23,BORDER_WITH,577
22,23,BORDER_WITH,450
44,24,BORDER_WITH,614
45,24,BORDER_WITH,1619
99,25,BORDER_WITH,820
52,26,BORDER_WITH,965
121,26,BORDER_WITH,459
54,28,BORDER_WITH,1
27,28,BORDER_WITH,360
7,28,BORDER_WITH,152
107,29,BORDER_WITH,386
107,30,BORDER_WITH,563
61,30,BORDER_WITH,716
107,31,BORDER_WITH,652
30,31,BORDER_WITH,306
66,33,BORDER_WITH,1290
36,33,BORDER_WITH,750
35,33,BORDER_WITH,1699
69,34,BORDER_WITH,1420
67,34,BORDER_WITH,590
35,36,BORDER_WITH,742
12,37,BORDER_WITH,266
37,38,BORDER_WITH,959
12,38,BORDER_WITH,193
37,39,BORDER_WITH,256
39,40,BORDER_WITH,342
15,40,BORDER_WITH,309
75,41,BORDER_WITH,813
116,41,BORDER_WITH,797
131,41,BORDER_WITH,1231
130,41,BORDER_WITH,225
132,42,BORDER_WITH,222
133,42,BORDER_WITH,240
148,43,BORDER_WITH,68
44,45,BORDER_WITH,736
142,46,BORDER_WITH,744
95,46,BORDER_WITH,1621
143,46,BORDER_WITH,992
94,46,BORDER_WITH,379
49,50,BORDER_WITH,238
152,51,BORDER_WITH,1690
52,53,BORDER_WITH,463
109,53,BORDER_WITH,2237
32,54,BORDER_WITH,64
54,55,BORDER_WITH,1214
54,56,BORDER_WITH,16
52,56,BORDER_WITH,1601
53,57,BORDER_WITH,1561
56,57,BORDER_WITH,443
52,57,BORDER_WITH,43
60,59,BORDER_WITH,306
60,61,BORDER_WITH,584
60,62,BORDER_WITH,549
