date,hour,day,weekend,week,month,quarter,value
2021-01-01T07:00Z,23,Thursday,Weekday,53,December,Q4: Oct - Dec,28669
2021-01-01T06:00Z,22,Thursday,Weekday,53,December,Q4: Oct - Dec,29934
2021-01-01T05:00Z,21,Thursday,Weekday,53,December,Q4: Oct - Dec,30914
2021-01-01T04:00Z,20,Thursday,Weekday,53,December,Q4: Oct - Dec,31907
2021-01-01T03:00Z,19,Thursday,Weekday,53,December,Q4: Oct - Dec,32836
2021-01-01T02:00Z,18,Thursday,Weekday,53,December,Q4: Oct - Dec,32605
2021-01-01T01:00Z,17,Thursday,Weekday,53,December,Q4: Oct - Dec,29416
2021-01-01,16,Thursday,Weekday,53,December,Q4: Oct - Dec,27145
2020-12-31T23:00Z,15,Thursday,Weekday,53,December,Q4: Oct - Dec,25850
2020-12-31T22:00Z,14,Thursday,Weekday,53,December,Q4: Oct - Dec,25379
2020-12-31T21:00Z,13,Thursday,Weekday,53,December,Q4: Oct - Dec,25586
2020-12-31T20:00Z,12,Thursday,Weekday,53,December,Q4: Oct - Dec,26281
2020-12-31T19:00Z,11,Thursday,Weekday,53,December,Q4: Oct - Dec,26970
2020-12-31T18:00Z,10,Thursday,Weekday,53,December,Q4: Oct - Dec,27853
2020-12-31T17:00Z,9,Thursday,Weekday,53,December,Q4: Oct - Dec,28776
2020-12-31T16:00Z,8,Thursday,Weekday,53,December,Q4: Oct - Dec,29122
2020-12-31T15:00Z,7,Thursday,Weekday,53,December,Q4: Oct - Dec,28152
2020-12-31T14:00Z,6,Thursday,Weekday,53,December,Q4: Oct - Dec,26329
2020-12-31T13:00Z,5,Thursday,Weekday,53,December,Q4: Oct - Dec,25132
2020-12-31T12:00Z,4,Thursday,Weekday,53,December,Q4: Oct - Dec,24740
2020-12-31T11:00Z,3,Thursday,Weekday,53,December,Q4: Oct - Dec,24881
2020-12-31T10:00Z,2,Thursday,Weekday,53,December,Q4: Oct - Dec,25504
2020-12-31T09:00Z,1,Thursday,Weekday,53,December,Q4: Oct - Dec,26450
2020-12-31T08:00Z,0,Thursday,Weekday,53,December,Q4: Oct - Dec,27708
2020-12-31T07:00Z,23,Wednesday,Weekday,53,December,Q4: Oct - Dec,29569
2020-12-31T06:00Z,22,Wednesday,Weekday,53,December,Q4: Oct - Dec,31476
2020-12-31T05:00Z,21,Wednesday,Weekday,53,December,Q4: Oct - Dec,32702
2020-12-31T04:00Z,20,Wednesday,Weekday,53,December,Q4: Oct - Dec,33505
2020-12-31T03:00Z,19,Wednesday,Weekday,53,December,Q4: Oct - Dec,34114
2020-12-31T02:00Z,18,Wednesday,Weekday,53,December,Q4: Oct - Dec,33772
2020-12-31T01:00Z,17,Wednesday,Weekday,53,December,Q4: Oct - Dec,30676
2020-12-31,16,Wednesday,Weekday,53,December,Q4: Oct - Dec,28238
2020-12-30T23:00Z,15,Wednesday,Weekday,53,December,Q4: Oct - Dec,26784
2020-12-30T22:00Z,14,Wednesday,Weekday,53,December,Q4: Oct - Dec,26272
2020-12-30T21:00Z,13,Wednesday,Weekday,53,December,Q4: Oct - Dec,26166
2020-12-30T20:00Z,12,Wednesday,Weekday,53,December,Q4: Oct - Dec,26795
2020-12-30T19:00Z,11,Wednesday,Weekday,53,December,Q4: Oct - Dec,27969
2020-12-30T18:00Z,10,Wednesday,Weekday,53,December,Q4: Oct - Dec,28967
2020-12-30T17:00Z,9,Wednesday,Weekday,53,December,Q4: Oct - Dec,30236
2020-12-30T16:00Z,8,Wednesday,Weekday,53,December,Q4: Oct - Dec,30693
2020-12-30T15:00Z,7,Wednesday,Weekday,53,December,Q4: Oct - Dec,29756
2020-12-30T14:00Z,6,Wednesday,Weekday,53,December,Q4: Oct - Dec,27601
2020-12-30T13:00Z,5,Wednesday,Weekday,53,December,Q4: Oct - Dec,26109
2020-12-30T12:00Z,4,Wednesday,Weekday,53,December,Q4: Oct - Dec,25625
2020-12-30T11:00Z,3,Wednesday,Weekday,53,December,Q4: Oct - Dec,25651
2020-12-30T10:00Z,2,Wednesday,Weekday,53,December,Q4: Oct - Dec,26165
2020-12-30T09:00Z,1,Wednesday,Weekday,53,December,Q4: Oct - Dec,27154
2020-12-30T08:00Z,0,Wednesday,Weekday,53,December,Q4: Oct - Dec,28503
2020-12-30T07:00Z,23,Tuesday,Weekday,53,December,Q4: Oct - Dec,30309
2020-12-30T06:00Z,22,Tuesday,Weekday,53,December,Q4: Oct - Dec,32127
2020-12-30T05:00Z,21,Tuesday,Weekday,53,December,Q4: Oct - Dec,33191
2020-12-30T04:00Z,20,Tuesday,Weekday,53,December,Q4: Oct - Dec,33734
2020-12-30T03:00Z,19,Tuesday,Weekday,53,December,Q4: Oct - Dec,34275
2020-12-30T02:00Z,18,Tuesday,Weekday,53,December,Q4: Oct - Dec,33804
2020-12-30T01:00Z,17,Tuesday,Weekday,53,December,Q4: Oct - Dec,30285
2020-12-30,16,Tuesday,Weekday,53,December,Q4: Oct - Dec,28077
2020-12-29T23:00Z,15,Tuesday,Weekday,53,December,Q4: Oct - Dec,26669
2020-12-29T22:00Z,14,Tuesday,Weekday,53,December,Q4: Oct - Dec,26203
2020-12-29T21:00Z,13,Tuesday,Weekday,53,December,Q4: Oct - Dec,26111
2020-12-29T20:00Z,12,Tuesday,Weekday,53,December,Q4: Oct - Dec,26476
2020-12-29T19:00Z,11,Tuesday,Weekday,53,December,Q4: Oct - Dec,27355
2020-12-29T18:00Z,10,Tuesday,Weekday,53,December,Q4: Oct - Dec,28422
2020-12-29T17:00Z,9,Tuesday,Weekday,53,December,Q4: Oct - Dec,29745
2020-12-29T16:00Z,8,Tuesday,Weekday,53,December,Q4: Oct - Dec,30235
2020-12-29T15:00Z,7,Tuesday,Weekday,53,December,Q4: Oct - Dec,29124
2020-12-29T14:00Z,6,Tuesday,Weekday,53,December,Q4: Oct - Dec,27044
2020-12-29T13:00Z,5,Tuesday,Weekday,53,December,Q4: Oct - Dec,25595
2020-12-29T12:00Z,4,Tuesday,Weekday,53,December,Q4: Oct - Dec,25040
2020-12-29T11:00Z,3,Tuesday,Weekday,53,December,Q4: Oct - Dec,25236
2020-12-29T10:00Z,2,Tuesday,Weekday,53,December,Q4: Oct - Dec,25884
2020-12-29T09:00Z,1,Tuesday,Weekday,53,December,Q4: Oct - Dec,26851
2020-12-29T08:00Z,0,Tuesday,Weekday,53,December,Q4: Oct - Dec,28141
2020-12-29T07:00Z,23,Monday,Weekday,53,December,Q4: Oct - Dec,30094
2020-12-29T06:00Z,22,Monday,Weekday,53,December,Q4: Oct - Dec,32018
2020-12-29T05:00Z,21,Monday,Weekday,53,December,Q4: Oct - Dec,33615
2020-12-29T04:00Z,20,Monday,Weekday,53,December,Q4: Oct - Dec,34645
2020-12-29T03:00Z,19,Monday,Weekday,53,December,Q4: Oct - Dec,35323
2020-12-29T02:00Z,18,Monday,Weekday,53,December,Q4: Oct - Dec,35258
2020-12-29T01:00Z,17,Monday,Weekday,53,December,Q4: Oct - Dec,32570
2020-12-29,16,Monday,Weekday,53,December,Q4: Oct - Dec,31020
2020-12-28T23:00Z,15,Monday,Weekday,53,December,Q4: Oct - Dec,30045
2020-12-28T22:00Z,14,Monday,Weekday,53,December,Q4: Oct - Dec,29466
2020-12-28T21:00Z,13,Monday,Weekday,53,December,Q4: Oct - Dec,28978
2020-12-28T20:00Z,12,Monday,Weekday,53,December,Q4: Oct - Dec,28693
2020-12-28T19:00Z,11,Monday,Weekday,53,December,Q4: Oct - Dec,28829
2020-12-28T18:00Z,10,Monday,Weekday,53,December,Q4: Oct - Dec,29528
2020-12-28T17:00Z,9,Monday,Weekday,53,December,Q4: Oct - Dec,29640
2020-12-28T16:00Z,8,Monday,Weekday,53,December,Q4: Oct - Dec,29131
2020-12-28T15:00Z,7,Monday,Weekday,53,December,Q4: Oct - Dec,27763
2020-12-28T14:00Z,6,Monday,Weekday,53,December,Q4: Oct - Dec,25822
2020-12-28T13:00Z,5,Monday,Weekday,53,December,Q4: Oct - Dec,24395
2020-12-28T12:00Z,4,Monday,Weekday,53,December,Q4: Oct - Dec,23834
2020-12-28T11:00Z,3,Monday,Weekday,53,December,Q4: Oct - Dec,23956
2020-12-28T10:00Z,2,Monday,Weekday,53,December,Q4: Oct - Dec,24374
2020-12-28T09:00Z,1,Monday,Weekday,53,December,Q4: Oct - Dec,25334
2020-12-28T08:00Z,0,Monday,Weekday,53,December,Q4: Oct - Dec,26609
2020-12-28T07:00Z,23,Sunday,Weekend,52,December,Q4: Oct - Dec,28614
2020-12-28T06:00Z,22,Sunday,Weekend,52,December,Q4: Oct - Dec,30182
2020-12-28T05:00Z,21,Sunday,Weekend,52,December,Q4: Oct - Dec,31238
2020-12-28T04:00Z,20,Sunday,Weekend,52,December,Q4: Oct - Dec,32023
2020-12-28T03:00Z,19,Sunday,Weekend,52,December,Q4: Oct - Dec,32416
2020-12-28T02:00Z,18,Sunday,Weekend,52,December,Q4: Oct - Dec,31777
2020-12-28T01:00Z,17,Sunday,Weekend,52,December,Q4: Oct - Dec,28463
2020-12-28,16,Sunday,Weekend,52,December,Q4: Oct - Dec,25973
2020-12-27T23:00Z,15,Sunday,Weekend,52,December,Q4: Oct - Dec,24499
2020-12-27T22:00Z,14,Sunday,Weekend,52,December,Q4: Oct - Dec,24259
2020-12-27T21:00Z,13,Sunday,Weekend,52,December,Q4: Oct - Dec,24686
2020-12-27T20:00Z,12,Sunday,Weekend,52,December,Q4: Oct - Dec,25041
2020-12-27T19:00Z,11,Sunday,Weekend,52,December,Q4: Oct - Dec,25745
2020-12-27T18:00Z,10,Sunday,Weekend,52,December,Q4: Oct - Dec,26056
2020-12-27T17:00Z,9,Sunday,Weekend,52,December,Q4: Oct - Dec,25582
2020-12-27T16:00Z,8,Sunday,Weekend,52,December,Q4: Oct - Dec,25166
2020-12-27T15:00Z,7,Sunday,Weekend,52,December,Q4: Oct - Dec,24879
2020-12-27T14:00Z,6,Sunday,Weekend,52,December,Q4: Oct - Dec,24107
2020-12-27T13:00Z,5,Sunday,Weekend,52,December,Q4: Oct - Dec,23583
2020-12-27T12:00Z,4,Sunday,Weekend,52,December,Q4: Oct - Dec,23582
2020-12-27T11:00Z,3,Sunday,Weekend,52,December,Q4: Oct - Dec,23909
2020-12-27T10:00Z,2,Sunday,Weekend,52,December,Q4: Oct - Dec,24426
2020-12-27T09:00Z,1,Sunday,Weekend,52,December,Q4: Oct - Dec,25296
2020-12-27T08:00Z,0,Sunday,Weekend,52,December,Q4: Oct - Dec,26581
2020-12-27T07:00Z,23,Saturday,Weekend,52,December,Q4: Oct - Dec,28212
2020-12-27T06:00Z,22,Saturday,Weekend,52,December,Q4: Oct - Dec,29750
2020-12-27T05:00Z,21,Saturday,Weekend,52,December,Q4: Oct - Dec,30711
2020-12-27T04:00Z,20,Saturday,Weekend,52,December,Q4: Oct - Dec,31317
2020-12-27T03:00Z,19,Saturday,Weekend,52,December,Q4: Oct - Dec,31812
2020-12-27T02:00Z,18,Saturday,Weekend,52,December,Q4: Oct - Dec,31340
2020-12-27T01:00Z,17,Saturday,Weekend,52,December,Q4: Oct - Dec,27696
2020-12-27,16,Saturday,Weekend,52,December,Q4: Oct - Dec,25458
2020-12-26T23:00Z,15,Saturday,Weekend,52,December,Q4: Oct - Dec,24225
2020-12-26T22:00Z,14,Saturday,Weekend,52,December,Q4: Oct - Dec,23944
2020-12-26T21:00Z,13,Saturday,Weekend,52,December,Q4: Oct - Dec,23754
2020-12-26T20:00Z,12,Saturday,Weekend,52,December,Q4: Oct - Dec,24010
2020-12-26T19:00Z,11,Saturday,Weekend,52,December,Q4: Oct - Dec,24493
2020-12-26T18:00Z,10,Saturday,Weekend,52,December,Q4: Oct - Dec,24872
2020-12-26T17:00Z,9,Saturday,Weekend,52,December,Q4: Oct - Dec,25218
2020-12-26T16:00Z,8,Saturday,Weekend,52,December,Q4: Oct - Dec,25214
2020-12-26T15:00Z,7,Saturday,Weekend,52,December,Q4: Oct - Dec,24877
