"",HSBC_Holdings,Genevalor_Benbassat,Phoenix_Holdings,Thema_Fund,Herald_Lux_Fund,Capital_Bank_Austria,Cohmad_securities,Bank_Medici,UniCredit_SpA,Pioneer_Alt_Investments,Rothschild_Cie,Access_Int_Advisors,BNP_Paribas,EIM_Group,Nipponkoa_Insurance,Mirabaud_Cie,Zeus_Partners_Ltd,Banco_Safra,CMG,Brighton_Co,Avellino_Bienes,Neu_Privat_Bank,Banco_Santander,Optimal_Strategic_US,Sumitomo_Life_Ins,Fukoku_Mutual_Life,Fix_Asset_Mgt,Fairfield_Greenwich,Nordea_Bank_AB,Banque_Benedict_HentchCie,Genium_Advisors,Great_Eastern_Holdings,Prospect_Capital,Union_Bancaire_Privee,Sterling_Equities,Nomura_Holdings,Stanford_Capital_Mgt,FIM_Advisers,M&B_Capital_Advisors,Man_Group_PLC,Notz_Stucki_Cie,Credicorp_Ltd,S&P_Investment,EFG_International_AG,Maxam_Absolute_Return_Fund,Tremont_Group_Holdings,Opperheimer_Funds,Bradean_Alternatives_Lts,Rye_Investment_Funds,Austin_Capital,Meridian_Capital_Partners,Banco_Bilbao_Vizcaya_Argentaria,Kingate_Global_Fund,Kingate_Euro_Fund,Ascot_Partners,Gabriel_Capital,Sterling_Stamos_Capital_Mgt,Spring_Mountain_Capital,Ariel_Capital,Fortis_Bank_Nederland,Bernard_Madoff_Investment
Fix_Asset_Mgt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
Fairfield_Greenwich,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
Nordea_Bank_AB,"","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Banque_Benedict_HentchCie,"","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Genium_Advisors,"","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Great_Eastern_Holdings,"","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Prospect_Capital,"","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Union_Bancaire_Privee,"","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Sterling_Equities,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
Nomura_Holdings,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
Stanford_Capital_Mgt,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
FIM_Advisers,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
M&B_Capital_Advisors,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
Man_Group_PLC,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
Notz_Stucki_Cie,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
Credicorp_Ltd,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
S&P_Investment,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
EFG_International_AG,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
Maxam_Absolute_Return_Fund,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","",""
Tremont_Group_Holdings,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1
Opperheimer_Funds,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,"","","","","","","","","","","","","","",""
