"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Africa","Export","Crustaceans","54080","","61802","","65959","","52393","","58914","","70773","","81056","","83118","","65244","","75560","","73186","","62562","","57014","","66577","","68829","","60487",""
"Africa","Export","Fish","1070236","","1085389","","1132724","","1171401","","1128445","","1138541","","1298107","","1241779","","1264741","","1224784","","1239640","","1364885","","1504439","","1559803","","1571349","","1732401",""
"Africa","Import","Crustaceans","14521","","12968","","13912","","17232","","18685","","22449","","26329","","44497","","44813","","50375","","77818","","73331","","68551","","64119","","67054","","68394",""
"Africa","Import","Fish","1419817","","1721471","","1637106","","1764530","","2177333","F","2311211","","2886933","","2790748","","2779246","","3012232","","3198208","","3693338","","3236469","","3188107","","3806711","","3679697",""
"Americas","Export","Crustaceans","504209","","571584","","612738","","669272","","685631","","682698","","739976","","724744","","704241","","707388","","730913","","791080","","857431","","890400","","1002000","","1083749",""
"Americas","Export","Fish","2557503","","3038837","","2971820","","3053666","","3343849","","3463735","","3448258","","3394663","","3264786","","3126754","","2947212","","3439020","","3322828","","3466202","","3565596","","3374127",""
"Americas","Import","Crustaceans","586547","","672408","","690652","","757578","","786134","","810779","","890367","","876720","","857657","","852492","","875856","","879772","","857096","","852522","","935185","","927429",""
"Americas","Import","Fish","1857472","","1877150","","1942318","","2060191","","2191006","","2294055","","2330189","","2521461","","2563220","","2634734","","2802276","","2897447","","2905321","","3016425","","3065184","","3022762",""
"Asia","Export","Crustaceans","952809","","1092524","","1208515","","1354777","","1476611","","1546145","","1707519","","1656380","","1591215","","1559874","","2041209","","2060194","","1732782","","1720395","","1849723","","1700238",""
"Asia","Export","Fish","4253152","","4582113","","4974817","","5306304","","5696860","","6127684","","6882430","","6920264","","7077433","","7145260","","8138702","","8441633","","8739384","","8876912","","8896090","","8380681",""
"Asia","Import","Crustaceans","755948","","762867","","857501","","775095","","900255","","849862","","874845","","841361","","812756","","821211","","865214","","915036","","955237","","928271","","955691","","949109",""
"Asia","Import","Fish","5449497","","6051653","","6424045","","6387309","","6859966","","7359005","","7496046","","7598514","","7544221","","7679926","","8297589","","8585508","","8455904","","8511288","","8701886","","8684896",""
"Europe","Export","Crustaceans","492010","","466111","","492369","","525829","","561353","","567410","","592629","","580606","","550929","","544946","","559338","","546226","","503053","","494860","","519252","","513097",""
"Europe","Export","Fish","7586347","","7982296","","7868042","","8058210","","8290552","","8513750","","8362374","","8775755","","9024126","","9442684","","10242860","","9964381","","10484714","","10728558","","11172620","","11014653",""
"Europe","Import","Crustaceans","762830","","803913","","835063","","954834","","1008699","","1061511","","1117485","","1160779","","1112518","","1094048","","1147938","","1133735","","1051903","","1028230","","1052036","","991883",""
"Europe","Import","Fish","6571311","","7192596","","7101272","","7347398","","7552412","","8026024","","8180821","","8663103","","8764528","","8667512","","8771774","","8724176","","8993783","","9126505","","9319636","","8908376",""
"Oceania","Export","Crustaceans","35619","","34905","","29726","","29049","","30024","","29435","","26362","","21008","","21573","","18643","","19730","","17777","","17052","","19243","","21439","","20283",""
"Oceania","Export","Fish","369982","","354387","","395961","","419109","","420556","","433183","","420690","","442396","","408614","","435120","","504361","","492609","","519291","","523559","","575165","F","602569","F"
"Oceania","Import","Crustaceans","18711","","21152","","21393","","27946","","31741","","36137","","40572","","39956","","34272","","38402","","42913","","42557","","48566","","45805","","46638","","41002",""
"Oceania","Import","Fish","146104","","157062","","166735","","198864","","226864","","199258","","195472","","209856","","217424","","205071","","239555","","264043","","286718","","279660","","341170","","285542",""
