"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Antigua and Barbuda","Export","Crustaceans","21","","9","F","12","F","8","F","5","F","1","","4","F","2","","2","F","6","","2","","13","","13","","18","","1","F","4","F"
"Antigua and Barbuda","Export","Fish","6","","111","F","61","F","83","F","67","F","49","","103","F","34","","84","F","50","","56","","102","","101","","62","","56","","40","F"
"Antigua and Barbuda","Import","Crustaceans","183","","7","F","74","F","829","F","305","F","159","","208","","172","","101","F","187","","167","","161","","153","","169","","197","","186",""
"Antigua and Barbuda","Import","Fish","1377","","432","F","660","F","821","F","1114","F","1327","","1548","","1914","","1454","F","1325","","1294","","1399","","1465","","1417","","1361","","1513",""
"Argentina","Export","Crustaceans","32865","","61712","","52547","","47728","","27914","","7478","","39585","","45254","","43395","","52118","","64597","","79630","","80650","","93501","","109815","","122989",""
"Argentina","Export","Fish","227595","","210108","","274687","","312840","","368083","","351486","","362127","","306225","","289190","","328673","","307480","","287628","","252139","","240276","","244148","","219928",""
"Argentina","Import","Crustaceans","1024","","550","","46","","81","","115","","391","","629","","502","","555","","557","","933","","951","","729","","759","","585","","649",""
"Argentina","Import","Fish","36547","","34179","","6854","","15531","","25191","","29556","","30856","","37171","","29149","","27420","","34490","","38897","","37129","","34550","","29831","","40286",""
"Aruba","Export","Fish","81","","110","","335","","242","","190","","106","","13","","10","","4","","2","","3","","0","-","0","-","23","","1","F","5",""
"Aruba","Import","Crustaceans","116","","39","","49","","32","","59","","62","","68","","54","","62","","542","","470","","425","","565","","561","","633","","735",""
"Aruba","Import","Fish","1589","","1479","","1516","","1854","","1824","","1603","","1999","","1863","","1985","","1621","","1612","","1435","","1813","","1750","","1783","","1981",""
"Bahamas","Export","Crustaceans","3675","","2324","","2624","","3423","","2683","","2085","","2345","","2104","","2125","","2370","","2186","","2133","","2285","","2746","","1945","","2184",""
"Bahamas","Export","Fish","39","","73","","46","","110","","31","","15","","43","","82","","51","","130","","71","","95","","79","","142","","73","","51",""
"Bahamas","Import","Crustaceans","556","","606","","495","","423","","373","","404","","428","","470","","507","","450","","477","","382","","446","","291","","441","","411",""
"Bahamas","Import","Fish","3633","","3147","","2967","","3151","","2837","","2969","","3354","","3406","","3789","","3046","","2514","","3322","","3479","","3430","","3463","","3509",""
"Barbados","Export","Crustaceans","1","","0","-","1","","3","","5","","7","","5","","6","","3","","2","","1","","2","","1","","2","","1","","1",""
"Barbados","Export","Fish","276","","327","","206","","238","","234","","382","","232","","230","","165","","50","","100","","122","","129","","151","","174","","187",""
"Barbados","Import","Crustaceans","213","","241","","225","","226","","122","","256","","239","","237","","270","","225","","231","","248","","217","","235","","247","","309",""
"Barbados","Import","Fish","3400","","3923","","4383","","4498","","4154","","7682","","6142","","5949","","5546","","5140","","5026","","5553","","5779","","4740","","5483","","5872",""
"Belize","Export","Crustaceans","2378","","550","","657","","6592","F","8048","","8865","","7403","","2686","","3692","","5147","","5384","","4869","","4903","","6863","","7600","F","10043",""
"Belize","Export","Fish","29","","1076","","38","","80","","175","","228","","310","","225","","1307","","972","","1306","","726","","228","","276","","174","F","265",""
