"Land Area","Trade flow","Commodity","2000","S_2000","2001","S_2001","2002","S_2002","2003","S_2003","2004","S_2004","2005","S_2005","2006","S_2006","2007","S_2007","2008","S_2008","2009","S_2009","2010","S_2010","2011","S_2011","2012","S_2012","2013","S_2013","2014","S_2014","2015","S_2015"
"Algeria","Export","Crustaceans","854","","819","","916","","871","","862","","1057","","922","","709","","643","","525","","364","","411","","286","","219","","218","","211",""
"Algeria","Export","Fish","187","","259","","977","","307","","215","","223","","500","","618","","994","","793","","457","","109","","277","","317","","339","","308",""
"Algeria","Import","Crustaceans","23","","21","","128","","176","","415","","448","","304","","612","","597","","953","","1009","","1269","","1619","","1835","","1932","","1518",""
"Algeria","Import","Fish","7434","","7426","","10389","","20923","","22053","","19481","","22280","","19508","","16719","","26442","","28127","","27081","","26391","","29121","","39576","","41075",""
"Angola","Export","Crustaceans","630","F","834","F","1951","F","346","F","363","F","1189","F","1562","F","1405","F","899","F","916","F","1059","F","619","F","1388","F","1609","F","1365","F","1683","F"
"Angola","Export","Fish","2896","F","9746","F","6272","F","4149","F","3223","F","1818","F","1786","F","2742","F","5019","F","6005","F","4508","F","2769","","8718","","8210","F","7010","F","5334",""
"Angola","Import","Crustaceans","6","F","12","F","31","F","18","F","23","F","65","F","84","F","151","F","113","F","518","","878","","937","","1227","","871","","1656","F","758",""
"Angola","Import","Fish","7981","F","7800","F","8778","F","11888","F","19988","F","14490","F","24566","F","27974","F","41103","F","48844","","64206","","96017","","160369","","131669","","183804","","143389",""
"Benin","Export","Crustaceans","423","","609","","703","","408","","151","","128","","82","","12","","0","0","3","","0","-","24","","26","","2","","0","0","1",""
"Benin","Export","Fish","64","","3","","3","","9","","29","","0","-","247","","630","","65","","112","","1149","","1082","","505","","479","","1174","","280",""
"Benin","Import","Crustaceans","19","","1","","69","","3","","0","-","44","","42","","1","","1","","0","-","1","","5","","33","","7","","6","","1",""
"Benin","Import","Fish","20888","","10974","","20267","","27393","","26857","","44286","","56019","","65853","","79810","","74332","","77472","","80149","","78594","","84313","","77142","","94629",""
"Botswana","Export","Crustaceans","4","","13","","1","","2","","1","","0","0","0","-","4","","1","","1","","0","0","0","0","0","0","0","0","0","0","0","0"
"Botswana","Export","Fish","13","","33","","35","","39","","24","","27","","42","","32","","7","","112","","36","","59","","190","","221","","234","","267",""
"Botswana","Import","Crustaceans","314","","501","","236","","48","","73","","19","","40","","60","","36","","44","","32","","77","","34","","49","","31","","63",""
"Botswana","Import","Fish","3574","","2669","","2397","","2485","","2445","","3318","","2582","","2919","","2987","","4063","","4105","","3273","","4873","","4391","","4545","","4563",""
"Burkina Faso","Export","Fish","9","","15","","0","-","0","-","0","-","688","","1500","F","2507","","3387","","4384","","3260","","2674","","2833","","2160","","2100","","3301",""
"Burkina Faso","Import","Crustaceans","59","","42","","21","","27","","48","","37","","1","F","292","","6","","91","","173","","155","","226","","381","","210","","30",""
"Burkina Faso","Import","Fish","12250","","7551","","8143","","8405","","11398","","22282","","25146","F","26891","","26914","","42973","","50805","","60181","","60611","","62763","","65551","","75271",""
"Burundi","Export","Fish","2","","4","","6","","13","","6","F","8","","13","","13","","12","","11","","9","","11","","31","","158","","118","","47",""
"Burundi","Import","Crustaceans","0","-","0","0","1","","1","","0","-","0","-","0","-","1","","1","","0","-","1","","1","","3","","1","","0","-","0","0"
"Burundi","Import","Fish","63","","79","","52","","111","","57","","24","","84","","35","","38","","88","","514","","1316","","2722","","3014","","2998","","2076","F"
