internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName
62289108,Prosobonia cancellata,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Prosobonia,cancellata
62183030,Bermuteo avivorus,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Bermuteo,avivorus
62322970,Colaptes oceanicus,ANIMALIA,CHORDATA,AVES,PICIFORMES,PICIDAE,Colaptes,oceanicus
62307504,Eclectus infectus,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,PSITTACIDAE,Eclectus,infectus
103682916,Pyrocephalus dubius,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TYRANNIDAE,Pyrocephalus,dubius
22734867,Aplonis ulietensis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,STURNIDAE,Aplonis,ulietensis
22708091,Heteralocha acutirostris,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,CALLAEIDAE,Heteralocha,acutirostris
22728712,Nesoenas duboisi,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Nesoenas,duboisi
22733394,Diaphorapteryx hawkinsi,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Diaphorapteryx,hawkinsi
22728791,Threskiornis solitarius,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,THRESKIORNITHIDAE,Threskiornis,solitarius
22728866,Mascarenotus grucheti,ANIMALIA,CHORDATA,AVES,STRIGIFORMES,STRIGIDAE,Mascarenotus,grucheti
103780078,Acrocephalus luscinius,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,luscinius
103780109,Acrocephalus nijoi,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,nijoi
103780103,Acrocephalus yamashinae,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,yamashinae
103823212,Akialoa ellisiana,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FRINGILLIDAE,Akialoa,ellisiana
103823431,Akialoa lanaiensis,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FRINGILLIDAE,Akialoa,lanaiensis
22728910,Akialoa obscura,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FRINGILLIDAE,Akialoa,obscura
103823250,Akialoa stejnegeri,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FRINGILLIDAE,Akialoa,stejnegeri
103811601,Foudia delloni,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PLOCEIDAE,Foudia,delloni
103829706,Himatione fraithii,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FRINGILLIDAE,Himatione,fraithii
103772527,Pipilo naufragus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PASSERELLIDAE,Pipilo,naufragus
103889951,Zosterops semiflavus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ZOSTEROPIDAE,Zosterops,semiflavus
10254,Hoplodactylus delcourti,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,DIPLODACTYLIDAE,Hoplodactylus,delcourti
1119,Pholidoscelis cineraceus,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,TEIIDAE,Pholidoscelis,cineraceus
122227170,Miconia abscondita,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MYRTALES,MELASTOMATACEAE,Miconia,abscondita
123423283,Sympterichthys unipennis,ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,BRACHIONICHTHYIDAE,Sympterichthys,unipennis
117319979,Etlingera heyneana,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ZINGIBERALES,ZINGIBERACEAE,Etlingera,heyneana
126608606,Hesperelaea palmeri,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,OLEACEAE,Hesperelaea,palmeri
126612753,Faramea chiapensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,RUBIACEAE,Faramea,chiapensis
103780156,Acrocephalus astrolabii,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,ACROCEPHALIDAE,Acrocephalus,astrolabii
12625,Macropus greyi,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Macropus,greyi
22708835,Turdus ravidus,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,TURDIDAE,Turdus,ravidus
18220,Procambarus angustatus,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,CAMBARIDAE,Procambarus,angustatus
14891,Notropis orca,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,CYPRINIDAE,Notropis,orca
2100,Argyresthia castaneella,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,ARGYRESTHIIDAE,Argyresthia,castaneella
7028,Ectoedemia castaneae,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NEPTICULIDAE,Ectoedemia,castaneae
7029,Ectoedemia phleophaga,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NEPTICULIDAE,Ectoedemia,phleophaga
22088,Triaenodes tridontus,ANIMALIA,ARTHROPODA,INSECTA,TRICHOPTERA,LEPTOCERIDAE,Triaenodes,tridontus
136814105,Bourreria veracruzana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,BORAGINALES,EHRETIACEAE,Bourreria,veracruzana
140414966,Scleria chevalieri,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Scleria,chevalieri
140416589,Eriocaulon inundatum,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,ERIOCAULACEAE,Eriocaulon,inundatum
140416686,Eriocaulon jordanii,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,ERIOCAULACEAE,Eriocaulon,jordanii
30393,Streblorrhiza speciosa,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,FABALES,FABACEAE,Streblorrhiza,speciosa
31679,Euchorium cubense,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,SAPINDACEAE,Euchorium,cubense
35111,Myoporum rimatarense,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,SCROPHULARIACEAE,Myoporum,rimatarense
35254,Banara wilsonii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,MALPIGHIALES,SALICACEAE,Banara,wilsonii
38848,Guettarda retusa,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,GENTIANALES,RUBIACEAE,Guettarda,retusa
147088627,Monteverdia lineata,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CELASTRALES,CELASTRACEAE,Monteverdia,lineata
31675,Angostura ossana,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,SAPINDALES,RUTACEAE,Angostura,ossana
18487,Pseudocampylaea lowii,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,GEOMITRIDAE,Pseudocampylaea,lowii
22690733,Ectopistes migratorius,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Ectopistes,migratorius
22720863,Melamprosops phaeosoma,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FRINGILLIDAE,Melamprosops,phaeosoma
103671170,Cichlocolaptes mazarbarnetti,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Cichlocolaptes,mazarbarnetti
22702869,Philydor novaesi,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,FURNARIIDAE,Philydor,novaesi
58390,Nannophrys guentheri,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,DICROGLOSSIDAE,Nannophrys,guentheri
58811,Pseudophilautus adspersus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,adspersus
58835,Pseudophilautus dimbullae,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,dimbullae
58839,Pseudophilautus eximius,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,eximius
58840,Pseudophilautus extirpo,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,extirpo
58852,Pseudophilautus halyi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,halyi
58862,Pseudophilautus leucorhinus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,leucorhinus
58869,Pseudophilautus malcolmsmithi,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,malcolmsmithi
58877,Pseudophilautus nanus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,nanus
58878,Pseudophilautus nasutus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,nasutus
58883,Pseudophilautus oxyrhynchus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,oxyrhynchus
58895,Pseudophilautus rugatus,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,rugatus
58924,Pseudophilautus temporalis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,temporalis
58931,Pseudophilautus variabilis,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,variabilis
58938,Pseudophilautus zal,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,zal
58939,Pseudophilautus zimmeri,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,RHACOPHORIDAE,Pseudophilautus,zimmeri
