"state","year","incidence"
"CALIFORNIA","1957",5.32
"CALIFORNIA","1958",2.0500000000000003
"CALIFORNIA","1959",2.24
"CALIFORNIA","1960",2.6299999999999994
"CALIFORNIA","1961",0.6000000000000003
"CALIFORNIA","1962",0.5400000000000003
"CALIFORNIA","1963",0.17
"CALIFORNIA","1964",0.02
"CALIFORNIA","1965",0.03
"CALIFORNIA","1966",0.03
"CALIFORNIA","1967",0.09
"CALIFORNIA","1968",0.08
"COLORADO","1928",7.040000000000001
"COLORADO","1929",1.3
"COLORADO","1930",6.250000000000001
"COLORADO","1931",0.8199999999999998
"COLORADO","1932",0.7199999999999999
"COLORADO","1933",0.65
"COLORADO","1934",1.57
"COLORADO","1935",1.29
"COLORADO","1936",6.399999999999999
"COLORADO","1937",19.459999999999997
"COLORADO","1938",5.849999999999999
"COLORADO","1939",12.559999999999999
"COLORADO","1940",3.58
"COLORADO","1941",2.51
"COLORADO","1942",3.32
"COLORADO","1943",19.540000000000003
"COLORADO","1944",6.169999999999999
"COLORADO","1945",12.419999999999998
"COLORADO","1946",54.45
"COLORADO","1947",11.31
"COLORADO","1948",9.71
"COLORADO","1949",52.13999999999999
"COLORADO","1950",15.980000000000002
"COLORADO","1951",81.21
"COLORADO","1952",57.59000000000001
"COLORADO","1953",13.610000000000005
"COLORADO","1954",26.609999999999992
"COLORADO","1955",13.980000000000004
"COLORADO","1956",10.059999999999999
"COLORADO","1957",3.120000000000001
"COLORADO","1958",1.3200000000000003
"COLORADO","1959",1.08
"COLORADO","1960",1.1900000000000002
"COLORADO","1961",0.56
"COLORADO","1962",0.2
"COLORADO","1963",0.05
"COLORADO","1964",0.05
"CONNECTICUT","1928",4.529999999999999
"CONNECTICUT","1929",1.3200000000000003
"CONNECTICUT","1930",4.57
"CONNECTICUT","1931",69.95000000000002
"CONNECTICUT","1932",1.9200000000000004
"CONNECTICUT","1933",4.4899999999999975
"CONNECTICUT","1934",0.8400000000000001
"CONNECTICUT","1935",24.540000000000003
"CONNECTICUT","1936",0.8400000000000001
"CONNECTICUT","1937",6.7
"CONNECTICUT","1938",2.6399999999999997
"CONNECTICUT","1939",2.6499999999999995
"CONNECTICUT","1940",1.1099999999999999
"CONNECTICUT","1941",6.200000000000001
"CONNECTICUT","1942",2.4699999999999998
"CONNECTICUT","1943",17.459999999999997
"CONNECTICUT","1944",10.859999999999998
"CONNECTICUT","1945",11.389999999999997
"CONNECTICUT","1946",7.699999999999997
"CONNECTICUT","1947",6.85
"CONNECTICUT","1948",6.179999999999998
"CONNECTICUT","1949",32.36
"CONNECTICUT","1950",24.009999999999994
"CONNECTICUT","1951",14.520000000000001
"CONNECTICUT","1952",17.52
"CONNECTICUT","1953",16.770000000000003
"CONNECTICUT","1954",19.9
"CONNECTICUT","1955",25.619999999999997
"CONNECTICUT","1956",5.53
"CONNECTICUT","1957",1.6600000000000001
"CONNECTICUT","1958",1.7700000000000005
"CONNECTICUT","1959",2.3900000000000006
"CONNECTICUT","1960",1.44
"CONNECTICUT","1961",0.2
"CONNECTICUT","1962",0.08
"CONNECTICUT","1963",0.07
"CONNECTICUT","1964",0.08
"DELAWARE","1928",3.4400000000000004
"DELAWARE","1929",2.1
"DELAWARE","1930",2.52
"DELAWARE","1931",2.05
"DELAWARE","1932",4.5
"DELAWARE","1933",5.230000000000001
"DELAWARE","1934",1.2000000000000002
"DELAWARE","1935",1.9900000000000002
"DELAWARE","1936",0.4
"DELAWARE","1937",3.14
"DELAWARE","1938",1.5499999999999998
"DELAWARE","1939",2.09
"DELAWARE","1940",0.56
"DELAWARE","1941",7.450000000000001
