country,continent,total_confirmed,total_deaths,total_recovered,active_cases,serious_or_critical,total_cases_per_1m_population,total_deaths_per_1m_population,total_tests,total_tests_per_1m_population,population
Afghanistan,Asia,158275,7367.0,145750.0,5158.0,1124.0,3932,183.0,826810.0,20541.0,40250878
Albania,Europe,213257,3228.0,202077.0,7952.0,23.0,74227,1124.0,1495002.0,520354.0,2873049
Algeria,Africa,220415,6310.0,151347.0,62758.0,34.0,4893,140.0,230861.0,5125.0,45046063
Andorra,Europe,25289,141.0,21511.0,3637.0,31.0,326512,1820.0,249838.0,3225714.0,77452
Angola,Africa,86636,1789.0,67477.0,17370.0,7.0,2518,52.0,1296669.0,37686.0,34407243
Anguilla,North America,1777,6.0,1702.0,69.0,,116869,395.0,51382.0,3379283.0,15205
Antigua And Barbuda,North America,4486,119.0,4076.0,291.0,1.0,45243,1200.0,18559.0,187173.0,99154
Argentina,South America,5915695,117346.0,5390524.0,407825.0,1396.0,129101,2561.0,28646641.0,625170.0,45822143
Armenia,Asia,345389,7993.0,332458.0,4938.0,,116230,2690.0,2590957.0,871903.0,2971611
Aruba,North America,24210,181.0,20299.0,3730.0,6.0,225312,1684.0,177885.0,1655499.0,107451
Australia,Australia/Oceania,684614,2302.0,322180.0,360132.0,207.0,26385,89.0,56311741.0,2170289.0,25946654
Austria,Europe,1312939,13823.0,1247752.0,51364.0,295.0,144533,1522.0,125526389.0,13818362.0,9084028
Azerbaijan,Asia,619502,8422.0,603906.0,7174.0,,60279,819.0,5911227.0,575178.0,10277205
Bahamas,North America,26701,717.0,21964.0,4020.0,4.0,66933,1797.0,188388.0,472246.0,398919
Bahrain,Asia,286529,1395.0,278424.0,6710.0,1.0,160010,779.0,8116832.0,4532788.0,1790693
Bangladesh,Asia,1589947,28097.0,1550364.0,11486.0,1349.0,9511,168.0,11610336.0,69453.0,167167305
Barbados,North America,30177,263.0,28146.0,1768.0,,104815,913.0,478227.0,1661047.0,287907
Belarus,Europe,704907,5669.0,697953.0,1285.0,,74636,600.0,11138815.0,1179381.0,9444626
Belgium,Europe,2179710,28429.0,1826655.0,324626.0,503.0,186846,2437.0,27626818.0,2368184.0,11665824
Belize,North America,34628,605.0,30779.0,3244.0,4.0,84764,1481.0,391808.0,959087.0,408522
Benin,Africa,25522,161.0,24823.0,538.0,5.0,2025,13.0,604310.0,47953.0,12602042
Bermuda,North America,6936,110.0,5914.0,912.0,,111997,1776.0,708560.0,11441305.0,61930
Bhutan,Asia,2671,3.0,2654.0,14.0,,3405,4.0,1320998.0,1684006.0,784438
Bolivia,South America,641817,19848.0,537477.0,84492.0,220.0,53873,1666.0,2633963.0,221092.0,11913422
Bosnia And Herzegovina,Europe,297333,13568.0,192218.0,91547.0,,91488,4175.0,1505807.0,463329.0,3249977
Botswana,Africa,222053,2452.0,205004.0,14597.0,1.0,91634,1012.0,2026898.0,836431.0,2423271
Brazil,South America,22351104,619559.0,21567845.0,163700.0,8318.0,104035,2884.0,63776166.0,296852.0,214841765
British Virgin Islands,North America,3760,40.0,,,8.0,123137,1310.0,93379.0,3058097.0,30535
Brunei Darussalam,Asia,15532,98.0,15331.0,103.0,1.0,34997,221.0,690614.0,1556120.0,443805
Bulgaria,Europe,764476,31303.0,615764.0,117409.0,493.0,111287,4557.0,7582902.0,1103868.0,6869390
Burkina Faso,Africa,18637,333.0,17150.0,1154.0,,856,15.0,239193.0,10989.0,21767522
Burundi,Africa,32076,38.0,773.0,31265.0,,2582,3.0,345742.0,27827.0,12424637
Cabo Verde,Africa,45989,355.0,40539.0,5095.0,23.0,81381,628.0,394669.0,698398.0,565106
Cambodia,Asia,120553,3015.0,116982.0,556.0,,7063,177.0,2769862.0,162281.0,17068295
Cameroon,Africa,109367,1851.0,106050.0,1466.0,13.0,3971,67.0,1751774.0,63603.0,27542442
Canada,North America,2423887,30570.0,2025587.0,367730.0,455.0,63383,799.0,53389738.0,1396104.0,38241957
Caribbean Netherlands,North America,3918,23.0,3313.0,582.0,,147343,865.0,30126.0,1132940.0,26591
Cayman Islands,North America,9509,12.0,5237.0,4260.0,11.0,142165,179.0,215963.0,3228774.0,66887
