Region,Learning poor - out of school,Learning poor - students below minimum proficiency level,Not learning poor
Sub-Saharan Africa,30,77,16
Middle East & North Africa,1.4,19,12
South Asia,12,89,73
Latin America & Caribbean,1.9,25,26
East Asia & Pacific,890k,28,110
Europe & Central Asia,1,2.6,23
