"source","target","value"
"IRN","AFG",39
"PAK","AFG",72192
"TUR","AFG",58
"EGY","ALB",5
"CHN","ALB",12
"PSE","ALB",7
"IRQ","ALB",8
"SRB","ALB",65
"SYR","ALB",14
"UZB","ALB",5
"VEN","ALB",5
"CAF","DZA",79
"CMR","DZA",105
"COD","DZA",69
"PSE","DZA",174
"GIN","DZA",31
"CIV","DZA",69
"IRQ","DZA",12
"LBY","DZA",19
"MLI","DZA",108
"NER","DZA",5
"NGA","DZA",5
"SDN","DZA",10
"SYR","DZA",6435
"ESH","DZA",90000
"YEM","DZA",263
"BDI","AGO",18
"CAF","AGO",7
"TCD","AGO",190
"COG","AGO",65
"COD","AGO",22666
"ERI","AGO",78
"GNB","AGO",7
"GIN","AGO",128
"CIV","AGO",417
"LBR","AGO",164
"MRT","AGO",323
"RWA","AGO",506
"SLE","AGO",413
"SOM","AGO",270
"SDN","AGO",280
"TZA","AGO",5
"ESH","AGO",16
"AFG","EGY",28
"BDI","EGY",51
"CAF","EGY",38
"TCD","EGY",51
"CMR","EGY",19
"COG","EGY",14
"COD","EGY",52
"DJI","EGY",13
"ERI","EGY",12608
"ETH","EGY",5135
"PSE","EGY",70020
"GIN","EGY",10
"CIV","EGY",93
"IRQ","EGY",4588
"JOR","EGY",11
"KEN","EGY",8
"LBY","EGY",5
"NGA","EGY",23
"RUS","EGY",8
"RWA","EGY",5
"SAU","EGY",14
"SLE","EGY",5
"SOM","EGY",4424
"SDN","EGY",24146
"SSD","EGY",17674
"SYR","EGY",130042
"TJK","EGY",13
"TKM","EGY",5
"TUN","EGY",5
"UGA","EGY",13
"YEM","EGY",131
"ZWE","EGY",43
"XXA","EGY",5
"AFG","ARG",12
"ALB","ARG",18
"DZA","ARG",30
"AGO","ARG",14
"EGY","ARG",5
"ARM","ARG",77
"BDI","ARG",5
"BGD","ARG",5
"BOL","ARG",58
"BIH","ARG",6
"CHL","ARG",34
"CMR","ARG",7
"COD","ARG",25
"COL","ARG",558
"CRI","ARG",5
"CUB","ARG",257
"ECU","ARG",16
"ETH","ARG",5
"PSE","ARG",18
"GEO","ARG",5
"GHA","ARG",38
"GNB","ARG",8
"GTM","ARG",6
"GIN","ARG",10
"HTI","ARG",72
"HND","ARG",5
"CIV","ARG",20
"IND","ARG",23
"IRN","ARG",24
"IRQ","ARG",22
"JAM","ARG",12
"JOR","ARG",5
"KAZ","ARG",18
"KGZ","ARG",5
"LBR","ARG",42
"LKA","ARG",36
"MKD","ARG",9
"MLI","ARG",9
"NIC","ARG",8
"NGA","ARG",41
"PAK","ARG",38
"PRY","ARG",9
"PER","ARG",544
"ROU","ARG",51
"RUS","ARG",79
"SLV","ARG",33
"SEN","ARG",41
"SLE","ARG",37
"SOM","ARG",5
"SDN","ARG",5
"SYR","ARG",403
"TUR","ARG",7
"UKR","ARG",118
"USA","ARG",5
"VEN","ARG",312
"YEM","ARG",19
,"ARG",649
"AFG","ARM",5
"EGY","ARM",5
"AZE","ARM",1852
"PSE","ARM",7
"GEO","ARM",8
"CIV","ARM",6
"IRN","ARM",86
"IRQ","ARM",1095
"LBN","ARM",24
"NGA","ARM",5
"SYR","ARM",14734
"TUR","ARM",12
"UKR","ARM",116
"YEM","ARM",22
"AFG","AUS",11157
"ALB","AUS",43
"DZA","AUS",8
"EGY","AUS",1515
"AZE","AUS",9
"BHR","AUS",91
"BDI","AUS",45
"BGD","AUS",404
"BTN","AUS",5
"BLR","AUS",6
"BRA","AUS",6
"KHM","AUS",62
"CHN","AUS",1899
"CMR","AUS",26
"COG","AUS",12
"COD","AUS",61
"COL","AUS",105
"DJI","AUS",5
"ERI","AUS",117
"ETH","AUS",305
"FJI","AUS",361
"GMB","AUS",6
"PSE","AUS",512
"GBR","AUS",5
"GEO","AUS",14
"DEU","AUS",10
"GHA","AUS",31
"GRC","AUS",6
"GIN","AUS",8
"HKG","AUS",5
"HND","AUS",5
"IND","AUS",471
"IDN","AUS",239
"IRN","AUS",12332
"IRQ","AUS",4937
"ISR","AUS",9
"ITA","AUS",5
"JAM","AUS",5
"JOR","AUS",132
"JPN","AUS",10
"KAZ","AUS",8
"KEN","AUS",95
"KGZ","AUS",17
"KOR","AUS",32
"PRK","AUS",12
"KWT","AUS",47
"LAO","AUS",5
"LBR","AUS",46
"LBY","AUS",1187
"LBN","AUS",534
"LKA","AUS",4422
"MKD","AUS",5
"MDV","AUS",16
"MEX","AUS",14
"MYS","AUS",546
"MNG","AUS",18
"MAR","AUS",12
"MOZ","AUS",5
"MUS","AUS",7
"MMR","AUS",496
"NPL","AUS",134
"NGA","AUS",198
"NZL","AUS",26
"OMN","AUS",5
"PAK","AUS",5375
"PER","AUS",20
"PHL","AUS",48
"PNG","AUS",496
