"Member","StateDate of Admission","UN_REGION_NAME","UN_CENTROID_LAT","UN_CENTROID_LONG"
"Afghanistan","19/11/1946","Asia",33.82970855154895,66.02393613368702
"Albania","14/12/1955","Europe",41.13599441934012,20.058834645616074
"Algeria","08/10/1962","Africa",28.156717727738567,2.6757792932713276
"Andorra","28/07/1993","Europe",42.54989063266996,1.580312287438633
"Angola","01/12/1976","Africa",-12.302347762646887,17.54773225452671
"Antigua and Barbuda","11/11/1981","Americas",17.242794174084718,-61.79670787065793
"Argentina","24/10/1945","Americas",-35.397736544347396,-65.17502098381165
"Armenia","02/03/1992","Asia",40.29126569928105,44.94289792350568
"Australia","01/11/1945","Oceania",-25.737809559086227,134.48791873982924
"Austria","14/12/1955","Europe",47.58363180603482,14.140196976388909
