"order","r","g","b","region","col","max"
1,"248","255","0","Mexico","#F8FF00",5.78145
2,"255","0","0","United
States","#FF0000",24.47626
3,"208","35","0","Canada","#D02300",6.40237
4,"255","145","71","Zimbabwe","#FF9147",10.12812
5,"204","125","0","South
Africa","#CC7D00",2.58547
6,"0","180","0","United
Kingdom","#00B400",3.35243
7,"73","125","0","France","#497D00",37.32081
8,"125","219","0","Spain","#7DDB00",7.75966
9,"0","125","0","Italy","#007D00",2.29697
10,"125","175","0","Germany","#7DAF00",6.20122
11,"160","100","255","Russia","#A064FF",4.06697
12,"73","0","125","Kazakhstan","#49007D",6.58426
13,"204","0","255","United
Arab
Emirates","#CC00FF",21.50776
14,"255","100","219","Saudi
Arabia","#FF64DB",15.25184
15,"255","0","131","Qatar","#FF0083",8.73528
16,"29","100","255","Iran","#1D64FF",5.74024
17,"0","58","125","Pakistan","#003A7D",3.07495
18,"0","146","255","India","#0092FF",12.39863
19,"25","0","222","Bangladesh","#1900DE",5.64484
20,"0","230","208","China","#00E6D0",4.62251
21,"112","255","55","Thailand","#70FF37",0.68083
22,"0","196","112","Malaysia","#00C470",27.13026
23,"0","255","58","Indonesia","#00FF3A",11.75106
24,"112","255","55","Philippines","#70FF37",51.60031
25,"86","136","136","Australia","#568888",6.26426
