2018 ranking,Country,Code,Status,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000 people)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000 people)",Access to clean fuels and technology for cooking (% of pop.),"Homicide rate (deaths/100,000 people)",Perceived criminality (1=low; 5=high),Political killings and torture (0=low freedom; 1=high freedom),"Traffic deaths (deaths/100,000 people)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (distance from parity),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Access to online governance (0=low; 1=high),Media censorship (0=frequent; 4=rare),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000 people)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000 people)",Greenhouse gas emissions (CO2 equivalents/GDP),Biome protection,Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no rights; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (1=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
,World,WWW,,63.84,74.10,66.40,51.01,82.48,76.23,75.51,62.19,79.73,67.66,59.56,58.66,61.85,60.37,40.62,41.22,11.1,104.399,29.8,23.227,136.8573423,89.1083,63.0187,72.3473,14.34250933,87.8461,4.55528583,33.70694629,58.84,5.32517,4,0.584,18.44672925,83.5554,94.3790,70.8181,0.99236,1.688,100.5266547,45.2926,0.6487,1.841,20.0486,405.450,67.969,1.743,42.1082,497.241,10.40221345,20,0.547,2.468,0.607,3.834,47.046,14,72.5,41,27.88327327,7.4,1.897,1.829,1.891,2.044521775,7.4,61,11
144,Afghanistan,AFG,Ranked,38.34,50.41,38.64,25.97,57.98,47.46,50.56,45.63,36.00,43.96,28.39,46.19,38.30,35.74,25.84,3.98,29.3,314.02,70.4,49.932,160.357,64.2865,20.4463,42.0542,17.939,97.7,,138.664,30.1,6.34591,5,0.499,35.0757,31.7411,,49.5155,0.57339,0.365,62.3354,10.5957,0.42373,2.636,15.0682,973.329,44.265,1.018,44.8262,534.585,0.104392,12,0.56,1.756,0.196,1.981,89.487,17,45.2,15,3.2804,8.1,0.905,1.1,2.094,0.480655,1.8,0,0
52,Albania,ALB,Ranked,71.52,85.04,78.01,51.51,91.52,92.51,83.38,72.77,89.00,75.01,71.86,76.18,84.51,43.97,47.95,29.60,5.5,9.6,9.1,22.063,15.9506,91.0204,86.125,97.7049,0,100,4.60736,18.8466,75.37,2.25768,4,0.947,9.06394,97.247,99.3233,87.4517,0.94045,2.165,115.152,66.3634,0.64407,2.335,22.0228,285.557,80.027,2.53,20.8107,316.412,16.0583,28,0.825,3.704,0.874,4.359,55.437,7,6.9,38,12.5214,4.2,2.164,1.719,2.495,3.04054,9.7,0,0
80,Algeria,DZA,Ranked,65.80,82.72,66.63,48.05,90.36,88.20,87.42,64.89,87.61,51.17,71.17,56.57,54.56,68.03,42.36,27.25,4.6,67.986,24.5,13.695,23.3182,93.5159,76.6685,87.5423,2.27696,99.9923,4.19741,0.21813,92.7,1.35937,4,0.606,18.8085,,99.4429,,1.03799,3.152,115.848,42.9455,0.11864,1.412,22.6442,279.842,71.703,2.677,42.803,422.129,7.37916,10,0.52,1.637,0.63,4.148,26.816,2,74.3,33,20.5784,7.33871,1.955,2.105,2.012,2.38605,7.6,1,5
137,Angola,AGO,Ranked,40.99,47.44,44.86,30.69,57.59,38.79,46.77,46.62,41.98,36.85,42.56,58.03,53.71,29.69,29.60,9.75,24.8,209.277,84.6,43.725,429.596,55.0843,39.3463,48.6279,55.5568,40.6245,1.7145,64.4121,47.36,4.84935,5,0.386,30.0532,66.0301,80.9996,11.3897,0.63442,0.748,45.1217,13,0.44068,1.923,16.7738,448.355,42.541,0.911,29.4047,524.05,5.80383,10,0.5,2.778,0.508,3.302,67.197,36,32.5,19,12.627,7.2,2.231,0.726,0.78,0.50681,,0,0
42,Argentina,ARG,Ranked,76.15,83.85,75.81,68.79,93.55,95.21,83.34,63.30,92.69,79.77,68.32,62.45,90.16,68.11,61.15,55.73,3.6,50.793,10.9,7.911,68.9808,99.0784,96.645,94.2585,7.68874,99.9669,3.00721,2.41168,98.29,6.53419,4,0.772,14.7931,99.125,99.4394,89.5142,1.04409,2.774,145.322,70.969,0.62712,3.334,21.2813,334.662,74.497,2.621,28.0076,399.994,7.38813,33,0.945,3.801,0.788,4.848,21.506,13,83,39,60.8741,4.7,2.203,2.499,2.818,4.5216,10.1,20,20
60,Armenia,ARM,Ranked,69.75,88.84,71.84,48.57,92.90,97.95,88.77,75.74,90.68,67.88,65.47,63.32,72.29,54.00,36.95,31.03,4.3,31.405,13.3,13.728,20.4813,99.8985,98.282,93.407,0,100,4.78018,12.4575,96.62,2.57118,3,0.792,7.59112,99.7444,92.3976,87.7412,1.05151,3.176,117.428,64.346,0.52542,1.472,19.8458,420.429,75.382,2.91,49.5783,472.662,16.9991,15,0.708,3.186,0.686,4.752,40.499,8,39,35,4.8545,5.8,1.158,1.131,3.169,2.61212,11.7,0,0
12,Australia,AUS,Ranked,88.12,95.81,87.01,81.55,97.97,97.93,94.72,92.62,92.65,94.78,86.42,74.19,96.56,86.83,68.09,74.71,2.5,4.735,3.7,4.681,11.3947,99.97,91.1756,99.9911,,100,5.6858,0.084402,100,0.991615,1,0.918,6.6268,99,99.9888,92.7005,0.88729,3.257,110.052,86.54,0.98305,3.693,25.2889,188.464,95.145,3.235,9.97455,515.639,14.2219,40,0.928,3.846,0.967,4.876,10.74,1,84.4,77,74.6447,3.6,2.428,2.534,3.052,5.40758,12.9,64,45
17,Austria,AUT,Ranked,86.72,96.57,87.94,75.63,98.53,99.99,98.26,89.51,93.12,90.80,85.34,82.52,93.70,87.57,63.80,57.46,2.5,5.731,3.6,2.821,6.77316,100,,99.9748,0,100,6.57616,0.27999,100,0.530036,2,0.952,5.01506,99,,88.2013,0.95557,3.15,163.794,84.3233,0.88136,3.522,24.2368,210.679,92.012,3.727,15.7226,207.336,17,37,0.958,3.339,0.984,4.895,7.725,0,85.3,75,65.7435,4.8,2.481,2.628,2.698,3.95491,11.8,14,30
108,Bangladesh,BGD,Ranked,53.05,65.60,57.58,35.97,74.58,65.75,57.25,64.83,68.83,54.10,51.38,55.99,58.61,40.79,29.93,14.55,15.8,167.85,34.3,39.505,100.463,96.8825,14.4031,47.0058,0.382328,75.92,3.65105,63.7617,16.68,2.50309,3,0.256,11.8606,72.7587,96.8707,61.5519,1.17017,1.107,83.4492,18.02,0.52542,2.365,20.3587,456.752,59.399,0.564,40.6323,295.065,3.29012,19,0.446,2.775,0.316,4.546,56.036,46,74.4,28,26.3676,8.4,1.515,0.373,2.295,0.86703,5.2,1,0
