2014 ranking,Country,Code,Status,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000 people)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000 people)",Access to clean fuels and technology for cooking (% of pop.),"Homicide rate (deaths/100,000 people)",Perceived criminality (1=low; 5=high),Political killings and torture (0=low freedom; 1=high freedom),"Traffic deaths (deaths/100,000 people)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (distance from parity),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Access to online governance (0=low; 1=high),Media censorship (0=frequent; 4=rare),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000 people)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000 people)",Greenhouse gas emissions (CO2 equivalents/GDP),Biome protection,Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no rights; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (1=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
,World,WWW,,62.16,71.91,63.91,50.67,80.36,73.11,72.30,61.85,79.39,60.25,58.92,57.10,65.61,59.52,41.05,36.51,12.0,117.620,34.9,25.142,158.5621217,87.2726,61.8927,68.2675,18.24043236,84.6655,4.217338067,39.15601492,56.69,5.65535,4,0.591,20.14506276,83.3135,93.9805,69.9811,0.98318,1.698,87.70664803,33.8509,0.5572,2.309,19.8142,410.639,66.767,1.789,43.1821,568.089,10.34052664,21,0.647,2.743,0.615,3.791,48.042,14,71.9,40,25.41344963,7.4,1.901,2.008,1.898,1.771739227,7.0,35,9
144,Afghanistan,AFG,Ranked,35.20,44.62,34.35,26.62,55.00,39.58,38.29,45.60,36.83,30.13,27.32,43.12,39.57,32.85,31.60,2.48,22.2,396.798,82.6,53.015,189.603,53.5317,15.5944,36.75,21.5202,69.1,,156.202,22.33,4.14358,5,0.453,37.9927,31.7411,,47.5045,0.55817,0.919,49.9728,5.45455,0.13725,2.383,14.6758,1029.88,41.795,1.414,48.1482,669.47,0.104392,11,0.587,1.832,0.209,2.09,89.842,17,41.9,8,2.1395,8.7,1.042,1.628,2.757,0.343853,1.3,0,0
52,Albania,ALB,Ranked,70.31,84.41,75.67,50.86,90.55,90.52,81.14,75.44,88.55,68.86,71.49,73.77,84.79,41.13,45.95,31.56,6.6,11.182,10.7,23.459,16.7495,87.8604,84.7975,96.7764,0.523383,100,4.45281,20.7896,67.81,4.85195,3,0.966,9.91321,97.247,97.5988,83.9782,0.94774,2.346,119.861,54.656,0.52941,2.33,21.986,286.405,79.017,2.528,21.7992,325.403,14.3439,27,0.81,3.837,0.893,4.349,57.78,10,10.7,31,2.5632,4.7,2.165,1.715,2.605,3.64099,9.2,0,0
80,Algeria,DZA,Ranked,63.76,82.22,63.97,45.09,89.17,87.25,87.03,65.42,86.45,44.13,68.84,56.44,55.24,68.55,40.02,16.56,5.6,79.039,26.1,14.891,26.1029,92.8383,77.4826,86.9706,4.78405,98.7647,4.18653,0.410303,92.49,0.760465,4,0.587,20.5601,,99.2382,,1.03799,2.936,99.8985,18.2,0.07843,1.556,22.2003,294.936,69.804,2.496,43.2643,420.239,7.37916,11,0.622,1.6,0.509,4.303,26.928,2,73.1,36,20.5784,7.9,1.757,2.167,1.928,1.69364,5.8,0,0
139,Angola,AGO,Ranked,38.51,42.60,41.86,31.07,47.44,34.39,42.80,45.77,41.41,30.70,38.97,56.37,55.54,30.29,28.96,9.48,38.2,248.134,105.8,47.725,500.425,51.9685,34.7257,43.5915,58.3461,35.6708,1.65625,79.8014,44.8,4.35616,5,0.428,35.7334,66.0301,80.9996,11.3897,0.631084,0.626,50.9445,6.5,0.23529,1.729,16.0227,490.539,39.6,0.768,30.2695,617.381,5.80383,11,0.453,2.779,0.517,3.76,67.393,36,30.6,23,17.4088,7.1,1.827,0.916,0.787,0.44899,,0,0
42,Argentina,ARG,Ranked,74.70,83.60,72.27,68.24,92.92,94.81,83.26,63.42,90.21,70.42,67.43,61.00,86.90,67.69,63.63,54.74,3.9,52.884,13.3,8.59,69.6034,98.8607,95.8411,93.7417,7.68874,99.6031,3.05773,3.25506,97.82,7.50788,4,0.844,16.2542,99.1052,99.5017,88.1617,1.07588,2.497,152.809,55.8,0.54901,2.516,21.1091,353.037,73.498,2.646,31.5098,397.457,7.18223,31,0.88,3.835,0.736,4.783,19.686,11,81.9,34,67.8705,5.3,2.441,2.62,2.842,4.07697,9.9,20,25
58,Armenia,ARM,Ranked,68.48,88.57,69.64,47.24,91.75,96.57,89.71,76.25,92.58,60.46,63.69,61.83,69.50,53.94,36.52,28.99,5.6,16.603,16.3,16.735,21.2383,98.927,95.7294,91.7897,0,99.9785,5.20775,15.5593,94.77,2.46907,3,0.815,7.73226,99.7444,96.5469,87.7412,1.03961,3.115,115.299,37.5,0.52941,1.359,19.4402,452.411,74.354,2.885,54.1434,462.545,16.9991,14,0.648,3.17,0.616,4.804,42.338,7,37.4,36,4.0366,5.7,1.169,1.116,3.07,2.2873,11.4,0,0
11,Australia,AUS,Ranked,87.07,94.83,85.66,80.72,97.79,97.51,96.79,87.25,92.48,92.05,86.69,71.45,96.46,87.87,67.77,70.77,2.5,6.699,4.3,4.855,11.2302,99.926,89.4545,99.9911,,100,6.20304,0.101863,100,1.10321,2,0.955,6.88817,99,99.9483,93.8192,0.86923,3.342,106.643,79,0.94117,3.786,25.2107,188.037,94.949,3.342,12.1964,580.262,13.3214,39,0.947,3.885,0.978,4.776,10.518,1,83.9,81,72.3442,3.9,2.429,2.456,3.273,5.81418,12.6,56,35
17,Austria,AUT,Ranked,85.90,96.34,85.61,75.76,98.54,100.00,98.72,88.09,93.49,83.39,84.47,81.08,96.40,85.59,63.06,57.99,2.5,2.772,4.1,2.846,7.05756,100,,99.9823,0,100,6.69303,0.337467,100,0.886539,2,0.953,5.99744,99,,86.0735,0.96605,3.29,159.529,80.03,0.62745,3.64,23.7925,227.227,91.609,3.808,18.078,222.501,17,38,0.962,3.762,0.984,4.899,8.716,0,85,69,56.0411,4.6,2.397,2.725,2.805,3.85132,11.4,15,35
109,Bangladesh,BGD,Ranked,50.83,61.22,52.61,38.67,71.44,62.40,46.42,64.60,65.78,41.29,49.49,53.86,63.14,38.28,40.16,13.11,17,201.181,43.6,41.122,114.525,96.6158,12.4489,41.8597,5.67128,62.8748,2.18424,73.8636,13.63,2.5768,3,0.279,13.3201,57.8607,95.7795,52.5101,1.08274,0.947,62.4041,5,0.39215,2.543,19.8067,498.142,55.704,0.815,45.0788,313.381,3.28613,24,0.507,3.021,0.328,4.484,60.378,48,72.7,27,19.2762,8.7,2.263,1.117,2.872,0.671345,4.9,1,0
