2019 ranking,Country,Code,Status,Social Progress Index,Basic Human Needs,Foundations of Wellbeing,Opportunity,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Inclusiveness,Access to Advanced Education,Undernourishment (% of pop.),"Maternal mortality rate (deaths/100,000 live births)","Child mortality rate (deaths/1,000 live births)",Child stunting (% of children),"Deaths from infectious diseases (deaths/100,000 people)",Access to at least basic drinking water (% of pop.),Access to piped water (% of pop.),Access to at least basic sanitation facilities (% of pop.),Rural open defecation (% of pop.),Access to electricity (% of pop.),Quality of electricity supply (1=low; 7=high),"Household air pollution attributable deaths (deaths/100,000 people)",Access to clean fuels and technology for cooking (% of pop.),"Homicide rate (deaths/100,000 people)",Perceived criminality (1=low; 5=high),Political killings and torture (0=low freedom; 1=high freedom),"Traffic deaths (deaths/100,000 people)",Adult literacy rate (% of pop. aged 15+),Primary school enrollment (% of children),Secondary school enrollment (% of children),Gender parity in secondary enrollment (distance from parity),Access to quality education (0=unequal; 4=equal),Mobile telephone subscriptions (subscriptions/100 people),Internet users (% of pop.),Access to online governance (0=low; 1=high),Media censorship (0=frequent; 4=rare),Life expectancy at 60 (years),"Premature deaths from non-communicable diseases (deaths/100,000 people)",Access to essential services  (0=none; 100=full coverage),Access to quality healthcare (0=unequal; 4=equal),"Outdoor air pollution attributable deaths (deaths/100,000 people)",Greenhouse gas emissions (CO2 equivalents/GDP),Biome protection,Political rights (0=no rights; 40=full rights),Freedom of expression (0=no freedom; 1=full freedom),Freedom of religion (0=no freedom; 4=full freedom),Access to justice (0=non-existent; 1=observed),Property rights for women (0=no rights; 5=full rights),Vulnerable employment (% of employees),Early marriage (% of women),Satisfied demand for contraception (% of women),Corruption (0=high; 100=low),Acceptance of gays and lesbians (0=low; 100=high),Discrimination and violence against minorities (1=low; 10=high),Equality of political power by gender (0=unequal power; 4=equal power),Equality of political power by socioeconomic position (0=unequal power; 4=equal power),Equality of political power by social group (0=unequal power; 4=equal power),Years of tertiary schooling,Women's average years in school,Globally ranked universities (points),Percent of tertiary students enrolled in globally ranked universities
36,Latvia,LVA,Ranked,80.42,89.93,81.03,70.30,96.46,95.69,91.44,76.14,95.19,84.44,68.77,75.73,93.88,80.72,51.83,54.77,2.5,14.001,4.2,8.449,20.9867,98.6262,92.1233,92.1483,0,100,5.21769,4.08866,95.28,3.36233,3,0.928,10.3091,99.8959,98.4838,93.7997,0.99015,3.184,126.387,81.3159,0.6854,3.434,20.6128,459.135,81.863,3.199,29.6821,253.982,17,35,0.952,3.868,0.926,4.796,7.909,1,79.2,58,14.401,8.5,2.725,2.754,2.805,3.43752,13.2,3,40
87,Lebanon,LBN,Ranked,64.98,79.94,66.17,48.82,92.11,93.54,73.76,60.36,78.97,63.46,68.82,53.44,66.52,62.96,29.16,36.66,10.9,21.816,7.8,12.545,20.3279,92.6,86.9337,98.4766,,100,1.65234,0.010723,,3.9931,5,0.649,7.11707,91.1842,89.9465,64.8854,0.99082,1.772,72.3253,78.1808,0.4438,2.148,21.9627,357.668,81.164,2.141,47.5214,281.36,2.88803,14,0.634,3.306,0.618,4.074,27.587,3,62.4,28,11.9388,8.2,0.76,1.464,2.306,1.90715,8.5,7,20
124,Lesotho,LSO,Ranked,48.44,49.29,46.32,49.72,55.44,54.40,42.61,44.71,60.42,40.05,41.88,42.95,69.06,58.82,57.76,13.25,12.8,295.85,85.9,37.733,704.459,68.6499,63.4207,42.7543,35.3961,33.7308,2.89877,102.012,35.61,41.2481,3,0.553,46.6765,76.6352,84.5885,36.9709,1.35707,3.227,70.9045,29.7878,0.0787,2.024,14.7831,748.769,52.568,2.566,45.4958,783.098,0.238939,27,0.696,3.439,0.679,2.795,54.745,18,80.2,41,23.4489,3.3,2.334,2.433,2.765,0.55005,7,0,0
130,Liberia,LBR,Ranked,46.67,44.47,48.31,47.24,50.21,28.93,31.41,67.34,47.47,40.38,46.37,59.04,81.00,44.74,55.83,7.39,38.8,451.015,74.7,33.663,427.965,72.948,4.69514,16.9735,60.4426,21.4889,2.39591,102.802,0.71,3.22846,4,0.872,16.7366,,89.2123,10.3654,0.7821,1.265,56.2141,7.98448,0.427,2.366,17.1523,414.941,51.409,0.881,9.7469,700.658,2.201,27,0.836,3.422,0.754,4.452,77.708,16,50.3,32,10.9495,5.2,2.523,2.64,2.977,0.58337,3.5,0,0
32,Lithuania,LTU,Ranked,81.30,90.44,81.67,71.78,96.68,96.19,94.08,74.79,96.71,85.02,69.90,75.04,93.85,78.32,62.90,52.06,2.5,9.408,4.3,7.991,22.1442,97.5421,94.9217,93.3536,0,100,5.55631,0.955868,100,5.24687,3,0.951,10.0509,99.8156,99.8996,97.5244,0.9567,3.383,150.895,77.6153,0.8034,3.036,20.7027,435.801,81.22,3.352,31.3863,253.722,16.9282,38,0.895,3.753,0.926,4.887,9.518,0,68.3,59,20.126,3.8,2.692,2.55,3.522,3.34636,13,4,30
16,Luxembourg,LUX,Ranked,87.66,94.79,90.56,77.62,98.52,99.32,98.81,82.50,96.28,97.13,84.69,84.16,95.46,88.92,78.39,47.69,2.5,7.217,2.6,2.448,17.31,99.8896,99.7792,97.6005,0,100,6.7064,0.128038,100,0.719016,,0.925,5.78607,99,99.7613,84.6398,1.03115,3.859,136.086,97.8276,0.9382,3.836,24.0786,206.574,94.204,3.445,13.8473,184.728,17,38,0.954,3.66,0.981,4.858,6.221,1,,81,78.2958,2.7,2.647,3.138,3.751,0.90517,11.7,2,70
136,Madagascar,MDG,Ranked,43.58,42.93,46.43,41.38,55.19,28.01,25.30,63.23,59.41,33.92,34.71,57.69,73.26,33.00,47.84,11.43,43.1,266.273,44.2,49.507,339.67,54.404,35.5087,10.5068,56.7266,24.0754,1.91792,137.595,0.91,7.68676,3,0.639,22.1144,71.5726,,29.1201,1.01211,0.303,34.1423,9.8,0.3258,3.02,16.1293,618.348,41.598,0.277,16.3856,977.87,5.82104,24,0.745,3.594,0.416,4.647,85.248,40,60.4,25,21.3255,3.5,1.875,2.022,1.941,0.27074,6.7,0,0
118,Malawi,MWI,Ranked,50.52,53.50,54.71,43.34,62.52,49.06,29.18,73.24,63.90,33.19,47.20,74.53,72.82,49.95,44.89,5.69,26.3,169.719,55.4,37.884,476.736,68.8319,21.6574,26.2261,6.56216,12.7,1.85023,90.762,2.5,1.73321,3,0.837,20.524,62.1435,97.5781,31.4475,0.94192,0.843,41.738,13.7822,0.2022,2.807,17.3642,412.539,52.365,0.925,12.6444,601.805,16.6794,26,0.819,3.784,0.8,2.296,59.53,27,75.2,32,3.7431,5.3,1.943,2.332,2.12,0.03875,4,0,0
46,Malaysia,MYS,Ranked,74.17,89.11,76.34,57.06,89.91,96.94,94.56,75.05,88.97,84.21,67.68,64.49,74.47,66.02,43.37,44.38,2.9,57.032,7.9,18.54,137.256,96.6959,94.5363,99.572,1.12486,100,5.88352,2.19002,96.3,2.11063,2,0.773,26.192,93.7347,98.6031,75.0194,1.05137,3.068,133.88,80.1405,0.8876,2.107,19.4741,367.36,72.877,3.47,46.8585,463.14,17,21,0.695,2.575,0.843,4.761,21.791,6,54,47,3.4069,6,1.859,3.156,1.17,2.1399,10,20,20
132,Mali,MLI,Ranked,45.98,55.76,48.93,33.26,61.85,60.24,40.12,60.81,39.95,49.17,47.48,59.11,61.86,26.01,42.18,2.99,6,290.368,106,31.686,423.018,78.2608,45.4946,39.3354,11.5772,43.0898,2.93291,91.6825,0.96,10.9032,3,0.574,21.1481,33.0689,67.3274,29.3062,0.80834,1.062,118.834,12.7206,0.2416,2.084,17.6295,434.577,46.568,1.434,13.9355,1122.1,7.39255,18,0.584,2.827,0.579,3.618,89.628,44,36,32,7.7004,8.1,2.011,2.288,2.408,0.30607,1.7,0,0
