supplier,recipient,no_ordered,weapon_designation,weapon_description,year_of_order,year_of_delivery,no_delivered,comments
France,Greece,-60,MM-40-3 Exocet,Anti-ship MI/SSM,-2008,2010-2020,-60,For Super Vita (Roussen) FAC
France,Greece,,Meteor,BVRAAM,-2020,,,For Rafale combat aircraft; selected but contract not yet signed end-2020
France,Greece,12,Rafale,FGA aircraft,-2020,,,Second-hand; part of EUR2.3 b deal; delivery planned 2021-2022
France,Greece,6,Rafale,FGA aircraft,-2020,,,Part of EUR2.3 b deal; delivery planned 2023
France,Hungary,16,EC725 Super Cougar,Transport helicopter,2018,,,Armed H225M Caracal version
France,India,16,PA6,Diesel engine,-2003,2014-2020,16,For 4 Kamorta (Project-28) frigates produced in India
France,India,36,SM-39 Exocet,Anti-ship missile,2005,2017-2020,-9,Possibly $150 m deal; SM-39 Block-2 version; for Scorpene submarines
France,India,493,MICA,BVRAAM,2012,2014-2020,-493,EUR950 m deal (offsets 30%); MICA-EM and MICA-IR versions; for Mirage-2000-5 combat aircraft
France,India,-358,Ardiden-1,Turboshaft,-2016,,,For LCH combat helicopter produced in India; produced under licence in India as Shakti
France,India,-200,Meteor,BVRAAM,-2016,2020,-100,Part of EUR710 m deal; for Rafale combat aircraft
France,India,-350,MICA,BVRAAM,-2016,2020,-175,Part of EUR710 m deal; MICA-RF and MICA-IR versions; for Rafale combat aircraft
France,India,-200,Storm Shadow/SCALP,ASM,2016,2020,-100,Part of EUR710 m deal; SCALP version; for Rafale combat aircraft
France,India,. .,AASM,ASM,-2020,,,For Rafale combat aircraft
France,Indonesia,-2,AS-565S Panther,ASW helicopter,2014,2019-2020,2,AS565MBe version; assembled in Indonesia
France,Indonesia,-14,MIDR,Diesel engine,-2016,2019-2020,-9,For 14 Badak armoured fire support vehicles produced in Indonesia
France,Indonesia,-50,MM-40-3 Exocet,Anti-ship MI/SSM,2016,2019-2020,-25,For SIGMA frigates
France,Indonesia,2,VL-MICA-M,Naval SAM system,2016,2019-2020,2,For 2 SIGMA-10514 (Martadinata) frigates from Netherlands
France,Indonesia,18,CAESAR 155mm,Self-propelled gun,2017,2019-2020,18,EUR60 m deal
France,Indonesia,8,EC725 Super Cougar,Transport helicopter,-2018,,,H225M armed Combat SAR version
France,Indonesia,-40,MICA,BVRAAM,-2018,2019-2020,-40,VL-MICA SAM version for SIGMA-10514 (Martadinata) frigates
France,Iraq,4,Ground Master-400,Air search radar,2020,,,Delivery planned from 2021
France,Italy,14,2R2M 120mm,Mortar,-2019,,,For 14 Freccia mortar carriers produced in Italy
France,Kuwait,30,EC725 Super Cougar,Transport helicopter,2016,2020,2,EUR1.1 b deal; H-225M Caracal version; incl 6 for National Guard; delivery planned 2020-2021
France,Kuwait,-300,Sherpa,APC/APV,2018,2019-2020,-300,EUR270 m deal
France,Malaysia,,MICA,BVRAAM,-2015,,,For 6 Combat Gowind (SGVP-LCS) frigates
France,Malaysia,18,LG1 105mm,Towed gun,2018,2020,-18,LG-1 Mk-3 version; assembled from kits in Malaysia
France,Mali,13,Bastion,APC/APV,2019,2020,13,Aid financed by EU; incl 1 command post and 2 ambulance version
France,Mexico,1,CAPTAS TAS,ASW sonar,-2017,2020,-1,CAPTAS-2 version; for 1 SIGMA-105 (Reformador) frigate from Netherlands
France,Morocco,-36,CAESAR 155mm,Self-propelled gun,2020,,,EUR200 m deal
France,Morocco,,MICA,BVRAAM,2020,,,For VL-MICA SAM system
France,Morocco,36,Sherpa,APC/APV,2020,,,Incl Scout and APC version
France,Morocco,,VL-MICA,SAM system,2020,,,EUR192-200 m deal
France,Netherlands,6,MCM-2720,MCM ship,2019,,,Part of EUR2 b 'MCMV' programme (incl 6 for Belgium); delivery planned from 2025
France,Nigeria,2,FPB-110,Patrol craft,2019,2020,-2,FPB-110 Mk-2 version
France,Nigeria,,1,FPB-72,Patrol craft,2019,2020,1
France,Norway,6,FLASH,ASW sonar,2002,2019-2020,2,For 6 NH-90 ASW helicopters from Italy
France,Philippines,-40,Mistral,Portable SAM,2019,,,Mistral-3 version; for HHI-2600 (Rizal) frigates; delivery planned 2021
France,Qatar,300,AASM,ASM,2015,2019-2020,-300,For Rafale combat aircraft
France,Qatar,60,AM-39 Exocet,Anti-ship missile,2015,2019-2020,-60,AM-39 Block-2 Mod-2 version; for Rafale combat aircraft
France,Qatar,52,M-88,Turbofan,2015,2019-2020,-52,Spares for Rafale combat aircraft
France,Qatar,-160,Meteor,BVRAAM,2015,2019-2020,-160,For Rafale combat aircraft
France,Qatar,300,MICA,BVRAAM,2015,2019-2020,-300,Incl 150 MICA-ER and 150 MICA-EM version; for Rafale combat aircraft
France,Qatar,24,Rafale,FGA aircraft,2015,2019-2020,-24,Part of EUR6.7 b deal; incl 18 Rafale-EQ (Q3-R) and 6 Rafale-DQ versions
France,Qatar,140,Storm Shadow/SCALP,ASM,2015,2019-2020,-140,SCALP version; for Rafale combat aircraft
France,Qatar,,Exocet CDS,Coastal defence system,2016,,,Incl for use with Marte-ER anti-ship missiles; EUR640 m deal; delivery planned from 2022
France,Qatar,-30,MICA,BVRAAM,-2016,,,For Fincantieri-700 corvettes from Italy
France,Qatar,,MM-40-3 Exocet,Anti-ship MI/SSM,2016,,,For coastal defence
France,Qatar,-80,MM-40-3 Exocet,Anti-ship MI/SSM,-2016,,,For Fincantieri-3000 frigates and Fincantieri-700 corvettes from Italy
France,Qatar,2,VL-MICA-M,Naval SAM system,-2016,,,For 2 Fincantieri-700 corvettes from Italy
France,Qatar,12,Rafale,FGA aircraft,2017,,,Delivery planned 2021-2022
France,Qatar,16,AS-350/AS-550 Fennec,Light helicopter,2018,2018-2020,-16,H125 version
France,Romania,4,Gowind-2500,Frigate,-2019,,,EUR1.2 b deal; incl production in Romania; delivery planned from 2022
France,Saudi Arabia,3,Combattante FS-56,FAC,-2016,,,EUR250 m deal; originally ordered by Saudi Arabia as aid for Lebanon but taken over by Saudi Arabia after aid cancelled; possibly to be delivered as patrol craft for coast guard
France,Senegal,2,RPB-33,Patrol craft,2018,2019,1,
France,Senegal,-25,Marte-2,Anti-ship missile,2019,,,Marte-2/N version; for 3 OPV-58 FAC
France,Senegal,,Mistral,Portable SAM,-2019,,,For Simbad RC SAM on OPV-58 FAC
France,Senegal,3,OPV-58,FAC,2019,,,
France,Serbia,50,Mistral,Portable SAM,2019,,,Mistral M3 version; incl for PASARS-16 SPAAG; delivery planned 2021
France,Singapore,-12,EC725 Super Cougar,Transport helicopter,2016,,,H225M version; delivery planned from 2021
France,South Korea,4,PC2.5,Diesel engine,-2015,,,For 1 Dokdo AALS produced in South Korea
France,Spain,5,CAPTAS,ASW sonar,-2019,,,Part of EUR166 m deal; CAPTAS-4 Compact version for 5 F-110 frigates produced in Spain
France,Spain,5,UMS-4110 BlueMaster,ASW sonar,2019,,,Part of EUR166 m deal; for 5 F-110 frigates produced in Spain
France,Tanzania,8,AS-350/AS-550 Fennec,Light helicopter,2017,2018,3,H125 version
France,Thailand,4,EC725 Super Cougar,Transport helicopter,2018,,,H225M version; delivery planned 2021
France,Thailand,12,LG1 105mm,Towed gun,-2020,,,THB834 m ($27 m) deal; LG1 Mk-3 version; selected 2020 but possibly not yet ordered by end-2020
France,Togo,-5,SA-342 Gazelle,Light helicopter,-2017,2019-2020,-5,Second-hand; EUR20 m deal; SA-342M version
France,Turkey,15,Ocean Master,MP aircraft radar,2002,2013-2020,-10,Part of $400 m deal; part of 'Meltem' programme; for 9 CN-235MPA from Spain and 6 ATR-72 MP aircraft from Italy
France,UAE,2,Helios-2,Recce satellite,2015,2020,1,EUR700 m deal; Falcon Eye or Pleiades version
France,UAE,2,Gowind-2500,Frigate,2019,,,EUR750 m deal; option on 2 more
France,UAE,-30,MM-40-3 Exocet,Anti-ship MI/SSM,-2019,,,For Gowind-2500 frigates
France,UAE,,RDY,Combat ac radar,2019,,,For modernization of Mirage-2000-9 combat aircraft; RDY-3 version
France,Ukraine,12,EC725 Super Cougar,Transport helicopter,2018,2018-2019,3,Second-hand; part of EUR555 m deal; H-225 version
France,United States,-45,Mirage F-1C,FGA aircraft,2017,2019-2020,-15,Second-hand (18 more delivered for spare parts); for US company for training of US armed forces
France,Uzbekistan,8,EC725 Super Cougar,Transport helicopter,2018,2018,3,Armed H-215M version
Germany,Australia,4,MAN-32/40,Diesel engine,-2016,,,For 2 Cantabria (Supply) replenishment ships from Spain
Germany,Australia,-45,MT-881,Diesel engine,-2020,,,For 30 K-9 self-propelled guns and 15 K-10 ALV from South Korea
Germany,Indonesia,3,KaleidoScope,Submarine sonar,-2019,,,For 3 Type-209/1400 (Nagapasa) submarines from South Korea
Germany,Indonesia,12,MTU-493,Diesel engine,-2019,,,For 3 Type-209/1400 (Nagapasa) submarines from South Korea
Germany,New Zealand,4,MTU-4000,Diesel engine,2016,2020,4,MTU-20V4000 version; for 1 Aoteoroa support ship from South Korea
Germany,Philippines,8,MTU-1163,Diesel engine,-2017,2020,4,For 2 HHI-2600 (Rizal) frigates from South Korea; from South Korean production line; designation uncertain (reported as 'STX Engine diesel' or 'STX MTU diesel')
Germany,Turkey,5,MAN-32/40,Diesel engine,2015,,,For 1 BPE (Anadolu) AALS from Spain; probably from Spanish production line
Germany,United Kingdom,20,MTU-8000,Diesel engine,2020,,,For 5 Type-31 frigates produced in UK
Germany,Australia,133,Boxer,IFV,2018,2019,-1,Part of AUD5.2 b ($3.5 b) 'Project Land-400 Phase-2' deal; incl production under licence of 120 in Australia; delivery planned 2019-2026
Germany,Australia,78,Boxer,APC,2018,2019,-2,"Part of AUD5.2 b ($3.5 b) 'Project Land-400 Phase-2' deal; incl production under licence of 66 in Australia; incl ambulance, command post, ARV and AEV versions; delivery planned 2019-2026"
Germany,Australia,12,OPV-80,OPV,2018,,,AUD3.6 b ($2.5 b) 'Sea-1180 Phase-1' programme; produced in Australia; Australian designation Arafura; delivery planned from 2022
Germany,Brazil,-4,MEKO-A100,Frigate,2020,,,BRL9.1 ($2) billion 'CV03' or Tamandaré programme; produced under licence in Brazil; delivery planned 2025-2028
Germany,Bulgaria,2,OPV-90,Corvette,2020,,,BGN984 m 'MMPV' programme (incl training); produced under licence in Bulgaria; delivery planned 2025-2026.
Germany,Canada,2,Berlin,Replenishment ship,2017,,,CAD4.1 b ($3 b) 'JSS' programme; produced under licence in Canada; Canadian designation Protecteur; delivery planned 2023-2025
Germany,China,. .,BF8L,Diesel engine,-1981,1982-2020,-4750,"Produced under licence in China; for YW-531 (Type-63), YW-531H (Type-85), YW-534 (Type-89), YW-535 (Type-90), WZ-551 and WMZ-551 (Type-92) APC (incl IFV and other versions), PLT-02 tank destroyer, PTL-05 self-propelled mortar and Type-85 self-propelled gun produced in China; incl BF-8L4 version"
Germany,China,-30,MTU-956,Diesel engine,-2010,2014-2020,-30,For 15 Type-052D (Luyang-3) destroyers produced in China; MTU-20V-956 version; produced under licence in China
Germany,Ecuador,1,MPV70 Mk-2,OPV/transport ship,2020,,,$42 m deal; produced under licence in Ecuador
Germany,Egypt,4,MEKO-A200,Frigate,2019,,,Incl 1 produced under licence in Egypt
Germany,Hungary,218,Lynx KF41,IFV,2020,,,EUR2 b deal; incl 172 produced under licence in Hungary; delivery planned 2022-2029
Germany,India,-16,ACTAS,ASW sonar,-2014,2019-2020,-7,For modernization of 3 Delhi (Project-15) destroyers and 3 Talwar (Project-11356) frigates and for 3 Kolkata (Project-15A) destroyers and 3 Shivalik (Project-17) and 4 Kamorta (Project-28) frigates produced in India; incl 10 produced under licence in India
Germany,India,14,Do-228,Light transport ac,-2015,2015-2020,-14,
Germany,India,12,Do-228MP,MP aircraft,-2016,2019-2020,-8,Produced under licence in India
Germany,India,14,MAN-28/33,Diesel engine,2016,,,MAN-12V28/33 version; for 7 Project-17A (Nilgiri) frigates produced in India; MAN-12V28/33D version
Germany,Israel,4,MEKO PC-IN,Frigate,2015,,,EUR430 m deal (incl EUR115 m paid by Germany; NIS700 m offsets; incl production of components and final fitting out in Israel); Israeli designation Saar-6 or Magen; delivery planned 2021-2022
Germany,Italy,2,Type-212,Submarine,-2020,,,EUR1.4 b deal; Type-212 NFS version; produced under licence in Italy; delivery planned 2027-2029; selected but not yet ordered by end-2020
Germany,Norway,4,Type-212,Submarine,-2017,,,Type-212CD version; offsets incl production of components in Norway and sale of NSM anti-ship missiles to Germany; delivery planned from 2029; selected 2017 but not yet ordered by end-2020
Germany,Singapore,2,Type-218,Submarine,2013,,,Type-218SG version; incl production of components in Singapore; delivery planned from 2022
Germany,Singapore,2,Type-218,Submarine,2017,,,Type-218SG version; incl production of components in Singapore; delivery planned from 2024
Germany,South Korea,6,Type-214,Submarine,2008,2014-2020,6,'KSS-2' programme; produced under licence in South Korea
Germany,Spain,12,MTU-396,Diesel engine,-2004,,,For 4 S-80A submarines produced in Spain
Germany,Spain,40,DM2A4 Seehecht,AS/ASW torpedo,2005,,,EUR76 m deal (incl production of components in Spain); for S-80A submarines
Germany,Turkey,6,Type-214,Submarine,2011,,,EUR2.2-2.5 b deal; Type-214TN version; produced under licence in Turkey; Turkish designation Reis; delivery planned 2022-2027
Germany,United Kingdom,-508,Boxer,APC,2019,,,GBP2.8 b ($3.6 b) 'MIV' programme (incl production under licence in UK); incl ambulance and command post versions; delivery planned from 2022
Germany,United States,-27,TRS-3D,Air/sea search radar,2004,2006-2020,-19,TRS-3D/16 version for 15 Freedom (LCS-1) frigates and 11 Legend (NSC) OPV produced in USA and 1 land-based site; possibly incl production under licence in USA
Germany,United States,-155,EC145,Light helicopter,2014,2015-2020,-112,"Produced in USA; for training; US designation UH-72A, LUH-72A or UH-72B"
Germany,Algeria,926,Fuchs-2,APC,-2014,2015-2020,-477,Assembled in Algeria; delivery planned 2015-2025
Germany,Australia,9,ASR-NG,Air search radar,2015,2018-2020,-9,EUR130 m 'Project Air-5431 Phase-2'; incl for civilian air traffic control
Germany,Belgium,-28,TP400-D6,Turboprop,2003,2020,4,For 7 A400M transport aircraft from Spain
Germany,Brazil,16,MTU-396,Diesel engine,2010,,,For 4 Scorpene submarines from France
Germany,Brazil,3,EC135,Light helicopter,2019,2020,-3,EUR25 m deal; H135M version; Brazilian designation UH-17; for use in Antarctica
Germany,Chile,3,TRS-4D,Multifunction radar,2017,2020,1,For modernization of 3 Type-23 frigates
Germany,Denmark,-16,Leopard-2A7,Tank,2017,2020,-4,Part of EUR113 m deal; Danish Leopard-2A5 rebuilt to Leopard-2A7V
Germany,Denmark,7,PSB-2,ABL,2019,,,Second-hand Leopard-2 tank chassis modified to Leguan ABL; delivery planned from 2022
Germany,Ecuador,6,EC145,Light helicopter,2019,2020,-2,H145 version; Ecuadorian designation Cobra
Germany,Ecuador,8,G-120TP,Trainer aircraft,2019,2020,8,
Germany,Egypt,8,MTU-4000,Diesel engine,2014,2017,2,For 4 Gowind-2500 (El Fateh) frigates from France; designation uncertain (reported as 'MTU diesel')
Germany,Egypt,2,Type-209/1400,Submarine,-2014,2020,1,Delivery planned 2020-2021
Germany,Egypt,-125,SUT,AS/ASW torpedo,-2015,2016-2020,-100,Designation uncertain (reported as 'torpedo'); for Type-209 submarines
Germany,Egypt,-330,AIM-9L/I Sidewinder,SRAAM,-2017,2018-2020,-330,Probably AIM-9L/I-1 version
Germany,Egypt,7,IRIS-T SL,SAM system,-2019,,,
Germany,Egypt,,IRIS-T SLM,SAM,-2019,,,For IRIS-T SL SAM system
Germany,Egypt,9,FPB-40,Patrol craft,2020,2020,-1,Part of USD158 m deal; originally ordered by Saudi Arabia but delivery embargoed by Germany and sold to Egypt; delivery probably planned 2020-2021
Germany,Egypt,1,IPV-60,OPV,2020,,,Part of USD158 m deal; originally ordered by Saudi Arabia but delivery embargoed by Germany and sold to Egypt; delivery planned 2021
Germany,France,-32,MTU-4000,Diesel engine,-2005,2012-2019,24,For 8 Aquitaine (FREMM) frigates produced in France
Germany,France,10,MTU-8000,Diesel engine,-2017,,,For 5 FTI frigates produced in France
Germany,Greece,8,MTU-595,Diesel engine,-2008,2020,4,MTU-16V-595 version for 2 Super Vita (Roussen) FAC from UK
Germany,Greece,-70,RIM-116A RAM,SAM,-2008,2020,-35,For Super Vita (Rousen) FAC; supplier could be USA
Germany,Hungary,20,EC145,Light helicopter,2018,2019-2020,-18,Armed H145M (EC145M) version; delivery planned 2019-2021
Germany,Hungary,12,Leopard-2A4,Tank,2018,2020,-12,Second-hand; part of HUF160 b ($565 m) deal; for training
Germany,Hungary,44,Leopard-2A7,Tank,2018,,,Part of HUF160 b ($565 m) deal; Leopard-2A7+ version; delivery planned 2021-2025
Germany,Hungary,24,PzH-2000 155mm,Self-propelled gun,2018,,,Part of HUF160 b ($565 m) deal; delivery planned 2021-2025
Germany,Hungary,5,Wisent-2,AEV/ARV,2019,,,Delivery planned 2023-2025
Germany,Hungary,9,Buffel,ARV,2020,,,Part of EUR2 b deal; delivery planned 2022-2023
Germany,India,24,MAN V6,Diesel engine,2005,2017-2019,8,For 6 Scorpene submarines from France
Germany,India,10,MTU-8000,Diesel engine,-2016,2020,4,For 5 Samarth OPV produced in India
Germany,India,-100,MT-881,Diesel engine,2017,2018-2020,-100,MT-881 Ka-500 version; for 100 K-9 self-propelled guns from South Korea
Germany,Indonesia,3,KaleidoScope,Submarine sonar,2011,2017-2018,2,For 3 Type-209/1400 (Nagapasa) submarines from South Korea
Germany,Indonesia,-12,MTU-4000,Diesel engine,-2011,2014,6,MTU-12V-4000 for 6 KCR-60 FAC produced in Indonesia
Germany,Indonesia,12,MTU-493,Diesel engine,2011,2017-2018,8,For 3 Type-209/1400 (Nagapasa) submarines from South Korea
Germany,Indonesia,18,OM-366,Diesel engine,2017,2019-2020,18,For 18 CAESAR self-propelled guns from France
Germany,Indonesia,2,MHV-60,MCM ship,2019,,,$204 m deal
Germany,Israel,,MT-883 Ka-501,Diesel engine,-2000,2002-2020,-940,For Merkava-4 tanks and Namer APC produced in Israel; assembled in USA from components produced in FRG
Germany,Israel,-150,DM2A4 Seehecht,AS/ASW torpedo,-2002,2014-2020,-90,
Germany,Israel,1,Dolphin/Type-800,Submarine,2012,,,EUR405 m deal (33% financed by FRG)
Germany,Italy,14,MTU-8000,Diesel engine,-2016,,,For 3 PPA OPV and 4 PPA frigates produced in Italy
Germany,Japan,-16,MAN-28/33,Diesel engine,-2017,,,For 8 FFM (30DDX) frigates produced in Japan
Germany,Jordan,25,Marder-1A3,IFV,-2018,2019-2020,25,Second-hand but modernized before delivery; aid
Germany,Lithuania,18,PzH-2000 155mm,Self-propelled gun,2015,2016-2020,-18,Part of EUR58 m ($65 m) deal; second-hand but modernized before delivery; 3 more for spare parts
Germany,Lithuania,2,Boxer,APC,2016,2020,-2,Driver training version
Germany,Lithuania,89,Boxer,IFV,2016,2019-2020,-44,$435 m deal; Lithuanian designation Vilkas; delivery planned 2019-2021
Germany,Luxembourg,4,TP400-D6,Turboprop,2003,2020,4,For 1 A400M transport aircraft from Spain
Germany,Luxembourg,-3,EC145,Light helicopter,2018,,,H145M version
Germany,Malaysia,-257,BFM-2015,Diesel engine,2010,2014-2020,-224,For 257 Pars APC and IFV from Turkey
Germany,Netherlands,8,PSB-2,ABL,2016,2019-2020,-4,Second-hand Leopard-2 tank chassis modified to Leguan ABL; delivery planned 2019-2020
Germany,Netherlands,1,ASR-NG,Air search radar,2019,,,
Germany,Norway,-30,MT-881,Diesel engine,2017,2019-2020,30,MT-881 Ka-500 version; for 24 K9 self-propelled guns and 6 K-10 ALVs from South Korea
Germany,Norway,,PMMC-G5,APC,-2018,,,ACSV-G5 version; incl ALV version; delivery planned from 2022
Germany,Norway,,PMMC-G5,APC,2018,,,For MGBADS SAM system produced in Norway
Germany,Oman,-172,BFM-2015,Diesel engine,-2015,2017-2020,-172,For Pars IFV from Turkey
Germany,Pakistan,8,MTU-595,Diesel engine,-2018,,,For 4 MilGem frigates from Turkey
Germany,Pakistan,1,ATR-72MP,ASW aircraft,2020,,,Pakistani ATR-72 transport aircraft rebuilt in Germany to ASW aircraft
Germany,Philippines,-130,AIM-9L/I Sidewinder,SRAAM,-2017,2019-2020,-130,AIM-9L/I-1 version; for F/A-50 combat aircraft
Germany,Philippines,2,TRS-3D,Air/sea search radar,-2017,2020,1,For 2 HHI-2600 (Rizal) frigates from South Korea
Germany,Poland,-120,MT-881,Diesel engine,-2014,2016-2020,-80,MT-881 Ka-500 version; for 120 K-9 self-propelled guns from South Korea
Germany,Qatar,-32,Fennek,Reconnaissance AV,-2014,2017-2020,-32,Part of EUR159 m deal
Germany,Qatar,,-2,COBRA,Arty locating radar,2016,2020,-2
Germany,Saudi Arabia,4,TRS-4D,Multifunction radar,-2017,,,For 4 MMSC frigates from USA
Germany,Serbia,6,EC145,Light helicopter,2016,2018-2020,-6,H145M (EC145M) version; incl 4 armed version; Serbian designation H-50
Germany,Singapore,,8V-199,Diesel engine,2017,2019-2020,-60,For Hunter IFV produced in Singapore
Germany,South Korea,-1306,MT-881,Diesel engine,-1998,1999-2020,-1306,MT-881 Ka-500 version; for K-9 self-propelled guns and K-10 ALV produced in South Korea
Germany,South Korea,14,MTU-4000,Diesel engine,-2017,,,For 7 Daegu (FFX-2) frigates produced in South Korea
Germany,South Korea,90,Taurus KEPD-350,ASM,2018,2019-2020,90,For F-15K combat aircraft; KEPD-350K version
Germany,South Korea,,IRIS-T,BVRAAM,-2020,,,For KF-X combat aircraft; selected but not yet ordered by end-2020
Germany,Spain,-119,MTU-183,Diesel engine,2003,2009-2020,-104,For 119 Pizarro (ASCOD) IFV produced in Spain
Germany,Taiwan,-12,MTU-4000,Diesel engine,-2018,,,For 6 Tuo Jiang corvettes produced in Taiwan
Germany,Thailand,-4,6R-106 TD21,Diesel engine,-2019,,,For 4 BTR-3 APC from Ukraine
Germany,Thailand,6,EC135,Light helicopter,2020,,,H135 version; delivery planned 2021
Germany,Thailand,1,TRML-3D,Air search radar,2020,,,Delivery planned 2022
Germany,Turkey,-40,TP400-D6,Turboprop,2003,2014-2019,-36,For 10 A400M transport aircraft from Spain
Germany,Turkey,8,MTU-595,Diesel engine,-2016,,,For 4 TF-100 (I or MilGem-G) frigates produced in Turkey
Germany,UAE,4,BR-710,Turbofan,2015,2020,-2,For 2 Global-6000 transport aircraft from Canada modified in Sweden to AEW&C/AGS aircraft
Germany,UAE,2,BR-710,Turbofan,2017,,,For 1 Global-6000 transport aircraft from Canada modified in Sweden to AEW&C/AGS aircraft
Germany,United Kingdom,-589,8V-199,Diesel engine,2014,2018-2020,-30,8V-199 TE21 version; for 589 Scout-SV reconnaissance AV and APC from Spain
Germany,United Kingdom,-32,MTU-4000,Diesel engine,-2015,,,MTU-20V4000 version for 8 Type-26 frigates produced in UK
Germany,United Kingdom,-44,MTU-4000,Diesel engine,2015,2020,-4,EUR90 m deal; MTU-12V4000 version for modernization of 11 Duke (Type-23) frigates; delivery planned 2020-2024
Germany,United Kingdom,18,MTU-4000,Diesel engine,2018,,,For modernization of 6 Type-45 destroyers
Germany,United Kingdom,4,EC145,Light helicopter,-2019,2020,-3,Part of GBP183 m ($238 m) deal; for UK company for training UK armed forces in 'MFTS' programme; UK designation Jupiter HT-1
Germany,United States,-22,MTU-1163,Diesel engine,-2003,2008-2020,18,For 11 Legend (NSC) OPV produced in USA
Germany,Venezuela,32,MTU-1163,Diesel engine,-2006,2009-2020,32,For 4 POVZEE (Caribé) and 4 BVL (Guaicamacuto) OPV from Spain
Greece,Egypt,92,BMP-1,IFV,2016,2020,-46,Second-hand; delivery planned 2020-2021
India,Armenia,4,Swathi,Arty locating radar,2020,,,$40 m deal
India,France,4,Falcon-2000,Light transport ac,2020,,,Part of EUR1.3 b 'AVSIMAR' programme (incl 3 more produced in France and option on 5); French design produced under licence in India for France; for modification to Falcon-2000MP MP aircraft in France
India,Maldives,1,Do-228MP,MP aircraft,2020,2020,1,Second-hand; aid
India,Myanmar,-20,Shyena,ASW torpedo,2017,2019-2020,-20,Part of $38 m deal
India,Myanmar,1,Project-877E,Submarine,-2019,2020,1,Second-hand but modernized before delivery; Myanmarese designation Minye Thainkhathu
Indonesia,Senegal,1,C-212MP,MP aircraft,2018,,,NC-212-200 version
Indonesia,Senegal,-1,CN-235MP,MP aircraft,-2018,,,CN-235-220 MP version; delivery planned 2021
Israel,Hungary,. .,EL/M-2084,Air search radar,2020,,,From Canadian production line; delivery planned 2022-2027
Israel,Indonesia,23,UT-25/UT-30,IFV turret,2019,,,UT-30 Mk-2 version; from Brazilian production line; for 23 Pandur-2 IFV from Austria (via Czech production line)
Israel,Latvia,. .,Spike-ER,Anti-tank missile,2018,2020,-50,Part of EUR108 m deal; Spike-ER2 version; for CVR-T tank destroyers; from German production line; delivery planned 2020-2023
Israel,Latvia,,Spike-MR/LR,Anti-tank missile,2018,,,Part of EUR108 m deal; from German production line; Spike-LR2 version; delivery planned 2020-2023
Israel,Latvia,,Spike-SR,Anti-tank missile,2018,,,Part of EUR108 m deal; from German production line; delivery planned 2020-2023
Israel,Slovakia,100,Spike-MR/LR,Anti-tank missile,2020,,,From German production line; Spike-LR2 version; incl for AMV IFV; delivery planned 2021
Israel,Australia,,Spike-LR-2,Anti-tank missiles,-2018,,,'Land 159 Lethality System' programme (part of 'Land-400 Phase-2' programme); for Boxer IFV; incl production under licence in Australia; selected 2018 but not yet ordered by end-2020
Israel,Austria,-34,WS4 Panther,APC turret,-2017,2018-2020,-34,Produced in Austria; for Pandur EVO APCs
Israel,Azerbaijan,-100,Orbiter-1K,Loitering munition,2016,2016-2020,-100,Incl assembly/production in Azerbaijan as Zerba
Israel,Brazil,-216,UT-25/UT-30,IFV turret,-2010,2014-2020,-70,$260 m deal; UT-30 version; for VBTP-MR IFV produced in Brazil
Israel,Czechia,8,EL/M-2084,Air search radar,2019,,,$125 m deal; delivery planned 2021-2023
Israel,Germany,1000,Spike-MR/LR,Anti-tank missile,2017,2018-2020,-200,EUR158 m deal (incl EUR112 m for missiles and EUR26 m for launchers); produced under licence in Germany; Spike-LR version; German designation MELLS
Israel,Germany,1500,Spike-MR/LR,Anti-tank missile,2019,,,Produced under licence in Germany; Spike-LR version; German designation MELLS; for Puma IFV
Israel,India,-1000,Barak-ER,SAM,2009,,,Part of USD1.6 b 'MR-SAM' programme; produced under licence in India as Barak-2LR; for Barak-MX (MR-SAM) SAM system
Israel,India,-750,Barak-LRAD,SAM,2009,2016-2020,-500,'MR-SAM' programme; incl for 7 Kolkata (Project-15A) destroyers and 1 Vikramaditya (Gorshkov) aircraft carrier; produced under licence in India as Barak-2MR
Israel,India,,Barak-MX,SAM system,-2009,,,INR170 b ($2.5 b) deal; produced under licence in India as MR-SAM
Israel,India,,Barak-LRAD,SAM,-2017,,,Incl production under licence in India as Barak-2MR; for Barak-MX (MR-SAM) SAM system
Israel,India,-300,Barak-ER,SAM,-2019,,,For 4 Visakhapatnam (Project-15B) destroyers produced in India; incl production under licence in India as LR-SAM
Israel,India,4,Barak-MX,Naval SAM system,-2019,,,Incl production under licence in India; for 4 Visakhapatnam (Project-15B) destroyers produced in India; selected but possibly not yet ordered by end-2020
Israel,India,54,EL/M-2052,Combat ac radar,2020,,,For modernization of 54 Jaguar combat aircraft; incl production of components in India
Israel,Poland,1000,Spike-MR/LR,Anti-tank missile,2015,2018-2020,-255,PLN602 m ($152 m) deal (incl production in Poland); Spike-LR version for AMV (Rosomak) IFV
Israel,Slovakia,17,EL/M-2084,Air search radar,-2020,,,EUR148 m deal (incl production of components in Slovakia); delivery planned 2023-2025; selected 2020 but contract not yet signed end-2020
Israel,Azerbaijan,-250,SkyStriker,Loitering munition,-2016,2018-2020,-250,
Israel,Azerbaijan,-100,Spike-NLOS,SSM/ASM,-2019,2019-2020,-100,Incl for Mi-17 helicopters and SandCat APV
