supplier,recipient,no_ordered,weapon_designation,weapon_description,year_of_order,year_of_delivery,no_delivered,comments
Canada,Indonesia,3,PT6,Turboprop/turboshaft,2018,,,For 3 KT-1 trainer aircraft from South Korea; PT-6A-62A version
Canada,Ireland,4,PW100,Turboprop/turboshaft,2019,,,For 2 C295MPA maritime patrol aircraft from Spain
Canada,Nigeria,-12,PT6,Turboprop/turboshaft,2018,,,For 12 EMB-314 trainer/combat aircraft from Brazil
Canada,Philippines,-6,PT6,Turboprop/turboshaft,-2017,2020,-6,For 6 EMB-314 trainer/combat aircraft from Brazil
Canada,Saudi Arabia,385,LAV-700,APC,2014,2018-2020,-370,"Part of CAD14 b ($10-11) b deal; incl ambulance, ARV, command post and VIP transport versions; delivery planned 2018-2023"
Canada,Saudi Arabia,119,LAV-700 AT,Tank destroyer,2014,2018-2020,-27,Part of CAD14 b ($10-11) b deal
Canada,Saudi Arabia,119,LAV-700 FSV,AFSV,2014,2019-2020,-62,Part of CAD14 b ($10-11) b deal
Canada,Saudi Arabia,119,LAV-700 IFV,IFV,2014,2019-2020,-86,Part of CAD14 b ($10-11) b deal
Canada,Senegal,-4,PT6,Turboprop/turboshaft,2016,2020,-4,For 4 KT-1 trainer aircraft from South Korea
Canada,Spain,-24,PT6,Turboprop/turboshaft,2020,,,For 24 PC-21 trainer aircraft from Switzerland
Canada,Turkey,-16,PW100,Turboprop/turboshaft,2005,2013-2020,-6,PW127M version for 6 ATR-72MP ASW aircraft and 2 ATR-72 transport aircraft from Italy
Canada,Turkey,-12,PT6,Turboprop/turboshaft,2017,,,For 12 Hurkus-C trainer/combat aircraft produced in Turkey
Canada,Turkey,2,Global Express,Transport aircraft,2018,,,Global-6000 version; modified in Turkey to EW aircraft; delivery planned from 2023
Canada,UAE,2,Global Express,Transport aircraft,2015,2020,2,Part of $1.3 b deal; Global-6000 version; for modification to AEW&C/AGS aircraft in Sweden (with Swedish Erieye system)
Canada,UAE,1,Global Express,Transport aircraft,2017,,,Part of AED866 m ($238 m) deal; Global-6000 version; for modification to AEW&C/AGS aircraft in Sweden (with Swedish Erieye system)
Canada,UAE,-2,Challenger-650,Light transport ac,2019,,,Modified in UAE for maritime patrol and SAR; delivery planned 2021-2022
Canada,UAE,-24,PT6,Turboprop/turboshaft,2019,,,PT-6A-68 version; for 24 B-250 trainer/combat aircraft from Brazil
Canada,UAE,2,Global Express,Transport aircraft,2020,,,For modification to AEW&C/AGS aircraft in Sweden (with Swedish Erieye system)
Canada,Uruguay,1,Bell-206/OH-58,Light helicopter,-2019,2020,1,Second-hand
China,Bangladesh,5,Padma,Patrol craft,2019,,,Produced under licence in Bangladesh
China,Pakistan,. .,Red Arrow-8,Anti-tank missile,1989,1990-2020,-25350,Produced under licence in Pakistan as Baktar Shikan
China,Pakistan,. .,QW-1 Vanguard,Portable SAM,-1993,1994-2020,-2450,Produced under licence in Pakistan as Anza-2
China,Pakistan,-530,Type-90-2M/MBT-2000,Tank,-1998,2001-2020,-385,Produced under licence in Pakistan as Al-Khalid and Al-Khalid-I (or Al-Khalid-1)
China,Pakistan,-50,JF-17 Block-3,FGA aircraft,-2012,,,JF-17 Block-3 version; produced under licence in Pakistan; delivery probably planned from 2022
China,Pakistan,2,Azmat,Corvette,-2013,2017-2020,2,Produced under licence in Pakistan
China,Pakistan,2,Kashmir,OPV,2015,2018,1,For coast guard; incl 1 produced under licence in Pakistan; delivery probably planned 2018-2021
China,Pakistan,8,Type-041,Submarine,-2015,,,Probably S-20 version; incl 4 produced under licence in Pakistan; delivery planned 2022-2028
China,Pakistan,26,JF-17 Thunder/FC-1,FGA aircraft,2018,2019-2020,-26,JF-17B trainer/combat version; incl 22 produced under licence in Pakistan
China,Algeria,-100,Red Arrow-12,Anti-tank missile,-2019,2020,-100,
China,Algeria,1,Pattani,OPV/frigate,2020,,,Designation uncertain (reported as '96m corvette'); delivery planned 2023
China,Angola,-12,K-8,Trainer/combat ac,-2018,2020,-12,K-8W version
China,Bangladesh,-100,FN-6,Portable SAM,-2015,2017-2020,-100,FN-16 version; possibly incl assembly in Banghladesh
China,Bangladesh,7,K-8,Trainer/combat ac,2018,2020,7,K-8W version
China,Bangladesh,-44,VT-5,Light tank,2019,,,
China,Egypt,-32,Wing Loong-2,Armed UAV,2018,,,
China,Indonesia,-40,AR-1,ASM,-2017,,,For CH-4 UAV
China,Indonesia,-40,AR-2,Anti-tank missile/ASM,-2017,,,For CH-4 UAV
China,Indonesia,-8,CH-4,Armed UAV,-2017,2019-2020,-8,
China,Kazakhstan,4,Y-8,Transport aircraft,2018,2018,-1,Y-8F-200WA version; for National Guard
China,Malaysia,4,LMS-68,OPV,2017,2019,1,MYR1 b deal ($256 m; originally ordered for MYR1.2 b incl production under licence in Malaysia but changed to all produced in China); delivery planned 2019-2021
China,Myanmar,-30,C-802,Anti-ship missile,-2015,2018-2019,-10,C-802AK version; for JF-17 combat aircraft
China,Myanmar,-16,JF-17 Thunder/FC-1,FGA aircraft,-2015,2018-2019,-6,Incl 2 JF-17B trainer version
China,Myanmar,-60,PL-12/SD-10,BVRAAM,-2015,2018-2019,-24,For JF-17 combat aircraft
China,Myanmar,-100,PL-5E,SRAAM,-2015,2018-2019,-40,For JF-17 combat aircraft; PL-5E-II version
China,Nigeria,-3,SH-2 122mm,Self-propelled gun,-2019,2020,-3,
China,Nigeria,-2,SH-5 105mm,Self-propelled gun,-2019,2020,-2,
China,Nigeria,-6,VT-4,Tank,-2019,2020,-6,
China,Nigeria,-6,ZTL-09,AFSV,-2019,2020,-6,
China,Nigeria,2,CH-3,Armed UAV,2020,,,
China,Nigeria,-4,CH-4,Armed UAV,-2020,2020,-2,
China,Nigeria,2,Wing Loong-2,Armed UAV,2020,2020,2,
China,Pakistan,-750,PL-12/SD-10,BVRAAM,-2006,2010-2020,-525,For JF-17 combat aircraft
China,Pakistan,-1100,PL-5E,SRAAM,-2006,2009-2020,-760,For JF-17 combat aircraft; PL-5E-II version
China,Pakistan,-100,C-802,Anti-ship missile,-2008,2012-2020,-72,For JF-17 combat aircraft
China,Pakistan,-1000,LS-3,Guided bomb,-2008,2010-2020,-750,For JF-17 combat aircraft
China,Pakistan,-1000,LS-6-500,Guided bomb,-2008,2010-2019,-700,For JF-17 combat aircraft
China,Pakistan,-1000,LT-2,Guided bomb,-2008,2010-2020,-725,For JF-17 combat aircraft
China,Pakistan,-150,WMD-7,Aircraft EO system,-2008,2009-2020,-115,For JF-17 combat aircraft
China,Pakistan,-30,C-802,Anti-ship missile,-2013,2017-2020,-30,For Azmat FAC
China,Pakistan,-80,C-802,Anti-ship missile,-2015,,,For 6 Type-041 (S-20) submarines
China,Pakistan,-100,SET-65 Yenot-2,ASW torpedo,-2015,,,Yu-3 version; for Type-041 submarines
