,Last updated 4th Jan 2019,,
,Electric Vehicle Registration Counts by State,,
state, registration count ,source,URL
Alabama,  900 ,US Department of Energy,https://afdc.energy.gov/data/10962
Alaska,  370 ,US Department of Energy,https://afdc.energy.gov/data/10962
Arizona,"  9,820 ",US Department of Energy,https://afdc.energy.gov/data/10962
Arkansas,  270 ,US Department of Energy,https://afdc.energy.gov/data/10962
California,"  179,600 ",US Department of Energy,https://afdc.energy.gov/data/10962
Colorado,"  7,750 ",US Department of Energy,https://afdc.energy.gov/data/10962
Connecticut,"  2,710 ",US Department of Energy,https://afdc.energy.gov/data/10962
Delaware,  400 ,US Department of Energy,https://afdc.energy.gov/data/10962
District Of Columbia,  660 ,US Department of Energy,https://afdc.energy.gov/data/10962
Florida,"  16,600 ",US Department of Energy,https://afdc.energy.gov/data/10962
Georgia,"  13,530 ",US Department of Energy,https://afdc.energy.gov/data/10962
Hawaii,"  5,360 ",US Department of Energy,https://afdc.energy.gov/data/10962
Idaho,  710 ,US Department of Energy,https://afdc.energy.gov/data/10962
Illinois,"  7,950 ",US Department of Energy,https://afdc.energy.gov/data/10962
Indiana,"  1,740 ",US Department of Energy,https://afdc.energy.gov/data/10962
Iowa,  610 ,US Department of Energy,https://afdc.energy.gov/data/10962
Kansas,  970 ,US Department of Energy,https://afdc.energy.gov/data/10962
Kentucky,  730 ,US Department of Energy,https://afdc.energy.gov/data/10962
Louisiana,  770 ,US Department of Energy,https://afdc.energy.gov/data/10962
Maine,  470 ,US Department of Energy,https://afdc.energy.gov/data/10962
Maryland,"  4,590 ",US Department of Energy,https://afdc.energy.gov/data/10962
Massachusetts,"  5,520 ",US Department of Energy,https://afdc.energy.gov/data/10962
Michigan,"  2,730 ",US Department of Energy,https://afdc.energy.gov/data/10962
Minnesota,"  2,730 ",US Department of Energy,https://afdc.energy.gov/data/10962
Mississippi,  260 ,US Department of Energy,https://afdc.energy.gov/data/10962
Missouri,"  2,110 ",US Department of Energy,https://afdc.energy.gov/data/10962
Montana,  330 ,US Department of Energy,https://afdc.energy.gov/data/10962
Nebraska,  520 ,US Department of Energy,https://afdc.energy.gov/data/10962
Nevada,"  3,030 ",US Department of Energy,https://afdc.energy.gov/data/10962
New Hampshire,  650 ,US Department of Energy,https://afdc.energy.gov/data/10962
New Jersey,"  6,610 ",US Department of Energy,https://afdc.energy.gov/data/10962
New Mexico,  780 ,US Department of Energy,https://afdc.energy.gov/data/10962
New York,"  10,940 ",US Department of Energy,https://afdc.energy.gov/data/10962
North Carolina,"  4,540 ",US Department of Energy,https://afdc.energy.gov/data/10962
North Dakota,  140 ,US Department of Energy,https://afdc.energy.gov/data/10962
Ohio,"  3,790 ",US Department of Energy,https://afdc.energy.gov/data/10962
Oklahoma,"  1,380 ",US Department of Energy,https://afdc.energy.gov/data/10962
Oregon,"  9,550 ",US Department of Energy,https://afdc.energy.gov/data/10962
Pennsylvania,"  4,390 ",US Department of Energy,https://afdc.energy.gov/data/10962
Rhode Island,  380 ,US Department of Energy,https://afdc.energy.gov/data/10962
South Carolina,"  1,220 ",US Department of Energy,https://afdc.energy.gov/data/10962
South Dakota,  180 ,US Department of Energy,https://afdc.energy.gov/data/10962
Tennessee,"  2,970 ",US Department of Energy,https://afdc.energy.gov/data/10962
Texas,"  14,390 ",US Department of Energy,https://afdc.energy.gov/data/10962
Utah,"  3,410 ",US Department of Energy,https://afdc.energy.gov/data/10962
Vermont,  750 ,US Department of Energy,https://afdc.energy.gov/data/10962
Virginia,"  4,290 ",US Department of Energy,https://afdc.energy.gov/data/10962
Washington,"  19,900 ",US Department of Energy,https://afdc.energy.gov/data/10962
West Virginia,  140 ,US Department of Energy,https://afdc.energy.gov/data/10962
Wisconsin,"  2,700 ",US Department of Energy,https://afdc.energy.gov/data/10962
Wyoming,  100 ,US Department of Energy,https://afdc.energy.gov/data/10962
Total,"  366,940 ",US Department of Energy,https://afdc.energy.gov/data/10962
