"group","yfield","xfield"
"Netherlands",4231,1667
"U.S.A.",0,1667
"Denmark/Baltic",0,1667
"Portugal",12731,1668
"Great Britain",10747,1668
"France",0,1668
"Spain",0,1668
"Netherlands",6877,1668
"U.S.A.",0,1668
"Denmark/Baltic",0,1668
"Portugal",10882,1669
"Great Britain",6946,1669
"France",0,1669
"Spain",0,1669
"Netherlands",11476,1669
"U.S.A.",0,1669
"Denmark/Baltic",0,1669
"Portugal",12025,1670
"Great Britain",3014,1670
"France",1108,1670
"Spain",0,1670
"Netherlands",6559,1670
"U.S.A.",0,1670
"Denmark/Baltic",0,1670
"Portugal",6514,1671
"Great Britain",5767,1671
"France",1336,1671
"Spain",0,1671
"Netherlands",9964,1671
"U.S.A.",0,1671
"Denmark/Baltic",0,1671
"Portugal",7544,1672
"Great Britain",3932,1672
"France",1518,1672
"Spain",0,1672
"Netherlands",5458,1672
"U.S.A.",0,1672
"Denmark/Baltic",0,1672
"Portugal",10084,1673
"Great Britain",3801,1673
"France",351,1673
"Spain",0,1673
"Netherlands",4001,1673
"U.S.A.",0,1673
"Denmark/Baltic",0,1673
"Portugal",10143,1674
"Great Britain",4848,1674
"France",0,1674
"Spain",330,1674
"Netherlands",3925,1674
"U.S.A.",0,1674
"Denmark/Baltic",0,1674
"Portugal",10084,1675
"Great Britain",9830,1675
"France",702,1675
"Spain",104,1675
"Netherlands",2603,1675
"U.S.A.",0,1675
"Denmark/Baltic",0,1675
"Portugal",10084,1676
"Great Britain",8781,1676
"France",0,1676
"Spain",0,1676
"Netherlands",4345,1676
"U.S.A.",0,1676
"Denmark/Baltic",0,1676
"Portugal",10084,1677
"Great Britain",5111,1677
"France",1094,1677
"Spain",960,1677
"Netherlands",3648,1677
"U.S.A.",0,1677
"Denmark/Baltic",0,1677
"Portugal",9064,1678
"Great Britain",11402,1678
"France",702,1678
"Spain",1406,1678
"Netherlands",1634,1678
"U.S.A.",66,1678
"Denmark/Baltic",0,1678
"Portugal",9712,1679
"Great Britain",7602,1679
"France",3366,1679
"Spain",801,1679
"Netherlands",3287,1679
"U.S.A.",371,1679
"Denmark/Baltic",316,1679
"Portugal",9347,1680
"Great Britain",10616,1680
"France",81,1680
"Spain",400,1680
"Netherlands",5088,1680
"U.S.A.",186,1680
"Denmark/Baltic",0,1680
"Portugal",9064,1681
"Great Britain",16251,1681
"France",1405,1681
"Spain",1493,1681
"Netherlands",5557,1681
"U.S.A.",453,1681
"Denmark/Baltic",0,1681
"Portugal",9064,1682
"Great Britain",13499,1682
"France",2337,1682
"Spain",0,1682
"Netherlands",3025,1682
"U.S.A.",0,1682
"Denmark/Baltic",0,1682
"Portugal",9064,1683
"Great Britain",17304,1683
"France",1405,1683
"Spain",0,1683
"Netherlands",3792,1683
"U.S.A.",0,1683
"Denmark/Baltic",584,1683
"Portugal",8536,1684
"Great Britain",9962,1684
"France",1125,1684
"Spain",0,1684
"Netherlands",3128,1684
"U.S.A.",0,1684
"Denmark/Baltic",0,1684
"Portugal",10181,1685
"Great Britain",11011,1685
"France",1214,1685
"Spain",400,1685
"Netherlands",5393,1685
"U.S.A.",300,1685
"Denmark/Baltic",0,1685
"Portugal",5386,1686
"Great Britain",11928,1686
"France",1727,1686
"Spain",0,1686
"Netherlands",3760,1686
"U.S.A.",0,1686
"Denmark/Baltic",250,1686
"Portugal",7108,1687
"Great Britain",12714,1687
"France",1405,1687
"Spain",0,1687
"Netherlands",6912,1687
"U.S.A.",221,1687
"Denmark/Baltic",599,1687
"Portugal",8130,1688
"Great Britain",8650,1688
"France",2093,1688
"Spain",0,1688
"Netherlands",5867,1688
"U.S.A.",0,1688
"Denmark/Baltic",1338,1688
"Portugal",9064,1689
"Great Britain",7733,1689
"France",842,1689
"Spain",0,1689
"Netherlands",2581,1689
"U.S.A.",0,1689
"Denmark/Baltic",0,1689
"Portugal",11016,1690
"Great Britain",3141,1690
"France",728,1690
"Spain",400,1690
"Netherlands",467,1690
"U.S.A.",0,1690
"Denmark/Baltic",958,1690
"Portugal",12568,1691
"Great Britain",7995,1691
"France",570,1691
"Spain",0,1691
"Netherlands",3462,1691
"U.S.A.",0,1691
"Denmark/Baltic",1157,1691
"Portugal",11997,1692
"Great Britain",11664,1692
"France",0,1692
"Spain",0,1692
"Netherlands",1770,1692
"U.S.A.",0,1692
"Denmark/Baltic",3017,1692
"Portugal",6908,1693
"Great Britain",9174,1693
"France",1646,1693
"Spain",0,1693
"Netherlands",3197,1693
"U.S.A.",227,1693
"Denmark/Baltic",4831,1693
"Portugal",7650,1694
"Great Britain",10223,1694
"France",364,1694
"Spain",0,1694
"Netherlands",3127,1694
"U.S.A.",0,1694
"Denmark/Baltic",2516,1694
"Portugal",12066,1695
"Great Britain",8650,1695
"France",517,1695
"Spain",0,1695
"Netherlands",1822,1695
"U.S.A.",227,1695
"Denmark/Baltic",1011,1695
"Portugal",17462,1696
"Great Britain",7975,1696
"France",369,1696
"Spain",0,1696
"Netherlands",1169,1696
"U.S.A.",0,1696
"Denmark/Baltic",3034,1696
"Portugal",23887,1697
"Great Britain",10180,1697
"France",194,1697
"Spain",0,1697
"Netherlands",2253,1697
"U.S.A.",227,1697
"Denmark/Baltic",363,1697
"Portugal",29107,1698
"Great Britain",9385,1698
"France",2434,1698
"Spain",0,1698
"Netherlands",3912,1698
"U.S.A.",1011,1698
"Denmark/Baltic",1693,1698
"Portugal",18308,1699
"Great Britain",16180,1699
"France",1821,1699
"Spain",0,1699
"Netherlands",3883,1699
"U.S.A.",0,1699
"Denmark/Baltic",2777,1699
"Portugal",22415,1700
"Great Britain",25069,1700
"France",2046,1700
"Spain",0,1700
"Netherlands",2768,1700
"U.S.A.",38,1700
"Denmark/Baltic",1242,1700
"Portugal",18240,1701
"Great Britain",26764,1701
"France",2426,1701
"Spain",0,1701
"Netherlands",7606,1701
"U.S.A.",0,1701
"Denmark/Baltic",718,1701
"Portugal",18273,1702
"Great Britain",22763,1702
"France",1054,1702
"Spain",0,1702
"Netherlands",3147,1702
"U.S.A.",0,1702
"Denmark/Baltic",476,1702
"Portugal",18241,1703
"Great Britain",10154,1703
"France",4202,1703
"Spain",0,1703
"Netherlands",1621,1703
"U.S.A.",0,1703
"Denmark/Baltic",258,1703
"Portugal",16540,1704
"Great Britain",16036,1704
"France",2095,1704
"Spain",0,1704
"Netherlands",2175,1704
"U.S.A.",0,1704
"Denmark/Baltic",349,1704
"Portugal",13810,1705
"Great Britain",13907,1705
"France",5049,1705
"Spain",0,1705
"Netherlands",4829,1705
"U.S.A.",37,1705
"Denmark/Baltic",820,1705
"Portugal",15434,1706
"Great Britain",13232,1706
"France",914,1706
"Spain",0,1706
"Netherlands",1966,1706
"U.S.A.",0,1706
"Denmark/Baltic",0,1706
"Portugal",25349,1707
"Great Britain",7982,1707
"France",1600,1707
"Spain",0,1707
"Netherlands",4475,1707
"U.S.A.",0,1707
"Denmark/Baltic",447,1707
"Portugal",16111,1708
"Great Britain",18068,1708
"France",2373,1708
"Spain",0,1708
"Netherlands",3375,1708
"U.S.A.",0,1708
"Denmark/Baltic",0,1708
"Portugal",17043,1709
"Great Britain",9388,1709
"France",2632,1709
"Spain",0,1709
"Netherlands",2610,1709
"U.S.A.",0,1709
"Denmark/Baltic",445,1709
"Portugal",16099,1710
"Great Britain",13582,1710
"France",4851,1710
"Spain",0,1710
"Netherlands",3785,1710
"U.S.A.",83,1710
"Denmark/Baltic",806,1710
"Portugal",17077,1711
"Great Britain",13468,1711
"France",3382,1711
"Spain",0,1711
"Netherlands",2273,1711
"U.S.A.",83,1711
"Denmark/Baltic",0,1711
"Portugal",18244,1712
"Great Britain",11128,1712
"France",2688,1712
"Spain",0,1712
"Netherlands",2067,1712
"U.S.A.",120,1712
"Denmark/Baltic",0,1712
"Portugal",22639,1713
"Great Britain",14303,1713
"France",4375,1713
"Spain",0,1713
"Netherlands",596,1713
"U.S.A.",0,1713
"Denmark/Baltic",0,1713
"Portugal",20764,1714
"Great Britain",16563,1714
"France",9441,1714
"Spain",0,1714
"Netherlands",2778,1714
"U.S.A.",0,1714
"Denmark/Baltic",170,1714
"Portugal",19115,1715
"Great Britain",16110,1715
"France",10173,1715
"Spain",0,1715
"Netherlands",2944,1715
"U.S.A.",212,1715
"Denmark/Baltic",265,1715
"Portugal",21454,1716
"Great Britain",14641,1716
"France",7983,1716
"Spain",0,1716
"Netherlands",2780,1716
"U.S.A.",65,1716
"Denmark/Baltic",0,1716
"Portugal",19660,1717
"Great Britain",19526,1717
"France",5130,1717
"Spain",0,1717
"Netherlands",2839,1717
"U.S.A.",657,1717
"Denmark/Baltic",0,1717
"Portugal",22391,1718
"Great Britain",22913,1718
"France",4683,1718
"Spain",0,1718
"Netherlands",1615,1718
"U.S.A.",456,1718
"Denmark/Baltic",216,1718
"Portugal",17550,1719
"Great Britain",22203,1719
"France",5429,1719
"Spain",0,1719
"Netherlands",2986,1719
"U.S.A.",274,1719
"Denmark/Baltic",0,1719
"Portugal",21691,1720
"Great Britain",16555,1720
"France",6993,1720
"Spain",0,1720
"Netherlands",1587,1720
"U.S.A.",154,1720
"Denmark/Baltic",0,1720
"Portugal",15875,1721
"Great Britain",14830,1721
"France",8863,1721
"Spain",0,1721
"Netherlands",1595,1721
"U.S.A.",0,1721
"Denmark/Baltic",0,1721
"Portugal",15129,1722
"Great Britain",14404,1722
"France",10370,1722
"Spain",0,1722
"Netherlands",2807,1722
"U.S.A.",186,1722
"Denmark/Baltic",206,1722
"Portugal",17764,1723
"Great Britain",15658,1723
"France",3425,1723
"Spain",0,1723
"Netherlands",3415,1723
"U.S.A.",104,1723
"Denmark/Baltic",0,1723
"Portugal",27982,1724
"Great Britain",23100,1724
"France",5294,1724
"Spain",0,1724
"Netherlands",3415,1724
"U.S.A.",0,1724
"Denmark/Baltic",657,1724
"Portugal",21973,1725
"Great Britain",23318,1725
"France",5514,1725
"Spain",0,1725
"Netherlands",4530,1725
"U.S.A.",846,1725
"Denmark/Baltic",0,1725
"Portugal",24418,1726
"Great Britain",25050,1726
"France",6759,1726
"Spain",0,1726
"Netherlands",4829,1726
"U.S.A.",859,1726
"Denmark/Baltic",0,1726
"Portugal",24949,1727
"Great Britain",21589,1727
"France",7585,1727
"Spain",0,1727
"Netherlands",3772,1727
"U.S.A.",334,1727
"Denmark/Baltic",519,1727
"Portugal",22761,1728
"Great Britain",24695,1728
"France",7593,1728
"Spain",0,1728
"Netherlands",1957,1728
"U.S.A.",954,1728
"Denmark/Baltic",55,1728
"Portugal",19755,1729
"Great Britain",31945,1729
"France",9721,1729
"Spain",0,1729
"Netherlands",3417,1729
"U.S.A.",1519,1729
"Denmark/Baltic",126,1729
"Portugal",18521,1730
"Great Britain",31603,1730
"France",9230,1730
"Spain",0,1730
"Netherlands",2056,1730
"U.S.A.",562,1730
"Denmark/Baltic",0,1730
"Portugal",20253,1731
"Great Britain",30486,1731
"France",7747,1731
"Spain",0,1731
"Netherlands",2381,1731
"U.S.A.",1147,1731
"Denmark/Baltic",55,1731
"Portugal",15915,1732
"Great Britain",30163,1732
"France",8128,1732
"Spain",0,1732
"Netherlands",3571,1732
"U.S.A.",2437,1732
"Denmark/Baltic",120,1732
"Portugal",19576,1733
"Great Britain",20095,1733
"France",7164,1733
"Spain",0,1733
"Netherlands",3630,1733
"U.S.A.",1727,1733
"Denmark/Baltic",443,1733
"Portugal",23911,1734
"Great Britain",21157,1734
"France",4270,1734
"Spain",0,1734
"Netherlands",4680,1734
"U.S.A.",676,1734
"Denmark/Baltic",266,1734
"Portugal",22281,1735
"Great Britain",16726,1735
"France",7345,1735
"Spain",0,1735
"Netherlands",5017,1735
"U.S.A.",1228,1735
"Denmark/Baltic",0,1735
"Portugal",22477,1736
"Great Britain",22113,1736
"France",6729,1736
"Spain",0,1736
"Netherlands",3900,1736
"U.S.A.",2886,1736
"Denmark/Baltic",178,1736
"Portugal",19630,1737
"Great Britain",33683,1737
"France",10086,1737
"Spain",0,1737
"Netherlands",1903,1737
"U.S.A.",2057,1737
"Denmark/Baltic",0,1737
"Portugal",22457,1738
"Great Britain",18790,1738
"France",12371,1738
"Spain",0,1738
"Netherlands",1828,1738
"U.S.A.",1658,1738
"Denmark/Baltic",13,1738
"Portugal",18272,1739
"Great Britain",28971,1739
"France",17632,1739
"Spain",0,1739
"Netherlands",1992,1739
"U.S.A.",2177,1739
"Denmark/Baltic",50,1739
"Portugal",20434,1740
"Great Britain",21745,1740
"France",19258,1740
"Spain",0,1740
"Netherlands",555,1740
"U.S.A.",1511,1740
"Denmark/Baltic",53,1740
"Portugal",15740,1741
"Great Britain",19529,1741
"France",22871,1741
"Spain",0,1741
"Netherlands",3025,1741
"U.S.A.",1320,1741
"Denmark/Baltic",0,1741
"Portugal",25584,1742
"Great Britain",15515,1742
"France",18192,1742
"Spain",0,1742
"Netherlands",2363,1742
"U.S.A.",1139,1742
"Denmark/Baltic",63,1742
"Portugal",18847,1743
"Great Britain",13990,1743
"France",18666,1743
"Spain",0,1743
"Netherlands",3803,1743
"U.S.A.",1397,1743
"Denmark/Baltic",0,1743
"Portugal",26675,1744
"Great Britain",19724,1744
"France",17900,1744
"Spain",0,1744
"Netherlands",4194,1744
"U.S.A.",1297,1744
"Denmark/Baltic",119,1744
"Portugal",19754,1745
"Great Britain",6919,1745
"France",3841,1745
"Spain",0,1745
"Netherlands",4601,1745
"U.S.A.",495,1745
"Denmark/Baltic",0,1745
"Portugal",19966,1746
"Great Britain",10247,1746
"France",0,1746
"Spain",0,1746
"Netherlands",3946,1746
"U.S.A.",747,1746
"Denmark/Baltic",307,1746
"Portugal",25062,1747
"Great Britain",21816,1747
"France",779,1747
"Spain",0,1747
"Netherlands",4873,1747
"U.S.A.",836,1747
"Denmark/Baltic",641,1747
"Portugal",23933,1748
"Great Britain",22419,1748
"France",3526,1748
"Spain",0,1748
"Netherlands",3454,1748
"U.S.A.",1220,1748
"Denmark/Baltic",356,1748
"Portugal",23064,1749
"Great Britain",23860,1749
"France",13219,1749
"Spain",0,1749
"Netherlands",4320,1749
"U.S.A.",1369,1749
"Denmark/Baltic",1080,1749
"Portugal",22460,1750
"Great Britain",21214,1750
"France",18482,1750
"Spain",0,1750
"Netherlands",3028,1750
"U.S.A.",2452,1750
"Denmark/Baltic",349,1750
"Portugal",18605,1751
"Great Britain",20118,1751
"France",15892,1751
"Spain",0,1751
"Netherlands",3376,1751
"U.S.A.",3569,1751
"Denmark/Baltic",514,1751
"Portugal",23450,1752
"Great Britain",25946,1752
"France",16877,1752
"Spain",284,1752
"Netherlands",2699,1752
"U.S.A.",2147,1752
"Denmark/Baltic",1007,1752
"Portugal",24158,1753
"Great Britain",25331,1753
"France",16177,1753
"Spain",0,1753
"Netherlands",2093,1753
"U.S.A.",2068,1753
"Denmark/Baltic",697,1753
"Portugal",19883,1754
"Great Britain",27500,1754
"France",19344,1754
"Spain",0,1754
"Netherlands",5536,1754
"U.S.A.",1713,1754
"Denmark/Baltic",583,1754
"Portugal",21069,1755
"Great Britain",31210,1755
"France",22740,1755
"Spain",0,1755
"Netherlands",3889,1755
"U.S.A.",2769,1755
"Denmark/Baltic",252,1755
"Portugal",25667,1756
"Great Britain",23838,1756
"France",7710,1756
"Spain",0,1756
"Netherlands",4822,1756
"U.S.A.",1810,1756
"Denmark/Baltic",1133,1756
"Portugal",22090,1757
"Great Britain",20490,1757
"France",386,1757
"Spain",0,1757
"Netherlands",4276,1757
"U.S.A.",2988,1757
"Denmark/Baltic",1134,1757
"Portugal",22320,1758
"Great Britain",23712,1758
"France",0,1758
"Spain",0,1758
"Netherlands",6569,1758
"U.S.A.",2160,1758
"Denmark/Baltic",649,1758
"Portugal",19932,1759
"Great Britain",23446,1759
"France",0,1759
"Spain",0,1759
"Netherlands",4844,1759
"U.S.A.",1772,1759
"Denmark/Baltic",997,1759
"Portugal",18760,1760
"Great Britain",33757,1760
"France",0,1760
"Spain",0,1760
"Netherlands",2940,1760
"U.S.A.",2069,1760
"Denmark/Baltic",1191,1760
"Portugal",21262,1761
"Great Britain",36924,1761
"France",0,1761
"Spain",0,1761
"Netherlands",5135,1761
"U.S.A.",3873,1761
"Denmark/Baltic",1064,1761
"Portugal",20902,1762
"Great Britain",28312,1762
"France",0,1762
"Spain",0,1762
"Netherlands",5874,1762
"U.S.A.",3401,1762
"Denmark/Baltic",1733,1762
"Portugal",18857,1763
"Great Britain",28672,1763
"France",2037,1763
"Spain",0,1763
"Netherlands",6198,1763
"U.S.A.",4126,1763
"Denmark/Baltic",0,1763
"Portugal",17257,1764
"Great Britain",40815,1764
"France",17395,1764
"Spain",0,1764
"Netherlands",5224,1764
"U.S.A.",5208,1764
"Denmark/Baltic",509,1764
"Portugal",26246,1765
"Great Britain",36371,1765
"France",17872,1765
"Spain",0,1765
"Netherlands",6607,1765
"U.S.A.",4580,1765
"Denmark/Baltic",569,1765
"Portugal",24275,1766
"Great Britain",42429,1766
"France",21835,1766
"Spain",822,1766
"Netherlands",6009,1766
"U.S.A.",2922,1766
"Denmark/Baltic",0,1766
"Portugal",23875,1767
"Great Britain",34124,1767
"France",20100,1767
"Spain",1129,1767
"Netherlands",6927,1767
"U.S.A.",3551,1767
"Denmark/Baltic",233,1767
"Portugal",21038,1768
"Great Britain",33862,1768
"France",19130,1768
"Spain",1261,1768
"Netherlands",5648,1768
"U.S.A.",2575,1768
"Denmark/Baltic",1017,1768
"Portugal",19337,1769
"Great Britain",36782,1769
"France",18408,1769
"Spain",743,1769
"Netherlands",5378,1769
"U.S.A.",3318,1769
"Denmark/Baltic",295,1769
"Portugal",19606,1770
"Great Britain",42493,1770
"France",21440,1770
"Spain",0,1770
"Netherlands",6797,1770
"U.S.A.",3889,1770
"Denmark/Baltic",688,1770
"Portugal",19188,1771
"Great Britain",42057,1771
"France",13840,1771
"Spain",0,1771
"Netherlands",8249,1771
"U.S.A.",3816,1771
"Denmark/Baltic",536,1771
"Portugal",20534,1772
"Great Britain",42528,1772
"France",19782,1772
"Spain",0,1772
"Netherlands",6878,1772
"U.S.A.",4868,1772
"Denmark/Baltic",987,1772
"Portugal",19969,1773
"Great Britain",38971,1773
"France",17014,1773
"Spain",0,1773
"Netherlands",6418,1773
"U.S.A.",5651,1773
"Denmark/Baltic",709,1773
"Portugal",19969,1774
"Great Britain",46702,1774
"France",19407,1774
"Spain",0,1774
"Netherlands",5282,1774
"U.S.A.",6717,1774
"Denmark/Baltic",415,1774
"Portugal",20444,1775
"Great Britain",45657,1775
"France",18533,1775
"Spain",0,1775
"Netherlands",4662,1775
"U.S.A.",3016,1775
"Denmark/Baltic",596,1775
"Portugal",21414,1776
"Great Britain",38217,1776
"France",24336,1776
"Spain",0,1776
"Netherlands",2420,1776
"U.S.A.",603,1776
"Denmark/Baltic",156,1776
"Portugal",15432,1777
"Great Britain",21932,1777
"France",25642,1777
"Spain",0,1777
"Netherlands",3841,1777
"U.S.A.",0,1777
"Denmark/Baltic",0,1777
"Portugal",23901,1778
"Great Britain",10267,1778
"France",23281,1778
"Spain",0,1778
"Netherlands",2569,1778
"U.S.A.",165,1778
"Denmark/Baltic",642,1778
"Portugal",21899,1779
"Great Britain",7573,1779
"France",2922,1779
"Spain",0,1779
"Netherlands",3361,1779
"U.S.A.",0,1779
"Denmark/Baltic",2004,1779
"Portugal",27747,1780
"Great Britain",7418,1780
"France",0,1780
"Spain",0,1780
"Netherlands",4032,1780
"U.S.A.",0,1780
"Denmark/Baltic",497,1780
"Portugal",30317,1781
"Great Britain",12659,1781
"France",372,1781
"Spain",0,1781
"Netherlands",2340,1781
"U.S.A.",0,1781
"Denmark/Baltic",2792,1781
"Portugal",27186,1782
"Great Britain",17903,1782
"France",3422,1782
"Spain",0,1782
"Netherlands",630,1782
"U.S.A.",318,1782
"Denmark/Baltic",2942,1782
"Portugal",25994,1783
"Great Britain",22624,1783
"France",10239,1783
"Spain",0,1783
"Netherlands",790,1783
"U.S.A.",1121,1783
"Denmark/Baltic",1493,1783
"Portugal",25290,1784
"Great Britain",40468,1784
"France",30609,1784
"Spain",0,1784
"Netherlands",3264,1784
"U.S.A.",1113,1784
"Denmark/Baltic",3619,1784
"Portugal",23274,1785
"Great Britain",31659,1785
"France",31724,1785
"Spain",0,1785
"Netherlands",2842,1785
"U.S.A.",2763,1785
"Denmark/Baltic",2890,1785
"Portugal",26233,1786
"Great Britain",29975,1786
"France",35342,1786
"Spain",0,1786
"Netherlands",889,1786
"U.S.A.",1967,1786
"Denmark/Baltic",1123,1786
"Portugal",24543,1787
"Great Britain",29322,1787
"France",42329,1787
"Spain",0,1787
"Netherlands",1667,1787
"U.S.A.",2406,1787
"Denmark/Baltic",1039,1787
"Portugal",25631,1788
"Great Britain",36419,1788
"France",38871,1788
"Spain",274,1788
"Netherlands",1189,1788
"U.S.A.",995,1788
"Denmark/Baltic",661,1788
"Portugal",21541,1789
"Great Britain",29125,1789
"France",36586,1789
"Spain",0,1789
"Netherlands",1219,1789
"U.S.A.",2547,1789
"Denmark/Baltic",1395,1789
"Portugal",24890,1790
"Great Britain",27123,1790
"France",54403,1790
"Spain",236,1790
"Netherlands",1945,1790
"U.S.A.",3101,1790
"Denmark/Baltic",350,1790
"Portugal",23965,1791
"Great Britain",40668,1791
"France",36982,1791
"Spain",397,1791
"Netherlands",2234,1791
"U.S.A.",2982,1791
"Denmark/Baltic",350,1791
"Portugal",33734,1792
"Great Britain",45542,1792
"France",25568,1792
"Spain",2236,1792
"Netherlands",1828,1792
"U.S.A.",6259,1792
"Denmark/Baltic",350,1792
"Portugal",34150,1793
"Great Britain",46236,1793
"France",9999,1793
"Spain",803,1793
"Netherlands",2925,1793
"U.S.A.",5002,1793
"Denmark/Baltic",447,1793
"Portugal",34743,1794
"Great Britain",27454,1794
"France",326,1794
"Spain",67,1794
"Netherlands",211,1794
"U.S.A.",3991,1794
"Denmark/Baltic",679,1794
"Portugal",36052,1795
"Great Britain",24897,1795
"France",0,1795
"Spain",963,1795
"Netherlands",577,1795
"U.S.A.",5364,1795
"Denmark/Baltic",1383,1795
"Portugal",29471,1796
"Great Britain",29258,1796
"France",0,1796
"Spain",0,1796
"Netherlands",0,1796
"U.S.A.",7595,1796
"Denmark/Baltic",1910,1796
"Portugal",33369,1797
"Great Britain",32639,1797
"France",107,1797
"Spain",590,1797
"Netherlands",0,1797
"U.S.A.",6146,1797
"Denmark/Baltic",2303,1797
"Portugal",25405,1798
"Great Britain",40470,1798
"France",0,1798
"Spain",284,1798
"Netherlands",0,1798
"U.S.A.",2187,1798
"Denmark/Baltic",2921,1798
"Portugal",29675,1799
"Great Britain",49897,1799
"France",0,1799
"Spain",498,1799
"Netherlands",0,1799
"U.S.A.",4913,1799
"Denmark/Baltic",3101,1799
"Portugal",27311,1800
"Great Britain",48867,1800
"France",0,1800
"Spain",67,1800
"Netherlands",0,1800
"U.S.A.",5903,1800
"Denmark/Baltic",4153,1800
"Portugal",32004,1801
"Great Britain",41535,1801
"France",0,1801
"Spain",763,1801
"Netherlands",0,1801
"U.S.A.",2708,1801
"Denmark/Baltic",2210,1801
"Portugal",36628,1802
"Great Britain",48045,1802
"France",2475,1802
"Spain",663,1802
"Netherlands",304,1802
"U.S.A.",5604,1802
"Denmark/Baltic",5223,1802
"Portugal",32997,1803
"Great Britain",43175,1803
"France",7517,1803
"Spain",2708,1803
"Netherlands",993,1803
"U.S.A.",6723,1803
"Denmark/Baltic",3608,1803
"Portugal",39968,1804
"Great Britain",34798,1804
"France",873,1804
"Spain",193,1804
"Netherlands",0,1804
"U.S.A.",11268,1804
"Denmark/Baltic",1575,1804
"Portugal",38336,1805
"Great Britain",32739,1805
"France",0,1805
"Spain",816,1805
"Netherlands",0,1805
"U.S.A.",15327,1805
"Denmark/Baltic",2130,1805
"Portugal",41579,1806
"Great Britain",38233,1806
"France",0,1806
"Spain",0,1806
"Netherlands",0,1806
"U.S.A.",20874,1806
"Denmark/Baltic",1476,1806
"Portugal",40138,1807
"Great Britain",36127,1807
"France",0,1807
"Spain",0,1807
"Netherlands",0,1807
"U.S.A.",36217,1807
"Denmark/Baltic",94,1807
"Portugal",30335,1808
"Great Britain",8978,1808
"France",77,1808
"Spain",0,1808
"Netherlands",304,1808
"U.S.A.",3150,1808
"Denmark/Baltic",0,1808
"Portugal",38421,1809
"Great Britain",18,1809
"France",0,1809
"Spain",993,1809
"Netherlands",4,1809
"U.S.A.",500,1809
"Denmark/Baltic",0,1809
"Portugal",62984,1810
"Great Britain",310,1810
"France",0,1810
"Spain",7283,1810
"Netherlands",0,1810
"U.S.A.",1552,1810
"Denmark/Baltic",0,1810
"Portugal",48657,1811
"Great Britain",0,1811
"France",0,1811
"Spain",8520,1811
"Netherlands",0,1811
"U.S.A.",776,1811
"Denmark/Baltic",0,1811
"Portugal",55316,1812
"Great Britain",0,1812
"France",0,1812
"Spain",4657,1812
"Netherlands",0,1812
"U.S.A.",500,1812
"Denmark/Baltic",0,1812
"Portugal",47078,1813
"Great Britain",0,1813
"France",0,1813
"Spain",3120,1813
"Netherlands",0,1813
"U.S.A.",500,1813
"Denmark/Baltic",0,1813
"Portugal",48133,1814
"Great Britain",0,1814
"France",637,1814
"Spain",4665,1814
"Netherlands",0,1814
"U.S.A.",500,1814
"Denmark/Baltic",0,1814
"Portugal",46824,1815
"Great Britain",0,1815
"France",3808,1815
"Spain",8536,1815
"Netherlands",0,1815
"U.S.A.",500,1815
"Denmark/Baltic",0,1815
"Portugal",51819,1816
"Great Britain",0,1816
"France",2447,1816
"Spain",22077,1816
"Netherlands",0,1816
"U.S.A.",500,1816
"Denmark/Baltic",0,1816
"Portugal",54406,1817
"Great Britain",0,1817
"France",4823,1817
"Spain",29022,1817
"Netherlands",0,1817
"U.S.A.",500,1817
"Denmark/Baltic",0,1817
"Portugal",60760,1818
"Great Britain",0,1818
"France",4782,1818
"Spain",21391,1818
"Netherlands",0,1818
"U.S.A.",500,1818
"Denmark/Baltic",0,1818
"Portugal",52683,1819
"Great Britain",0,1819
"France",6677,1819
"Spain",16592,1819
"Netherlands",32,1819
"U.S.A.",500,1819
"Denmark/Baltic",0,1819
"Portugal",51177,1820
"Great Britain",0,1820
"France",15570,1820
"Spain",5656,1820
"Netherlands",702,1820
"U.S.A.",500,1820
"Denmark/Baltic",0,1820
"Portugal",54064,1821
"Great Britain",0,1821
"France",16242,1821
"Spain",4342,1821
"Netherlands",0,1821
"U.S.A.",161,1821
"Denmark/Baltic",0,1821
"Portugal",63106,1822
"Great Britain",0,1822
"France",21615,1822
"Spain",2907,1822
"Netherlands",180,1822
"U.S.A.",0,1822
"Denmark/Baltic",0,1822
"Portugal",39945,1823
"Great Britain",0,1823
"France",8620,1823
"Spain",2231,1823
"Netherlands",0,1823
"U.S.A.",0,1823
"Denmark/Baltic",0,1823
"Portugal",43844,1824
"Great Britain",0,1824
"France",16626,1824
"Spain",5364,1824
"Netherlands",0,1824
"U.S.A.",186,1824
"Denmark/Baltic",0,1824
"Portugal",49397,1825
"Great Britain",0,1825
"France",23026,1825
"Spain",15589,1825
"Netherlands",150,1825
"U.S.A.",0,1825
"Denmark/Baltic",0,1825
"Portugal",66334,1826
"Great Britain",0,1826
"France",23863,1826
"Spain",7000,1826
"Netherlands",0,1826
"U.S.A.",0,1826
"Denmark/Baltic",0,1826
"Portugal",68928,1827
"Great Britain",0,1827
"France",12865,1827
"Spain",10477,1827
"Netherlands",0,1827
"U.S.A.",440,1827
"Denmark/Baltic",0,1827
"Portugal",68299,1828
"Great Britain",0,1828
"France",9436,1828
"Spain",14983,1828
"Netherlands",0,1828
"U.S.A.",0,1828
"Denmark/Baltic",0,1828
"Portugal",82611,1829
"Great Britain",0,1829
"France",10412,1829
"Spain",22854,1829
"Netherlands",357,1829
"U.S.A.",1410,1829
