"group","yfield","xfield"
"Denmark/Baltic",0,1534
"Portugal",862,1535
"Great Britain",0,1535
"France",0,1535
"Spain",861,1535
"Netherlands",0,1535
"U.S.A.",0,1535
"Denmark/Baltic",0,1535
"Portugal",579,1536
"Great Britain",0,1536
"France",0,1536
"Spain",579,1536
"Netherlands",0,1536
"U.S.A.",0,1536
"Denmark/Baltic",0,1536
"Portugal",579,1537
"Great Britain",0,1537
"France",0,1537
"Spain",579,1537
"Netherlands",0,1537
"U.S.A.",0,1537
"Denmark/Baltic",0,1537
"Portugal",579,1538
"Great Britain",0,1538
"France",0,1538
"Spain",579,1538
"Netherlands",0,1538
"U.S.A.",0,1538
"Denmark/Baltic",0,1538
"Portugal",579,1539
"Great Britain",0,1539
"France",0,1539
"Spain",579,1539
"Netherlands",0,1539
"U.S.A.",0,1539
"Denmark/Baltic",0,1539
"Portugal",579,1540
"Great Britain",0,1540
"France",0,1540
"Spain",579,1540
"Netherlands",0,1540
"U.S.A.",0,1540
"Denmark/Baltic",0,1540
"Portugal",1796,1541
"Great Britain",0,1541
"France",0,1541
"Spain",1796,1541
"Netherlands",0,1541
"U.S.A.",0,1541
"Denmark/Baltic",0,1541
"Portugal",1796,1542
"Great Britain",0,1542
"France",0,1542
"Spain",1796,1542
"Netherlands",0,1542
"U.S.A.",0,1542
"Denmark/Baltic",0,1542
"Portugal",1796,1543
"Great Britain",0,1543
"France",0,1543
"Spain",1796,1543
"Netherlands",0,1543
"U.S.A.",0,1543
"Denmark/Baltic",0,1543
"Portugal",1796,1544
"Great Britain",0,1544
"France",0,1544
"Spain",1796,1544
"Netherlands",0,1544
"U.S.A.",0,1544
"Denmark/Baltic",0,1544
"Portugal",1796,1545
"Great Britain",0,1545
"France",0,1545
"Spain",1796,1545
"Netherlands",0,1545
"U.S.A.",0,1545
"Denmark/Baltic",0,1545
"Portugal",943,1546
"Great Britain",0,1546
"France",0,1546
"Spain",943,1546
"Netherlands",0,1546
"U.S.A.",0,1546
"Denmark/Baltic",0,1546
"Portugal",943,1547
"Great Britain",0,1547
"France",0,1547
"Spain",943,1547
"Netherlands",0,1547
"U.S.A.",0,1547
"Denmark/Baltic",0,1547
"Portugal",943,1548
"Great Britain",0,1548
"France",0,1548
"Spain",943,1548
"Netherlands",0,1548
"U.S.A.",0,1548
"Denmark/Baltic",0,1548
"Portugal",943,1549
"Great Britain",0,1549
"France",0,1549
"Spain",943,1549
"Netherlands",0,1549
"U.S.A.",0,1549
"Denmark/Baltic",0,1549
"Portugal",943,1550
"Great Britain",0,1550
"France",0,1550
"Spain",943,1550
"Netherlands",0,1550
"U.S.A.",0,1550
"Denmark/Baltic",0,1550
"Portugal",138,1551
"Great Britain",0,1551
"France",0,1551
"Spain",137,1551
"Netherlands",0,1551
"U.S.A.",0,1551
"Denmark/Baltic",0,1551
"Portugal",138,1552
"Great Britain",0,1552
"France",0,1552
"Spain",137,1552
"Netherlands",0,1552
"U.S.A.",0,1552
"Denmark/Baltic",0,1552
"Portugal",138,1553
"Great Britain",0,1553
"France",0,1553
"Spain",137,1553
"Netherlands",0,1553
"U.S.A.",0,1553
"Denmark/Baltic",0,1553
"Portugal",138,1554
"Great Britain",0,1554
"France",0,1554
"Spain",137,1554
"Netherlands",0,1554
"U.S.A.",0,1554
"Denmark/Baltic",0,1554
"Portugal",138,1555
"Great Britain",0,1555
"France",0,1555
"Spain",137,1555
"Netherlands",0,1555
"U.S.A.",0,1555
"Denmark/Baltic",0,1555
"Portugal",428,1556
"Great Britain",94,1556
"France",0,1556
"Spain",427,1556
"Netherlands",0,1556
"U.S.A.",0,1556
"Denmark/Baltic",0,1556
"Portugal",428,1557
"Great Britain",0,1557
"France",0,1557
"Spain",427,1557
"Netherlands",0,1557
"U.S.A.",0,1557
"Denmark/Baltic",0,1557
"Portugal",428,1558
"Great Britain",0,1558
"France",0,1558
"Spain",427,1558
"Netherlands",0,1558
"U.S.A.",0,1558
"Denmark/Baltic",0,1558
