Country,Much worse,Worse,Same,Better,Much better
 Africa Total,0.107,0.147,0.234,0.378,0.134
 Benin,0.073,0.124,0.143,0.57,0.089
 Botswana,0.084,0.133,0.15,0.465,0.168
 Burkina Faso,0.016,0.113,0.167,0.602,0.102
 Cabo Verde,0.025,0.125,0.129,0.643,0.079
 Cameroon,0.094,0.156,0.286,0.406,0.058
 Côte d´Ivoire,0.035,0.131,0.312,0.448,0.074
 eSwatini,0.087,0.177,0.213,0.433,0.089
 Gabon,0.184,0.29,0.268,0.245,0.013
 Gambia,0.036,0.056,0.126,0.525,0.258
 Ghana,0.027,0.064,0.223,0.437,0.249
 Guinea,0.077,0.209,0.295,0.354,0.065
 Kenya,0.106,0.153,0.243,0.382,0.115
 Lesotho,0.057,0.021,0.067,0.181,0.674
 Liberia,0.083,0.144,0.181,0.481,0.11
 Madagascar,0.1,0.295,0.388,0.206,0.011
 Malawi,0.475,0.213,0.184,0.119,0.01
 Mali,0.092,0.175,0.152,0.451,0.13
 Mauritius,0.075,0.271,0.423,0.205,0.026
 Morocco,0.03,0.15,0.408,0.355,0.057
 Mozambique,0.027,0.063,0.248,0.367,0.296
 Namibia,0.118,0.126,0.218,0.362,0.176
 Niger,0.076,0.208,0.357,0.314,0.045
 Nigeria,0.029,0.068,0.088,0.511,0.305
 Sao Tome and Principe,0.05,0.077,0.196,0.514,0.162
 Senegal,0.057,0.101,0.227,0.501,0.115
 Sierra Leone,0.045,0.082,0.189,0.537,0.146
 South Africa,0.141,0.138,0.192,0.353,0.175
 Sudan,0.309,0.276,0.204,0.178,0.034
 Tanzania,0.158,0.146,0.317,0.28,0.098
 Togo,0.157,0.171,0.282,0.354,0.035
 Tunisia,0.223,0.149,0.243,0.315,0.07
 Uganda,0.224,0.212,0.209,0.303,0.052
 Zambia,0.182,0.215,0.283,0.246,0.075
"Zimbabwe
","0.192
","0.156
",0.324,"0.243
","0.084
"
