Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1961","1961","ha","2220","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1962","1962","ha","2220","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1963","1963","ha","2220","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1964","1964","ha","2350","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1965","1965","ha","2480","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1966","1966","ha","2740","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1967","1967","ha","3060","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1968","1968","ha","2990","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1969","1969","ha","3040","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1970","1970","ha","3060","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1971","1971","ha","3060","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1972","1972","ha","3150","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1973","1973","ha","3210","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1974","1974","ha","3270","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1975","1975","ha","3270","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1976","1976","ha","3270","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1977","1977","ha","3280","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1978","1978","ha","3250","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1979","1979","ha","3150","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1980","1980","ha","3150","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1981","1981","ha","3080","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1982","1982","ha","2960","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1983","1983","ha","2850","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1984","1984","ha","2730","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1985","1985","ha","2660","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1986","1986","ha","2590","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1987","1987","ha","2230","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1988","1988","ha","2330","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1989","1989","ha","2340","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1990","1990","ha","2365","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1991","1991","ha","2346","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1992","1992","ha","2308","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1993","1993","ha","2300","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1994","1994","ha","2350","F","FAO estimate"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1995","1995","ha","2631","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1996","1996","ha","3135","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1997","1997","ha","3748","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1998","1998","ha","4410","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","1999","1999","ha","4930","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2000","2000","ha","5598","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2001","2001","ha","5482","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2002","2002","ha","5045","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2003","2003","ha","3935","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2004","2004","ha","2311","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2005","2005","ha","2751","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2006","2006","ha","7000","","Official data"
"QCL","Crops and livestock products","2","Afghanistan","5312","Area harvested","515","Apples","2007","2007","ha","7000","","Official data"
