Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Months Code,Months,Unit,Value,Flag,Flag Description
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","1993","1993","7021","Annual value","LCU","6100","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","1994","1994","7021","Annual value","LCU","6200","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","1995","1995","7021","Annual value","LCU","4500","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","1996","1996","7021","Annual value","LCU","16000","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","1997","1997","7021","Annual value","LCU","18500","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","1998","1998","7021","Annual value","LCU","12800","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","1999","1999","7021","Annual value","LCU","24800","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","2000","2000","7021","Annual value","LCU","12500","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","2001","2001","7021","Annual value","LCU","12000","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","2002","2002","7021","Annual value","LCU","15000","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","2003","2003","7021","Annual value","LCU","14000","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","2004","2004","7021","Annual value","LCU","13200","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","2005","2005","7021","Annual value","LCU","11000","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","2008","2008","7021","Annual value","LCU","21740","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","2009","2009","7021","Annual value","LCU","25000","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","2010","2010","7021","Annual value","LCU","25070","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","2011","2011","7021","Annual value","LCU","24200","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","2012","2012","7021","Annual value","LCU","22600","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","2016","2016","7021","Annual value","LCU","31400","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","2017","2017","7021","Annual value","LCU","35700","","Official data"
"PP","Producer Prices","2","Afghanistan","5530","Producer Price (LCU/tonne)","515","Apples","2018","2018","7021","Annual value","LCU","22331.4","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","1993","1993","7021","Annual value","SLC","6100","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","1994","1994","7021","Annual value","SLC","6200","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","1995","1995","7021","Annual value","SLC","4500","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","1996","1996","7021","Annual value","SLC","16000","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","1997","1997","7021","Annual value","SLC","18500","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","1998","1998","7021","Annual value","SLC","12800","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","1999","1999","7021","Annual value","SLC","24800","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","2000","2000","7021","Annual value","SLC","12500","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","2001","2001","7021","Annual value","SLC","12000","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","2002","2002","7021","Annual value","SLC","15000","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","2003","2003","7021","Annual value","SLC","14000","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","2004","2004","7021","Annual value","SLC","13200","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","2005","2005","7021","Annual value","SLC","11000","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","2008","2008","7021","Annual value","SLC","21740","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","2009","2009","7021","Annual value","SLC","25000","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","2010","2010","7021","Annual value","SLC","25070","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","2011","2011","7021","Annual value","SLC","24200","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","2012","2012","7021","Annual value","SLC","22600","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","2016","2016","7021","Annual value","SLC","31400","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","2017","2017","7021","Annual value","SLC","35700","","Official data"
"PP","Producer Prices","2","Afghanistan","5531","Producer Price (SLC/tonne)","515","Apples","2018","2018","7021","Annual value","SLC","22331.4","","Official data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","1991","1991","7021","Annual value","","25.13","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","1992","1992","7021","Annual value","","25.13","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","1993","1993","7021","Annual value","","25.13","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","1994","1994","7021","Annual value","","25.55","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","1995","1995","7021","Annual value","","18.54","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","1996","1996","7021","Annual value","","65.92","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","1997","1997","7021","Annual value","","76.22","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","1998","1998","7021","Annual value","","52.74","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","1999","1999","7021","Annual value","","102.18","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2000","2000","7021","Annual value","","51.5","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2001","2001","7021","Annual value","","49.44","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2002","2002","7021","Annual value","","61.8","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2003","2003","7021","Annual value","","57.68","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2004","2004","7021","Annual value","","54.39","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2005","2005","7021","Annual value","","45.32","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2006","2006","7021","Annual value","","60.07","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2007","2007","7021","Annual value","","74.82","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2008","2008","7021","Annual value","","89.57","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2009","2009","7021","Annual value","","103.01","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2010","2010","7021","Annual value","","103.29","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2011","2011","7021","Annual value","","99.71","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2012","2012","7021","Annual value","","93.12","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2013","2013","7021","Annual value","","89.94","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2014","2014","7021","Annual value","","87.05","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2015","2015","7021","Annual value","","83.58","Fc","Calculated data"
"PP","Producer Prices","2","Afghanistan","5539","Producer Price Index (2014-2016 = 100)","515","Apples","2016","2016","7021","Annual value","","129.37","Fc","Calculated data"
