"",Allegiances,Ethnicity,Territories
13th,2,1,2
146,2,5,2
187,1,2,2
18th,1,1,2
47,2,2,99
50 Niggaz,1,2,2
67,2,2,2
99,2,2,2
AYB,1,4,3
AYB.2,1,4,99
BMF,1,1,2
Black_Dragons,3,4,1
Blue_Devil.1,2,2,99
Blue_Devil.2,2,2,99
Bo-Gars,1,2,2
Bronx,99,99,3
DPC,2,2,2
Dangerous_Street,2,2,2
Green_Land,1,5,2
J.O.K.E.R.S,2,2,2
LPE,99,99,3
Lg Side,1,3,2
Motard,3,5,1
Outlaws,3,2,1
PSC,99,99,3
Pie-IX,2,2,2
Plan riel,1,5,2
Px-80,2,2,2
RTC,2,2,2
South_Side,2,2,1
St.Henri,99,99,3
Uptown_Posse,1,2,3
V_Block,99,99,3
Ve_Crew,3,3,3
White_Tigers,3,4,1
