"year","count","cc"
"1994",1,"BE"
"1998",2,"BE"
"1999",1,"BE"
"2000",0,"BE"
"2001",1,"BE"
"2003",2,"BE"
"2006",0,"BE"
"2007",2,"BE"
"2008",1,"BE"
"2014",1,"BE"
"1984",1,"BE"
"1993",2,"BE"
"2011",2,"BE"
"2012",2,"BE"
"1990",0,"BE"
"1981",0,"BE"
"2015",0,"BE"
"1992",3,"BG"
"1995",1,"BG"
"1996",5,"BG"
"1997",9,"BG"
"2002",17,"BG"
"2004",14,"BG"
"2005",60,"BG"
"2009",24,"BG"
"2010",27,"BG"
"2013",0,"BG"
"1980",4,"BG"
"1982",1,"BG"
"1983",5,"BG"
"1985",1,"BG"
"1986",3,"BG"
"1987",2,"BG"
"1988",1,"BG"
"1989",1,"BG"
"1991",9,"BG"
"1994",2,"BG"
"1998",1,"BG"
"1999",15,"BG"
"2000",4,"BG"
"2001",6,"BG"
"2003",18,"BG"
"2006",37,"BG"
"2007",29,"BG"
"2008",25,"BG"
"2014",2,"BG"
"1984",3,"BG"
"1993",3,"BG"
"2011",4,"BG"
"2012",8,"BG"
"1990",2,"BG"
"1981",0,"BG"
"2015",0,"BG"
"1992",0,"CH"
"1995",0,"CH"
"1996",0,"CH"
"1997",1,"CH"
"2002",0,"CH"
"2004",0,"CH"
"2005",1,"CH"
"2009",0,"CH"
"2010",0,"CH"
"2013",0,"CH"
"1980",0,"CH"
"1982",0,"CH"
"1983",1,"CH"
"1985",0,"CH"
"1986",0,"CH"
"1987",1,"CH"
"1988",0,"CH"
"1989",0,"CH"
"1991",0,"CH"
"1994",0,"CH"
"1998",0,"CH"
"1999",1,"CH"
"2000",0,"CH"
"2001",0,"CH"
"2003",0,"CH"
"2006",1,"CH"
"2007",2,"CH"
"2008",0,"CH"
"2014",0,"CH"
"1984",0,"CH"
"1993",0,"CH"
"2011",0,"CH"
"2012",0,"CH"
"1990",0,"CH"
"1981",0,"CH"
"2015",0,"CH"
"1992",0,"CY"
"1995",0,"CY"
"1996",0,"CY"
"1997",0,"CY"
"2002",0,"CY"
"2004",0,"CY"
"2005",0,"CY"
"2009",0,"CY"
"2010",0,"CY"
"2013",0,"CY"
"1980",0,"CY"
"1982",0,"CY"
"1983",0,"CY"
"1985",0,"CY"
"1986",0,"CY"
"1987",0,"CY"
"1988",0,"CY"
"1989",0,"CY"
"1991",1,"CY"
"1994",0,"CY"
"1998",0,"CY"
"1999",0,"CY"
"2000",1,"CY"
"2001",2,"CY"
"2003",0,"CY"
"2006",0,"CY"
"2007",0,"CY"
"2008",0,"CY"
"2014",0,"CY"
"1984",0,"CY"
"1993",0,"CY"
"2011",0,"CY"
"2012",0,"CY"
"1990",0,"CY"
"1981",1,"CY"
"2015",0,"CY"
"1992",0,"CZ"
"1995",0,"CZ"
"1996",0,"CZ"
"1997",1,"CZ"
"2002",1,"CZ"
"2004",0,"CZ"
"2005",0,"CZ"
"2009",1,"CZ"
"2010",2,"CZ"
"2013",1,"CZ"
"1980",0,"CZ"
"1982",0,"CZ"
"1983",0,"CZ"
"1985",0,"CZ"
"1986",0,"CZ"
"1987",0,"CZ"
"1988",0,"CZ"
"1989",0,"CZ"
"1991",0,"CZ"
"1994",0,"CZ"
"1998",1,"CZ"
"1999",0,"CZ"
"2000",1,"CZ"
"2001",0,"CZ"
"2003",0,"CZ"
"2006",2,"CZ"
"2007",0,"CZ"
"2008",0,"CZ"
"2014",0,"CZ"
"1984",0,"CZ"
"1993",0,"CZ"
"2011",0,"CZ"
"2012",0,"CZ"
"1990",0,"CZ"
"1981",1,"CZ"
"2015",0,"CZ"
"1992",1,"DE"
"1995",11,"DE"
"1996",0,"DE"
"1997",1,"DE"
"2002",35,"DE"
"2004",0,"DE"
"2005",4,"DE"
"2009",1,"DE"
"2010",29,"DE"
"2013",1,"DE"
"1980",2,"DE"
"1982",1,"DE"
"1983",2,"DE"
"1985",2,"DE"
"1986",2,"DE"
"1987",2,"DE"
"1988",9,"DE"
"1989",0,"DE"
"1991",2,"DE"
"1994",21,"DE"
"1998",13,"DE"
"1999",3,"DE"
"2000",0,"DE"
"2001",4,"DE"
"2003",29,"DE"
"2006",5,"DE"
"2007",20,"DE"
"2008",4,"DE"
"2014",0,"DE"
"1984",16,"DE"
"1993",10,"DE"
"2011",7,"DE"
"2012",0,"DE"
"1990",2,"DE"
"1981",28,"DE"
"2015",0,"DE"
"1992",0,"DK"
"1995",3,"DK"
"1996",0,"DK"
"1997",0,"DK"
"2002",3,"DK"
"2004",0,"DK"
"2005",1,"DK"
"2009",0,"DK"
"2010",0,"DK"
"2013",0,"DK"
"1980",0,"DK"
"1982",0,"DK"
"1983",1,"DK"
"1985",1,"DK"
"1986",0,"DK"
"1987",2,"DK"
"1988",1,"DK"
"1989",2,"DK"
"1991",2,"DK"
"1994",0,"DK"
"1998",0,"DK"
"1999",1,"DK"
"2000",2,"DK"
"2001",2,"DK"
"2003",1,"DK"
"2006",1,"DK"
"2007",3,"DK"
"2008",1,"DK"
"2014",0,"DK"
"1984",2,"DK"
"1993",3,"DK"
"2011",0,"DK"
"2012",0,"DK"
"1990",2,"DK"
"1981",1,"DK"
"2015",0,"DK"
"1992",0,"EE"
"1995",0,"EE"
"1996",0,"EE"
"1997",0,"EE"
"2002",0,"EE"
"2004",0,"EE"
"2005",2,"EE"
"2009",0,"EE"
"2010",1,"EE"
"2013",0,"EE"
"1980",0,"EE"
"1982",0,"EE"
"1983",0,"EE"
"1985",0,"EE"
"1986",0,"EE"
"1987",0,"EE"
"1988",0,"EE"
"1989",0,"EE"
"1991",0,"EE"
"1994",0,"EE"
"1998",0,"EE"
"1999",0,"EE"
"2000",1,"EE"
"2001",0,"EE"
"2003",1,"EE"
"2006",0,"EE"
"2007",0,"EE"
"2008",0,"EE"
"2014",0,"EE"
"1984",0,"EE"
"1993",0,"EE"
"2011",2,"EE"
"2012",0,"EE"
"1990",0,"EE"
"1981",0,"EE"
"2015",0,"EE"
"1992",0,"EL"
"1995",0,"EL"
"1996",2,"EL"
"1997",3,"EL"
"2002",7,"EL"
"2004",2,"EL"
"2005",3,"EL"
"2009",4,"EL"
"2010",1,"EL"
"2013",0,"EL"
"1980",1,"EL"
"1982",0,"EL"
"1983",0,"EL"
"1985",0,"EL"
"1986",2,"EL"
"1987",3,"EL"
"1988",0,"EL"
"1989",1,"EL"
"1991",1,"EL"
"1994",4,"EL"
"1998",2,"EL"
"1999",2,"EL"
"2000",2,"EL"
"2001",3,"EL"
"2003",7,"EL"
"2006",7,"EL"
"2007",3,"EL"
"2008",1,"EL"
"2014",0,"EL"
"1984",0,"EL"
"1993",0,"EL"
"2011",0,"EL"
"2012",1,"EL"
"1990",2,"EL"
"1981",0,"EL"
"2015",0,"EL"
"1992",21,"ES"
"1995",17,"ES"
"1996",14,"ES"
"1997",31,"ES"
"2002",13,"ES"
"2004",26,"ES"
"2005",5,"ES"
"2009",27,"ES"
"2010",35,"ES"
"2013",3,"ES"
"1980",11,"ES"
"1982",21,"ES"
"1983",15,"ES"
"1985",2,"ES"
"1986",7,"ES"
"1987",12,"ES"
"1988",9,"ES"
"1989",8,"ES"
"1991",24,"ES"
"1994",13,"ES"
"1998",14,"ES"
"1999",18,"ES"
"2000",25,"ES"
"2001",16,"ES"
"2003",42,"ES"
"2006",64,"ES"
"2007",20,"ES"
"2008",17,"ES"
"2014",0,"ES"
"1984",11,"ES"
"1993",12,"ES"
"2011",11,"ES"
"2012",2,"ES"
"1990",7,"ES"
"1981",13,"ES"
"2015",0,"ES"
"1992",0,"FI"
"1995",0,"FI"
"1996",0,"FI"
"1997",0,"FI"
"2002",0,"FI"
"2004",1,"FI"
"2005",2,"FI"
"2009",0,"FI"
"2010",0,"FI"
"2013",0,"FI"
"1980",0,"FI"
"1982",0,"FI"
"1983",0,"FI"
"1985",0,"FI"
"1986",0,"FI"
"1987",0,"FI"
"1988",0,"FI"
"1989",0,"FI"
"1991",0,"FI"
"1994",0,"FI"
"1998",0,"FI"
"1999",0,"FI"
"2000",0,"FI"
"2001",0,"FI"
"2003",0,"FI"
"2006",0,"FI"
"2007",1,"FI"
"2008",0,"FI"
"2014",0,"FI"
"1984",0,"FI"
"1993",0,"FI"
"2011",0,"FI"
"2012",0,"FI"
"1990",1,"FI"
"1981",0,"FI"
"2015",0,"FI"
"1992",22,"FR"
"1995",30,"FR"
"1996",22,"FR"
"1997",14,"FR"
"2002",25,"FR"
"2004",17,"FR"
"2005",11,"FR"
"2009",16,"FR"
"2010",14,"FR"
"2013",2,"FR"
"1980",15,"FR"
"1982",30,"FR"
"1983",35,"FR"
"1985",4,"FR"
"1986",13,"FR"
"1987",14,"FR"
"1988",27,"FR"
"1989",13,"FR"
"1991",9,"FR"
"1994",18,"FR"
"1998",11,"FR"
"1999",31,"FR"
"2000",29,"FR"
"2001",26,"FR"
"2003",19,"FR"
"2006",25,"FR"
"2007",20,"FR"
"2008",19,"FR"
"2014",1,"FR"
"1984",11,"FR"
"1993",31,"FR"
"2011",3,"FR"
"2012",0,"FR"
"1990",19,"FR"
"1981",21,"FR"
"2015",0,"FR"
"1992",0,"HR"
"1995",1,"HR"
"1996",0,"HR"
"1997",0,"HR"
"2002",0,"HR"
"2004",0,"HR"
"2005",2,"HR"
"2009",5,"HR"
"2010",24,"HR"
"2013",0,"HR"
"1980",1,"HR"
"1982",0,"HR"
"1983",0,"HR"
"1985",0,"HR"
"1986",0,"HR"
"1987",0,"HR"
"1988",0,"HR"
"1989",1,"HR"
"1991",0,"HR"
"1994",0,"HR"
"1998",4,"HR"
"1999",2,"HR"
"2000",4,"HR"
"2001",1,"HR"
"2003",1,"HR"
"2006",1,"HR"
"2007",11,"HR"
"2008",8,"HR"
"2014",0,"HR"
"1984",1,"HR"
"1993",1,"HR"
"2011",0,"HR"
"2012",1,"HR"
"1990",0,"HR"
"1981",0,"HR"
"2015",0,"HR"
"1992",0,"HU"
"1995",0,"HU"
"1996",0,"HU"
"1997",0,"HU"
"2002",0,"HU"
"2004",0,"HU"
"2005",0,"HU"
"2009",0,"HU"
"2010",3,"HU"
"2013",0,"HU"
"1980",0,"HU"
"1982",0,"HU"
"1983",0,"HU"
"1985",0,"HU"
"1986",0,"HU"
"1987",0,"HU"
"1988",0,"HU"
"1989",0,"HU"
"1991",0,"HU"
"1994",0,"HU"
"1998",1,"HU"
"1999",1,"HU"
"2000",1,"HU"
"2001",1,"HU"
"2003",1,"HU"
"2006",4,"HU"
"2007",0,"HU"
"2008",0,"HU"
"2014",1,"HU"
"1984",0,"HU"
"1993",0,"HU"
"2011",0,"HU"
"2012",0,"HU"
"1990",0,"HU"
"1981",0,"HU"
"2015",0,"HU"
"1992",0,"IE"
"1995",1,"IE"
"1996",2,"IE"
"1997",1,"IE"
"2002",4,"IE"
"2004",2,"IE"
"2005",0,"IE"
"2009",1,"IE"
"2010",0,"IE"
"2013",0,"IE"
"1980",1,"IE"
"1982",1,"IE"
"1983",0,"IE"
"1985",0,"IE"
"1986",2,"IE"
"1987",1,"IE"
"1988",0,"IE"
"1989",1,"IE"
"1991",1,"IE"
"1994",0,"IE"
"1998",1,"IE"
"1999",2,"IE"
"2000",1,"IE"
"2001",1,"IE"
"2003",0,"IE"
"2006",1,"IE"
"2007",0,"IE"
"2008",1,"IE"
"2014",0,"IE"
"1984",0,"IE"
"1993",1,"IE"
"2011",2,"IE"
"2012",0,"IE"
"1990",0,"IE"
"1981",0,"IE"
"2015",0,"IE"
"1992",0,"IS"
"1995",0,"IS"
"1996",1,"IS"
"1997",0,"IS"
"2002",0,"IS"
"2004",0,"IS"
"2005",0,"IS"
"2009",0,"IS"
"2010",0,"IS"
"2013",0,"IS"
"1980",0,"IS"
"1982",0,"IS"
"1983",0,"IS"
"1985",0,"IS"
"1986",0,"IS"
"1987",0,"IS"
"1988",1,"IS"
"1989",0,"IS"
"1991",0,"IS"
"1994",0,"IS"
"1998",0,"IS"
"1999",0,"IS"
"2000",0,"IS"
"2001",0,"IS"
"2003",0,"IS"
"2006",0,"IS"
"2007",0,"IS"
"2008",0,"IS"
"2014",0,"IS"
"1984",0,"IS"
"1993",0,"IS"
"2011",0,"IS"
"2012",0,"IS"
"1990",0,"IS"
"1981",0,"IS"
"2015",0,"IS"
"1992",3,"IT"
"1995",1,"IT"
"1996",2,"IT"
"1997",1,"IT"
"2002",4,"IT"
"2004",2,"IT"
"2005",1,"IT"
"2009",2,"IT"
"2010",1,"IT"
"2013",1,"IT"
"1980",0,"IT"
"1982",0,"IT"
"1983",0,"IT"
"1985",1,"IT"
"1986",1,"IT"
"1987",2,"IT"
"1988",0,"IT"
"1989",0,"IT"
"1991",1,"IT"
"1994",2,"IT"
"1998",1,"IT"
"1999",1,"IT"
"2000",5,"IT"
"2001",2,"IT"
"2003",3,"IT"
"2006",0,"IT"
"2007",0,"IT"
"2008",4,"IT"
"2014",1,"IT"
"1984",0,"IT"
"1993",0,"IT"
"2011",2,"IT"
"2012",1,"IT"
"1990",0,"IT"
"1981",0,"IT"
"2015",0,"IT"
"1992",0,"LT"
"1995",5,"LT"
"1996",1,"LT"
"1997",1,"LT"
"2002",1,"LT"
"2004",2,"LT"
"2005",3,"LT"
"2009",3,"LT"
"2010",2,"LT"
"2013",0,"LT"
"1980",3,"LT"
"1982",1,"LT"
"1983",4,"LT"
"1985",2,"LT"
"1986",1,"LT"
"1987",1,"LT"
"1988",3,"LT"
"1989",2,"LT"
"1991",2,"LT"
"1994",3,"LT"
"1998",3,"LT"
"1999",5,"LT"
"2000",2,"LT"
"2001",1,"LT"
"2003",0,"LT"
"2006",1,"LT"
"2007",3,"LT"
"2008",3,"LT"
"2014",0,"LT"
"1984",0,"LT"
"1993",3,"LT"
"2011",0,"LT"
"2012",0,"LT"
"1990",1,"LT"
"1981",3,"LT"
"2015",0,"LT"
"1992",0,"LU"
"1995",1,"LU"
"1996",0,"LU"
"1997",0,"LU"
"2002",0,"LU"
"2004",0,"LU"
"2005",0,"LU"
"2009",0,"LU"
"2010",0,"LU"
"2013",0,"LU"
"1980",0,"LU"
