"year","count","cc"
"2005",5,"UK"
"2009",6,"UK"
"2010",2,"UK"
"2013",2,"UK"
"1980",0,"UK"
"1982",1,"UK"
"1983",0,"UK"
"1985",0,"UK"
"1986",0,"UK"
"1987",0,"UK"
"1988",0,"UK"
"1989",3,"UK"
"1991",3,"UK"
"1994",4,"UK"
"1998",7,"UK"
"1999",2,"UK"
"2000",5,"UK"
"2001",2,"UK"
"2003",4,"UK"
"2006",1,"UK"
"2007",4,"UK"
"2008",9,"UK"
"2014",0,"UK"
"1984",2,"UK"
"1993",4,"UK"
"2011",0,"UK"
"2012",6,"UK"
"1990",8,"UK"
"1981",0,"UK"
"2015",0,"UK"
"1992",0,"XK"
"1995",0,"XK"
"1996",0,"XK"
"1997",0,"XK"
"2002",0,"XK"
"2004",1,"XK"
"2005",0,"XK"
"2009",0,"XK"
"2010",1,"XK"
"2013",1,"XK"
"1980",0,"XK"
"1982",0,"XK"
"1983",0,"XK"
"1985",0,"XK"
"1986",0,"XK"
"1987",0,"XK"
"1988",0,"XK"
"1989",0,"XK"
"1991",0,"XK"
"1994",0,"XK"
"1998",0,"XK"
"1999",0,"XK"
"2000",0,"XK"
"2001",0,"XK"
"2003",0,"XK"
"2006",1,"XK"
"2007",1,"XK"
"2008",1,"XK"
"2014",1,"XK"
"1984",0,"XK"
"1993",0,"XK"
"2011",0,"XK"
"2012",0,"XK"
"1990",0,"XK"
"1981",0,"XK"
"2015",1,"XK"
