Competent Authority,Total,% of Total,2015 - 2016 % Change
Home Office UK Visas and Immigration (UKVI),2729,71.70%,19.10%
Home Office UKVI hosted within NCA Modern Slavery Human Trafficking Unit (MSHTU),18,0.50%,-86.40%
NCA Modern Slavery Human Trafficking Unit (MSHTU),778,20.40%,-3.00%
NRM Pilot Cases - Slavery Safeguarding Leads and Panel,280,7.40%,582.90%
Total,3805,,
