Referring Agency,Adult,Minor,Total,Agency Type
HO Immigration Enforcement (HOIE),323,51,374,Government Agency
National Crime Agency (NCA),5,0,5,Government Agency
UK Border Force (UKBF),20,91,111,Government Agency
UK Visas and Immigration (UKVI),1044,404,1448,Government Agency
Local Authority,50,368,418,Local Authority
Ashiana,1,0,1,NGO/Third Sector
Barnardos,1,17,18,NGO/Third Sector
BAWSO,19,3,22,NGO/Third Sector
Bradford District NHS,1,0,1,NGO/Third Sector
GARAS,2,0,2,NGO/Third Sector
Hope for Justice,33,1,34,NGO/Third Sector
Kalayaan,24,1,25,NGO/Third Sector
Medaille Trust,1,0,1,NGO/Third Sector
Migrant Help,33,1,34,NGO/Third Sector
Migrant Legal Project,2,0,2,NGO/Third Sector
New Pathways,5,1,6,NGO/Third Sector
NSPCC - CTAC,0,7,7,NGO/Third Sector
Refugee Council,0,1,1,NGO/Third Sector
Salvation Army,348,17,365,NGO/Third Sector
TARA,12,0,12,NGO/Third Sector
Unseen,4,0,4,NGO/Third Sector
Avon & Somerset Constabulary,11,3,14,Police
Bedfordshire Police,5,0,5,Police
British Transport Police,4,6,10,Police
Cambridgeshire Constabulary,10,3,13,Police
Cheshire Constabulary,5,3,8,Police
City of London Police,2,0,2,Police
Cleveland Police,2,2,4,Police
Cumbria Constabulary,5,2,7,Police
Derbyshire Constabulary,8,5,13,Police
Devon & Cornwall Police,19,3,22,Police
Dorset Police,1,1,2,Police
Dyfed-Powys Police,2,0,2,Police
Essex Police,15,5,20,Police
Gloucestershire Constabulary,3,2,5,Police
Greater Manchester Police,39,45,84,Police
Gwent Police,3,0,3,Police
Hampshire Constabulary,2,5,7,Police
Hertfordshire Constabulary,7,4,11,Police
Humberside Police,3,0,3,Police
Kent Police,20,3,23,Police
Lancashire Constabulary,3,1,4,Police
Leicestershire Police,4,2,6,Police
Lincolnshire Police,1,0,1,Police
Merseyside Police,9,13,22,Police
Metropolitan Police Service,69,24,93,Police
Norfolk Constabulary,14,2,16,Police
North Wales Police,11,0,11,Police
North Yorkshire police,5,2,7,Police
Northamptonshire Police,18,2,20,Police
Northumbria Police,37,16,53,Police
Nottinghamshire Police,8,1,9,Police
Police Scotland,27,14,41,Police
Police Service of Northern Ireland,13,2,15,Police
South Wales Police,5,5,10,Police
South Yorkshire Police,15,29,44,Police
Staffordshire Police,11,5,16,Police
Suffolk Constabulary,1,7,8,Police
Surrey Police,6,22,28,Police
Sussex Police,10,1,11,Police
Thames Valley Police,29,3,32,Police
Warwickshire Police,4,5,9,Police
West Mercia Police,8,12,20,Police
West Midlands Police,92,7,99,Police
West Yorkshire Police,29,47,76,Police
Wiltshire Police,4,1,5,Police
