Country,Male_2020,Female_2020
Bangladesh,71.1,74.9
Brazil,72.5,79.7
China,75,79.4
Germany,79.1,83.8
India,68.7,71.2
Mexico,72.3,77.9
Nigeria,54.1,56
Pakistan,66.5,68.5
United States,76.4,81.5
