,2009 H1N1 flu pandemic timeline,,,
Mon 3 Aug,CDC School Dismissal Monitoring System (SDMS) activated.,,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Wed 19 Aug,CDC Guidance for Businesses and accompanying toolkit posted to CDC.gov.,,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Thu 20 Aug,"CDC Guidance for Institutions of Higher Education (IHE) and accompanying toolkit posted to CDC.gov. Calls were conducted with Secretary Duncan and Sebelius to explain guidance. Press briefings followed.
Second wave of 2009 H1N1 influenza activity began in the U.S.",,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Sun 30 Aug,New reporting season for the 2009-2010 influenza season began.,,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Tue 1 Sep,"More than 1,000 test kits shipped to 120 domestic and 250 international laboratories in 140 countries since May 1, 2009.",,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Thu 3 Sep,"CDC published a study that analyzed data related to H1N1 influenza pediatric deaths reported to CDC from April to August 2009 in MMWR. Data showed 477 deaths with lab-confirmed 2009 H1N1 flu in the U.S. had been reported to CDC as of August 8, 2009.",US confirms 477 child deaths ,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Thu 10 Sep,HHS secretary and CDC Director joined the National Foundation for Infectious Diseases (NFID) in a news conference to stress the importance of getting vaccinated for the upcoming influenza season.,,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Tue 15 Sep,The FDA announced its approval of four 2009 H1N1 influenza vaccines.,FDA approves four vaccines,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Wed 30 Sep,U.S. states placed first orders of 2009 H1N1 vaccine.,,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
October,National Influenza 2009 H1N1 vaccination campaign,,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Mon 5 Oct,First doses of H1N1 vaccine were given in the U.S.,First vaccinations given in the US,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Sat 24 Oct,"Influenza activity reached its highest level in the reporting week ending October 24, 2009, with 48 of 50 states reported widespread activity.",,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Late October,Second wave of H1N1 flu activity peaked in the U.S.,,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Thu 12 Nov,"CDC released its first estimates official estimates of 2009 H1N1 cases, hospitalization and deaths.",,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Mon 16 Nov,FDA announced its approval of a fifth 2009 H1N1 vaccine.,FDA approves fifth vaccine,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Mon 23 Nov,No school closures throughout United States; first time since 8/25/2009.,,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
December,"Results of trials conducted among adults were published in December, and the data indicated that the immune response among vaccinated adults was excellent.",Vaccine trial results published - it works,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Fri 4 Dec,CDC published preliminary safety results for the 2009 H1N1 vaccines for the first months of reports received through the U.S. Vaccine Adverse Event Reporting System (VAERSexternal icon).,,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Fri 18 Dec,First 100 million doses of 2009 H1N1 vaccine were available for ordering.,First 100m vaccine doses available to order,CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
Late December,2009 H1N1 vaccination had been opened up to anyone who wanted it.,"Vaccine made available globally, used in 50 countries",CDC,https://www.cdc.gov/flu/pandemic-resources/2009-pandemic-timeline.html
